Date,Open,High,Low,Close,Adj Close,Volume
2015-07-23,10.0,12.0,7.7,12.0,12.0,534637400.0
2015-07-24,11.9,12.7,8.6,8.6,8.6,265085600.0
2015-07-27,8.9,9.4,6.55,6.8,6.8,162495000.0
2015-07-28,7.0,7.1,5.3,5.6,5.6,62201800.0
2015-07-29,5.55,5.85,5.15,5.4,5.4,35909600.0
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,,,,,,
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-14,,,,,,
2015-09-15,,,,,,
2015-09-16,,,,,,
2015-09-17,,,,,,
2015-09-18,,,,,,
2015-09-21,,,,,,
2015-09-22,,,,,,
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-25,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,,,,,,
2015-10-01,,,,,,
2015-10-02,,,,,,
2015-10-05,,,,,,
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,,,,,,
2015-10-09,,,,,,
2015-10-12,,,,,,
2015-10-13,,,,,,
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,,,,,,
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-22,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-27,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-11,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,4.48,4.74,4.44,4.46,4.46,3726500.0
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,,,,,,
2015-12-25,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,4.0,4.2,3.9,3.9,3.9,1072500.0
2016-01-04,,,,,,
2016-01-05,,,,,,
2016-01-06,,,,,,
2016-01-07,,,,,,
2016-01-08,,,,,,
2016-01-11,,,,,,
2016-01-12,,,,,,
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-18,,,,,,
2016-01-19,,,,,,
2016-01-20,,,,,,
2016-01-21,,,,,,
2016-01-22,,,,,,
2016-01-25,,,,,,
2016-01-26,,,,,,
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-15,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,,,,,,
2016-02-19,,,,,,
2016-02-23,,,,,,
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-07,,,,,,
2016-03-08,,,,,,
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,,,,,
2016-03-14,,,,,,
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-18,,,,,,
2016-03-21,,,,,,
2016-03-22,,,,,,
2016-03-23,,,,,,
2016-03-24,,,,,,
2016-03-25,,,,,,
2016-03-28,,,,,,
2016-03-29,,,,,,
2016-03-30,,,,,,
2016-03-31,,,,,,
2016-04-01,,,,,,
2016-04-04,,,,,,
2016-04-05,,,,,,
2016-04-07,,,,,,
2016-04-08,,,,,,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-25,,,,,,
2016-04-26,,,,,,
2016-04-27,,,,,,
2016-04-28,,,,,,
2016-04-29,,,,,,
2016-05-03,,,,,,
2016-05-04,,,,,,
2016-05-09,,,,,,
2016-05-10,,,,,,
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-16,,,,,,
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,,,,,,
2016-05-23,,,,,,
2016-05-24,,,,,,
2016-05-25,,,,,,
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-05-30,,,,,,
2016-05-31,,,,,,
2016-06-01,,,,,,
2016-06-02,,,,,,
2016-06-03,,,,,,
2016-06-06,,,,,,
2016-06-07,,,,,,
2016-06-08,,,,,,
2016-06-09,,,,,,
2016-06-10,,,,,,
2016-06-13,,,,,,
2016-06-14,,,,,,
2016-06-15,,,,,,
2016-06-16,,,,,,
2016-06-17,,,,,,
2016-06-20,,,,,,
2016-06-21,,,,,,
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,,,,,,
2016-07-04,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,,,,,
2016-07-08,,,,,,
2016-07-11,,,,,,
2016-07-12,,,,,,
2016-07-13,,,,,,
2016-07-14,,,,,,
2016-07-15,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-25,,,,,,
2016-07-26,,,,,,
2016-07-27,,,,,,
2016-07-28,,,,,,
2016-07-29,,,,,,
2016-08-01,,,,,,
2016-08-02,,,,,,
2016-08-03,,,,,,
2016-08-04,,,,,,
2016-08-05,,,,,,
2016-08-08,,,,,,
2016-08-09,,,,,,
2016-08-10,,,,,,
2016-08-11,,,,,,
2016-08-15,,,,,,
2016-08-16,,,,,,
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,,,,,,
2016-08-22,,,,,,
2016-08-23,,,,,,
2016-08-24,,,,,,
2016-08-25,,,,,,
2016-08-26,,,,,,
2016-08-29,,,,,,
2016-08-30,,,,,,
2016-08-31,,,,,,
2016-09-01,,,,,,
2016-09-02,,,,,,
2016-09-05,,,,,,
2016-09-06,,,,,,
2016-09-07,,,,,,
2016-09-08,,,,,,
2016-09-09,,,,,,
2016-09-12,,,,,,
2016-09-13,,,,,,
2016-09-14,,,,,,
2016-09-15,,,,,,
2016-09-16,,,,,,
2016-09-19,,,,,,
2016-09-20,,,,,,
2016-09-21,,,,,,
2016-09-22,,,,,,
2016-09-23,,,,,,
2016-09-26,,,,,,
2016-09-27,,,,,,
2016-09-28,,,,,,
2016-09-29,,,,,,
2016-09-30,,,,,,
2016-10-03,,,,,,
2016-10-04,,,,,,
2016-10-05,,,,,,
2016-10-06,,,,,,
2016-10-07,,,,,,
2016-10-10,,,,,,
2016-10-11,,,,,,
2016-10-12,,,,,,
2016-10-13,,,,,,
2016-10-14,,,,,,
2016-10-17,,,,,,
2016-10-18,,,,,,
2016-10-19,,,,,,
2016-10-20,,,,,,
2016-10-21,,,,,,
2016-10-25,,,,,,
2016-10-26,,,,,,
2016-10-27,,,,,,
2016-10-28,,,,,,
2016-10-31,,,,,,
2016-11-01,,,,,,
2016-11-02,,,,,,
2016-11-03,,,,,,
2016-11-04,,,,,,
2016-11-07,,,,,,
2016-11-08,,,,,,
2016-11-09,,,,,,
2016-11-10,,,,,,
2016-11-11,,,,,,
2016-11-14,,,,,,
2016-11-15,,,,,,
2016-11-16,,,,,,
2016-11-17,,,,,,
2016-11-18,,,,,,
2016-11-21,,,,,,
2016-11-22,,,,,,
2016-11-23,,,,,,
2016-11-24,,,,,,
2016-11-25,,,,,,
2016-11-28,,,,,,
2016-11-29,,,,,,
2016-11-30,,,,,,
2016-12-01,,,,,,
2016-12-02,,,,,,
2016-12-06,,,,,,
2016-12-07,,,,,,
2016-12-08,,,,,,
2016-12-09,,,,,,
2016-12-13,,,,,,
2016-12-14,,,,,,
2016-12-15,,,,,,
2016-12-16,,,,,,
2016-12-19,,,,,,
2016-12-20,,,,,,
2016-12-21,,,,,,
2016-12-22,,,,,,
2016-12-23,,,,,,
2016-12-26,,,,,,
2016-12-27,,,,,,
2016-12-28,,,,,,
2016-12-29,,,,,,
2016-12-30,,,,,,
2017-01-04,,,,,,
2017-01-05,,,,,,
2017-01-06,,,,,,
2017-01-09,,,,,,
2017-01-10,,,,,,
2017-01-11,,,,,,
2017-01-12,,,,,,
2017-01-16,,,,,,
2017-01-17,,,,,,
2017-01-18,,,,,,
2017-01-19,,,,,,
2017-01-20,,,,,,
2017-01-23,,,,,,
2017-01-24,,,,,,
2017-01-25,,,,,,
2017-01-26,,,,,,
2017-01-27,,,,,,
2017-01-30,,,,,,
2017-01-31,,,,,,
2017-02-01,,,,,,
2017-02-02,,,,,,
2017-02-03,,,,,,
2017-02-06,,,,,,
2017-02-07,,,,,,
2017-02-08,,,,,,
2017-02-09,,,,,,
2017-02-10,,,,,,
2017-02-13,,,,,,
2017-02-14,,,,,,
2017-02-15,,,,,,
2017-02-16,,,,,,
2017-02-17,,,,,,
2017-02-20,,,,,,
2017-02-21,,,,,,
2017-02-22,,,,,,
2017-02-23,,,,,,
2017-02-24,,,,,,
2017-02-27,,,,,,
2017-02-28,,,,,,
2017-03-01,,,,,,
2017-03-02,,,,,,
2017-03-03,,,,,,
2017-03-06,,,,,,
2017-03-07,,,,,,
2017-03-08,,,,,,
2017-03-09,,,,,,
2017-03-10,,,,,,
2017-03-13,,,,,,
2017-03-14,,,,,,
2017-03-15,,,,,,
2017-03-16,,,,,,
2017-03-17,,,,,,
2017-03-20,,,,,,
2017-03-21,,,,,,
2017-03-22,,,,,,
2017-03-23,,,,,,
2017-03-24,,,,,,
2017-03-27,,,,,,
2017-03-28,,,,,,
2017-03-29,,,,,,
2017-03-30,,,,,,
2017-03-31,,,,,,
2017-04-03,,,,,,
2017-04-04,,,,,,
2017-04-05,,,,,,
2017-04-07,4.84,5.0,4.84,4.86,4.86,377900.0
2017-04-10,,,,,,
2017-04-11,,,,,,
2017-04-12,,,,,,
2017-04-17,,,,,,
2017-04-18,,,,,,
2017-04-19,,,,,,
2017-04-20,,,,,,
2017-04-21,,,,,,
2017-04-24,,,,,,
2017-04-25,,,,,,
2017-04-26,,,,,,
2017-04-27,,,,,,
2017-04-28,,,,,,
2017-05-02,,,,,,
2017-05-03,,,,,,
2017-05-04,,,,,,
2017-05-08,,,,,,
2017-05-09,4.9,4.9,4.9,4.9,4.9,0.0
2017-05-11,4.9,4.9,4.7,4.7,4.7,386000.0
2017-05-12,4.68,4.76,4.5,4.7,4.7,784600.0
2017-05-15,4.62,4.62,4.62,4.62,4.62,1000.0
2017-05-16,4.7,4.7,4.5,4.68,4.68,224400.0
2017-05-17,4.68,4.68,4.6,4.6,4.6,42100.0
2017-05-18,4.62,4.64,4.6,4.62,4.62,60600.0
2017-05-19,4.62,4.66,4.58,4.66,4.66,50100.0
2017-05-22,4.62,4.7,4.6,4.6,4.6,242000.0
2017-05-23,4.6,4.66,4.56,4.6,4.6,69900.0
2017-05-24,4.62,4.62,4.52,4.52,4.52,437000.0
2017-05-25,4.6,4.76,4.56,4.6,4.6,797600.0
2017-05-26,4.58,4.68,4.58,4.6,4.6,51100.0
2017-05-29,4.62,4.66,4.6,4.6,4.6,202700.0
2017-05-30,4.6,4.62,4.6,4.6,4.6,88300.0
2017-05-31,4.72,4.94,4.68,4.84,4.84,4482100.0
2017-06-01,4.82,5.1,4.82,4.9,4.9,15951400.0
2017-06-02,4.92,5.0,4.84,4.84,4.84,4664500.0
2017-06-05,4.88,4.92,4.84,4.84,4.84,955500.0
2017-06-06,4.86,4.9,4.82,4.9,4.9,1392300.0
2017-06-07,4.96,4.96,4.86,4.88,4.88,493300.0
2017-06-08,4.88,4.9,4.82,4.82,4.82,481300.0
2017-06-09,4.82,4.84,4.72,4.82,4.82,1084200.0
2017-06-12,4.88,4.92,4.76,4.82,4.82,504300.0
2017-06-13,4.9,5.0,4.86,4.98,4.98,2536200.0
2017-06-14,5.1,5.1,4.92,4.92,4.92,3719300.0
2017-06-15,4.94,4.98,4.92,4.94,4.94,714300.0
2017-06-16,4.92,5.05,4.92,4.98,4.98,2435800.0
2017-06-19,4.98,5.15,4.96,5.05,5.05,6861700.0
2017-06-20,5.05,5.1,5.05,5.1,5.1,2072900.0
2017-06-21,5.15,5.3,5.1,5.15,5.15,14648900.0
2017-06-22,5.1,5.15,4.98,5.0,5.0,6572400.0
2017-06-23,5.0,5.05,4.98,5.0,5.0,2066200.0
2017-06-26,5.0,5.05,4.96,4.98,4.98,1159200.0
2017-06-27,4.98,5.0,4.98,4.98,4.98,878500.0
2017-06-28,4.98,5.1,4.98,5.1,5.1,2840100.0
2017-06-29,5.1,5.15,5.05,5.05,5.05,2412500.0
2017-06-30,5.05,5.1,5.05,5.1,5.1,1460700.0
2017-07-03,5.1,5.4,5.1,5.25,5.25,13347400.0
2017-07-04,5.25,5.35,5.15,5.15,5.15,6657400.0
2017-07-05,5.15,5.25,5.15,5.2,5.2,1826700.0
2017-07-06,5.2,5.2,5.05,5.1,5.1,2421700.0
2017-07-07,5.15,5.15,5.05,5.05,5.05,1214700.0
2017-07-11,5.05,5.1,5.05,5.1,5.1,1653700.0
2017-07-12,5.1,5.2,5.1,5.15,5.15,2947500.0
2017-07-13,5.2,5.45,5.1,5.4,5.4,29908500.0
2017-07-14,5.6,6.0,5.5,5.65,5.65,79629300.0
2017-07-17,5.6,5.65,5.45,5.45,5.45,16487200.0
2017-07-18,5.55,5.75,5.55,5.65,5.65,16164500.0
2017-07-19,5.65,5.7,5.45,5.5,5.5,5352200.0
2017-07-20,5.55,5.65,5.45,5.45,5.45,5568900.0
2017-07-21,5.45,5.5,5.3,5.35,5.35,5424300.0
2017-07-24,5.35,5.8,5.35,5.7,5.7,6593000.0
2017-07-25,5.7,5.75,5.5,5.6,5.6,3743500.0
2017-07-26,5.65,5.7,5.6,5.6,5.6,3419600.0
2017-07-27,5.45,5.9,5.4,5.8,5.8,45320100.0
2017-07-31,5.8,5.8,5.45,5.65,5.65,13380800.0
2017-08-01,5.65,5.65,5.5,5.6,5.6,2702400.0
2017-08-02,5.55,5.65,5.5,5.55,5.55,4072700.0
2017-08-03,5.55,5.55,5.15,5.4,5.4,17301300.0
2017-08-04,5.35,5.35,5.25,5.3,5.3,4580800.0
2017-08-07,5.15,5.2,4.96,5.2,5.2,15699700.0
2017-08-08,5.15,5.2,5.05,5.05,5.05,2910300.0
2017-08-09,5.05,5.05,4.74,5.0,5.0,17078100.0
2017-08-10,4.94,4.96,4.88,4.96,4.96,3961700.0
2017-08-11,4.9,4.9,4.62,4.74,4.74,5954000.0
2017-08-15,4.74,4.88,4.72,4.76,4.76,1887400.0
2017-08-16,4.74,4.76,4.66,4.76,4.76,1707900.0
2017-08-17,4.72,4.8,4.72,4.8,4.8,999000.0
2017-08-18,4.8,4.8,4.7,4.78,4.78,1809900.0
2017-08-21,4.76,4.78,4.72,4.76,4.76,735000.0
2017-08-22,4.76,4.88,4.76,4.88,4.88,2480400.0
2017-08-23,4.86,4.9,4.82,4.86,4.86,1600800.0
2017-08-24,4.86,4.94,4.86,4.94,4.94,1987500.0
2017-08-25,4.94,4.94,4.88,4.9,4.9,2375200.0
2017-08-28,4.88,4.88,4.88,4.88,4.88,54500.0
2017-08-29,4.88,4.94,4.88,4.9,4.9,915300.0
2017-08-30,4.92,4.98,4.88,4.98,4.98,2458300.0
2017-08-31,4.96,5.05,4.94,5.05,5.05,2379100.0
2017-09-01,5.05,5.05,4.96,5.0,5.0,3712300.0
2017-09-04,5.0,5.0,4.8,4.86,4.86,8796200.0
2017-09-05,4.9,4.9,4.76,4.78,4.78,4399800.0
2017-09-06,4.82,4.84,4.74,4.74,4.74,2476200.0
2017-09-07,4.76,4.84,4.72,4.8,4.8,3584500.0
2017-09-08,4.82,4.9,4.76,4.8,4.8,2722300.0
2017-09-11,4.86,4.88,4.78,4.82,4.82,2925500.0
2017-09-12,4.82,4.92,4.8,4.86,4.86,5370300.0
2017-09-13,4.88,4.9,4.84,4.86,4.86,1524500.0
2017-09-14,4.84,4.92,4.84,4.92,4.92,3506900.0
2017-09-15,4.94,4.96,4.9,4.92,4.92,2721600.0
