Date,Open,High,Low,Close,Adj Close,Volume
2000-01-07,4.5,4.5,4.5,4.5,2.004641,1000.0
2000-01-10,4.5,4.5,4.5,4.5,2.004641,0.0
2000-01-11,5.7,5.7,4.1,4.1,1.826451,0.0
2000-01-12,4.5,4.5,4.5,4.5,2.004641,30100.0
2000-01-13,4.5,5.8,4.5,4.8,2.138284,161700.0
2000-01-14,5.1,5.3,5.1,5.3,2.361022,110400.0
2000-01-17,5.3,5.3,5.3,5.3,2.361022,11000.0
2000-01-18,5.2,5.3,5.0,5.0,2.22738,23000.0
2000-01-19,5.1,5.3,5.0,5.0,2.22738,129800.0
2000-01-20,5.3,5.3,5.0,5.0,2.22738,0.0
2000-01-21,5.1,5.2,5.1,5.2,2.316474,17400.0
2000-01-24,5.1,5.6,5.1,5.6,2.494664,2000.0
2000-01-25,5.4,5.4,5.0,5.0,2.22738,53000.0
2000-01-26,5.1,5.3,5.1,5.2,2.316474,100000.0
2000-01-27,5.6,5.7,5.2,5.3,2.361022,48000.0
2000-01-28,5.6,5.6,5.4,5.6,2.494664,45100.0
2000-01-31,5.7,5.9,5.5,5.5,2.450117,11500.0
2000-02-01,5.5,5.5,5.5,5.5,2.450117,9500.0
2000-02-02,5.4,5.4,5.1,5.1,2.271927,9000.0
2000-02-03,5.3,5.3,5.3,5.3,2.361022,7000.0
2000-02-04,5.6,5.6,5.6,5.6,2.494664,1000.0
2000-02-07,5.7,5.7,5.7,5.7,2.539212,1000.0
2000-02-08,5.2,5.4,5.2,5.4,2.405569,1100.0
2000-02-09,5.5,5.5,5.3,5.3,2.361022,5000.0
2000-02-10,5.2,5.8,5.2,5.8,2.58376,5200.0
2000-02-11,5.2,5.2,5.2,5.2,2.316474,10000.0
2000-02-14,5.7,5.7,5.0,5.0,2.22738,0.0
2000-02-15,5.6,5.6,5.1,5.1,2.271927,0.0
2000-02-16,5.6,5.6,5.0,5.0,2.22738,0.0
2000-02-17,5.0,5.6,5.0,5.6,2.494664,14000.0
2000-02-18,5.0,5.0,5.0,5.0,2.22738,4100.0
2000-02-21,5.0,5.0,5.0,5.0,2.22738,0.0
2000-02-22,4.8,4.8,4.8,4.8,2.138284,10900.0
2000-02-23,5.2,5.2,4.0,4.0,1.781903,0.0
2000-02-24,5.3,5.3,4.5,4.5,2.004641,0.0
2000-02-25,5.6,5.6,4.5,4.5,2.004641,0.0
2000-02-28,5.6,5.6,4.6,4.6,2.049189,0.0
2000-02-29,5.6,5.6,4.6,4.6,2.049189,0.0
2000-03-01,5.6,5.6,4.5,4.5,2.004641,0.0
2000-03-02,5.5,5.5,4.6,4.6,2.049189,0.0
2000-03-03,5.2,5.2,4.5,4.5,2.004641,0.0
2000-03-06,5.6,5.6,4.5,4.5,2.004641,0.0
2000-03-07,5.6,5.6,4.5,4.5,2.004641,0.0
2000-03-08,5.6,5.6,4.5,4.5,2.004641,0.0
2000-03-09,5.0,5.0,4.5,4.5,2.004641,0.0
2000-03-10,5.6,5.6,4.6,4.6,2.049189,0.0
2000-03-13,5.2,5.2,4.5,4.5,2.004641,0.0
2000-03-14,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-15,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-16,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-17,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-20,5.6,5.6,4.6,4.6,2.049189,0.0
2000-03-21,5.6,5.6,4.5,4.5,2.004641,0.0
2000-03-22,4.8,4.8,4.8,4.8,2.138284,20000.0
2000-03-23,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-24,5.5,5.5,4.5,4.5,2.004641,0.0
2000-03-27,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-28,5.5,5.5,4.6,4.6,2.049189,0.0
2000-03-29,5.7,5.7,4.5,4.5,2.004641,0.0
2000-03-30,5.7,5.7,3.5,3.5,1.559165,0.0
2000-03-31,4.5,4.5,4.5,4.5,2.004641,1200.0
2000-04-03,5.4,5.4,4.5,4.5,2.004641,0.0
2000-04-04,5.0,5.0,4.5,4.5,2.004641,0.0
2000-04-05,5.3,5.3,4.5,4.5,2.004641,0.0
2000-04-06,4.5,4.5,4.5,4.5,2.004641,0.0
2000-04-07,4.5,4.5,4.5,4.5,2.004641,200.0
2000-04-10,5.4,5.4,4.5,4.5,2.004641,0.0
2000-04-11,5.4,5.4,4.5,4.5,2.004641,0.0
2000-04-12,5.5,5.5,4.6,4.6,2.049189,0.0
2000-04-13,4.6,4.6,4.6,4.6,2.049189,0.0
2000-04-14,4.6,4.6,4.6,4.6,2.049189,0.0
2000-04-17,4.5,4.5,4.5,4.5,2.004641,100.0
2000-04-18,5.7,5.7,4.6,4.6,2.049189,0.0
2000-04-19,5.5,5.5,4.5,4.5,2.004641,0.0
2000-04-20,5.7,5.7,4.6,4.6,2.049189,0.0
2000-04-21,5.6,5.6,4.5,4.5,2.004641,0.0
2000-04-24,5.6,5.6,4.6,4.6,2.049189,0.0
2000-04-25,5.6,5.6,4.6,4.6,2.049189,0.0
2000-04-26,5.7,5.7,4.7,4.7,2.093736,0.0
2000-04-27,5.7,5.7,4.6,4.6,2.049189,0.0
2000-04-28,5.7,5.7,4.6,4.6,2.049189,0.0
2000-05-01,4.6,4.6,4.6,4.6,2.049189,0.0
2000-05-02,5.2,5.2,4.7,4.7,2.093736,0.0
2000-05-03,5.2,5.2,4.7,4.7,2.093736,0.0
2000-05-04,4.6,4.6,4.6,4.6,2.049189,1000.0
2000-05-05,4.6,4.6,4.6,4.6,2.049189,0.0
2000-05-08,5.0,5.0,4.6,4.6,2.049189,0.0
2000-05-09,4.6,4.6,4.6,4.6,2.049189,0.0
2000-05-10,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-11,5.7,5.7,5.0,5.0,2.22738,0.0
2000-05-12,4.6,4.6,4.6,4.6,2.049189,10900.0
2000-05-15,4.7,5.6,4.7,5.6,2.494664,1200.0
2000-05-16,6.0,6.0,4.8,4.8,2.138284,0.0
2000-05-17,4.8,4.8,4.8,4.8,2.138284,0.0
2000-05-18,4.5,4.5,4.5,4.5,2.004641,800.0
2000-05-19,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-22,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-23,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-24,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-25,5.8,5.8,4.6,4.6,2.049189,0.0
2000-05-26,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-29,5.8,5.8,4.5,4.5,2.004641,0.0
2000-05-30,4.5,4.5,4.5,4.5,2.004641,0.0
2000-05-31,5.8,5.8,4.5,4.5,2.004641,0.0
2000-06-01,5.8,5.8,4.5,4.5,2.004641,0.0
2000-06-02,5.8,5.8,4.7,4.7,2.093736,2300.0
2000-06-05,5.9,5.9,4.8,4.8,2.138284,0.0
2000-06-06,6.0,6.0,4.6,4.6,2.049189,0.0
2000-06-07,6.0,6.0,4.9,4.9,2.182831,0.0
2000-06-08,5.0,6.0,5.0,6.0,2.672855,2200.0
2000-06-09,5.6,5.6,5.6,5.6,2.494664,4000.0
2000-06-12,5.7,7.2,5.7,6.1,2.717402,2500.0
2000-06-13,7.2,7.2,6.0,6.0,2.672855,0.0
2000-06-14,7.2,7.2,5.5,5.5,2.450117,0.0
2000-06-15,5.6,6.7,5.6,6.7,2.984688,4500.0
2000-06-16,6.5,6.5,5.5,5.5,2.450117,0.0
2000-06-19,6.8,6.8,5.2,5.2,2.316474,0.0
2000-06-20,6.4,6.4,5.8,5.8,2.58376,3500.0
2000-06-21,5.8,6.4,5.8,6.4,2.851045,5000.0
2000-06-22,6.3,6.4,5.8,6.4,2.851045,19000.0
2000-06-23,6.4,6.8,6.4,6.8,3.029235,1100.0
2000-06-26,6.8,6.8,6.1,6.1,2.717402,0.0
2000-06-27,6.8,6.8,6.0,6.0,2.672855,0.0
2000-06-28,6.8,6.8,6.8,6.8,3.029235,500.0
2000-06-29,6.2,7.3,6.2,7.3,3.251973,11000.0
2000-06-30,7.2,7.8,7.1,7.7,3.430164,17500.0
2000-07-03,7.7,8.4,7.5,8.3,3.697448,26500.0
2000-07-04,7.4,8.0,7.3,8.0,3.563806,11000.0
2000-07-05,8.1,8.3,7.8,7.8,3.474712,10800.0
2000-07-06,8.0,8.4,8.0,8.4,3.741997,1500.0
2000-07-07,8.4,9.2,8.4,9.2,4.098377,6500.0
2000-07-10,9.2,9.2,7.8,7.8,3.474712,0.0
2000-07-11,9.0,9.0,9.0,9.0,4.009282,1000.0
2000-07-12,8.8,8.8,7.9,7.9,3.519259,0.0
2000-07-13,9.2,9.2,7.9,7.9,3.519259,0.0
2000-07-14,9.0,9.5,9.0,9.5,4.232021,2100.0
2000-07-17,9.5,9.5,9.5,9.5,4.232021,0.0
2000-07-18,9.4,9.4,7.8,7.8,3.474712,0.0
2000-07-19,9.4,9.4,7.8,7.8,3.474712,0.0
2000-07-20,8.0,8.0,7.9,7.9,3.519259,3300.0
2000-07-21,8.8,8.8,7.8,7.8,3.474712,0.0
2000-07-24,8.5,8.5,7.3,7.3,3.251973,0.0
2000-07-25,8.5,8.5,7.0,7.0,3.11833,0.0
2000-07-26,8.4,8.4,7.4,7.4,3.296521,0.0
2000-07-27,8.5,8.5,6.7,6.7,2.984688,0.0
2000-07-28,8.4,8.4,6.8,6.8,3.029235,0.0
2000-07-31,7.0,7.0,6.7,6.7,2.984688,10000.0
2000-08-01,8.3,8.3,6.7,6.7,2.984688,0.0
2000-08-02,8.4,8.4,6.9,6.9,3.073783,0.0
2000-08-03,8.5,8.7,6.8,8.4,3.741997,8400.0
2000-08-04,8.4,8.5,8.4,8.5,3.786544,1000.0
2000-08-07,8.6,8.6,7.3,7.3,3.251973,0.0
2000-08-08,8.5,8.5,7.7,7.7,3.430164,0.0
2000-08-09,8.5,8.5,7.5,7.5,3.341068,0.0
2000-08-10,8.6,8.6,7.8,7.8,3.474712,0.0
2000-08-11,8.6,10.75,8.5,10.75,4.788864,38900.0
2000-08-14,10.75,10.75,10.75,10.75,4.788864,0.0
2000-08-15,9.5,10.0,8.9,9.9,4.41021,4200.0
2000-08-16,8.7,9.8,8.7,9.8,4.365663,1300.0
2000-08-17,9.8,9.8,8.3,8.3,3.697448,0.0
2000-08-18,8.1,9.1,8.1,9.1,4.053829,2100.0
2000-08-21,9.7,9.7,8.3,8.3,3.697448,0.0
2000-08-22,9.0,9.0,8.2,8.2,3.652901,0.0
2000-08-23,9.0,9.0,8.2,8.2,3.652901,0.0
2000-08-24,8.9,8.9,8.9,8.9,3.964734,500.0
2000-08-25,8.9,8.9,8.9,8.9,3.964734,500.0
2000-08-28,9.0,9.0,7.8,7.8,3.474712,0.0
2000-08-29,8.9,8.9,8.9,8.9,3.964734,500.0
2000-08-30,8.9,8.9,8.9,8.9,3.964734,1400.0
2000-08-31,8.9,8.9,8.9,8.9,3.964734,1000.0
2000-09-01,9.2,9.2,7.8,7.8,3.474712,0.0
2000-09-04,9.1,9.1,7.8,7.8,3.474712,0.0
2000-09-05,9.1,9.1,8.0,8.0,3.563806,0.0
2000-09-06,9.1,9.1,7.7,7.7,3.430164,0.0
2000-09-07,7.8,8.4,7.8,7.8,3.474712,9500.0
2000-09-08,8.8,8.8,8.8,8.8,3.920188,100.0
