Date,Open,High,Low,Close,Adj Close,Volume
2014-08-15,5.05,5.1,5.0,5.0,4.258976,1008700.0
2014-08-18,5.05,5.4,5.0,5.3,4.514515,57300.0
2014-08-19,,,,,,
2014-08-20,,,,,,
2014-08-21,,,,,,
2014-08-22,,,,,,
2014-08-25,,,,,,
2014-08-26,,,,,,
2014-08-27,,,,,,
2014-08-28,,,,,,
2014-08-29,,,,,,
2014-09-01,,,,,,
2014-09-02,,,,,,
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,,,,,,
2014-09-08,,,,,,
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,,,,,,
2014-09-16,,,,,,
2014-09-17,,,,,,
2014-09-18,,,,,,
2014-09-19,,,,,,
2014-09-22,,,,,,
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,,,,,,
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-10-10,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,,,,,,
2014-10-16,,,,,,
2014-10-17,,,,,,
2014-10-20,,,,,,
2014-10-21,,,,,,
2014-10-22,,,,,,
2014-10-24,,,,,,
2014-10-27,,,,,,
2014-10-28,,,,,,
2014-10-29,5.25,5.6,5.25,5.45,4.642284,147500.0
2014-10-30,5.4,5.45,5.25,5.25,4.471925,25500.0
2014-10-31,,,,,,
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,,,,
2014-11-06,,,,,,
2014-11-07,,,,,,
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,,,,,,
2014-11-13,,,,,,
2014-11-14,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-11-27,,,,,,
2014-11-28,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,,,,,,
2014-12-04,,,,,,
2014-12-08,,,,,,
2014-12-09,,,,,,
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,,,,
2014-12-19,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-24,,,,,,
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,3.82,3.9,3.82,3.84,3.270894,199400.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,4.2,4.2,3.96,3.98,3.390145,1015600.0
2015-03-03,4.0,4.02,3.92,3.92,3.339038,229800.0
2015-03-05,3.92,4.0,3.8,3.9,3.322002,526800.0
2015-03-06,3.92,3.98,3.9,3.98,3.390145,128800.0
2015-03-09,4.0,4.18,3.98,4.04,3.441253,751200.0
2015-03-10,4.04,4.08,3.92,3.92,3.339038,221100.0
2015-03-11,3.92,3.96,3.88,3.9,3.322002,361800.0
2015-03-12,3.92,4.0,3.9,4.0,3.407181,153900.0
2015-03-13,4.0,4.0,3.94,3.94,3.356073,212500.0
2015-03-16,3.92,4.02,3.92,4.0,3.407181,393900.0
2015-03-17,3.88,4.0,3.76,3.82,3.33729,180900.0
2015-03-18,3.76,4.0,3.76,3.88,3.389709,320900.0
2015-03-19,3.86,3.92,3.86,3.86,3.372236,83400.0
2015-03-20,3.86,3.88,3.82,3.82,3.33729,148000.0
2015-03-23,3.84,3.86,3.76,3.76,3.284872,127400.0
2015-03-24,3.76,3.94,3.64,3.64,3.180036,270700.0
2015-03-25,3.6,3.74,3.6,3.62,3.162563,74200.0
2015-03-26,3.62,3.92,3.62,3.8,3.319817,718000.0
2015-03-27,3.8,3.8,3.62,3.62,3.162563,393200.0
2015-03-30,3.62,3.74,3.62,3.72,3.249927,21200.0
2015-03-31,3.66,3.76,3.66,3.72,3.249927,50400.0
2015-04-01,3.64,3.76,3.64,3.76,3.284872,72400.0
