Date,Open,High,Low,Close,Adj Close,Volume
2006-09-05,6.2,6.2,1.22,3.3,3.3,416200.0
2006-09-06,3.3,3.4,2.38,2.38,2.38,1138100.0
2006-09-07,2.34,2.54,2.2,2.22,2.22,800700.0
2006-09-08,2.2,2.24,2.14,2.2,2.2,325300.0
2006-09-11,2.16,2.24,2.1,2.24,2.24,329400.0
2006-09-12,2.26,2.34,2.18,2.18,2.18,1362800.0
2006-09-13,2.22,2.24,2.18,2.18,2.18,116500.0
2006-09-14,2.2,2.22,2.16,2.16,2.16,42600.0
2006-09-15,2.14,2.36,2.12,2.36,2.36,597400.0
2006-09-18,2.38,2.76,2.24,2.24,2.24,13358300.0
2006-09-19,2.3,2.4,2.1,2.12,2.12,385100.0
2006-09-20,,,,,,
2006-09-21,2.0,2.0,1.84,1.84,1.84,642000.0
2006-09-22,1.84,1.84,1.66,1.7,1.7,173800.0
2006-09-25,1.79,1.79,1.72,1.72,1.72,23700.0
2006-09-26,1.75,1.84,1.75,1.84,1.84,65100.0
2006-09-27,1.83,1.84,1.74,1.74,1.74,83800.0
2006-09-28,1.83,1.83,1.69,1.72,1.72,50100.0
2006-09-29,1.73,1.73,1.68,1.68,1.68,2400.0
2006-10-02,1.68,1.68,1.63,1.63,1.63,7000.0
2006-10-03,1.6,1.63,1.52,1.52,1.52,158400.0
2006-10-04,1.54,1.55,1.51,1.51,1.51,27900.0
2006-10-05,1.52,1.57,1.52,1.57,1.57,6800.0
2006-10-06,1.57,1.57,1.54,1.55,1.55,41700.0
2006-10-09,1.54,1.59,1.54,1.59,1.59,3000.0
2006-10-10,1.59,1.68,1.57,1.58,1.58,31500.0
2006-10-11,1.59,1.59,1.53,1.53,1.53,19100.0
2006-10-12,1.59,1.59,1.55,1.56,1.56,25900.0
2006-10-13,1.56,1.57,1.48,1.48,1.48,19600.0
2006-10-16,1.49,1.55,1.47,1.55,1.55,20400.0
2006-10-17,1.55,1.55,1.41,1.41,1.41,47200.0
2006-10-18,1.41,1.45,1.41,1.45,1.45,600.0
2006-10-19,1.49,1.59,1.46,1.46,1.46,54000.0
2006-10-20,1.49,1.49,1.49,1.49,1.49,600.0
2006-10-23,,,,,,
2006-10-24,1.58,1.58,1.41,1.44,1.44,22500.0
2006-10-25,1.44,1.5,1.44,1.5,1.5,6900.0
2006-10-26,1.5,1.51,1.49,1.51,1.51,7500.0
2006-10-27,1.51,1.54,1.45,1.46,1.46,23400.0
2006-10-30,1.47,1.51,1.47,1.47,1.47,5100.0
2006-10-31,1.49,1.49,1.45,1.45,1.45,139100.0
2006-11-01,1.43,1.43,1.43,1.43,1.43,3500.0
2006-11-02,1.52,1.53,1.4,1.44,1.44,42700.0
2006-11-03,1.45,1.47,1.42,1.44,1.44,12200.0
2006-11-06,1.47,1.47,1.47,1.47,1.47,100.0
2006-11-07,1.47,1.47,1.38,1.38,1.38,167800.0
2006-11-08,1.43,1.43,1.36,1.36,1.36,47500.0
2006-11-09,1.36,1.39,1.32,1.33,1.33,71900.0
2006-11-10,1.32,1.33,1.28,1.29,1.29,81200.0
2006-11-13,1.3,1.3,1.27,1.28,1.28,4900.0
2006-11-14,1.25,1.28,1.2,1.24,1.24,169000.0
2006-11-15,1.25,1.27,1.25,1.27,1.27,9900.0
2006-11-16,1.24,1.31,1.24,1.28,1.28,302400.0
2006-11-17,1.29,1.32,1.27,1.27,1.27,671300.0
2006-11-20,1.29,1.48,1.29,1.4,1.4,808.0
2006-11-21,1.4,1.43,1.25,1.25,1.25,198.0
2006-11-22,1.28,1.31,1.25,1.25,1.25,330.0
2006-11-23,1.25,1.27,1.25,1.27,1.27,20.0
2006-11-24,1.26,1.26,1.25,1.25,1.25,33.0
2006-11-27,1.26,1.27,1.23,1.27,1.27,4400.0
2006-11-28,1.27,1.27,1.25,1.25,1.25,67.0
2006-11-29,1.26,1.5,1.23,1.5,1.5,9723.0
2006-11-30,1.54,1.9,1.22,1.22,1.22,32789.0
2006-12-01,1.26,1.26,1.18,1.18,1.18,1218.0
2006-12-04,1.19,1.19,1.13,1.15,1.15,659.0
2006-12-05,,,,,,
2006-12-06,1.18,1.24,1.16,1.16,1.16,723.0
2006-12-07,1.19,1.19,1.14,1.15,1.15,527.0
2006-12-08,1.14,1.15,1.12,1.12,1.12,324.0
2006-12-11,,,,,,
2006-12-12,1.12,1.13,1.01,1.01,1.01,122.0
2006-12-13,1.05,1.09,1.0,1.02,1.02,687.0
2006-12-14,1.02,1.05,0.99,1.0,1.0,282.0
2006-12-15,1.01,1.02,0.97,0.97,0.97,69.0
2006-12-18,1.0,1.0,0.95,0.97,0.97,324.0
2006-12-19,0.94,0.97,0.63,0.76,0.76,470.0
2006-12-20,0.82,0.95,0.82,0.88,0.88,188.0
2006-12-21,0.88,0.88,0.82,0.84,0.84,65.0
2006-12-22,0.85,0.93,0.85,0.9,0.9,98.0
2006-12-25,0.91,0.92,0.84,0.84,0.84,298500.0
2006-12-26,0.87,0.87,0.84,0.84,0.84,48000.0
2006-12-27,0.85,0.9,0.82,0.86,0.86,286.0
2006-12-28,0.86,0.86,0.71,0.77,0.77,138.0
2006-12-29,0.76,0.79,0.76,0.78,0.78,83.0
2007-01-03,0.76,0.77,0.7,0.75,0.75,275600.0
2007-01-04,0.76,0.78,0.72,0.74,0.74,155100.0
2007-01-05,0.7,0.73,0.7,0.7,0.7,70800.0
2007-01-08,0.71,0.72,0.7,0.71,0.71,90100.0
2007-01-09,0.71,0.72,0.67,0.67,0.67,64600.0
2007-01-10,0.72,0.72,0.69,0.7,0.7,166400.0
2007-01-11,0.71,0.73,0.71,0.72,0.72,91900.0
2007-01-12,0.73,0.73,0.71,0.72,0.72,61200.0
2007-01-15,0.73,0.73,0.7,0.7,0.7,30400.0
2007-01-16,0.7,0.72,0.69,0.69,0.69,81200.0
2007-01-17,0.69,0.7,0.66,0.7,0.7,157900.0
2007-01-18,0.7,0.71,0.69,0.7,0.7,47300.0
2007-01-19,0.71,0.71,0.71,0.71,0.71,28000.0
2007-01-22,0.71,0.71,0.69,0.69,0.69,12000.0
2007-01-23,0.69,0.69,0.69,0.69,0.69,42400.0
2007-01-24,0.69,0.7,0.69,0.7,0.7,35600.0
2007-01-25,0.7,0.7,0.7,0.7,0.7,6000.0
2007-01-26,0.71,0.78,0.71,0.77,0.77,117100.0
2007-01-29,0.77,0.77,0.73,0.73,0.73,23.0
2007-01-30,0.72,0.78,0.72,0.76,0.76,73400.0
2007-01-31,0.76,0.77,0.73,0.73,0.73,243000.0
2007-02-01,0.73,1.13,0.73,1.12,1.12,9636800.0
2007-02-02,1.19,1.29,1.01,1.05,1.05,5859000.0
2007-02-05,1.11,1.11,0.99,1.09,1.09,2401900.0
2007-02-06,1.09,1.41,1.08,1.41,1.41,25220500.0
2007-02-07,1.43,1.47,1.25,1.33,1.33,39698600.0
2007-02-08,1.36,1.66,1.35,1.61,1.61,73658700.0
2007-02-09,1.71,1.88,1.68,1.88,1.88,47961500.0
2007-02-12,2.02,2.3,1.99,2.3,2.3,52769700.0
2007-02-13,2.28,2.92,2.18,2.42,2.42,98062200.0
2007-02-14,2.44,2.78,2.22,2.3,2.3,48389900.0
2007-02-15,2.48,2.54,2.24,2.38,2.38,30117700.0
2007-02-16,2.42,2.44,2.24,2.26,2.26,13431900.0
2007-02-19,2.24,2.26,2.06,2.12,2.12,8540100.0
2007-02-20,2.16,2.72,2.16,2.7,2.7,61108900.0
2007-02-21,2.84,3.28,2.76,2.84,2.84,110437000.0
2007-02-22,2.94,3.16,2.86,2.94,2.94,48750400.0
2007-02-23,3.14,3.16,2.86,3.08,3.08,37586100.0
2007-02-26,3.12,3.2,2.96,3.2,3.2,38441500.0
2007-02-27,3.2,3.5,3.18,3.34,3.34,77747800.0
2007-02-28,3.34,3.46,3.22,3.3,3.3,44795800.0
2007-03-01,3.38,3.76,3.36,3.5,3.5,77304600.0
2007-03-02,3.68,3.82,3.4,3.44,3.44,49488000.0
2007-03-06,3.58,3.68,3.4,3.48,3.48,27042900.0
2007-03-07,3.4,3.44,2.72,3.22,3.22,71427200.0
2007-03-08,3.26,3.3,3.12,3.16,3.16,31106700.0
2007-03-09,3.18,3.44,3.14,3.26,3.26,55645700.0
2007-03-12,3.34,3.58,3.3,3.4,3.4,59140300.0
2007-03-13,3.46,3.5,3.32,3.36,3.36,22217100.0
2007-03-14,3.3,3.4,3.14,3.14,3.14,22488600.0
2007-03-15,3.18,3.22,2.66,2.74,2.74,17426300.0
2007-03-16,2.8,2.9,2.7,2.7,2.7,18179600.0
2007-03-19,2.76,2.88,2.66,2.74,2.74,27153700.0
2007-03-20,2.76,2.86,2.68,2.68,2.68,18911000.0
2007-03-21,2.72,2.78,2.44,2.52,2.52,17056100.0
2007-03-22,2.58,3.06,2.32,3.04,3.04,115066900.0
2007-03-23,3.14,3.18,2.8,2.8,2.8,71009600.0
2007-03-26,2.82,2.92,2.68,2.76,2.76,44826600.0
2007-03-27,2.78,2.86,2.72,2.76,2.76,29820300.0
2007-03-28,2.76,2.78,2.32,2.44,2.44,23368000.0
2007-03-29,2.4,2.46,2.34,2.34,2.34,8715600.0
2007-03-30,2.38,2.42,2.14,2.2,2.2,18211900.0
2007-04-02,2.22,2.28,2.18,2.2,2.2,37802800.0
2007-04-03,2.22,2.22,2.12,2.12,2.12,13940200.0
2007-04-04,2.14,2.3,2.14,2.28,2.28,36915900.0
2007-04-05,2.28,2.34,2.16,2.18,2.18,26404100.0
2007-04-09,2.2,2.22,2.02,2.08,2.08,10062600.0
2007-04-10,2.06,2.14,2.02,2.06,2.06,9414500.0
2007-04-11,2.06,2.12,2.02,2.04,2.04,6804600.0
2007-04-12,2.06,2.12,2.02,2.06,2.06,24178000.0
2007-04-17,2.1,2.14,2.06,2.1,2.1,12396700.0
2007-04-18,2.12,2.26,2.1,2.22,2.22,49910500.0
2007-04-19,2.24,2.32,2.18,2.18,2.18,38080300.0
2007-04-20,2.22,2.24,2.1,2.14,2.14,19415700.0
2007-04-23,2.18,2.26,2.16,2.26,2.26,39228200.0
2007-04-24,2.26,2.26,2.08,2.1,2.1,35921500.0
2007-04-25,2.12,2.14,2.0,2.02,2.02,15863200.0
2007-04-26,2.04,2.08,1.96,1.96,1.96,13989300.0
2007-04-27,1.97,1.99,1.81,1.83,1.83,15428400.0
2007-04-30,1.84,1.93,1.83,1.89,1.89,16703900.0
2007-05-02,1.9,1.92,1.85,1.87,1.87,10779100.0
2007-05-03,1.88,1.91,1.77,1.8,1.8,16078400.0
2007-05-04,1.82,1.82,1.66,1.66,1.66,9691200.0
2007-05-08,1.67,1.69,1.6,1.63,1.63,5851400.0
2007-05-09,1.64,1.67,1.61,1.61,1.61,6945500.0
2007-05-10,1.62,1.64,1.5,1.51,1.51,6253300.0
2007-05-11,1.47,1.52,1.44,1.44,1.44,7587000.0
2007-05-14,1.46,1.73,1.31,1.72,1.72,63194100.0
2007-05-15,1.73,1.8,1.65,1.65,1.65,67623600.0
2007-05-16,1.68,1.73,1.57,1.6,1.6,27298600.0
2007-05-17,1.61,1.67,1.59,1.61,1.61,20877600.0
2007-05-18,1.62,1.65,1.54,1.55,1.55,11492500.0
2007-05-21,1.55,1.6,1.53,1.54,1.54,12724800.0
2007-05-22,1.55,1.66,1.53,1.59,1.59,37984600.0
2007-05-23,1.6,1.63,1.56,1.56,1.56,9950200.0
2007-05-24,1.58,1.6,1.5,1.5,1.5,8420000.0
2007-05-25,1.53,1.58,1.49,1.5,1.5,17368600.0
2007-05-28,1.51,1.55,1.5,1.51,1.51,9059400.0
2007-05-29,1.52,1.53,1.47,1.47,1.47,9545700.0
2007-05-30,1.48,1.59,1.48,1.52,1.52,28988800.0
2007-06-01,1.54,1.56,1.52,1.52,1.52,12959700.0
2007-06-04,1.53,1.58,1.53,1.54,1.54,11098700.0
2007-06-05,1.55,1.58,1.52,1.55,1.55,9536500.0
2007-06-06,1.56,1.61,1.55,1.58,1.58,25652900.0
2007-06-07,1.61,1.88,1.61,1.79,1.79,167135300.0
2007-06-08,1.82,1.82,1.65,1.69,1.69,44889700.0
2007-06-11,1.69,1.69,1.56,1.56,1.56,20933000.0
2007-06-12,1.57,1.67,1.56,1.59,1.59,37477100.0
2007-06-13,1.57,1.61,1.45,1.45,1.45,25047100.0
2007-06-14,1.51,1.52,1.46,1.48,1.48,12877400.0
2007-06-15,1.49,1.53,1.45,1.47,1.47,15763900.0
