Date,Open,High,Low,Close,Adj Close,Volume
2008-05-27,3.1,3.12,2.88,2.88,1.757992,99731400.0
2008-05-28,2.92,2.94,2.68,2.68,1.635909,25186400.0
2008-05-29,2.74,2.78,2.64,2.66,1.623701,26736100.0
2008-05-30,2.68,2.78,2.66,2.72,1.660325,27512500.0
2008-06-02,2.66,2.68,2.36,2.36,1.440576,15394900.0
2008-06-03,2.42,2.58,2.38,2.56,1.562659,25855200.0
2008-06-04,2.54,2.58,2.46,2.52,1.538243,13696100.0
2008-06-05,2.52,2.66,2.5,2.62,1.599284,25221500.0
2008-06-06,2.62,2.64,2.58,2.58,1.574867,9890400.0
2008-06-09,2.52,2.56,2.46,2.48,1.513826,6124200.0
2008-06-10,2.48,2.52,2.24,2.26,1.379535,10176900.0
2008-06-11,2.28,2.4,2.26,2.32,1.41616,11169700.0
2008-06-12,2.28,2.34,2.28,2.28,1.391743,5888800.0
2008-06-13,2.3,2.34,2.18,2.18,1.330702,9148500.0
2008-06-16,2.22,2.24,2.16,2.16,1.318493,5139100.0
2008-06-17,2.16,2.24,2.12,2.16,1.318493,10634800.0
2008-06-18,2.16,2.18,2.0,2.0,1.220827,9706200.0
2008-06-19,2.02,2.02,1.85,1.85,1.129265,6421300.0
2008-06-20,1.85,1.92,1.83,1.9,1.159786,6186300.0
2008-06-23,1.88,2.12,1.86,2.06,1.257452,14030100.0
2008-06-24,2.08,2.18,2.08,2.08,1.26966,15465600.0
2008-06-25,2.1,2.26,2.1,2.14,1.306285,18508300.0
2008-06-26,2.16,2.16,2.06,2.06,1.257452,4705700.0
2008-06-27,2.02,2.06,2.02,2.04,1.245244,2054300.0
2008-06-30,2.06,2.1,2.02,2.02,1.233036,3343800.0
2008-07-02,2.04,2.04,1.96,1.96,1.196411,1962100.0
2008-07-03,1.96,2.0,1.89,1.89,1.153682,1994400.0
2008-07-04,1.9,1.92,1.89,1.89,1.153682,1785300.0
2008-07-07,1.9,1.9,1.78,1.78,1.086536,1269100.0
2008-07-08,1.78,1.81,1.73,1.76,1.074328,782700.0
2008-07-09,1.78,1.81,1.74,1.74,1.06212,2303300.0
2008-07-10,1.73,1.77,1.72,1.76,1.074328,1510300.0
2008-07-11,1.77,1.83,1.76,1.78,1.086536,6105200.0
2008-07-14,1.79,1.8,1.74,1.74,1.06212,2433600.0
2008-07-15,1.74,1.74,1.63,1.63,0.994974,1189300.0
2008-07-16,1.65,1.66,1.55,1.55,0.946141,1478100.0
2008-07-18,1.56,1.6,1.54,1.54,0.940037,425100.0
2008-07-21,1.55,1.58,1.55,1.57,0.958349,998500.0
2008-07-22,1.58,1.65,1.56,1.6,0.976662,3819000.0
2008-07-23,1.62,1.69,1.61,1.66,1.013287,4101900.0
2008-07-24,1.66,1.69,1.65,1.65,1.007182,2164000.0
2008-07-25,1.64,1.94,1.63,1.8,1.098745,25496800.0
2008-07-28,1.8,1.85,1.74,1.78,1.086536,12038600.0
2008-07-29,1.79,1.92,1.78,1.85,1.129265,26697000.0
2008-07-30,1.9,1.98,1.9,1.9,1.159786,23604300.0
2008-07-31,1.91,1.92,1.85,1.85,1.129265,8073700.0
2008-08-01,1.82,1.86,1.81,1.84,1.123161,4533700.0
2008-08-04,1.84,1.93,1.84,1.93,1.178098,11614300.0
2008-08-05,1.92,1.93,1.84,1.85,1.129265,7292600.0
2008-08-06,1.88,1.88,1.82,1.82,1.110953,4451500.0
2008-08-07,1.82,1.86,1.81,1.83,1.117057,4399500.0
2008-08-08,1.83,1.9,1.83,1.88,1.147578,14662300.0
2008-08-11,1.88,1.88,1.81,1.81,1.104849,5840000.0
2008-08-13,1.82,1.88,1.82,1.86,1.135369,5691500.0
2008-08-14,1.87,1.87,1.78,1.78,1.086536,5965800.0
2008-08-15,1.78,1.81,1.78,1.78,1.086536,2145600.0
2008-08-18,1.79,1.8,1.74,1.74,1.06212,1826000.0
2008-08-19,1.73,1.74,1.7,1.7,1.037703,1517100.0
2008-08-20,1.7,1.73,1.7,1.71,1.043807,1482900.0
2008-08-21,1.71,1.75,1.68,1.68,1.025495,2728500.0
2008-08-22,1.69,1.71,1.66,1.67,1.019391,3624500.0
2008-08-25,1.67,1.67,1.6,1.6,0.976662,1007900.0
2008-08-26,1.55,1.57,1.51,1.53,0.933933,1301000.0
