Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,11.3146,11.3146,11.3146,11.3146,11.3146,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-31,11.4029,11.4029,11.4029,11.4029,11.4029,0.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,11.2273,11.2273,11.2273,11.2273,11.2273,0.0
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-14,13.3,13.3,13.2,13.3,13.3,281400.0
2015-09-15,13.3,13.3,13.3,13.3,13.3,142600.0
2015-09-16,13.3,13.4,13.3,13.4,13.4,203900.0
2015-09-17,13.4,13.5,13.4,13.5,13.5,108000.0
2015-09-18,13.5,13.5,13.5,13.5,13.5,195900.0
2015-09-21,13.5,13.5,13.4,13.5,13.5,101100.0
2015-09-22,13.5,13.5,13.5,13.5,13.5,11200.0
2015-09-23,13.4,13.4,13.4,13.4,13.4,25300.0
2015-09-24,,,,,,
2015-09-25,13.5,13.6,13.5,13.6,13.6,156100.0
2015-09-28,13.6,13.7,13.6,13.7,13.7,148600.0
2015-09-29,13.7,13.8,13.6,13.7,13.7,186100.0
2015-09-30,11.3465,11.3465,11.3465,11.3465,11.3465,0.0
2015-10-01,13.8,14.0,13.8,14.0,14.0,531300.0
2015-10-02,14.0,14.0,13.8,13.8,13.8,939600.0
2015-10-05,13.8,13.9,13.4,13.4,13.4,688700.0
2015-10-06,13.3,13.4,13.3,13.4,13.4,658200.0
2015-10-07,13.9,13.9,13.4,13.5,13.5,2010100.0
2015-10-08,13.6,13.7,13.6,13.6,13.6,81900.0
2015-10-09,13.6,13.6,13.5,13.5,13.5,131400.0
2015-10-12,13.6,13.7,13.6,13.7,13.7,192900.0
2015-10-13,13.7,13.9,13.7,13.9,13.9,508200.0
2015-10-14,13.9,14.0,13.9,14.0,14.0,1040900.0
2015-10-15,14.0,14.0,13.8,13.8,13.8,137700.0
2015-10-16,13.9,13.9,13.8,13.8,13.8,122300.0
2015-10-19,13.8,14.0,13.7,14.0,14.0,436300.0
2015-10-20,14.0,14.0,14.0,14.0,14.0,98600.0
2015-10-21,14.1,14.5,14.1,14.5,14.5,906300.0
2015-10-22,14.4,14.6,14.3,14.5,14.5,583400.0
2015-10-26,14.6,14.7,14.6,14.6,14.6,610500.0
2015-10-27,14.3,14.6,14.3,14.6,14.6,93100.0
