Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,10.6818,10.6818,10.6818,10.6818,9.62414,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,11.1,11.1,11.1,11.1,10.000933,0.0
2015-07-07,11.2,11.2,11.2,11.2,10.091031,200.0
2015-07-08,11.2,11.2,11.2,11.2,10.091031,0.0
2015-07-09,11.2,11.2,11.2,11.2,10.091031,9800.0
2015-07-10,11.2,11.2,11.1,11.2,10.091031,20600.0
2015-07-13,11.2,11.2,11.2,11.2,10.091031,100.0
2015-07-14,11.2,11.2,11.2,11.2,10.091031,0.0
2015-07-15,11.1,11.1,11.1,11.1,10.000933,2000.0
2015-07-16,11.2,11.2,11.2,11.2,10.091031,2000.0
2015-07-17,11.2,11.2,11.2,11.2,10.091031,100.0
2015-07-20,11.2,11.2,11.2,11.2,10.091031,0.0
2015-07-21,11.1,11.1,11.1,11.1,10.000933,54100.0
2015-07-22,11.1,11.1,11.1,11.1,10.000933,11000.0
2015-07-23,11.0,11.0,11.0,11.0,9.910833,34000.0
2015-07-24,11.2,11.2,11.2,11.2,10.091031,10000.0
2015-07-27,11.1,11.1,11.0,11.0,9.910833,20100.0
2015-07-28,11.0,11.0,10.9,11.0,9.910833,50900.0
2015-07-29,10.9,10.9,10.8,10.8,9.730637,339600.0
2015-07-31,10.8,10.8,10.7504,10.7504,9.685947,0.0
2015-08-03,10.8,11.0,10.8,11.0,9.910833,10200.0
2015-08-04,10.8,10.9,10.8,10.9,10.0026,194500.0
2015-08-05,10.9,10.9,10.8,10.8,9.910833,210000.0
2015-08-06,10.9,10.9,10.9,10.9,10.0026,2500.0
2015-08-07,10.8,10.8,10.7,10.8,9.910833,107100.0
2015-08-10,10.9,10.9,10.9,10.9,10.0026,10000.0
2015-08-11,10.8,10.9,10.8,10.9,10.0026,20400.0
2015-08-13,10.9,10.9,10.8,10.8,9.910833,34500.0
2015-08-14,10.8,10.8,10.8,10.8,9.910833,0.0
2015-08-17,10.8,10.8,10.8,10.8,9.910833,10000.0
2015-08-18,10.9,10.9,10.7,10.7,9.819066,62600.0
2015-08-19,10.8,10.8,10.8,10.8,9.910833,12000.0
2015-08-20,10.8,10.9,10.8,10.8,9.910833,16900.0
2015-08-21,10.9,10.9,10.9,10.9,10.0026,8700.0
2015-08-24,10.8,10.8,10.6,10.6,9.727301,151600.0
2015-08-25,10.6,10.6,10.6,10.6,9.727301,0.0
2015-08-26,10.8,10.8,10.8,10.8,9.910833,5000.0
2015-08-27,10.8,10.8,10.8,10.8,9.910833,5700.0
2015-08-28,10.8,10.8,10.8,10.8,9.910833,10500.0
2015-08-31,10.618,10.618,10.618,10.618,9.743817,0.0
2015-09-01,10.6,10.6,10.6,10.6,9.727301,125700.0
2015-09-02,10.6,10.8,10.6,10.8,9.910833,73100.0
2015-09-03,10.8,10.8,10.5,10.8,9.910833,210100.0
2015-09-04,10.9,10.9,10.9,10.9,10.0026,200.0
2015-09-07,10.9,10.9,10.9,10.9,10.0026,100.0
2015-09-08,10.9,10.9,10.9,10.9,10.0026,19900.0
2015-09-09,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-10,10.9,10.9,10.9,10.9,10.0026,200.0
2015-09-11,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-14,10.8,10.8,10.8,10.8,9.910833,3000.0
2015-09-15,10.9,10.9,10.9,10.9,10.0026,100000.0
2015-09-16,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-17,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-18,10.9,10.9,10.9,10.9,10.0026,147800.0
2015-09-21,10.9,10.9,10.9,10.9,10.0026,20000.0
2015-09-22,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-23,10.9,10.9,10.9,10.9,10.0026,10000.0
2015-09-24,10.9,10.9,10.9,10.9,10.0026,0.0
2015-09-25,10.8,10.8,10.8,10.8,9.910833,15000.0
2015-09-28,10.8,10.8,10.8,10.8,9.910833,0.0
2015-09-29,10.9,10.9,10.9,10.9,10.0026,100000.0
