Date,Open,High,Low,Close,Adj Close,Volume
2004-11-11,1.45,1.57,1.42,1.46,0.664142,118130800.0
2004-11-12,1.48,1.51,1.42,1.42,0.645946,16292600.0
2004-11-15,1.45,1.46,1.43,1.43,0.650495,5567600.0
2004-11-16,1.45,1.46,1.44,1.44,0.655044,2204400.0
2004-11-17,1.44,1.45,1.41,1.43,0.650495,1984000.0
2004-11-18,1.43,1.51,1.43,1.48,0.673239,9691800.0
2004-11-19,1.5,1.52,1.46,1.52,0.691435,10687000.0
2004-11-22,1.54,1.67,1.53,1.62,0.736924,52812800.0
2004-11-23,1.65,1.71,1.57,1.6,0.727827,32390000.0
2004-11-24,1.6,1.61,1.57,1.57,0.71418,15714600.0
2004-11-25,1.57,1.63,1.57,1.63,0.741473,10950400.0
2004-11-26,1.65,1.68,1.58,1.59,0.723278,19278600.0
2004-11-29,1.59,1.61,1.59,1.59,0.723278,3407600.0
2004-11-30,1.6,1.6,1.56,1.56,0.709631,3831000.0
2004-12-01,1.57,1.59,1.56,1.58,0.718729,3844200.0
2004-12-02,1.59,1.62,1.58,1.59,0.723278,6396400.0
2004-12-03,1.59,1.63,1.59,1.62,0.736924,5423400.0
2004-12-06,,,,,,
2004-12-07,1.63,1.65,1.62,1.65,0.750571,7548200.0
2004-12-08,1.65,1.88,1.65,1.86,0.846098,25580000.0
2004-12-09,1.89,1.89,1.83,1.85,0.84155,12614000.0
2004-12-10,,,,,,
2004-12-13,1.86,1.97,1.86,1.95,0.887039,23102200.0
2004-12-14,1.95,1.95,1.87,1.89,0.859745,6170000.0
2004-12-15,1.89,1.94,1.8,1.81,0.823354,13594400.0
2004-12-16,1.81,1.82,1.8,1.81,0.823354,2071000.0
2004-12-17,1.8,1.86,1.8,1.83,0.832452,5212200.0
2004-12-20,1.83,1.83,1.8,1.8,0.818805,1476800.0
2004-12-21,1.8,1.83,1.8,1.82,0.827903,847400.0
2004-12-22,1.82,1.91,1.82,1.91,0.868843,12418600.0
2004-12-23,1.92,1.94,1.75,1.75,0.79606,17808800.0
2004-12-24,1.75,1.76,1.75,1.75,0.79606,873800.0
2004-12-27,1.71,1.72,1.67,1.67,0.759669,740000.0
2004-12-28,1.65,1.7,1.65,1.66,0.75512,364400.0
2004-12-29,1.69,1.7,1.67,1.69,0.768767,766600.0
2004-12-30,1.68,1.72,1.68,1.72,0.782413,1172000.0
2004-12-31,,,,,,
2005-01-04,1.73,1.76,1.73,1.75,0.79606,914400.0
2005-01-05,1.75,1.8,1.75,1.77,0.805158,7296800.0
2005-01-06,1.78,1.78,1.73,1.73,0.786962,766400.0
2005-01-07,1.73,1.76,1.7,1.76,0.800609,1547600.0
2005-01-10,1.75,1.75,1.73,1.73,0.786962,269600.0
2005-01-11,1.73,1.74,1.72,1.72,0.782413,536400.0
2005-01-12,1.73,1.75,1.7,1.7,0.773316,632000.0
2005-01-13,1.72,1.72,1.68,1.68,0.764218,621400.0
2005-01-14,1.7,1.7,1.68,1.68,0.764218,219000.0
2005-01-17,1.72,1.72,1.71,1.71,0.777865,439000.0
2005-01-18,1.71,1.72,1.7,1.7,0.773316,574600.0
2005-01-19,1.7,1.76,1.69,1.76,0.800609,1302800.0
2005-01-20,1.77,1.85,1.77,1.8,0.818805,9849200.0
2005-01-21,1.82,1.82,1.74,1.74,0.791511,1143400.0
2005-01-24,1.76,1.76,1.71,1.71,0.777865,60800.0
2005-01-25,1.72,1.73,1.72,1.72,0.782413,152600.0
2005-01-26,1.73,1.73,1.71,1.71,0.777865,251800.0
2005-01-27,1.71,1.71,1.69,1.7,0.773316,492000.0
2005-01-28,1.7,1.81,1.7,1.76,0.800609,6522400.0
2005-01-31,1.76,1.9,1.76,1.88,0.855196,27378600.0
2005-02-01,1.86,1.94,1.84,1.91,0.868843,8935200.0
2005-02-02,1.9,1.93,1.86,1.87,0.850647,2754800.0
2005-02-03,1.88,1.9,1.86,1.86,0.846098,5227400.0
2005-02-04,1.88,1.88,1.85,1.86,0.846098,1497200.0
2005-02-07,1.87,1.91,1.85,1.87,0.850647,1517000.0
2005-02-08,1.88,1.89,1.88,1.89,0.859745,200000.0
2005-02-09,1.88,1.89,1.86,1.86,0.846098,655200.0
2005-02-10,1.86,1.88,1.86,1.88,0.855196,188000.0
2005-02-11,1.85,1.87,1.59,1.81,0.823354,1412000.0
2005-02-14,1.81,1.83,1.81,1.82,0.827903,938000.0
2005-02-15,1.82,1.86,1.81,1.81,0.823354,3429200.0
2005-02-16,1.81,1.82,1.79,1.8,0.818805,1476000.0
2005-02-17,1.8,1.8,1.76,1.76,0.800609,816000.0
2005-02-18,1.76,1.78,1.75,1.77,0.805158,277400.0
2005-02-21,1.78,1.8,1.76,1.77,0.805158,1307800.0
2005-02-22,1.77,1.81,1.77,1.81,0.823354,3435600.0
2005-02-24,1.82,1.89,1.81,1.88,0.855196,13598200.0
2005-02-25,1.9,1.93,1.88,1.92,0.873392,16535400.0
2005-02-28,1.95,2.02,1.92,1.95,0.887039,30282600.0
2005-03-01,1.95,2.04,1.93,2.03,0.92343,12240600.0
2005-03-02,2.03,2.07,2.02,2.04,0.927979,14371200.0
2005-03-03,2.04,2.09,2.0,2.0,0.909783,19929000.0
2005-03-04,2.02,2.17,2.02,2.12,0.96437,27710200.0
2005-03-07,2.14,2.17,2.1,2.14,0.973468,8910800.0
2005-03-08,2.16,2.21,2.09,2.1,0.955272,23787800.0
2005-03-09,2.1,2.24,2.1,2.24,1.018957,20058200.0
2005-03-10,2.2,2.25,2.17,2.25,1.023506,18548200.0
2005-03-11,2.27,2.55,2.27,2.44,1.109936,38193800.0
2005-03-14,2.43,2.47,2.4,2.4,1.09174,8084800.0
2005-03-15,2.41,2.43,2.36,2.38,1.082642,4141000.0
2005-03-16,2.37,2.42,2.28,2.3,1.046251,15325600.0
2005-03-17,2.28,2.34,2.24,2.24,1.018957,4246200.0
2005-03-18,2.27,2.3,2.2,2.2,1.000761,11318000.0
2005-03-21,2.21,2.21,2.04,2.04,0.927979,2409200.0
2005-03-22,2.04,2.06,2.04,2.06,0.937077,375600.0
2005-03-23,2.05,2.11,2.05,2.05,0.932528,1619600.0
2005-03-24,2.07,2.09,2.04,2.04,0.927979,2201600.0
2005-03-25,2.05,2.14,2.05,2.14,0.973468,3467200.0
2005-03-28,2.04,2.05,2.02,2.05,1.002819,349200.0
2005-03-29,2.01,2.04,2.0,2.01,0.983251,659000.0
2005-03-30,2.03,2.05,2.02,2.03,0.993035,1007800.0
2005-03-31,2.03,2.13,2.03,2.11,1.032169,13144200.0
2005-04-01,2.105,2.13,2.09,2.09,1.022386,9578000.0
2005-04-04,2.09,2.12,2.08,2.12,1.037061,3239000.0
2005-04-05,2.12,2.18,2.1,2.13,1.041953,16164600.0
2005-04-07,2.13,2.22,2.13,2.15,1.051737,15902600.0
2005-04-08,2.17,2.22,2.15,2.2,1.076196,10733400.0
2005-04-11,2.2,2.35,2.2,2.34,1.144681,18562600.0
2005-04-12,2.355,2.525,2.33,2.39,1.16914,35778000.0
2005-04-18,2.36,2.625,2.36,2.45,1.198491,41050600.0
2005-04-19,2.47,2.55,2.44,2.47,1.208274,37346400.0
2005-04-20,2.47,2.575,2.33,2.33,1.139789,45803800.0
2005-04-21,2.31,2.32,2.16,2.18,1.066412,15068400.0
2005-04-22,2.21,2.28,2.19,2.2,1.076196,12143800.0
2005-04-25,2.18,2.21,2.14,2.17,1.06152,7896200.0
2005-04-26,2.19,2.27,2.17,2.19,1.071304,30410600.0
2005-04-27,2.19,2.26,2.0,2.0,0.97836,61930000.0
2005-04-28,2.02,2.04,1.85,1.87,0.914766,7238000.0
2005-04-29,1.88,1.92,1.87,1.88,0.919658,3547600.0
2005-05-03,1.9,1.92,1.88,1.88,0.919658,1711000.0
2005-05-04,1.9,1.94,1.88,1.89,0.92455,1844800.0
2005-05-06,1.905,2.07,1.8,1.83,0.895199,49695200.0
2005-05-09,1.85,1.85,1.8,1.8,0.880524,5681000.0
2005-05-10,1.82,1.83,1.69,1.69,0.826714,8069200.0
2005-05-11,1.7,1.76,1.7,1.76,0.860957,16174600.0
2005-05-12,1.78,1.78,1.74,1.74,0.851173,5233000.0
2005-05-13,1.79,1.83,1.76,1.76,0.860957,15738600.0
2005-05-16,1.78,1.87,1.77,1.82,0.890307,57204000.0
2005-05-17,1.83,1.86,1.78,1.8,0.880524,27214400.0
2005-05-18,1.82,1.83,1.78,1.78,0.87074,8303800.0
2005-05-19,1.79,1.8,1.72,1.72,0.841389,6689600.0
2005-05-20,1.72,1.73,1.7,1.72,0.841389,1527200.0
2005-05-24,1.73,1.74,1.7,1.7,0.831606,1235000.0
2005-05-25,1.7,1.74,1.67,1.67,0.81693,970800.0
2005-05-26,1.68,1.68,1.63,1.65,0.807147,769800.0
2005-05-27,1.655,1.69,1.65,1.66,0.812039,808000.0
2005-05-30,1.67,1.68,1.65,1.66,0.812039,654800.0
2005-05-31,1.65,1.66,1.65,1.65,0.807147,1311000.0
2005-06-01,1.655,1.67,1.66,1.67,0.81693,944000.0
2005-06-02,1.67,1.72,1.67,1.68,0.821822,2537400.0
2005-06-03,1.7,1.71,1.69,1.71,0.836498,1518600.0
2005-06-06,1.7,1.72,1.68,1.68,0.821822,1731800.0
2005-06-07,1.7,1.71,1.68,1.69,0.826714,1168600.0
2005-06-08,1.7,1.83,1.7,1.83,0.895199,26212200.0
2005-06-09,1.85,1.88,1.75,1.76,0.860957,23544600.0
2005-06-10,1.78,1.82,1.76,1.78,0.87074,12817200.0
2005-06-13,1.78,1.79,1.73,1.74,0.851173,3959000.0
2005-06-14,1.75,1.8,1.75,1.77,0.865848,6691800.0
2005-06-15,1.78,1.79,1.75,1.76,0.860957,2293400.0
2005-06-16,1.77,1.77,1.73,1.74,0.851173,2472800.0
2005-06-17,1.74,1.75,1.73,1.74,0.851173,1028400.0
2005-06-20,1.75,1.76,1.69,1.69,0.826714,1576000.0
2005-06-21,1.69,1.72,1.69,1.71,0.836498,1104200.0
2005-06-22,1.74,1.74,1.7,1.7,0.831606,1073000.0
2005-06-23,1.71,1.73,1.7,1.71,0.836498,436000.0
2005-06-24,1.72,1.76,1.72,1.72,0.841389,5837000.0
2005-06-27,1.72,1.74,1.69,1.69,0.826714,1790400.0
2005-06-28,1.71,1.73,1.7,1.7,0.831606,1477000.0
2005-06-29,1.73,1.74,1.72,1.72,0.841389,1104000.0
2005-06-30,1.72,1.73,1.66,1.66,0.812039,1281600.0
2005-07-04,1.64,1.64,1.57,1.57,0.768012,539800.0
2005-07-05,1.58,1.61,1.58,1.59,0.777796,724000.0
2005-07-06,1.6,1.63,1.59,1.61,0.78758,762800.0
2005-07-07,1.6,1.6,1.48,1.48,0.723986,1064000.0
2005-07-08,1.48,1.52,1.45,1.45,0.709311,902000.0
2005-07-11,1.47,1.5,1.43,1.43,0.699527,436000.0
2005-07-12,1.43,1.5,1.43,1.47,0.719094,517200.0
2005-07-13,1.47,1.48,1.47,1.47,0.719094,100000.0
2005-07-14,1.5,1.5,1.48,1.48,0.723986,170000.0
2005-07-15,1.5,1.51,1.45,1.45,0.709311,445200.0
2005-07-18,1.44,1.44,1.44,1.44,0.704419,20000.0
2005-07-19,1.44,1.44,1.43,1.43,0.699527,50000.0
2005-07-20,1.43,1.43,1.39,1.39,0.67996,0.0
2005-07-21,1.37,1.37,1.37,1.37,0.670176,10000.0
2005-07-25,1.3,1.44,1.3,1.4,0.684852,146000.0
2005-07-26,1.4,1.41,1.4,1.4,0.684852,290000.0
2005-07-27,1.4,1.4,1.38,1.38,0.675068,1058200.0
2005-07-28,1.4,1.43,1.4,1.42,0.694635,1081600.0
2005-07-29,1.45,1.45,1.38,1.38,0.675068,262000.0
2005-08-01,1.39,1.39,1.37,1.37,0.670176,168000.0
2005-08-02,1.36,1.57,1.35,1.54,0.753337,7388600.0
2005-08-03,1.57,1.7,1.55,1.65,0.807147,20144400.0
2005-08-04,1.655,1.72,1.65,1.71,0.836498,16983400.0
2005-08-05,1.71,1.78,1.69,1.76,0.860957,22046200.0
2005-08-08,1.77,1.8,1.66,1.71,0.836498,21370600.0
2005-08-09,1.71,1.74,1.41,1.46,0.714203,15410400.0
2005-08-10,1.4,1.4,1.33,1.33,0.650609,2620200.0
2005-08-11,1.33,1.38,1.33,1.38,0.675068,1111200.0
2005-08-15,1.38,1.38,1.34,1.34,0.655501,276000.0
2005-08-16,1.34,1.34,1.33,1.34,0.655501,182000.0
