Date,Open,High,Low,Close,Adj Close,Volume
2012-09-26,1.41667,1.45833,1.40278,1.45833,1.294015,255535632
2012-09-27,1.75,1.88889,1.66667,1.88889,1.676063,348330528
2012-09-28,2.02778,2.19444,1.40278,1.59722,1.417256,447838848
2012-10-01,1.66667,1.725,1.51667,1.60833,1.427114,124289418
2012-10-02,1.61111,1.63889,1.55556,1.55556,1.38029,24048000
2012-10-03,1.56944,1.68056,1.56944,1.59722,1.417256,66313440
2012-10-04,1.58333,1.61111,1.55556,1.55556,1.38029,20641248
2012-10-05,1.58333,1.625,1.55556,1.56944,1.392606,23437872
2012-10-08,1.58333,1.625,1.55556,1.59722,1.417256,35202960
2012-10-09,1.59722,1.83333,1.58333,1.625,1.441906,212190336
2012-10-10,1.63889,1.65278,1.58333,1.58333,1.404931,29834640
2012-10-11,1.58333,1.59722,1.56944,1.56944,1.392606,11407248
2012-10-12,1.58333,1.61111,1.55556,1.55556,1.38029,8437104
2012-10-15,1.55556,1.59722,1.55556,1.55556,1.38029,11023632
2012-10-16,1.58333,1.625,1.55556,1.55556,1.38029,21636576
2012-10-17,1.56944,1.625,1.56944,1.58333,1.404931,28563408
2012-10-18,1.59722,1.625,1.56944,1.58333,1.404931,10961280
2012-10-19,1.59722,1.66667,1.59722,1.61111,1.429581,48040272
2012-10-22,1.61111,1.65278,1.61111,1.625,1.441906,20408976
2012-10-24,1.625,1.68056,1.61111,1.625,1.441906,30357792
2012-10-25,1.63889,1.65278,1.61111,1.61111,1.429581,17549568
2012-10-26,1.61111,1.625,1.52778,1.55556,1.38029,12818016
2012-10-29,1.55556,1.56944,1.52778,1.54167,1.367965,5553504
2012-10-30,1.55556,1.59722,1.55556,1.58333,1.404931,8518896
2012-10-31,1.61111,1.63889,1.59722,1.59722,1.417256,22502160
2012-11-01,1.59722,1.61111,1.58333,1.59722,1.417256,7052400
2012-11-02,1.59722,1.625,1.58333,1.58333,1.404931,4977792
2012-11-05,1.625,1.80556,1.61111,1.73611,1.540497,238705344
2012-11-06,1.76389,1.77778,1.68056,1.69444,1.503522,38186352
2012-11-07,1.68056,1.68056,1.61111,1.61111,1.429581,28076256
2012-11-08,1.59722,1.68056,1.59722,1.63889,1.454231,20754144
2012-11-09,1.63889,1.66667,1.59722,1.59722,1.417256,16249536
2012-11-12,1.60833,1.625,1.58333,1.58333,1.404931,1156320
2012-11-13,1.58333,1.61111,1.56944,1.58333,1.404931,4889520
2012-11-14,1.58333,1.625,1.56944,1.58333,1.404931,11514960
2012-11-15,1.58333,1.58333,1.5,1.52778,1.35564,7150464
2012-11-16,1.525,1.56667,1.525,1.54167,1.367965,4752144
2012-11-19,1.55556,1.58333,1.54167,1.55556,1.38029,3075408
2012-11-20,1.56944,1.625,1.54167,1.55556,1.38029,31517568
2012-11-21,1.56944,1.56944,1.54167,1.55556,1.38029,3346416
2012-11-22,1.54167,1.56944,1.54167,1.54167,1.367965,2085984
2012-11-23,1.54167,1.55556,1.51389,1.51389,1.343315,3858912
2012-11-26,1.54167,1.55556,1.52778,1.54167,1.367965,3081456
2012-11-27,1.55556,1.55556,1.52778,1.54167,1.367965,3923280
2012-11-28,1.54167,1.55556,1.51389,1.52778,1.35564,6222096
2012-11-29,1.52778,1.54167,1.5,1.51389,1.343315,6576912
2012-11-30,1.52778,1.56944,1.51389,1.52778,1.35564,9917712
2012-12-03,1.54167,1.59722,1.54167,1.54167,1.367965,23093424
2012-12-04,1.54167,1.55556,1.51389,1.54167,1.367965,8254944
2012-12-06,1.52778,1.55556,1.52778,1.52778,1.35564,4293216
