Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.2,2.2,2.2,2.2,1.9e-05,9000.0
2000-01-05,2.225,2.4,2.225,2.225,2e-05,0.0
2000-01-06,2.0,2.4,2.0,2.0,1.8e-05,0.0
2000-01-07,2.0,2.1,2.0,2.075,1.8e-05,50000.0
2000-01-10,2.05,2.15,2.05,2.05,1.8e-05,0.0
2000-01-11,2.05,2.15,2.05,2.05,1.8e-05,0.0
2000-01-12,2.075,2.075,2.075,2.075,1.8e-05,10000.0
2000-01-13,2.075,2.075,2.075,2.075,1.8e-05,50000.0
2000-01-14,2.075,2.075,2.075,2.075,1.8e-05,70000.0
2000-01-17,2.05,2.075,2.05,2.075,1.8e-05,130000.0
2000-01-18,2.05,2.075,2.05,2.05,1.8e-05,894000.0
2000-01-19,2.05,2.15,2.05,2.05,1.8e-05,0.0
2000-01-20,2.075,2.075,2.075,2.075,1.8e-05,5000.0
2000-01-21,2.05,2.15,2.05,2.05,1.8e-05,0.0
2000-01-24,2.075,2.125,2.075,2.075,1.8e-05,0.0
2000-01-25,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-01-26,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-01-27,2.1,2.1,2.1,2.1,1.8e-05,50000.0
2000-01-28,2.1,2.1,2.1,2.1,1.8e-05,5000.0
2000-01-31,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-01,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-02,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-03,2.075,2.075,2.075,2.075,1.8e-05,10000.0
2000-02-04,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-07,2.075,2.125,2.075,2.075,1.8e-05,0.0
2000-02-08,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-09,2.075,2.075,2.075,2.075,1.8e-05,30000.0
2000-02-10,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-11,2.075,2.15,2.075,2.075,1.8e-05,0.0
2000-02-14,2.075,2.075,2.075,2.075,1.8e-05,15000.0
2000-02-15,2.075,2.075,2.0,2.0,1.8e-05,230000.0
2000-02-16,2.0,2.15,2.0,2.0,1.8e-05,0.0
2000-02-17,2.0,2.0,1.95,1.95,1.7e-05,200000.0
2000-02-18,1.975,1.975,1.975,1.975,1.7e-05,50000.0
2000-02-21,1.975,1.975,1.975,1.975,1.7e-05,0.0
2000-02-22,1.95,1.95,1.925,1.925,1.7e-05,110000.0
2000-02-23,1.9,2.125,1.9,1.9,1.7e-05,0.0
2000-02-24,1.925,2.125,1.925,1.925,1.7e-05,0.0
2000-02-25,2.13,2.15,2.13,2.15,1.9e-05,10000.0
2000-02-28,1.925,2.15,1.925,1.925,1.7e-05,0.0
2000-02-29,1.95,2.15,1.95,1.95,1.7e-05,0.0
2000-03-01,1.9,2.15,1.9,1.9,1.7e-05,0.0
2000-03-02,1.95,2.15,1.95,1.95,1.7e-05,0.0
2000-03-03,1.925,2.15,1.925,1.925,1.7e-05,0.0
2000-03-06,1.925,2.15,1.925,1.925,1.7e-05,0.0
2000-03-07,1.925,2.15,1.925,1.925,1.7e-05,0.0
2000-03-08,1.925,2.125,1.925,1.925,1.7e-05,0.0
