Date,Open,High,Low,Close,Adj Close,Volume
2000-01-07,0.33004,0.39002,0.33004,0.38009,0.091742,301535.0
2000-01-10,,,,,,
2000-01-11,,,,,,
2000-01-12,,,,,,
2000-01-13,,,,,,
2000-01-14,,,,,,
2000-01-17,,,,,,
2000-01-18,,,,,,
2000-01-19,,,,,,
2000-01-20,0.41981,0.44006,0.41981,0.44006,0.106217,2124448.0
2000-01-21,0.44006,0.45992,0.44006,0.45992,0.11101,3166113.0
2000-01-24,0.46985,0.48017,0.44999,0.44999,0.108614,1096490.0
2000-01-25,0.39995,0.41981,0.39995,0.41981,0.101329,205592.0
2000-01-26,,,,,,
2000-01-27,0.44999,0.45992,0.44999,0.44999,0.108614,335800.0
2000-01-28,,,,,,
2000-01-31,,,,,,
2000-02-01,,,,,,
2000-02-02,,,,,,
2000-02-03,0.41981,0.44006,0.41981,0.41981,0.101329,1123902.0
2000-02-04,0.44006,0.48017,0.44006,0.45992,0.11101,274121.0
2000-02-07,,,,,,
2000-02-08,,,,,,
2000-02-09,,,,,,
2000-02-10,,,,,,
2000-02-11,,,,,,
2000-02-14,0.44006,0.45992,0.44006,0.45992,0.11101,171327.0
2000-02-15,,,,,,
2000-02-16,,,,,,
2000-02-17,0.48017,0.48017,0.45992,0.45992,0.11101,1713265.0
2000-02-18,0.48017,0.48017,0.46985,0.48017,0.115898,5509860.0
2000-02-21,,,,,,
2000-02-22,0.50003,0.50003,0.48017,0.48017,0.115898,7785074.0
2000-02-23,0.48017,0.4901,0.48017,0.4901,0.118295,9546311.0
2000-02-24,,,,,,
2000-02-25,0.48017,0.4901,0.44006,0.44006,0.106217,1089637.0
2000-02-28,0.44006,0.44006,0.39995,0.39995,0.096536,137062.0
2000-02-29,,,,,,
2000-03-01,,,,,,
2000-03-02,,,,,,
2000-03-03,,,,,,
2000-03-06,,,,,,
2000-03-07,0.39002,0.39995,0.39002,0.39995,0.096536,822366.0
2000-03-08,0.39995,0.40988,0.38009,0.38009,0.091742,2227243.0
2000-03-09,0.38009,0.39002,0.38009,0.38009,0.091742,616775.0
2000-03-10,0.38009,0.38009,0.35984,0.38009,0.091742,1781795.0
2000-03-13,,,,,,
2000-03-14,,,,,,
2000-03-15,,,,,,
2000-03-16,0.38009,0.41981,0.38009,0.38009,0.091742,11739289.0
2000-03-17,0.39002,0.39002,0.38009,0.39002,0.094139,1096490.0
2000-03-20,0.38009,0.38009,0.37015,0.37015,0.089343,19681983.0
2000-03-21,0.37015,0.37015,0.34991,0.34991,0.084457,4879378.0
2000-03-22,0.35984,0.37015,0.35984,0.37015,0.089343,1514527.0
2000-03-23,0.37015,0.41981,0.37015,0.38009,0.091742,6181457.0
2000-03-24,,,,,,
2000-03-27,,,,,,
2000-03-28,,,,,,
2000-03-29,,,,,,
