Date,Open,High,Low,Close,Adj Close,Volume
2014-12-19,1.45648,1.45648,1.34444,1.45648,1.442981,1252429119
2014-12-22,1.41167,1.61333,1.23988,1.38926,1.376384,1563685750
2014-12-23,1.38926,1.47889,1.32204,1.32204,1.309787,550798002
2014-12-24,1.37432,1.37432,1.13531,1.15025,1.139589,765499685
2014-12-25,1.10543,1.17265,1.03074,1.05315,1.04339,353929573
2014-12-26,1.06809,1.10543,1.04568,1.06062,1.05079,215451837
2014-12-29,1.03074,1.03074,0.90377,0.94858,0.939789,49079574
2014-12-30,0.93364,0.97846,0.90377,0.93364,0.924987,36638778
2015-01-05,0.93364,0.94111,0.87389,0.91123,0.902785,34321508
2015-01-06,0.8963,1.06062,0.88883,1.06062,1.05079,146967742
2015-01-07,1.00833,1.06809,0.97846,1.0158,1.006386,69701773
2015-01-08,1.03074,1.03821,0.9934,1.00086,0.991584,22874802
2015-01-09,1.00833,1.0158,0.94858,0.96352,0.95459,31679703
2015-01-12,0.94111,0.95605,0.92617,0.94111,0.932388,23829933
2015-01-13,0.94858,0.95605,0.9187,0.94111,0.932388,24151523
2015-01-14,0.94111,1.03074,0.94111,1.00086,0.991584,95435674
2015-01-15,1.0158,1.02327,0.94858,0.96352,0.95459,35870282
2015-01-16,0.95605,0.9934,0.94858,0.9934,0.984193,24256488
2015-01-19,1.00086,1.10543,0.97846,1.10543,1.095185,168532218
2015-01-20,1.13531,1.13531,1.04568,1.07556,1.065592,110856067
2015-01-21,1.08302,1.15772,1.05315,1.12784,1.117387,156280332
2015-01-22,1.13531,1.16519,1.10543,1.13531,1.124788,108451237
2015-01-23,1.13531,1.13531,1.09049,1.1129,1.102586,66279423
2015-01-26,1.1129,1.20253,1.08302,1.17265,1.161782,205708541
2015-01-27,1.18012,1.26975,1.15025,1.26975,1.257982,210859204
2015-01-28,1.29216,1.34444,1.26228,1.32204,1.309787,292254700
2015-01-29,1.32204,1.35191,1.29963,1.35191,1.339381,118127591
2015-01-30,1.35938,1.44901,1.32951,1.44901,1.435581,240645114
2015-02-02,1.4266,1.48636,1.38179,1.47142,1.457783,484894259
2015-02-03,1.48636,1.56852,1.44154,1.56852,1.553983,432736015
2015-02-04,1.55358,1.77765,1.39673,1.49383,1.479985,971011149
2015-02-05,1.46395,1.55358,1.38179,1.53864,1.52438,320804589
2015-02-06,1.5237,1.61333,1.45648,1.55358,1.539181,203665600
2015-02-09,1.53864,1.67309,1.49383,1.64321,1.627981,279168714
2015-02-10,1.64321,1.67309,1.5984,1.64321,1.627981,130348282
