Date,Open,High,Low,Close,Adj Close,Volume
2008-03-14,10.0,10.0,10.0,10.0,10.0,0.0
2008-03-17,,,,,,
2008-03-18,,,,,,
2008-03-19,,,,,,
2008-03-20,,,,,,
2008-03-21,,,,,,
2008-03-24,,,,,,
2008-03-25,,,,,,
2008-03-26,,,,,,
2008-03-27,,,,,,
2008-03-28,,,,,,
2008-03-31,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-01,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-02,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-03,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-04,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-08,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-09,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-10,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-11,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-16,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-17,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-18,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-21,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-22,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-23,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-24,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-25,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-28,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-29,10.0266,10.0266,10.0266,10.0266,10.0266,0.0
2008-04-30,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-02,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-06,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-07,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-08,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-09,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-12,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-13,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-14,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-15,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-16,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-20,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-21,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-22,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-23,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-26,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-27,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-28,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-29,10.0804,10.0804,10.0804,10.0804,10.0804,0.0
2008-05-30,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-02,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-03,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-04,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-05,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-06,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-09,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-10,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-11,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-12,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-13,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-16,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-17,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-18,10.1388,10.1388,10.1388,10.1388,10.1388,0.0
2008-06-19,,,,,,
2008-06-20,,,,,,
2008-06-23,,,,,,
2008-06-24,,,,,,
2008-06-25,,,,,,
2008-06-26,,,,,,
2008-06-27,,,,,,
2008-06-30,10.2312,10.2312,10.2312,10.2312,10.2312,0.0
2008-07-02,,,,,,
2008-07-03,,,,,,
2008-07-04,,,,,,
2008-07-07,,,,,,
2008-07-08,,,,,,
2008-07-09,,,,,,
2008-07-10,,,,,,
2008-07-11,,,,,,
2008-07-14,,,,,,
2008-07-15,,,,,,
2008-07-16,,,,,,
2008-07-18,,,,,,
2008-07-21,,,,,,
2008-07-22,,,,,,
2008-07-23,,,,,,
2008-07-24,,,,,,
2008-07-25,,,,,,
2008-07-28,,,,,,
2008-07-29,,,,,,
2008-07-30,,,,,,
2008-07-31,10.345,10.345,10.345,10.345,10.345,0.0
