Date,Open,High,Low,Close,Adj Close,Volume
2014-08-07,4.5897,4.80219,3.67176,3.67176,3.490844,890270311
2014-08-08,3.70576,3.84175,3.58677,3.62077,3.442366,148688385
2014-08-13,3.72276,3.72276,3.28079,3.28079,3.119138,71764968
2014-08-14,3.33179,3.43378,3.22979,3.33179,3.167625,73481196
2014-08-15,3.33179,3.46778,3.28079,3.34878,3.183778,40021986
2014-08-18,3.36578,3.48478,3.36578,3.41678,3.248427,31933465
2014-08-19,3.45078,3.45078,3.33179,3.33179,3.167625,16711075
2014-08-20,3.34878,3.43378,3.33179,3.34878,3.183778,14806246
2014-08-21,3.38278,3.39978,3.33179,3.34878,3.183778,9544026
2014-08-22,3.38278,3.41678,3.33179,3.33179,3.167625,13713117
2014-08-25,3.34878,3.38278,3.28079,3.29779,3.1353,15393225
2014-08-26,3.31479,3.38278,3.28079,3.28079,3.119138,15351811
2014-08-27,3.29779,3.33179,3.26379,3.26379,3.102975,6967978
2014-08-28,3.29779,3.43378,3.26379,3.31479,3.151463,46860661
2014-08-29,3.33179,3.39978,3.31479,3.34878,3.183778,11130010
2014-09-01,3.36578,3.38278,3.31479,3.31479,3.151463,8468898
2014-09-02,3.39978,3.65476,3.38278,3.58677,3.410041,154861135
2014-09-03,3.62077,3.63777,3.46778,3.46778,3.296914,38475533
2014-09-04,3.50177,3.50177,3.39978,3.43378,3.264589,17095688
2014-09-05,3.43378,3.46778,3.39978,3.39978,3.232265,7878389
2014-09-08,3.43378,3.53577,3.39978,3.46778,3.296914,19875866
2014-09-09,3.48478,3.48478,3.41678,3.41678,3.248427,11626630
2014-09-10,3.41678,3.45078,3.39978,3.39978,3.232265,7103986
2014-09-11,3.41678,3.43378,3.33179,3.33179,3.167625,18466717
2014-09-12,3.34878,3.34878,3.29779,3.29779,3.1353,7229288
2014-09-15,3.36578,3.38278,3.31479,3.31479,3.151463,4981850
2014-09-16,3.33179,3.33179,3.26379,3.28079,3.119138,8640203
2014-09-17,3.29779,3.31479,3.24679,3.26379,3.102975,6561951
2014-09-18,3.29779,3.33179,3.26379,3.28079,3.119138,5976855
2014-09-19,3.33179,3.33179,3.26379,3.26379,3.102975,5628833
2014-09-22,3.26379,3.28079,3.22979,3.24679,3.086813,3955901
2014-09-23,3.24679,3.28079,3.22979,3.24679,3.086813,3295388
2014-09-24,3.31479,3.48478,3.31479,3.39978,3.232265,85877405
2014-09-25,3.41678,3.43378,3.36578,3.36578,3.19994,17503832
2014-09-26,3.43378,3.45078,3.38278,3.38278,3.216102,13673115
2014-09-29,3.39978,3.50177,3.36578,3.39978,3.232265,39193109
2014-09-30,3.39978,3.45078,3.38278,3.38278,3.216102,12549042
2014-10-01,3.39978,3.58677,3.38278,3.56977,3.393879,96940940
2014-10-02,3.55277,3.62077,3.33179,3.33179,3.167625,90867961
2014-10-03,3.38278,3.41678,3.26379,3.36578,3.19994,23468686
2014-10-06,3.41678,3.41678,3.22979,3.22979,3.070651,14588350
2014-10-07,3.26379,3.28079,2.97481,3.1278,2.973686,8875041
2014-10-08,3.0938,3.1448,3.0598,3.0938,2.941361,5682718
2014-10-09,3.1278,3.1788,3.1108,3.1788,3.022173,6969978
2014-10-10,3.1108,3.1788,3.1108,3.1788,3.022173,3128907
2014-10-13,3.1448,3.1788,3.1108,3.1108,2.957524,2379094
2014-10-14,3.1278,3.1618,3.1108,3.1108,2.957524,2821946
2014-10-15,3.1278,3.24679,3.1278,3.1278,2.973686,10108179
2014-10-16,3.1108,3.1278,3.02581,3.0598,2.909036,6169691
2014-10-17,3.0598,3.0938,2.99181,3.0428,2.892874,2851242
2014-10-20,3.0768,3.0768,2.97481,2.97481,2.828234,4307571
2014-10-21,2.99181,3.00881,2.94081,2.95781,2.812072,1898357
2014-10-22,2.97481,3.00881,2.94081,2.94081,2.795909,1998599
2014-10-24,2.94081,3.02581,2.94081,2.97481,2.828234,3885544
2014-10-27,3.00881,3.0768,2.97481,3.0598,2.909036,3340097
2014-10-28,3.0938,3.1108,3.02581,3.0428,2.892874,4399695
2014-10-29,3.05725,3.24424,3.03855,3.1601,3.004394,1045597
2014-10-30,3.19749,3.26294,3.13205,3.13205,2.977726,14362652
2014-10-31,3.1618,3.19579,3.0938,3.1108,2.957524,5360698
2014-11-03,3.1788,3.1788,3.0428,3.0428,2.892874,4832428
2014-11-04,3.0428,3.0598,3.00881,3.00881,2.860559,3554934
2014-11-05,3.02581,3.02581,2.90681,2.94081,2.795909,6455827
2014-11-06,2.94081,3.1108,2.94081,2.97481,2.828234,12233728
2014-11-07,3.00881,3.0428,2.95781,2.95781,2.812072,4387812
2014-11-10,2.95781,2.97481,2.90681,2.90681,2.763585,3362099
2014-11-11,2.94081,2.94081,2.87282,2.87282,2.731269,3377511
2014-11-12,2.88981,2.90681,2.83882,2.83882,2.698945,2408037
