Date,Open,High,Low,Close,Adj Close,Volume
2002-11-26,5.0,5.5,4.06,4.18,3.0897,52810600.0
2002-11-27,4.18,4.18,3.34,3.44,2.542719,23786800.0
2002-11-28,3.54,3.76,3.4,3.76,2.779252,38693000.0
2002-11-29,3.8,3.88,3.54,3.54,2.616636,16493600.0
2002-12-02,3.56,3.6,3.4,3.44,2.542719,12294700.0
2002-12-03,3.48,3.54,3.2,3.22,2.380104,14629500.0
2002-12-04,3.2,3.26,3.08,3.1,2.291404,9947300.0
2002-12-05,,,,,,
2002-12-06,3.08,3.14,3.06,3.12,2.306187,5941000.0
2002-12-09,3.16,3.32,3.08,3.16,2.335754,25629900.0
2002-12-10,,,,,,
2002-12-11,3.2,3.2,3.06,3.1,2.291404,7014600.0
2002-12-12,3.12,3.36,3.1,3.3,2.439237,19156600.0
2002-12-13,3.3,3.42,3.3,3.3,2.439237,18796600.0
2002-12-16,3.32,3.32,3.2,3.2,2.36532,3944600.0
2002-12-17,3.22,3.24,2.98,2.98,2.202705,4726900.0
2002-12-18,2.98,3.04,2.82,3.0,2.217488,2785700.0
2002-12-19,3.0,3.04,2.9,2.94,2.173138,1627700.0
2002-12-20,2.94,2.98,2.82,2.84,2.099222,2299200.0
2002-12-23,2.9,2.9,2.72,2.72,2.010522,1558600.0
2002-12-24,2.74,2.74,2.56,2.58,1.90704,1650200.0
2002-12-25,2.58,2.66,2.58,2.64,1.95139,290400.0
2002-12-26,2.68,2.8,2.68,2.76,2.040089,1699200.0
2002-12-27,2.76,2.86,2.76,2.8,2.069655,2566300.0
2002-12-30,,,,,,
2002-12-31,,,,,,
2003-01-01,,,,,,
2003-01-02,2.74,2.76,2.66,2.72,2.010522,173200.0
2003-01-03,2.76,2.78,2.72,2.76,2.040089,914300.0
2003-01-06,2.76,2.86,2.76,2.82,2.084439,2388500.0
2003-01-07,2.84,3.06,2.84,2.92,2.158355,13608300.0
2003-01-08,2.96,2.96,2.78,2.78,2.054872,8450400.0
