Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,6.0,6.05,5.4,5.5,5.403983,202710700
2017-02-28,5.55,5.85,5.5,5.75,5.649618,56282000
2017-03-01,5.75,5.8,5.55,5.65,5.551364,21763700
2017-03-02,5.7,5.7,5.6,5.6,5.502237,7155700
2017-03-03,5.6,6.1,5.6,5.85,5.747872,56352000
2017-03-06,5.9,6.05,5.9,5.9,5.796999,32103400
2017-03-07,6.0,6.25,6.0,6.1,5.993508,66961200
2017-03-08,6.2,6.2,5.75,5.85,5.747872,46774800
2017-03-09,5.85,5.85,5.7,5.7,5.600491,18287500
2017-03-10,5.75,5.8,5.7,5.75,5.649618,5371700
2017-03-13,5.7,5.7,5.4,5.6,5.502237,6453900
2017-03-14,5.55,5.7,5.55,5.65,5.551364,2940700
2017-03-15,5.6,5.65,5.5,5.6,5.502237,2360800
2017-03-16,5.6,5.75,5.55,5.75,5.649618,2832200
2017-03-17,5.75,5.8,5.65,5.65,5.551364,1638600
2017-03-20,5.7,5.75,5.65,5.75,5.649618,978600
2017-03-21,5.75,5.8,5.65,5.7,5.600491,2152400
2017-03-22,5.65,5.7,5.6,5.65,5.551364,1859000
2017-03-23,5.65,5.65,5.55,5.6,5.502237,2657600
2017-03-24,5.6,5.65,5.6,5.6,5.502237,468700
2017-03-27,5.65,5.65,5.55,5.6,5.502237,1424400
2017-03-28,5.6,5.65,5.55,5.6,5.502237,2177200
2017-03-29,5.65,5.65,5.55,5.6,5.502237,1410400
2017-03-30,5.6,5.6,5.55,5.55,5.45311,3260700
2017-03-31,5.55,5.7,5.55,5.65,5.551364,2827100
2017-04-03,5.65,5.65,5.6,5.6,5.502237,1785000
2017-04-04,5.6,5.8,5.6,5.75,5.649618,2709100
2017-04-05,5.75,5.75,5.7,5.7,5.600491,1488000
2017-04-07,5.7,5.75,5.6,5.65,5.551364,1324600
2017-04-10,5.65,5.7,5.65,5.7,5.600491,550100
2017-04-11,5.7,5.75,5.7,5.7,5.600491,1355000
2017-04-12,5.7,5.7,5.65,5.7,5.600491,154600
2017-04-17,5.7,5.8,5.65,5.7,5.600491,3275500
2017-04-18,5.75,5.75,5.65,5.65,5.551364,2289300
2017-04-19,5.7,5.7,5.65,5.65,5.551364,1301300
2017-04-20,5.65,5.7,5.6,5.6,5.502237,1376900
2017-04-21,5.6,5.7,5.55,5.7,5.600491,2256300
2017-04-24,5.7,5.75,5.55,5.55,5.45311,3933000
2017-04-25,5.55,5.65,5.4,5.45,5.354855,4964700
2017-04-26,5.45,5.55,5.45,5.5,5.403983,939100
2017-04-27,5.55,5.6,5.5,5.55,5.45311,541100
2017-04-28,5.55,5.55,5.45,5.5,5.403983,556500
2017-05-02,5.5,5.55,5.45,5.5,5.403983,1217500
2017-05-03,5.5,5.55,5.45,5.45,5.401999,1098400
2017-05-04,5.45,5.5,5.45,5.5,5.5,699300
2017-05-08,5.5,5.5,5.4,5.45,5.45,1886600
2017-05-09,5.45,5.45,5.3,5.3,5.3,2325300
2017-05-11,5.3,5.35,5.2,5.2,5.2,2526900
2017-05-12,5.2,5.2,5.1,5.1,5.1,1985500
2017-05-15,4.98,4.98,4.98,4.98,4.98,75700
2017-05-16,4.98,5.0,4.94,4.96,4.96,2234800
2017-05-17,4.98,5.1,4.98,5.0,5.0,3022900
2017-05-18,5.0,5.1,5.0,5.05,5.05,1055500
2017-05-19,5.05,5.1,5.0,5.05,5.05,1140200
2017-05-22,5.05,5.15,5.0,5.0,5.0,937700
2017-05-23,5.05,5.1,5.0,5.05,5.05,806500
2017-05-24,5.05,5.15,5.0,5.0,5.0,999900
2017-05-25,5.05,5.1,5.0,5.0,5.0,1095400
2017-05-26,5.05,5.2,5.05,5.1,5.1,2916500
2017-05-29,5.1,5.15,5.05,5.05,5.05,685800
2017-05-30,5.1,5.1,5.05,5.05,5.05,693700
2017-05-31,5.05,5.15,5.0,5.05,5.05,972400
2017-06-01,5.05,5.1,5.0,5.0,5.0,557900
2017-06-02,5.0,5.15,5.0,5.1,5.1,1313300
2017-06-05,5.1,5.15,5.05,5.05,5.05,397900
2017-06-06,5.1,5.1,5.0,5.05,5.05,1050700
2017-06-07,5.1,5.1,5.0,5.0,5.0,2062800
2017-06-08,5.0,5.0,4.96,4.98,4.98,1650500
2017-06-09,5.0,5.1,4.96,4.98,4.98,1722500
2017-06-12,4.98,5.0,4.98,4.98,4.98,373200
2017-06-13,4.98,5.0,4.98,4.98,4.98,437500
2017-06-14,4.98,5.1,4.98,5.05,5.05,1000000
2017-06-15,5.05,5.05,5.0,5.05,5.05,305700
2017-06-16,5.0,5.05,4.98,5.0,5.0,634300
2017-06-19,5.0,5.0,4.98,4.98,4.98,1513700
2017-06-20,5.0,5.0,4.96,4.98,4.98,444400
2017-06-21,5.0,5.0,4.98,5.0,5.0,630500
2017-06-22,5.0,5.0,4.98,5.0,5.0,1270700
2017-06-23,5.0,5.0,4.98,4.98,4.98,437100
2017-06-26,5.0,5.0,4.98,5.0,5.0,945800
2017-06-27,5.05,5.05,4.96,4.96,4.96,1306100
2017-06-28,4.98,5.0,4.96,4.96,4.96,408600
2017-06-29,4.98,5.0,4.96,4.96,4.96,1835700
2017-06-30,4.98,4.98,4.82,4.92,4.92,6597100
2017-07-03,4.94,4.94,4.9,4.92,4.92,493700
2017-07-04,4.92,4.92,4.88,4.88,4.88,1058700
2017-07-05,4.9,4.9,4.88,4.88,4.88,343900
2017-07-06,4.88,4.9,4.86,4.9,4.9,405800
2017-07-07,4.9,4.9,4.8,4.84,4.84,1416400
2017-07-11,4.84,4.88,4.82,4.82,4.82,901300
2017-07-12,4.82,4.84,4.82,4.82,4.82,464000
2017-07-13,4.82,4.84,4.8,4.84,4.84,414500
2017-07-14,4.82,4.84,4.78,4.78,4.78,1830200
2017-07-17,4.8,4.82,4.78,4.82,4.82,1077000
2017-07-18,4.82,4.84,4.8,4.82,4.82,298600
2017-07-19,4.84,4.84,4.8,4.8,4.8,377000
2017-07-20,4.8,4.8,4.8,4.8,4.8,574700
2017-07-21,4.8,4.8,4.76,4.76,4.76,742700
2017-07-24,4.76,4.8,4.76,4.8,4.8,336400
2017-07-25,4.78,4.8,4.78,4.78,4.78,457000
2017-07-26,4.8,4.98,4.78,4.96,4.96,2509900
2017-07-27,4.96,5.05,4.94,4.98,4.98,2348800
2017-07-31,4.98,5.0,4.94,4.94,4.94,1110800
2017-08-01,4.94,4.94,4.92,4.94,4.94,547800
2017-08-02,4.92,4.98,4.92,4.96,4.96,477000
2017-08-03,4.98,5.1,4.96,5.1,5.1,1560200
2017-08-04,5.1,5.15,4.98,5.0,5.0,1413800
2017-08-07,5.0,5.0,4.96,4.98,4.98,824100
2017-08-08,4.96,4.96,4.92,4.96,4.96,384700
2017-08-09,4.98,4.98,4.9,4.9,4.9,473800
2017-08-10,4.92,4.92,4.88,4.88,4.88,603000
2017-08-11,4.9,4.92,4.88,4.88,4.88,664400
2017-08-15,4.88,4.96,4.88,4.9,4.9,381400
2017-08-16,4.9,4.92,4.88,4.9,4.9,345200
2017-08-17,4.88,4.92,4.88,4.88,4.88,537200
2017-08-18,4.88,4.9,4.86,4.86,4.86,532900
2017-08-21,4.86,4.9,4.86,4.9,4.9,144900
2017-08-22,4.88,4.9,4.88,4.9,4.9,213800
2017-08-23,4.9,4.9,4.86,4.88,4.88,460300
2017-08-24,4.9,4.94,4.88,4.88,4.88,864900
2017-08-25,4.9,4.94,4.9,4.94,4.94,183400
2017-08-28,4.88,4.88,4.88,4.88,4.88,25000
2017-08-29,4.88,4.94,4.88,4.9,4.9,456700
2017-08-30,4.92,4.94,4.88,4.9,4.9,215900
2017-08-31,4.88,4.92,4.88,4.9,4.9,429400
2017-09-01,4.9,4.92,4.88,4.88,4.88,601500
2017-09-04,4.88,4.9,4.88,4.88,4.88,748900
2017-09-05,4.92,4.92,4.88,4.9,4.9,240800
2017-09-06,4.88,4.9,4.86,4.88,4.88,790700
2017-09-07,4.9,4.9,4.86,4.88,4.88,1253800
2017-09-08,4.9,4.9,4.88,4.9,4.9,494300
2017-09-11,4.9,4.9,4.88,4.9,4.9,170800
2017-09-12,4.88,4.9,4.86,4.9,4.9,355400
2017-09-13,4.88,4.9,4.86,4.86,4.86,1151000
2017-09-14,4.88,4.9,4.86,4.9,4.9,268600
2017-09-15,4.9,4.9,4.86,4.9,4.9,783000
