Date,Open,High,Low,Close,Adj Close,Volume
2014-10-29,5.95,7.2,5.9,6.75,6.75,4360500.0
2014-10-30,6.9,6.9,6.45,6.7,6.7,18005300.0
2014-10-31,,,,,,
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,,,,
2014-11-06,,,,,,
2014-11-07,,,,,,
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,,,,,,
2014-11-13,,,,,,
2014-11-14,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-11-27,,,,,,
2014-11-28,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,,,,,,
2014-12-04,,,,,,
2014-12-08,,,,,,
2014-12-09,,,,,,
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,,,,
2014-12-19,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-24,7.6,7.6,7.15,7.3,7.3,5216900.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,,,,,,
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,6.1,6.15,5.85,5.9,5.9,2543000.0
2015-03-03,5.9,5.9,5.5,5.7,5.7,3180700.0
2015-03-05,5.7,5.8,5.5,5.7,5.7,1040800.0
2015-03-06,5.6,5.75,5.6,5.75,5.75,632900.0
2015-03-09,5.65,6.05,5.65,5.85,5.85,1946400.0
2015-03-10,6.0,6.0,5.65,5.75,5.75,1952600.0
2015-03-11,5.65,5.75,5.5,5.75,5.75,1330300.0
2015-03-12,5.75,5.75,5.6,5.7,5.7,724600.0
2015-03-13,5.7,5.8,5.65,5.8,5.8,965900.0
2015-03-16,5.85,5.9,4.98,5.65,5.65,5512500.0
2015-03-17,5.55,5.55,5.05,5.4,5.4,2078300.0
2015-03-18,5.3,5.7,5.15,5.65,5.65,2525600.0
2015-03-19,5.85,6.05,5.6,5.9,5.9,8637800.0
