Date,Open,High,Low,Close,Adj Close,Volume
2013-05-09,3.15205,3.27196,2.32977,2.3983,2.352019,275332099
2013-05-10,2.3469,2.36403,2.14133,2.19273,2.150416,25662379
2013-05-13,2.26125,2.38116,2.15847,2.20986,2.167215,18098056
2013-05-14,2.20986,2.3469,2.19273,2.22699,2.184015,19627359
2013-05-15,2.22699,2.29551,2.20986,2.20986,2.167215,14892929
2013-05-16,2.20986,2.27838,2.1756,2.19273,2.150416,14508940
2013-05-17,2.22699,2.26125,2.19273,2.20986,2.167215,16068831
2013-05-20,2.22699,2.24412,2.14133,2.1756,2.133616,10232635
2013-05-21,2.1756,2.22699,2.10707,2.1242,2.083208,11514079
2013-05-22,2.14133,2.14133,2.05568,2.07281,2.03281,4024475
2013-05-23,2.03855,2.1242,2.00429,2.03855,2.03855,7547161
2013-05-27,2.03855,2.03855,1.88437,1.90151,1.90151,9074596
2013-05-28,1.91864,1.97003,1.91864,1.9529,1.9529,5574677
2013-05-29,1.9529,1.9529,1.90151,1.90151,1.90151,1126867
2013-05-30,1.91864,1.91864,1.86724,1.90151,1.90151,1033701
2013-05-31,1.91864,1.98716,1.86724,1.86724,1.86724,1471045
2013-06-03,1.88437,1.88437,1.74733,1.74733,1.74733,1263581
2013-06-04,1.76446,1.79872,1.69594,1.71307,1.71307,2537553
2013-06-05,1.67881,1.69594,1.61028,1.61028,1.61028,2730073
2013-06-06,1.58459,1.58459,1.37045,1.38759,1.38759,3718008
2013-06-07,1.38759,1.5075,1.38759,1.49037,1.49037,2432945
2013-06-10,1.5332,1.56746,1.4818,1.4818,1.4818,2710108
2013-06-11,1.43041,1.45611,1.2848,1.31906,1.31906,3404185
2013-06-12,1.27624,1.36189,1.27624,1.3105,1.3105,1993032
2013-06-13,1.22484,1.32763,1.15632,1.18202,1.18202,2233303
2013-06-14,1.22484,1.33619,1.22484,1.33619,1.33619,1771091
2013-06-17,1.33619,1.41328,1.31906,1.36189,1.36189,1883288
2013-06-18,1.38759,1.45611,1.36189,1.38759,1.38759,3317907
2013-06-19,1.38759,1.4818,1.37045,1.40472,1.40472,2999881
2013-06-20,1.35332,1.37902,1.33619,1.36189,1.36189,813044
2013-06-21,1.34476,1.34476,1.29337,1.29337,1.29337,1205089
2013-06-24,1.30193,1.3105,1.18202,1.19058,1.19058,820166
2013-06-25,1.19915,1.20771,1.11349,1.16489,1.16489,1210577
2013-06-26,1.18202,1.2591,1.17345,1.2591,1.2591,717893
2013-06-27,1.2591,1.34476,1.2591,1.3105,1.3105,1294520
2013-06-28,1.3105,1.32763,1.2591,1.2591,1.2591,516267
2013-07-02,1.2591,1.34476,1.2591,1.3105,1.3105,529810
2013-07-03,1.3105,1.32763,1.2848,1.29337,1.29337,970656
2013-07-04,1.29337,1.35332,1.29337,1.30193,1.30193,988285
2013-07-05,1.30193,1.31906,1.2848,1.30193,1.30193,266423
2013-07-08,1.29337,1.30193,1.2591,1.2591,1.2591,343127
2013-07-09,1.26767,1.2848,1.25054,1.25054,1.25054,750233
2013-07-10,1.2848,1.2848,1.20771,1.20771,1.20771,299579
2013-07-11,1.21628,1.26767,1.21628,1.2591,1.2591,549424
2013-07-12,1.26767,1.27624,1.25054,1.25054,1.25054,378502
2013-07-15,1.3105,1.33619,1.27624,1.30193,1.30193,1821878
2013-07-16,1.30193,1.30193,1.27624,1.2848,1.2848,108694
2013-07-17,1.27624,1.30193,1.27624,1.27624,1.27624,133445
2013-07-18,1.29337,1.39615,1.29337,1.37045,1.37045,2919090
2013-07-19,1.35332,1.43898,1.35332,1.40472,1.40472,3337171
2013-07-23,1.40472,1.45611,1.40472,1.40472,1.40472,1323707
2013-07-24,1.40472,1.44754,1.37045,1.37045,1.37045,1480035
2013-07-25,1.37045,1.39615,1.29337,1.29337,1.29337,861962
2013-07-26,1.29337,1.3105,1.2848,1.30193,1.30193,292925
2013-07-29,1.2848,1.31906,1.27624,1.31906,1.31906,553510
2013-07-30,1.3105,1.31906,1.26767,1.26767,1.26767,389360
2013-07-31,1.27624,1.27624,1.24197,1.26767,1.26767,519652
2013-08-01,1.27624,1.29337,1.27624,1.27624,1.27624,160414
2013-08-02,1.29337,1.30193,1.25054,1.25054,1.25054,403020
2013-08-05,1.24197,1.26767,1.23341,1.26767,1.26767,43197
2013-08-06,1.22484,1.2591,1.21628,1.24197,1.24197,511830
2013-08-07,1.25054,1.25054,1.24197,1.24197,1.24197,91065
2013-08-08,1.23341,1.2848,1.22484,1.26767,1.26767,328066
2013-08-09,1.24197,1.2848,1.24197,1.27624,1.27624,73202
2013-08-13,1.27624,1.30193,1.25054,1.2591,1.2591,325148
2013-08-14,1.23341,1.29337,1.23341,1.23341,1.23341,604062
2013-08-15,1.24197,1.26767,1.20771,1.25054,1.25054,2140604
2013-08-16,1.23341,1.25054,1.20771,1.24197,1.24197,264555
2013-08-19,1.26767,1.26767,1.20771,1.20771,1.20771,148505
2013-08-20,1.19915,1.22484,1.19058,1.19058,1.19058,167302
2013-08-21,1.20771,1.22484,1.17345,1.17345,1.17345,252529
2013-08-22,1.19915,1.19915,1.13062,1.13062,1.13062,334838
2013-08-23,1.14776,1.15632,0.81371,0.81371,0.81371,482409
2013-08-26,0.90793,1.00214,0.90793,0.97645,0.97645,1253891
2013-08-27,0.98501,0.98501,0.89936,0.94219,0.94219,814795
