Date,Open,High,Low,Close,Adj Close,Volume
2003-11-13,2.37037,2.37037,2.07407,2.13333,-0.000228,8099152.0
2003-11-14,2.13333,2.5679,2.13333,2.5679,-0.000275,567415125.0
2003-11-17,2.37,2.98,2.37,2.81,-0.000301,1325567531.0
2003-11-18,2.84444,2.8642,2.5679,2.58765,-0.000277,595949906.0
2003-11-19,2.58765,2.82469,2.58765,2.68642,-0.000288,637656047.0
2003-11-20,2.76543,2.9037,2.68642,2.84444,-0.000305,698273156.0
2003-11-21,2.84444,3.31852,2.82469,3.29877,-0.000353,1101511406.0
2003-11-24,3.04198,3.06173,2.74568,2.78519,-0.000298,423035156.0
2003-11-25,2.84444,2.88395,2.5284,2.66667,-0.000285,281358562.0
2003-11-26,2.70617,2.88395,2.68642,2.8642,-0.000307,320749875.0
2003-11-27,2.86,2.98,2.86,2.86,-0.000306,252527625.0
2003-11-28,2.9037,2.96296,2.82469,2.84444,-0.000305,211013859.0
2003-12-01,2.8642,2.88395,2.68642,2.72593,-0.000292,146288531.0
2003-12-02,2.76543,2.88395,2.76543,2.84444,-0.000305,186354422.0
2003-12-03,2.86,2.94,2.82,2.84,-0.000304,152633109.0
2003-12-04,2.86,2.92,2.77,2.81,-0.000301,129170953.0
2003-12-05,,,,,,
2003-12-08,2.81,2.86,2.77,2.77,-0.000297,68075438.0
2003-12-09,2.81,2.81,2.71,2.71,-0.00029,68431078.0
2003-12-10,,,,,,
2003-12-11,2.72593,2.74568,2.54815,2.54815,-0.000273,47864672.0
2003-12-12,2.58765,2.62716,2.54815,2.54815,-0.000273,46018125.0
2003-12-15,2.64691,2.72593,2.62716,2.66667,-0.000285,59672953.0
2003-12-16,2.68642,2.78519,2.66667,2.68642,-0.000288,58389609.0
2003-12-17,2.70617,2.72593,2.60741,2.62716,-0.000281,46039641.0
2003-12-18,2.63,2.81,2.63,2.79,-0.000299,124986797.0
2003-12-19,2.96296,3.08148,2.88395,2.92346,-0.000313,493606406.0
2003-12-22,2.94321,3.02222,2.88395,2.9037,-0.000311,192709125.0
2003-12-23,2.94,2.96,2.81,2.81,-0.000301,71029406.0
2003-12-24,2.84444,2.88395,2.78519,2.82469,-0.000302,29176453.0
2003-12-25,2.84444,2.84444,2.68642,2.70617,-0.00029,57469500.0
2003-12-26,2.72593,2.78519,2.72593,2.72593,-0.000292,26960344.0
2003-12-29,2.77,2.81,2.71,2.73,-0.000292,30349688.0
2003-12-30,2.74568,2.84444,2.74568,2.74568,-0.000294,38968594.0
2003-12-31,2.77,2.81,2.73,2.77,-0.000297,27634922.0
2004-01-01,,,,,,
2004-01-02,,,,,,
2004-01-05,2.76543,2.9037,2.76543,2.82469,-0.000302,65815031.0
2004-01-06,2.9,2.98,2.81,2.82,-0.000302,209835562.0
2004-01-07,2.82469,2.8642,2.76543,2.78519,-0.000298,35593172.0
2004-01-08,2.81,2.86,2.81,2.84,-0.000304,39059719.0
2004-01-09,2.92346,3.02222,2.88395,2.88395,-0.000309,195570703.0
2004-01-12,2.9037,2.94321,2.8642,2.92346,-0.000313,46674984.0
2004-01-13,2.96296,2.98272,2.88395,2.88395,-0.000309,80305172.0
2004-01-14,2.92346,2.94321,2.8642,2.88395,-0.000309,42198469.0
2004-01-15,2.9037,2.92346,2.72593,2.74568,-0.000294,55438172.0
2004-01-16,2.76543,2.78519,2.64691,2.72593,-0.000292,55393875.0
2004-01-19,2.74568,2.74568,2.68642,2.68642,-0.000288,12887859.0
2004-01-20,2.70617,2.70617,2.64691,2.64691,-0.000283,12433500.0
2004-01-21,2.68642,2.72593,2.58765,2.60741,-0.000279,15894984.0
2004-01-22,2.62716,2.66667,2.58765,2.62716,-0.000281,10260422.0
2004-01-23,2.5284,2.5679,2.37037,2.5679,-0.000275,19405828.0
2004-01-26,2.5284,2.54815,2.39012,2.40988,-0.000258,13995281.0
2004-01-27,2.40988,2.44938,2.35062,2.44938,-0.000262,7276078.0
2004-01-28,2.42963,2.48889,2.42963,2.44938,-0.000262,6979922.0
2004-01-29,2.42963,2.44938,2.37037,2.42963,-0.00026,5977547.0
2004-01-30,2.42963,2.44938,2.25185,2.25185,-0.000241,10727438.0
2004-02-02,2.2716,2.33086,1.96741,2.01481,-0.000216,13125797.0
2004-02-03,1.9516,2.35062,1.9121,2.35062,-0.000252,19505812.0
2004-02-04,2.35062,2.42963,2.2321,2.33086,-0.00025,20799281.0
2004-02-05,2.37037,2.48889,2.37037,2.44938,-0.000262,15157125.0
2004-02-06,2.46914,2.48889,2.21235,2.25185,-0.000241,15644391.0
2004-02-09,2.37037,2.44938,2.31111,2.44938,-0.000262,12742312.0
2004-02-10,2.42963,2.44938,2.39012,2.42963,-0.00026,8694844.0
2004-02-11,2.44938,2.48889,2.42963,2.46914,-0.000264,10822359.0
2004-02-12,2.50864,2.60741,2.50864,2.50864,-0.000269,29427047.0
2004-02-13,2.50864,2.5284,2.42963,2.46914,-0.000264,5994000.0
2004-02-16,2.46914,2.46914,2.37037,2.37037,-0.000254,6045891.0
2004-02-17,2.35062,2.40988,2.33086,2.35062,-0.000252,4758750.0
2004-02-18,2.37037,2.39012,2.33086,2.33086,-0.00025,3200766.0
2004-02-19,2.35062,2.37037,2.29136,2.31111,-0.000247,5380172.0
2004-02-20,2.29136,2.29136,2.2321,2.2716,-0.000243,7793719.0
2004-02-23,2.2716,2.2716,2.25185,2.25185,-0.000241,2316094.0
2004-02-24,2.25185,2.29136,2.19259,2.2321,-0.000239,2508469.0
2004-02-25,2.21235,2.25185,2.11358,2.13333,-0.000228,10346484.0
2004-02-26,2.15309,2.17284,2.05432,2.09383,-0.000224,10816031.0
2004-02-27,2.11358,2.21235,2.09383,2.17284,-0.000233,13221984.0
2004-03-01,2.21235,2.21235,2.11358,2.11358,-0.000226,4706859.0
2004-03-02,2.13333,2.13333,2.09383,2.09383,-0.000224,4143656.0
2004-03-03,2.11358,2.13333,2.03457,2.05432,-0.00022,9188438.0
2004-03-04,2.07407,2.13333,2.07407,2.09383,-0.000224,5409281.0
2004-03-05,,,,,,
2004-03-08,2.13333,2.15309,2.07407,2.07407,-0.000222,4952391.0
2004-03-09,2.09383,2.19259,2.05432,2.17284,-0.000233,30423094.0
2004-03-10,2.19259,2.19259,2.07407,2.07407,-0.000222,14706562.0
2004-03-11,2.07407,2.11358,2.05432,2.09383,-0.000224,12271500.0
2004-03-12,2.07407,2.15309,2.07407,2.07407,-0.000222,13892766.0
2004-03-15,2.09383,2.11358,1.95951,1.96741,-0.000211,18356625.0
2004-03-16,1.96741,1.99506,1.9516,1.99506,-0.000214,4568906.0
2004-03-17,1.99506,2.01481,1.97531,1.97531,-0.000211,4358812.0
2004-03-18,2.01481,2.05432,2.01481,2.03457,-0.000218,5490281.0
2004-03-19,2.05432,2.05432,2.01481,2.01481,-0.000216,5265000.0
2004-03-22,2.01481,2.01481,1.99506,1.99506,-0.000214,7822828.0
2004-03-23,1.99506,2.01481,1.97531,1.97531,-0.000211,15778547.0
2004-03-24,1.97531,1.99506,1.97531,1.97531,-0.000211,1647844.0
2004-03-25,1.99506,1.99506,1.9516,1.9516,-0.000209,3474141.0
2004-03-26,1.9516,1.96741,1.9516,1.95951,-0.00021,2098406.0
2004-03-29,1.9437,1.9516,1.8884,1.8963,-0.000203,2688188.0
2004-03-30,1.88049,1.9042,1.88049,1.88049,-0.000201,2842594.0
2004-03-31,1.88049,1.8963,1.76988,1.83309,-0.000196,2878031.0
2004-04-01,1.79358,1.88049,1.78568,1.87259,-0.0002,8693578.0
2004-04-02,1.8963,2.05432,1.8884,1.97531,-0.000211,11728547.0
2004-04-05,1.99506,2.13333,1.99506,2.01481,-0.000216,17620031.0
2004-04-06,,,,,,
2004-04-07,2.03457,2.03457,1.95951,1.95951,-0.00021,6614156.0
2004-04-08,1.97531,2.01481,1.9437,1.9516,-0.000209,4667625.0
2004-04-09,1.9437,2.01481,1.9121,1.9358,-0.000207,5694047.0
2004-04-12,1.9358,1.99506,1.9358,1.97531,-0.000211,5494078.0
2004-04-13,,,,,,
2004-04-14,,,,,,
2004-04-15,,,,,,
2004-04-16,1.99506,2.03457,1.97531,1.97531,-0.000211,4932141.0
2004-04-19,2.01481,2.01481,1.95951,1.95951,-0.00021,3966469.0
2004-04-20,1.97531,1.99506,1.9516,1.95951,-0.00021,3355172.0
2004-04-21,1.95951,1.97531,1.9121,1.92,-0.000206,4677750.0
2004-04-22,1.92,1.92,1.81728,1.81728,-0.000195,6853359.0
2004-04-23,1.81728,1.82519,1.72247,1.75407,-0.000188,10385719.0
2004-04-26,1.72247,1.72247,1.68296,1.69086,-0.000181,2960297.0
2004-04-27,1.67506,1.69877,1.67506,1.68296,-0.00018,3766500.0
2004-04-28,1.68296,1.69877,1.65136,1.65926,-0.000178,4672688.0
2004-04-29,1.65926,1.66716,1.57235,1.58025,-0.000169,12349969.0
