Date,Open,High,Low,Close,Adj Close,Volume
2004-09-03,3.86813,3.97363,3.01011,3.12264,2.132043,1613977.0
2004-09-06,3.12264,3.24923,2.98198,3.03824,2.074417,43881338.0
2004-09-07,3.06637,3.1789,3.01011,3.1789,2.170455,50998959.0
2004-09-08,3.2211,3.2211,3.05231,3.09451,2.112836,21794642.0
2004-09-09,3.10857,3.19297,3.09451,3.10857,2.122436,25709348.0
2004-09-10,3.12264,3.36176,3.09451,3.31956,2.266494,70978152.0
2004-09-13,3.36176,3.37582,3.27736,3.30549,2.256887,22965841.0
2004-09-14,3.34769,3.62198,3.31956,3.51648,2.400945,63469798.0
2004-09-15,3.51648,3.58681,3.43209,3.50242,2.391345,29889092.0
2004-09-16,3.58681,3.7978,3.51648,3.55165,2.424958,55105334.0
2004-09-17,3.58681,3.62198,3.44615,3.47429,2.372139,23272255.0
2004-09-20,3.51648,3.69231,3.50242,3.55165,2.424958,21123091.0
2004-09-21,3.62198,3.83297,3.58681,3.76264,2.569015,38897666.0
2004-09-22,3.83297,4.29011,3.7978,4.14945,2.833117,68372992.0
2004-09-23,4.07912,4.57143,4.00879,4.46593,3.0492,40169959.0
2004-09-24,4.43077,4.53626,4.14945,4.36044,2.977175,25710059.0
2004-09-27,4.3956,4.71209,4.3956,4.53626,3.097219,29537036.0
2004-09-28,4.5011,4.60659,4.11429,4.14945,2.833117,27803202.0
2004-09-29,4.21978,4.43077,4.14945,4.43077,3.025194,18062647.0
2004-09-30,4.5011,4.71209,4.46593,4.5011,3.073214,32932616.0
2004-10-01,4.60659,4.85275,4.60659,4.81758,3.289296,32575298.0
2004-10-04,4.92308,4.95824,4.74725,4.74725,3.241277,22922189.0
2004-10-05,4.78242,4.78242,4.46593,4.53626,3.097219,9252283.0
2004-10-06,4.60659,4.67692,4.18462,4.3956,3.001181,26791964.0
2004-10-07,4.3956,4.5011,4.18462,4.18462,2.85713,13833848.0
2004-10-08,4.18462,4.32527,4.14945,4.21978,2.881136,10860992.0
2004-10-11,4.21978,4.43077,4.18462,4.25495,2.905149,13442691.0
2004-10-12,4.29011,4.29011,3.97363,3.97363,2.713073,7431714.0
2004-10-13,4.04396,4.25495,4.00879,4.25495,2.905149,10143088.0
2004-10-14,4.11429,4.25495,3.97363,4.00879,2.737079,4516302.0
2004-10-15,4.07912,4.36044,4.07912,4.36044,2.977175,9378830.0
2004-10-18,4.36044,4.36044,4.18462,4.18462,2.85713,2946552.0
2004-10-19,4.25495,4.29011,4.21978,4.25495,2.905149,1381636.0
2004-10-20,4.25495,4.3956,4.25495,4.29011,2.929156,8025631.0
2004-10-21,4.32527,4.32527,4.11429,4.18462,2.85713,3674552.0
