Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,4.3,4.5,3.86,4.08,4.013669,351495000
2016-10-19,4.0,4.06,3.86,3.86,3.797246,60662400
2016-10-20,3.96,4.08,3.9,3.94,3.875945,68930500
2016-10-21,3.96,4.04,3.94,3.94,3.875945,26565900
2016-10-25,3.94,4.02,3.94,3.96,3.89562,17862000
2016-10-26,3.96,3.98,3.7,3.7,3.639847,20279700
2016-10-27,3.76,3.82,3.68,3.76,3.698871,23507300
2016-10-28,3.78,3.86,3.66,3.66,3.600497,23447300
2016-10-31,3.68,3.78,3.66,3.76,3.698871,13636900
2016-11-01,3.8,3.84,3.72,3.74,3.679196,8705400
2016-11-02,3.72,3.74,3.66,3.68,3.620172,5791800
2016-11-03,3.68,3.74,3.64,3.64,3.580822,6458200
2016-11-04,3.66,3.7,3.5,3.54,3.482448,9177400
2016-11-07,3.58,3.6,3.48,3.48,3.423424,6901700
2016-11-08,3.5,3.54,3.42,3.42,3.364399,14295600
2016-11-09,3.42,3.46,3.34,3.38,3.325049,6873900
2016-11-10,3.42,3.46,3.36,3.4,3.344724,5026700
2016-11-11,3.4,3.44,3.28,3.28,3.226675,8219800
2016-11-14,3.32,3.32,3.18,3.18,3.128301,2996300
2016-11-15,3.24,3.28,3.1,3.12,3.069276,4308600
2016-11-16,3.14,3.3,3.14,3.2,3.147976,14163000
2016-11-17,3.22,3.24,3.04,3.06,3.010252,5678500
2016-11-18,3.08,3.1,3.04,3.06,3.010252,2024900
2016-11-21,3.06,3.18,3.06,3.12,3.069276,4429200
2016-11-22,3.16,3.26,3.14,3.22,3.16765,10913800
2016-11-23,3.24,3.26,3.16,3.16,3.108626,5568500
2016-11-24,3.18,3.3,3.16,3.26,3.207,8334300
2016-11-25,3.26,3.36,3.24,3.26,3.207,12006000
2016-11-28,3.26,3.26,3.18,3.18,3.128301,2474900
2016-11-29,3.22,3.22,3.16,3.18,3.128301,2998900
2016-11-30,3.18,3.18,3.1,3.12,3.069276,2088500
2016-12-01,3.14,3.14,3.08,3.08,3.029926,1358800
2016-12-02,3.1,3.12,3.04,3.04,2.990577,731500
2016-12-06,3.04,3.16,3.04,3.1,3.049601,4270500
2016-12-07,3.12,3.18,3.1,3.14,3.088951,3997600
2016-12-08,3.16,3.16,3.12,3.14,3.088951,2923200
2016-12-09,3.14,3.22,3.14,3.16,3.108626,5907900
2016-12-13,3.16,3.3,3.14,3.22,3.16765,23280300
2016-12-14,3.22,3.22,3.18,3.18,3.128301,3512100
2016-12-15,3.18,3.24,3.16,3.2,3.147976,3344200
2016-12-16,3.2,3.24,3.18,3.2,3.147976,2015800
2016-12-19,3.18,3.2,3.14,3.14,3.088951,1494700
2016-12-20,3.14,3.18,3.1,3.12,3.069276,1467600
2016-12-21,3.14,3.14,3.1,3.12,3.069276,812200
2016-12-22,3.14,3.16,3.08,3.08,3.029926,1638100
2016-12-23,3.1,3.1,3.06,3.08,3.029926,2858900
2016-12-26,3.1,3.16,3.08,3.12,3.069276,889700
2016-12-27,3.14,3.14,3.08,3.08,3.029926,1230000
2016-12-28,3.08,3.12,3.08,3.08,3.029926,372500
2016-12-29,3.1,3.28,3.1,3.22,3.16765,18755300
2016-12-30,3.24,3.24,3.16,3.16,3.108626,4116500
2017-01-04,3.16,3.2,3.14,3.18,3.128301,2768000
2017-01-05,3.18,3.24,3.16,3.18,3.128301,4005500
2017-01-06,3.2,3.22,3.16,3.18,3.128301,2139700
2017-01-09,3.18,3.18,3.14,3.16,3.108626,1804800
2017-01-10,3.14,3.3,3.14,3.3,3.24635,16844000
2017-01-11,3.36,3.4,3.26,3.26,3.207,19925700
2017-01-12,3.32,3.34,3.24,3.26,3.207,3904300
2017-01-16,3.26,3.44,3.26,3.44,3.384074,15196100
2017-01-17,3.42,3.5,3.36,3.38,3.325049,11330100
2017-01-18,3.4,3.42,3.36,3.36,3.305374,4016300
2017-01-19,3.38,3.38,3.26,3.28,3.226675,3216200
2017-01-20,3.3,3.32,3.26,3.28,3.226675,949000
2017-01-23,3.3,3.54,3.3,3.52,3.462773,17489700
2017-01-24,3.52,3.62,3.46,3.52,3.462773,28986500
2017-01-25,3.52,3.54,3.46,3.48,3.423424,4486100
2017-01-26,3.48,3.5,3.46,3.48,3.423424,1490600
2017-01-27,3.46,3.48,3.42,3.46,3.403749,1434400
2017-01-30,3.48,3.54,3.46,3.5,3.443098,2071800
2017-01-31,3.54,3.54,3.44,3.44,3.384074,1626900
2017-02-01,3.46,3.46,3.36,3.4,3.344724,2665400
2017-02-02,3.4,3.46,3.38,3.38,3.325049,2652600
2017-02-03,3.34,3.36,3.3,3.32,3.266025,2003300
2017-02-06,3.34,3.34,3.18,3.18,3.128301,4435500
2017-02-07,3.16,3.2,3.12,3.14,3.088951,1870900
2017-02-08,3.14,3.2,3.14,3.2,3.147976,1027700
2017-02-09,3.22,3.22,3.14,3.16,3.108626,1025400
2017-02-10,3.16,3.24,3.14,3.22,3.16765,2663400
2017-02-13,3.22,3.22,3.22,3.22,3.16765,0
2017-02-14,3.18,3.26,3.16,3.18,3.128301,6573000
2017-02-15,3.18,3.2,3.16,3.16,3.108626,421100
2017-02-16,3.14,3.2,3.14,3.16,3.108626,747900
2017-02-17,3.16,3.22,3.16,3.2,3.147976,1031500
2017-02-20,3.2,3.32,3.2,3.28,3.226675,5759400
2017-02-21,3.28,3.36,3.24,3.24,3.187325,2918100
2017-02-22,3.24,3.28,3.2,3.24,3.187325,456200
2017-02-23,3.22,3.22,3.16,3.18,3.128301,875000
2017-02-24,3.14,3.24,3.14,3.18,3.128301,451900
2017-02-27,3.16,3.2,3.12,3.14,3.088951,460700
2017-02-28,3.2,3.24,3.14,3.14,3.088951,1201500
2017-03-01,3.16,3.22,3.12,3.12,3.069276,684400
2017-03-02,3.18,3.2,3.12,3.16,3.108626,374300
2017-03-03,3.16,3.24,3.16,3.22,3.16765,1558200
2017-03-06,3.22,3.28,3.18,3.2,3.147976,333600
2017-03-07,3.24,3.24,3.16,3.18,3.128301,479000
2017-03-08,3.16,3.2,3.1,3.14,3.088951,1271100
2017-03-09,3.14,3.18,3.1,3.16,3.108626,246600
2017-03-10,3.16,3.16,3.08,3.08,3.029926,560000
2017-03-13,3.04,3.12,2.96,2.96,2.911877,974200
2017-03-14,2.92,3.04,2.9,2.98,2.931552,1460500
