Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.44247,2.44247,2.44247,2.44247,1.804946,41556.0
2000-01-05,2.35824,2.35824,2.35824,2.35824,1.742701,29683.0
2000-01-06,2.44247,2.44247,2.44247,2.44247,1.804946,23746.0
2000-01-07,2.35824,2.44247,2.35824,2.44247,1.804946,41556.0
2000-01-10,2.44247,2.44247,2.44247,2.44247,1.804946,11873.0
2000-01-11,2.44247,2.44247,2.44247,2.44247,1.804946,42269.0
2000-01-12,2.35824,2.35824,2.35824,2.35824,1.742701,3562.0
2000-01-13,2.35824,2.35824,2.1898,2.1898,1.618227,141885.0
2000-01-14,2.1898,2.1898,2.1898,2.1898,1.618227,207782.0
2000-01-17,2.1898,2.35824,2.1898,2.35824,1.742701,835876.0
2000-01-18,2.35824,2.35824,2.27402,2.35824,1.742701,71358.0
2000-01-19,2.35824,2.52669,2.35824,2.52669,1.867183,483953.0
2000-01-20,2.52669,2.86358,2.52669,2.86358,2.116139,362490.0
2000-01-21,2.86358,2.86358,2.86358,2.86358,2.116139,105909.0
2000-01-24,2.86358,2.86358,2.44247,2.61091,1.92942,360947.0
2000-01-25,2.69514,2.77936,2.61091,2.69514,1.991665,35620.0
2000-01-26,2.61091,2.69514,2.61091,2.69514,1.991665,116358.0
2000-01-27,2.61091,2.77936,2.61091,2.69514,1.991665,260974.0
2000-01-28,2.77936,2.9478,2.77936,2.77936,2.053902,403928.0
2000-01-31,2.77936,2.86358,2.69514,2.69514,1.991665,569678.0
2000-02-01,2.77936,2.86358,2.69514,2.77936,2.053902,148772.0
2000-02-02,2.77936,2.77936,2.77936,2.77936,2.053902,106859.0
2000-02-03,2.77936,2.9478,2.77936,2.77936,2.053902,212175.0
2000-02-04,2.77936,2.77936,2.77936,2.77936,2.053902,52242.0
2000-02-07,2.77936,2.77936,2.77936,2.77936,2.053902,34432.0
2000-02-08,2.77936,2.77936,2.77936,2.77936,2.053902,56992.0
2000-02-09,2.69514,2.77936,2.69514,2.69514,1.991665,293269.0
2000-02-10,2.69514,2.69514,2.61091,2.61091,1.92942,84300.0
2000-02-11,2.69514,2.77936,2.69514,2.69514,1.991665,125856.0
2000-02-14,2.77936,2.77936,2.69514,2.69514,1.991665,43931.0
2000-02-15,2.69514,2.69514,2.52669,2.52669,1.867183,417938.0
2000-02-16,2.61091,2.61091,2.44247,2.44247,1.804946,0.0
2000-02-17,2.52669,2.52669,2.44247,2.52669,1.867183,168600.0
2000-02-18,2.44247,2.52669,2.44247,2.52669,1.867183,35620.0
2000-02-21,2.52669,2.52669,2.52669,2.52669,1.867183,0.0
2000-02-22,2.52669,2.52669,2.35824,2.35824,1.742701,106859.0
2000-02-23,2.35824,2.52669,2.35824,2.52669,1.867183,81925.0
2000-02-24,2.44247,2.52669,2.44247,2.52669,1.867183,24934.0
2000-02-25,2.44247,2.52669,2.44247,2.52669,1.867183,59366.0
2000-02-28,2.52669,2.52669,2.44247,2.44247,1.804946,0.0
2000-02-29,2.35824,2.35824,2.35824,2.35824,1.742701,11873.0
2000-03-01,2.44247,2.44247,2.27402,2.27402,1.680464,0.0
2000-03-02,2.52669,2.52669,2.1898,2.1898,1.618227,0.0
2000-03-03,2.61091,2.61091,2.35824,2.35824,1.742701,0.0
2000-03-06,2.35824,2.35824,2.35824,2.35824,1.742701,0.0
2000-03-07,2.35824,2.35824,2.35824,2.35824,1.742701,0.0
2000-03-08,2.35824,2.35824,2.35824,2.35824,1.742701,0.0
