Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,27.25,27.25,20.0,20.0,0.144157,0.0
2000-01-05,1.33965,1.33965,1.33965,1.33965,0.009656,15676.0
2000-01-06,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-07,27.0,27.0,16.25,16.25,0.117128,0.0
2000-01-10,1.33965,1.33965,1.33965,1.33965,0.009656,59568.0
2000-01-11,1.33965,1.33965,1.33965,1.33965,0.009656,7838.0
2000-01-12,27.25,27.25,17.0,17.0,0.122534,0.0
2000-01-13,27.25,27.25,21.0,21.0,0.151365,0.0
2000-01-14,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-17,27.25,27.25,21.0,21.0,0.151365,0.0
2000-01-18,21.0,21.0,18.5,18.5,0.133345,0.0
2000-01-19,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-20,27.25,27.25,14.75,14.75,0.106316,0.0
2000-01-21,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-24,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-25,27.25,27.25,18.75,18.75,0.135147,0.0
2000-01-26,27.25,27.25,18.5,18.5,0.133345,0.0
2000-01-27,27.25,27.25,18.5,18.5,0.133345,0.0
2000-01-28,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-01-31,27.25,27.25,18.5,18.5,0.133345,0.0
2000-02-01,27.25,27.25,18.5,18.5,0.133345,0.0
2000-02-02,27.25,27.25,18.5,18.5,0.133345,0.0
2000-02-03,1.33965,1.33965,1.33965,1.33965,0.009656,31351.0
2000-02-04,27.25,27.25,18.5,18.5,0.133345,0.0
2000-02-07,27.25,27.25,18.75,18.75,0.135147,0.0
2000-02-08,27.25,27.25,18.75,18.75,0.135147,0.0
2000-02-09,27.25,27.25,18.75,18.75,0.135147,0.0
2000-02-10,27.25,27.25,19.0,19.0,0.136949,0.0
2000-02-11,27.25,27.25,19.0,19.0,0.136949,0.0
2000-02-14,1.33965,1.33965,1.33965,1.33965,0.009656,47027.0
2000-02-15,21.0,21.0,14.75,14.75,0.106316,0.0
2000-02-16,21.0,21.0,16.25,16.25,0.117128,0.0
2000-02-17,20.0,20.0,14.75,14.75,0.106316,0.0
2000-02-18,21.0,21.0,14.75,14.75,0.106316,0.0
2000-02-21,14.75,14.75,14.75,14.75,0.106316,0.0
2000-02-22,27.25,27.25,14.75,14.75,0.106316,0.0
2000-02-23,21.0,21.0,14.75,14.75,0.106316,0.0
2000-02-24,20.5,20.5,16.25,16.25,0.117128,0.0
2000-02-25,20.5,20.5,16.5,16.5,0.11893,0.0
2000-02-28,20.5,20.5,16.25,16.25,0.117128,0.0
2000-02-29,21.0,21.0,16.0,16.0,0.115326,0.0
2000-03-01,20.0,20.0,16.0,16.0,0.115326,0.0
2000-03-02,19.0,19.0,14.75,14.75,0.106316,0.0
2000-03-03,14.75,14.75,14.75,14.75,0.106316,0.0
2000-03-06,27.25,27.25,16.0,16.0,0.115326,0.0
2000-03-07,27.25,27.25,14.75,14.75,0.106316,0.0
2000-03-08,27.25,27.25,14.75,14.75,0.106316,0.0
2000-03-09,20.0,20.0,14.75,14.75,0.106316,0.0
2000-03-10,21.0,21.0,14.75,14.75,0.106316,0.0
2000-03-13,27.25,27.25,14.75,14.75,0.106316,0.0
2000-03-14,20.0,20.0,14.75,14.75,0.106316,0.0
2000-03-15,27.25,27.25,14.75,14.75,0.106316,0.0
2000-03-16,20.0,20.0,14.75,14.75,0.106316,0.0
2000-03-17,18.0,18.0,14.75,14.75,0.106316,0.0
2000-03-20,27.25,27.25,15.0,15.0,0.108118,0.0
2000-03-21,27.25,27.25,15.25,15.25,0.10992,0.0
2000-03-22,27.25,27.25,15.75,15.75,0.113524,0.0
2000-03-23,27.25,27.25,16.25,16.25,0.117128,0.0
2000-03-24,27.25,27.25,16.5,16.5,0.11893,0.0
2000-03-27,16.5,16.5,16.5,16.5,0.11893,0.0
2000-03-28,23.0,23.0,16.25,16.25,0.117128,0.0
2000-03-29,22.5,22.5,16.25,16.25,0.117128,0.0
2000-03-30,22.5,22.5,16.5,16.5,0.11893,0.0
2000-03-31,22.5,22.5,16.75,16.75,0.120732,0.0
2000-04-03,23.0,23.0,17.0,17.0,0.122534,0.0
2000-04-04,21.0,21.0,15.0,15.0,0.108118,0.0
2000-04-05,21.0,21.0,15.0,15.0,0.108118,0.0
