Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.0388,2.0388,2.0388,2.0388,0.202338,3634.0
2000-01-05,3.50806,3.50806,2.42125,2.42125,0.240294,0.0
2000-01-06,3.64564,3.64564,2.88899,2.88899,0.286714,0.0
2000-01-07,3.30171,3.30171,2.20114,2.20114,0.218449,0.0
2000-01-10,3.37049,3.37049,2.28368,2.28368,0.226641,0.0
2000-01-11,3.37049,3.37049,2.20114,2.20114,0.218449,0.0
2000-01-12,3.23292,3.23292,2.22865,2.22865,0.221179,0.0
2000-01-13,3.50806,3.50806,2.28368,2.28368,0.226641,0.0
2000-01-14,3.30171,3.30171,2.22865,2.22865,0.221179,0.0
2000-01-17,3.30171,3.30171,2.17362,2.17362,0.215718,0.0
2000-01-18,2.95778,2.95778,2.5038,2.5038,0.248486,0.0
2000-01-19,2.95778,2.95778,2.44877,2.44877,0.243025,0.0
2000-01-20,1.76366,1.76366,1.76366,1.76366,0.175032,3271.0
2000-01-21,3.23292,3.23292,2.22865,2.22865,0.221179,0.0
2000-01-24,3.09535,3.09535,2.36622,2.36622,0.234832,0.0
2000-01-25,3.23292,3.23292,2.42125,2.42125,0.240294,0.0
2000-01-26,1.78485,2.22948,1.78485,2.22948,0.221262,8359.0
2000-01-27,3.16414,3.16414,2.55882,2.55882,0.253947,0.0
2000-01-28,3.16414,3.16414,2.39374,2.39374,0.237563,0.0
2000-01-31,3.16414,3.16414,2.5038,2.5038,0.248486,0.0
2000-02-01,3.16414,3.16414,2.53131,2.53131,0.251216,0.0
2000-02-02,3.16414,3.16414,2.44877,2.44877,0.243025,0.0
2000-02-03,3.16414,3.16414,2.44877,2.44877,0.243025,0.0
2000-02-04,3.16414,3.16414,2.47628,2.47628,0.245755,0.0
2000-02-07,3.16414,3.16414,2.53131,2.53131,0.251216,0.0
2000-02-08,3.16414,3.16414,2.53131,2.53131,0.251216,0.0
2000-02-09,3.78321,3.78321,2.39374,2.39374,0.237563,0.0
2000-02-10,3.16414,3.16414,2.42125,2.42125,0.240294,0.0
2000-02-11,3.16414,3.16414,2.47628,2.47628,0.245755,0.0
2000-02-14,3.78321,3.78321,2.55882,2.55882,0.253947,0.0
2000-02-15,3.50806,3.50806,2.53131,2.53131,0.251216,0.0
2000-02-16,3.50806,3.50806,2.53131,2.53131,0.251216,0.0
2000-02-17,1.78485,1.78485,1.78485,1.78485,0.177135,3998.0
2000-02-18,3.09535,3.09535,2.36622,2.36622,0.234832,0.0
2000-02-21,2.36622,2.36622,2.36622,2.36622,0.234832,0.0
2000-02-22,3.23292,3.23292,2.20114,2.20114,0.218449,0.0
2000-02-23,3.09535,3.09535,2.22865,2.22865,0.221179,0.0
2000-02-24,3.23292,3.23292,1.95351,1.95351,0.193873,0.0
2000-02-25,3.23292,3.23292,2.44877,2.44877,0.243025,0.0
2000-02-28,1.70726,1.70726,1.70726,1.70726,0.169435,6906.0
2000-02-29,2.42125,2.42125,2.42125,2.42125,0.240294,0.0
2000-03-01,2.42125,2.42125,2.42125,2.42125,0.240294,0.0
2000-03-02,3.09535,3.09535,2.20114,2.20114,0.218449,0.0
2000-03-03,3.09535,3.09535,2.22865,2.22865,0.221179,0.0
2000-03-06,3.02657,3.02657,1.70588,1.70588,0.169298,0.0
2000-03-07,1.70588,1.70588,1.70588,1.70588,0.169298,0.0
2000-03-08,3.09535,3.09535,1.76091,1.76091,0.174759,0.0
2000-03-09,1.76091,1.76091,1.76091,1.76091,0.174759,0.0
2000-03-10,3.09535,3.09535,1.81594,1.81594,0.180221,0.0
2000-03-13,1.81594,1.81594,1.81594,1.81594,0.180221,0.0
2000-03-14,1.81594,1.81594,1.81594,1.81594,0.180221,0.0
2000-03-15,3.09535,3.09535,2.22865,2.22865,0.221179,0.0
2000-03-16,2.22865,2.22865,2.22865,2.22865,0.221179,0.0
2000-03-17,2.22865,2.22865,2.22865,2.22865,0.221179,0.0
2000-03-20,2.22865,2.22865,2.22865,2.22865,0.221179,0.0
2000-03-21,2.22865,2.22865,2.22865,2.22865,0.221179,0.0
2000-03-22,3.02657,3.02657,2.28368,2.28368,0.226641,0.0
2000-03-23,3.09535,3.09535,2.28368,2.28368,0.226641,0.0
2000-03-24,3.09535,3.09535,2.22865,2.22865,0.221179,0.0
2000-03-27,3.02657,3.02657,2.22865,2.22865,0.221179,0.0
2000-03-28,3.09535,3.09535,2.22865,2.22865,0.221179,0.0
2000-03-29,3.09535,3.09535,2.25617,2.25617,0.223911,0.0
2000-03-30,3.09535,3.09535,2.25617,2.25617,0.223911,0.0
2000-03-31,3.09535,3.09535,2.28368,2.28368,0.226641,0.0
