Date,Open,High,Low,Close,Adj Close,Volume
2014-12-24,4.58,4.72,4.46,4.46,4.333274,10341300.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,4.9,5.05,4.88,4.88,4.741341,1831700.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,4.92,4.92,4.78,4.8,4.663614,1559200.0
2015-03-03,4.82,4.82,4.6,4.6,4.469296,850100.0
2015-03-05,4.6,4.62,4.54,4.58,4.449865,472600.0
2015-03-06,4.64,4.78,4.64,4.7,4.566456,626500.0
2015-03-09,4.72,4.8,4.62,4.78,4.644183,2455900.0
2015-03-10,4.76,4.94,4.58,4.6,4.492795,6903400.0
2015-03-11,4.62,4.78,4.6,4.7,4.590464,3245100.0
2015-03-12,4.7,4.82,4.62,4.8,4.688134,4263900.0
2015-03-13,4.8,4.8,4.7,4.7,4.590464,2820300.0
2015-03-16,4.74,4.74,4.68,4.72,4.609998,1631200.0
2015-03-17,4.74,4.82,4.7,4.82,4.707668,3102500.0
2015-03-18,4.8,4.8,4.72,4.74,4.629532,2816100.0
2015-03-19,4.78,4.88,4.74,4.88,4.766269,3423100.0
2015-03-20,4.98,5.15,4.84,5.0,4.883472,20932500.0
2015-03-23,4.98,5.1,4.9,4.92,4.805337,5657600.0
2015-03-24,4.96,5.0,4.8,4.98,4.863939,3677900.0
2015-03-25,5.05,5.25,4.96,5.0,4.883472,9685600.0
