Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,10.9652,10.9652,10.9652,10.9652,10.9652,0.0
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-31,11.0819,11.0819,11.0819,11.0819,11.0819,0.0
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-31,10.9124,10.9124,10.9124,10.9124,10.9124,0.0
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-07,18.9,19.1,18.9,19.0,19.0,150900.0
2015-09-08,19.1,19.299999,19.0,19.299999,19.299999,1105300.0
2015-09-09,19.299999,19.4,19.200001,19.4,19.4,296200.0
2015-09-10,19.5,19.700001,19.5,19.5,19.5,579800.0
2015-09-11,19.700001,19.700001,19.6,19.6,19.6,1377800.0
2015-09-14,19.700001,19.700001,19.6,19.6,19.6,303100.0
2015-09-15,19.6,19.6,19.5,19.5,19.5,315200.0
2015-09-16,19.5,19.5,19.0,19.200001,19.200001,424400.0
2015-09-17,19.299999,19.299999,19.0,19.1,19.1,547200.0
2015-09-18,19.0,19.200001,19.0,19.200001,19.200001,94800.0
2015-09-21,19.200001,19.299999,19.0,19.1,19.1,433600.0
2015-09-22,19.0,19.1,19.0,19.1,19.1,116400.0
2015-09-23,19.0,19.1,19.0,19.1,19.1,135900.0
2015-09-24,,,,,,
2015-09-25,19.1,19.1,19.1,19.1,19.1,271100.0
2015-09-28,19.1,19.299999,19.1,19.1,19.1,193600.0
2015-09-29,19.1,19.299999,19.1,19.299999,19.299999,104100.0
2015-09-30,10.989,10.989,10.989,10.989,10.989,0.0
2015-10-01,19.4,19.5,19.4,19.4,19.4,529800.0
2015-10-02,19.5,19.6,19.5,19.5,19.5,331200.0
2015-10-05,19.5,19.6,19.1,19.200001,19.200001,643000.0
2015-10-06,19.4,19.4,19.200001,19.299999,19.299999,220800.0
2015-10-07,19.299999,19.5,19.299999,19.5,19.5,1545500.0
2015-10-08,19.5,19.5,19.299999,19.5,19.5,479000.0
2015-10-09,19.6,19.6,19.5,19.5,19.5,657300.0
