Date,Open,High,Low,Close,Adj Close,Volume
2012-07-02,18.5,18.799999,16.6,16.799999,12.644428,53569100.0
2012-07-03,17.200001,19.799999,17.1,18.4,13.84866,83556500.0
2012-07-04,18.6,18.9,18.1,18.6,13.999188,31757000.0
2012-07-05,18.700001,20.0,18.5,20.0,15.052892,46101300.0
2012-07-06,19.799999,20.200001,19.4,19.700001,14.827098,36158000.0
2012-07-09,19.5,20.200001,19.299999,19.799999,14.902362,21037000.0
2012-07-10,19.9,20.1,19.700001,19.9,14.977627,17743500.0
2012-07-11,19.9,19.9,19.1,19.1,14.375511,20002500.0
2012-07-12,19.0,19.299999,18.799999,18.9,14.224981,5350700.0
2012-07-13,19.0,19.5,18.9,19.4,14.601304,5083800.0
2012-07-16,19.700001,20.5,19.6,20.0,15.052892,29720800.0
2012-07-17,20.200001,20.299999,19.9,20.0,15.052892,12037800.0
2012-07-18,20.1,20.4,20.0,20.1,15.128155,9276200.0
2012-07-19,20.200001,21.4,20.200001,21.200001,15.956063,40549000.0
2012-07-20,21.200001,21.6,20.9,21.6,16.257122,18965400.0
2012-07-23,21.299999,22.5,21.299999,22.299999,16.783972,28823200.0
2012-07-24,22.5,22.6,21.799999,22.0,16.558176,12872000.0
2012-07-25,22.200001,22.5,21.9,22.1,16.633442,8706500.0
2012-07-26,22.200001,22.200001,21.6,21.700001,16.332386,5968400.0
2012-07-27,21.9,22.1,21.200001,21.200001,15.956063,8195300.0
2012-07-30,21.6,22.0,21.299999,22.0,16.558176,9470800.0
2012-07-31,22.0,22.1,21.799999,21.799999,16.40765,6851800.0
2012-08-01,22.299999,23.1,22.299999,22.799999,17.160294,27774300.0
2012-08-03,22.799999,23.799999,22.799999,23.6,17.762409,16881500.0
2012-08-06,24.0,24.1,23.5,23.799999,17.912937,14716800.0
2012-08-07,24.0,24.6,23.9,24.4,18.364527,18654700.0
2012-08-08,24.6,24.6,24.0,24.4,18.364527,12451700.0
2012-08-09,24.5,24.6,24.200001,24.200001,18.213997,4211700.0
2012-08-10,24.299999,24.5,24.0,24.5,18.439791,6257100.0
2012-08-14,24.5,27.25,24.5,27.0,20.3214,14753300.0
2012-08-15,26.5,30.0,26.25,29.25,22.014851,18965800.0
2012-08-16,29.5,30.5,29.0,29.25,22.014851,13504600.0
2012-08-17,30.0,30.0,29.25,29.5,22.203014,5481400.0
2012-08-20,28.5,31.75,28.5,31.75,24.734938,8198400.0
2012-08-21,33.0,36.0,33.0,35.5,27.656385,24530900.0
2012-08-22,35.25,36.5,34.75,35.25,27.46162,10038700.0
2012-08-23,35.75,36.0,31.25,32.0,24.929697,14097200.0
2012-08-24,32.0,34.0,31.75,33.25,25.903515,10265200.0
2012-08-27,33.75,34.0,32.5,32.5,25.319225,4329100.0
2012-08-28,33.0,33.0,31.25,32.0,24.929697,2565900.0
2012-08-29,32.0,33.0,30.75,31.5,24.540173,4233900.0
2012-08-30,31.5,32.5,31.25,32.0,24.929697,5239700.0
2012-08-31,32.0,33.0,31.25,32.75,25.513987,4390700.0
2012-09-03,32.75,35.5,32.75,35.0,27.266857,16365000.0
2012-09-04,35.5,35.5,33.0,33.0,25.708754,20627500.0
2012-09-05,33.75,34.0,33.0,33.0,25.708754,6420800.0
2012-09-06,33.25,34.0,33.0,33.25,25.903515,3837800.0
2012-09-07,33.75,33.75,33.25,33.25,25.903515,2322300.0
2012-09-10,33.0,33.25,32.25,32.25,25.124464,2604500.0
2012-09-11,32.25,32.75,32.0,32.0,24.929697,1202100.0
2012-09-12,32.5,34.25,32.5,34.25,26.682564,6930000.0
2012-09-13,34.0,34.0,33.5,33.5,26.098276,2650300.0
2012-09-14,34.0,34.0,33.25,33.25,25.903515,1595200.0
2012-09-17,33.5,34.25,33.25,33.75,26.293043,2698600.0
2012-09-18,34.0,35.0,33.75,34.75,27.072092,8894600.0
2012-09-19,35.75,37.0,35.5,36.5,28.435438,22792900.0
2012-09-20,36.75,37.5,36.5,37.25,29.01973,7999600.0
2012-09-21,38.0,38.25,37.5,37.75,29.409254,6702500.0
2012-09-24,37.5,37.5,35.5,36.0,28.045914,4182700.0
2012-09-25,36.0,36.75,35.5,36.25,28.240675,2759000.0
2012-09-26,36.5,37.5,35.75,35.75,27.851149,5029400.0
2012-09-27,36.0,37.0,36.0,36.25,28.240675,5817200.0
2012-09-28,36.75,39.5,36.25,39.0,30.383068,13979500.0
2012-10-01,39.0,39.25,38.25,38.5,29.993542,7174000.0
2012-10-02,38.75,42.75,38.75,42.5,33.109756,20587700.0
2012-10-03,43.25,43.75,41.25,42.0,32.72023,11935100.0
2012-10-04,41.5,41.75,40.5,40.5,31.551647,4361600.0
2012-10-05,41.0,42.5,40.75,41.5,32.330704,3763600.0
2012-10-08,41.25,42.0,41.25,41.5,32.330704,1810200.0
2012-10-09,42.25,42.5,41.0,41.0,31.941179,3340500.0
2012-10-10,40.25,40.25,38.75,38.75,30.188305,4959400.0
2012-10-11,39.0,39.0,36.25,38.0,29.604021,4554300.0
2012-10-12,38.5,38.75,36.75,37.0,28.824968,2647700.0
2012-10-15,36.75,37.25,36.0,36.5,28.435438,1277400.0
2012-10-16,36.25,38.25,36.25,38.0,29.604021,2595100.0
2012-10-17,38.5,38.5,37.5,37.5,29.214489,837500.0
2012-10-18,37.75,38.75,37.75,38.25,29.79878,925500.0
2012-10-19,38.25,40.0,38.25,38.25,29.79878,2674800.0
2012-10-22,38.25,39.0,38.25,38.25,29.79878,497100.0
2012-10-24,38.25,38.75,37.75,37.75,29.409254,603500.0
2012-10-25,38.0,39.5,37.75,38.75,30.188305,2639800.0
2012-10-26,39.25,40.0,37.75,38.0,29.604021,3526800.0
2012-10-29,38.25,38.25,36.5,37.0,28.824968,1463800.0
2012-10-30,37.5,37.75,37.25,37.25,29.01973,465600.0
2012-10-31,37.75,38.5,37.5,37.75,29.409254,960700.0
2012-11-01,38.0,38.75,37.5,37.5,29.214489,1523100.0
2012-11-02,38.0,38.25,37.5,37.5,29.214489,472600.0
2012-11-05,37.75,38.0,37.25,37.25,29.01973,372800.0
2012-11-06,37.25,39.25,37.25,39.0,30.383068,4719400.0
2012-11-07,39.5,39.5,38.0,38.0,29.604021,4107100.0
2012-11-08,37.75,38.5,37.5,37.5,29.214489,1099100.0
2012-11-09,37.75,38.0,37.0,37.0,28.824968,1009000.0
2012-11-12,36.75,37.0,36.0,36.25,28.240675,154100.0
2012-11-13,36.25,36.75,36.0,36.0,28.045914,659100.0
2012-11-14,36.0,37.25,36.0,37.0,28.824968,1115400.0
2012-11-15,37.0,37.25,36.0,37.0,28.824968,1116500.0
2012-11-16,37.25,37.5,37.0,37.5,29.214489,1019100.0
2012-11-19,37.75,38.0,37.25,37.5,29.214489,440900.0
2012-11-20,37.75,39.0,37.75,38.0,29.604021,2976700.0
