Date,Open,High,Low,Close,Adj Close,Volume
2015-12-02,3.88,4.16,3.6,3.6,3.461272,531444200.0
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-08,4.28,4.98,4.24,4.66,4.480424,299120100.0
2015-12-09,4.86,4.92,4.52,4.74,4.557342,123185200.0
2015-12-11,4.74,5.25,4.66,5.1,4.903469,167928800.0
2015-12-14,5.15,5.35,4.52,4.6,4.422736,118921800.0
2015-12-15,4.76,4.94,4.64,4.76,4.576571,79901600.0
2015-12-16,4.9,5.2,4.76,4.82,4.634259,137169600.0
2015-12-17,4.88,5.0,4.86,4.98,4.788093,45950100.0
2015-12-18,5.1,5.25,4.8,4.8,4.615029,61063900.0
2015-12-21,4.64,4.78,4.4,4.64,4.461195,8928900.0
2015-12-22,4.54,4.8,4.5,4.54,4.365048,3655400.0
2015-12-23,4.56,4.68,4.56,4.62,4.441966,1287900.0
2015-12-24,4.6,4.84,4.6,4.68,4.499654,3717700.0
2015-12-25,4.72,4.74,4.64,4.66,4.480424,1739600.0
2015-12-28,4.66,4.76,4.6,4.74,4.557342,2583500.0
2015-12-29,4.74,4.92,4.74,4.92,4.730405,5356600.0
2015-12-30,5.05,5.05,4.96,4.98,4.788093,5572800.0
2016-01-04,5.0,5.0,4.74,4.86,4.672718,2308400.0
2016-01-05,4.82,5.1,4.82,5.05,4.855396,8259800.0
2016-01-06,5.0,5.1,4.96,5.05,4.855396,2856200.0
2016-01-07,4.96,5.25,4.94,5.15,4.951542,14002900.0
2016-01-08,5.2,5.85,5.15,5.7,5.480347,35166000.0
2016-01-11,5.6,5.95,5.6,5.9,5.67264,16156000.0
2016-01-12,5.85,5.95,5.7,5.95,5.720713,6776800.0
2016-01-13,5.95,6.05,5.8,6.0,5.768787,10842700.0
2016-01-14,5.95,6.2,5.75,5.95,5.720713,14343200.0
2016-01-15,5.95,5.95,5.45,5.7,5.480347,9816800.0
2016-01-18,5.65,5.9,5.6,5.8,5.576494,4998500.0
2016-01-19,5.8,5.85,5.7,5.85,5.624567,3071200.0
2016-01-20,5.9,6.15,5.9,6.1,5.864933,19251300.0
