Date,Open,High,Low,Close,Adj Close,Volume
2014-08-19,1.925,1.947,1.606,1.639,1.553953,456296591
2014-08-20,1.628,1.705,1.595,1.606,1.522665,99860374
2014-08-21,1.628,1.837,1.606,1.793,1.699962,250184389
2014-08-22,1.782,1.837,1.716,1.727,1.637387,146434196
2014-08-25,1.738,1.87,1.727,1.76,1.668674,124342558
2014-08-26,1.793,1.903,1.749,1.782,1.689533,239682751
2014-08-27,1.782,1.815,1.738,1.738,1.647816,52535642
2014-08-28,1.771,1.793,1.738,1.738,1.647816,26820003
2014-08-29,1.727,1.76,1.727,1.727,1.637387,13311274
2014-09-01,1.727,1.727,1.672,1.672,1.585241,5018001
2014-09-02,1.672,1.672,1.606,1.65,1.564382,4969819
2014-09-03,1.661,1.672,1.639,1.639,1.553953,4478182
2014-09-04,1.639,1.672,1.639,1.65,1.564382,3175455
2014-09-05,1.661,1.661,1.628,1.65,1.564382,3654182
2014-09-08,1.661,1.661,1.628,1.639,1.553953,4685091
2014-09-09,1.639,1.76,1.639,1.716,1.626957,23764002
2014-09-10,1.705,1.738,1.683,1.705,1.616528,6971455
2014-09-11,1.694,1.694,1.65,1.661,1.574811,7581273
2014-09-12,1.683,1.683,1.65,1.65,1.564382,2087273
2014-09-15,1.672,1.672,1.639,1.65,1.564382,3153637
2014-09-16,1.639,1.694,1.639,1.65,1.564382,4119637
2014-09-17,1.65,1.661,1.606,1.661,1.574811,4082728
2014-09-18,1.65,1.727,1.65,1.716,1.626957,13703638
2014-09-19,1.738,1.793,1.694,1.76,1.668674,29720730
2014-09-22,1.76,1.76,1.705,1.749,1.658245,8052546
2014-09-23,1.76,1.76,1.716,1.727,1.637387,4121091
2014-09-24,1.705,1.738,1.705,1.727,1.637387,2397818
2014-09-25,1.694,1.727,1.672,1.705,1.616528,7133455
2014-09-26,1.683,1.705,1.683,1.705,1.616528,2838364
2014-09-29,1.694,1.716,1.683,1.694,1.606099,2240364
2014-09-30,1.683,1.76,1.683,1.694,1.606099,3747273
2014-10-01,1.705,1.727,1.694,1.716,1.626957,1736909
2014-10-02,1.716,1.738,1.694,1.694,1.606099,3460000
2014-10-03,1.705,1.76,1.694,1.727,1.637387,8203092
2014-10-06,1.749,1.76,1.694,1.705,1.616528,6863455
2014-10-07,1.705,1.727,1.694,1.705,1.616528,3111273
2014-10-08,1.705,1.782,1.694,1.782,1.689533,19401638
2014-10-09,1.782,1.793,1.749,1.793,1.699962,12284910
2014-10-10,1.76,1.804,1.738,1.771,1.679104,12789638
2014-10-13,1.771,1.793,1.716,1.738,1.647816,12810183
2014-10-14,1.76,1.914,1.738,1.771,1.679104,197331474
2014-10-15,1.782,1.804,1.738,1.738,1.647816,26518730
2014-10-16,1.738,1.76,1.661,1.661,1.574811,21136729
2014-10-17,1.694,1.694,1.628,1.65,1.564382,17142184
2014-10-20,1.65,1.65,1.54,1.551,1.470519,7959455
2014-10-21,1.54,1.54,1.496,1.507,1.428802,3855455
2014-10-22,1.507,1.529,1.496,1.529,1.449661,2284000
2014-10-24,1.529,1.551,1.507,1.54,1.46009,2966728
2014-10-27,1.551,1.573,1.54,1.562,1.480948,2392546
2014-10-28,1.584,1.628,1.573,1.606,1.522665,3722182
2014-10-29,1.617,1.661,1.617,1.65,1.564382,86727
2014-10-30,1.65,1.661,1.628,1.639,1.553953,1896909
2014-10-31,1.628,1.639,1.606,1.617,1.533095,2473091
2014-11-03,1.617,1.617,1.573,1.617,1.533095,3180728
2014-11-04,1.573,1.606,1.562,1.573,1.491378,1065636
2014-11-05,1.573,1.617,1.573,1.595,1.512236,2536909
2014-11-06,1.584,1.595,1.573,1.584,1.501807,1419818
2014-11-07,1.584,1.595,1.562,1.562,1.480948,1244727
2014-11-10,1.573,1.628,1.573,1.606,1.522665,2295637
2014-11-11,1.595,1.595,1.54,1.584,1.501807,2658546
2014-11-12,1.551,1.584,1.529,1.54,1.46009,2066364
2014-11-13,1.54,1.54,1.496,1.518,1.439232,1308182
2014-11-14,1.496,1.54,1.496,1.529,1.449661,569273
2014-11-17,1.529,1.573,1.529,1.529,1.449661,2615818
2014-11-18,1.54,1.551,1.507,1.529,1.449661,1925637
2014-11-19,1.551,1.562,1.507,1.518,1.439232,365273
2014-11-20,1.518,1.584,1.518,1.551,1.470519,2999455
2014-11-21,1.562,1.562,1.518,1.551,1.470519,1090546
2014-11-24,1.562,1.639,1.551,1.606,1.522665,7341455
2014-11-25,1.606,1.606,1.584,1.595,1.512236,1978000
2014-11-26,1.606,1.606,1.551,1.573,1.491378,1474546
2014-11-27,1.573,1.617,1.551,1.595,1.512236,1927091
2014-11-28,1.595,1.65,1.562,1.595,1.512236,4294546
2014-12-01,1.595,1.606,1.584,1.595,1.512236,2432364
2014-12-02,1.595,1.705,1.595,1.628,1.543524,20164002
2014-12-03,1.65,1.76,1.639,1.672,1.585241,75770917
2014-12-04,1.683,1.749,1.639,1.639,1.553953,44334914
2014-12-08,1.639,1.672,1.562,1.562,1.480948,9992365
2014-12-09,1.584,1.661,1.562,1.562,1.480948,13795820
2014-12-11,1.562,1.573,1.496,1.507,1.428802,5907819
2014-12-12,1.518,1.54,1.485,1.485,1.407944,3268000
2014-12-15,1.485,1.485,1.232,1.276,1.209789,5467819
2014-12-16,1.298,1.452,1.276,1.397,1.32451,4909455
2014-12-17,1.43,1.496,1.419,1.43,1.355798,6480001
2014-12-18,1.452,1.485,1.43,1.441,1.366227,2532364
2014-12-19,1.507,1.65,1.463,1.595,1.512236,42520186
2014-12-22,1.584,1.716,1.551,1.694,1.606099,58282006
2014-12-23,1.683,1.683,1.551,1.562,1.480948,18371456
2014-12-24,1.584,1.595,1.485,1.496,1.418373,12738547
2014-12-25,1.507,1.562,1.474,1.485,1.407944,6750546
2014-12-26,1.474,1.518,1.474,1.496,1.418373,1624727
2014-12-29,1.485,1.518,1.474,1.474,1.397515,1449273
2014-12-30,1.485,1.485,1.463,1.474,1.397515,1067455
2015-01-05,1.474,1.606,1.474,1.573,1.491378,19204002
2015-01-06,1.551,1.562,1.529,1.551,1.470519,6141092
2015-01-07,1.551,1.584,1.529,1.529,1.449661,4748546
2015-01-08,1.551,1.617,1.54,1.551,1.470519,17812184
2015-01-09,1.551,1.562,1.529,1.54,1.46009,2825455
2015-01-12,1.54,1.562,1.529,1.54,1.46009,2402909
2015-01-13,1.54,1.562,1.54,1.54,1.46009,1421818
2015-01-14,1.562,1.628,1.54,1.551,1.470519,20897457
2015-01-15,1.573,1.573,1.551,1.551,1.470519,2683273
2015-01-16,1.562,1.573,1.551,1.551,1.470519,4390546
2015-01-19,1.551,1.617,1.551,1.606,1.522665,7296728
2015-01-20,1.628,1.628,1.573,1.573,1.491378,4744364
2015-01-21,1.595,1.595,1.573,1.573,1.491378,2380909
2015-01-22,1.573,1.595,1.573,1.595,1.512236,3630909
2015-01-23,1.606,1.606,1.529,1.54,1.46009,6813273
2015-01-26,1.562,1.584,1.551,1.562,1.480948,1817091
2015-01-27,1.573,1.573,1.551,1.551,1.470519,1650909
2015-01-28,1.551,1.661,1.54,1.606,1.522665,25399275
2015-01-29,1.617,1.661,1.606,1.65,1.564382,21724548
2015-01-30,1.694,1.716,1.617,1.617,1.533095,24978002
2015-02-02,1.628,1.661,1.595,1.628,1.543524,7885637
2015-02-03,1.628,1.694,1.628,1.65,1.564382,14123274
2015-02-04,1.661,1.683,1.661,1.661,1.574811,5212728
2015-02-05,1.683,1.694,1.661,1.661,1.574811,8530001
2015-02-06,1.672,1.782,1.661,1.738,1.647816,82278917
2015-02-09,1.749,1.969,1.738,1.848,1.752108,141159469
2015-02-10,1.87,1.925,1.738,1.771,1.679104,55302187
2015-02-11,1.815,1.892,1.782,1.815,1.72082,31099094
2015-02-12,1.837,1.881,1.815,1.87,1.772967,20672548
2015-02-13,1.936,2.409,1.936,2.277,2.158847,188912746
2015-02-16,2.255,2.9425,2.211,2.9425,2.789815,138406741
2015-02-17,2.8325,3.025,2.53,2.8875,2.737669,53382005
