Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2.275,2.275,2.2,2.225,0.02233,352000.0
2000-01-05,2.15,2.25,2.1,2.13,0.021377,438000.0
2000-01-06,2.2,2.2,2.075,2.15,0.021577,542000.0
2000-01-07,2.15,2.18,2.1,2.18,0.021878,319000.0
2000-01-10,2.13,2.13,2.05,2.05,0.020574,492000.0
2000-01-11,2.05,2.075,2.025,2.025,0.020323,529000.0
2000-01-12,1.975,2.15,1.975,2.0,0.020072,467000.0
2000-01-13,2.0,2.075,2.0,2.025,0.020323,34000.0
2000-01-14,2.05,2.075,2.025,2.05,0.020574,186000.0
2000-01-17,2.05,2.08,2.02,2.05,0.020574,265000.0
2000-01-18,2.08,2.13,2.05,2.05,0.020574,176000.0
2000-01-19,2.075,2.1,2.075,2.1,0.021076,361000.0
2000-01-20,2.1,2.2,2.05,2.15,0.021577,1241000.0
2000-01-21,2.15,2.15,2.08,2.13,0.021377,437000.0
2000-01-24,2.08,2.13,2.08,2.13,0.021377,142000.0
2000-01-25,2.13,2.25,2.1,2.13,0.021377,968000.0
2000-01-26,2.15,2.18,2.13,2.13,0.021377,157000.0
2000-01-27,2.15,2.15,2.13,2.15,0.021577,80000.0
2000-01-28,2.15,2.2,2.13,2.15,0.021577,420000.0
2000-01-31,2.13,2.18,2.13,2.13,0.021377,205000.0
2000-02-01,2.15,2.15,2.1,2.15,0.021577,311000.0
2000-02-02,2.13,2.15,2.13,2.15,0.021577,214000.0
2000-02-03,2.13,2.13,2.1,2.1,0.021076,181000.0
2000-02-04,2.1,2.1,2.075,2.1,0.021076,116000.0
2000-02-07,2.1,2.1,2.075,2.1,0.021076,207000.0
2000-02-08,2.1,2.13,2.08,2.08,0.020875,323000.0
2000-02-09,2.075,2.1,2.075,2.1,0.021076,267000.0
2000-02-10,2.1,2.13,2.08,2.13,0.021377,346000.0
2000-02-11,2.1,2.13,2.1,2.13,0.021377,183000.0
2000-02-14,2.13,2.25,2.13,2.25,0.022581,1968000.0
2000-02-15,2.25,2.275,2.2,2.2,0.022079,577000.0
2000-02-16,2.18,2.2,2.15,2.15,0.021577,518000.0
2000-02-17,2.15,2.18,2.0,2.0,0.020072,1037000.0
2000-02-18,2.025,2.075,2.025,2.075,0.020825,135000.0
2000-02-21,2.075,2.075,2.075,2.075,0.020825,0.0
2000-02-22,2.05,2.15,2.05,2.1,0.021076,315000.0
2000-02-23,2.1,2.15,2.1,2.13,0.021377,221000.0
2000-02-24,2.1,2.15,2.1,2.15,0.021577,296000.0
2000-02-25,2.15,2.15,2.05,2.05,0.020574,1878000.0
2000-02-28,2.05,2.1,2.025,2.075,0.020825,372000.0
2000-02-29,2.05,2.05,1.6,1.65,0.016559,3395000.0
2000-03-01,1.675,1.7,1.65,1.65,0.016559,362000.0
2000-03-02,1.675,1.725,1.675,1.7,0.017061,217000.0
2000-03-03,1.65,1.725,1.65,1.675,0.01681,335000.0
2000-03-06,1.6,1.6,1.5,1.5,0.015054,562000.0
2000-03-07,1.5,1.5,1.425,1.5,0.015054,118000.0
2000-03-08,1.425,1.5,1.425,1.475,0.014803,98000.0
2000-03-09,1.5,1.63,1.5,1.58,0.015857,302000.0
2000-03-10,1.53,1.53,1.45,1.45,0.014552,1434000.0
2000-03-13,1.475,1.475,1.4,1.4,0.01405,1382000.0
2000-03-14,1.4,1.4,1.35,1.35,0.013549,1220000.0
2000-03-15,1.35,1.43,1.33,1.33,0.013348,8051000.0
2000-03-16,1.35,1.425,1.35,1.35,0.013549,4267000.0
2000-03-17,1.38,1.38,1.33,1.35,0.013549,2544000.0
2000-03-20,1.35,1.35,1.33,1.35,0.013549,541000.0
2000-03-21,1.35,1.5,1.35,1.475,0.014803,9288000.0
2000-03-22,1.5,1.55,1.425,1.45,0.014552,5198000.0
2000-03-23,1.45,1.475,1.425,1.45,0.014552,1498000.0
2000-03-24,1.45,1.53,1.45,1.45,0.014552,2605000.0
2000-03-27,1.48,1.53,1.45,1.48,0.014853,3246000.0
2000-03-28,1.475,1.5,1.475,1.475,0.014803,924000.0
2000-03-29,1.475,1.475,1.45,1.475,0.014803,374000.0
2000-03-30,1.48,1.53,1.38,1.38,0.01385,1866000.0
2000-03-31,1.375,1.4,1.375,1.375,0.013799,422000.0
2000-04-03,1.375,1.4,1.375,1.4,0.022079,190000.0
2000-04-04,1.43,1.45,1.33,1.35,0.021291,971000.0
2000-04-05,1.35,1.35,1.35,1.35,0.021291,70000.0
2000-04-06,1.35,1.35,1.35,1.35,0.021291,0.0
2000-04-07,1.35,1.38,1.33,1.38,0.021764,107000.0
2000-04-10,1.35,1.4,1.35,1.4,0.022079,35000.0
2000-04-11,1.375,1.45,1.375,1.375,0.021685,1286000.0
2000-04-12,1.4,1.4,1.375,1.4,0.022079,473000.0
2000-04-13,1.4,1.4,1.4,1.4,0.022079,0.0
2000-04-14,1.4,1.4,1.4,1.4,0.022079,0.0
2000-04-17,1.35,1.35,1.3,1.35,0.021291,505000.0
2000-04-18,1.38,1.43,1.33,1.35,0.021291,1186000.0
2000-04-19,1.375,1.375,1.375,1.375,0.021685,209000.0
2000-04-20,1.375,1.4,1.375,1.4,0.022079,301000.0
2000-04-21,1.4,1.4,1.4,1.4,0.022079,194000.0
2000-04-24,1.4,1.425,1.4,1.4,0.022079,85000.0
2000-04-25,1.425,1.425,1.35,1.4,0.022079,950000.0
2000-04-26,1.4,1.475,1.4,1.425,0.022473,4856000.0
2000-04-27,1.425,1.45,1.4,1.4,0.022079,1035000.0
2000-04-28,1.425,1.425,1.4,1.425,0.022473,558000.0
2000-05-01,1.425,1.425,1.425,1.425,0.022473,0.0
2000-05-02,1.425,1.475,1.425,1.425,0.022473,2167000.0
2000-05-03,1.43,1.45,1.4,1.43,0.022552,1004000.0
2000-05-04,1.425,1.425,1.4,1.425,0.022473,189000.0
2000-05-05,1.425,1.425,1.425,1.425,0.022473,0.0
2000-05-08,1.45,1.45,1.375,1.375,0.021685,316000.0
2000-05-09,1.375,1.375,1.375,1.375,0.021685,0.0
2000-05-10,1.33,1.35,1.3,1.3,0.020502,325000.0
2000-05-11,1.28,1.33,1.25,1.3,0.020502,525000.0
