Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,0.82,0.88,0.8,0.86,0.794599,297000.0
2000-01-05,0.8,0.82,0.76,0.82,0.75764,323000.0
2000-01-06,0.82,0.82,0.76,0.76,0.702203,112000.0
2000-01-07,0.8,0.82,0.78,0.8,0.739161,72500.0
2000-01-10,0.82,0.82,0.82,0.82,0.75764,10000.0
2000-01-11,0.8,0.82,0.78,0.82,0.75764,592500.0
2000-01-12,0.82,0.82,0.8,0.82,0.75764,55000.0
2000-01-13,0.82,0.82,0.78,0.82,0.75764,40000.0
2000-01-14,0.8,0.84,0.78,0.78,0.720682,143500.0
2000-01-17,0.82,0.84,0.8,0.82,0.75764,70000.0
2000-01-18,0.8,0.86,0.8,0.86,0.794599,190000.0
2000-01-19,0.86,0.86,0.8,0.8,0.739161,1975000.0
2000-01-20,0.82,0.88,0.8,0.84,0.776119,9049000.0
2000-01-21,0.86,0.88,0.8,0.8,0.739161,3769500.0
2000-01-24,0.82,0.84,0.8,0.82,0.75764,1752500.0
2000-01-25,0.82,0.88,0.82,0.84,0.776119,5535500.0
2000-01-26,0.86,0.92,0.86,0.86,0.794599,9386000.0
2000-01-27,0.88,0.88,0.84,0.84,0.776119,1625500.0
2000-01-28,0.86,0.94,0.84,0.92,0.850036,8751000.0
2000-01-31,0.92,0.98,0.9,0.94,0.868515,11257500.0
2000-02-01,0.96,1.02,0.92,0.94,0.868515,8316500.0
2000-02-02,0.96,0.96,0.88,0.88,0.813078,2975500.0
2000-02-03,0.9,0.92,0.84,0.86,0.794599,2174000.0
2000-02-04,0.88,0.9,0.84,0.84,0.776119,1553000.0
2000-02-07,0.86,0.88,0.84,0.86,0.794599,435000.0
2000-02-08,0.86,0.9,0.86,0.86,0.794599,2245500.0
2000-02-09,0.86,0.88,0.76,0.76,0.702203,1890000.0
2000-02-10,0.76,0.78,0.74,0.76,0.702203,1495500.0
2000-02-11,0.78,0.8,0.76,0.76,0.702203,2387000.0
2000-02-14,0.76,0.78,0.7,0.72,0.665245,740000.0
2000-02-15,0.72,0.74,0.68,0.68,0.628287,682000.0
2000-02-16,0.72,0.72,0.68,0.68,0.628287,335000.0
2000-02-17,0.68,0.7,0.64,0.68,0.628287,591000.0
2000-02-18,0.68,0.68,0.64,0.66,0.609808,161500.0
2000-02-21,0.66,0.66,0.66,0.66,0.609808,0.0
2000-02-22,0.64,0.66,0.6,0.6,0.554371,494000.0
2000-02-23,0.6,0.62,0.58,0.62,0.57285,241000.0
2000-02-24,0.62,0.64,0.58,0.58,0.535892,1393500.0
2000-02-25,0.6,0.64,0.6,0.6,0.554371,1711000.0
2000-02-28,0.62,0.62,0.52,0.54,0.498934,977500.0
2000-02-29,0.56,0.56,0.48,0.48,0.443497,1499500.0
2000-03-01,0.48,0.54,0.48,0.54,0.498934,1250000.0
2000-03-02,0.56,0.58,0.54,0.58,0.535892,485500.0
2000-03-03,0.58,0.6,0.54,0.56,0.517413,835000.0
2000-03-06,0.56,0.56,0.5,0.5,0.461976,1858000.0
2000-03-07,0.5,0.52,0.48,0.48,0.443497,567500.0
2000-03-08,0.48,0.52,0.48,0.52,0.480455,321000.0
2000-03-09,0.52,0.52,0.5,0.52,0.480455,152000.0
2000-03-10,0.52,0.54,0.52,0.52,0.480455,374000.0
2000-03-13,0.52,0.52,0.52,0.52,0.480455,119500.0
2000-03-14,0.52,0.54,0.5,0.52,0.480455,110000.0
2000-03-15,0.52,0.56,0.52,0.54,0.498934,719000.0
2000-03-16,0.54,0.58,0.54,0.56,0.517413,677500.0
2000-03-17,0.58,0.58,0.56,0.58,0.535892,539500.0
2000-03-20,0.6,0.6,0.58,0.6,0.554371,65000.0
2000-03-21,0.6,0.6,0.54,0.54,0.498934,272500.0
2000-03-22,0.56,0.56,0.56,0.56,0.517413,542500.0
2000-03-23,0.58,0.64,0.58,0.64,0.591329,1440500.0
2000-03-24,0.66,0.66,0.62,0.62,0.57285,145000.0
2000-03-27,0.62,0.64,0.62,0.62,0.57285,210000.0
2000-03-28,0.62,0.7,0.62,0.68,0.628287,700500.0
2000-03-29,0.72,0.74,0.7,0.74,0.683724,1165000.0
2000-03-30,0.76,0.76,0.66,0.68,0.628287,725000.0
2000-03-31,0.64,0.66,0.64,0.66,0.609808,302500.0
2000-04-03,0.66,0.66,0.62,0.62,0.57285,127500.0
2000-04-04,0.64,0.64,0.62,0.62,0.57285,82500.0
2000-04-05,0.62,0.66,0.6,0.66,0.609808,40500.0
