Date,Open,High,Low,Close,Adj Close,Volume
2000-01-06,1.76293,1.90985,1.76293,1.76293,1.696264,1483.0
2000-01-07,,,,,,
2000-01-10,,,,,,
2000-01-11,,,,,,
2000-01-12,,,,,,
2000-01-13,,,,,,
2000-01-14,1.68948,1.76293,1.68948,1.68948,1.625591,3744.0
2000-01-17,,,,,,
2000-01-18,1.68948,1.90985,1.68948,1.90985,1.837628,18.0
2000-01-19,,,,,,
2000-01-20,1.68948,2.05676,1.68948,2.05676,1.978982,587.0
2000-01-21,1.90985,1.9833,1.76293,1.9833,1.9083,412.0
2000-01-24,1.76293,2.13021,1.76293,2.05676,1.978982,3196.0
2000-01-25,2.05676,2.05676,1.90985,1.90985,1.837628,636.0
2000-01-26,,,,,,
2000-01-27,1.90985,1.9833,1.90985,1.9833,1.9083,938.0
2000-01-28,,,,,,
2000-01-31,1.90985,1.9833,1.90985,1.9833,1.9083,1383.0
2000-02-01,,,,,,
2000-02-02,,,,,,
2000-02-03,,,,,,
2000-02-04,,,,,,
2000-02-07,,,,,,
2000-02-08,,,,,,
2000-02-09,1.76293,1.9833,1.76293,1.9833,1.9083,94.0
2000-02-10,,,,,,
2000-02-11,,,,,,
2000-02-14,,,,,,
2000-02-15,,,,,,
2000-02-16,,,,,,
2000-02-17,,,,,,
2000-02-18,,,,,,
2000-02-21,,,,,,
2000-02-22,1.46911,1.68948,1.46911,1.68948,1.625591,245.0
2000-02-23,1.61602,1.61602,1.46911,1.61602,1.554909,1180.0
2000-02-24,1.24875,1.61602,1.24875,1.61602,1.554909,9.0
2000-02-25,,,,,,
2000-02-28,,,,,,
2000-02-29,,,,,,
2000-03-01,,,,,,
2000-03-02,1.46911,1.61602,1.46911,1.61602,1.554909,139.0
2000-03-03,,,,,,
2000-03-06,,,,,,
2000-03-07,1.39566,1.68948,1.10183,1.24875,1.201528,666.0
2000-03-08,1.24875,1.3222,1.24875,1.3222,1.2722,297.0
2000-03-09,,,,,,
2000-03-10,1.61602,1.61602,1.3222,1.3222,1.2722,1035.0
2000-03-13,1.3222,1.61602,1.3222,1.61602,1.554909,157.0
2000-03-14,,,,,,
2000-03-15,,,,,,
2000-03-16,1.24875,1.3222,1.24875,1.24875,1.201528,3502.0
2000-03-17,1.24875,1.39566,1.24875,1.24875,1.201528,4479.0
2000-03-20,,,,,,
2000-03-21,1.24875,1.24875,1.10183,1.10183,1.060163,363.0
2000-03-22,,,,,,
2000-03-23,,,,,,
2000-03-24,,,,,,
2000-03-27,1.10183,1.3222,1.10183,1.3222,1.2722,179.0
2000-03-28,,,,,,
2000-03-29,1.3222,1.3222,1.10183,1.24875,1.201528,430.0
2000-03-30,,,,,,
2000-03-31,,,,,,
2000-04-03,,,,,,
2000-04-04,,,,,,
2000-04-05,,,,,,
2000-04-06,,,,,,
2000-04-07,,,,,,
2000-04-10,1.02838,1.10183,1.02838,1.10183,1.060163,490.0
2000-04-11,,,,,,
2000-04-12,1.10183,1.24875,1.10183,1.24875,1.201528,390.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,,,,,,
2000-04-18,1.10183,1.24875,1.10183,1.24875,1.201528,1105.0
2000-04-19,,,,,,
2000-04-20,,,,,,
2000-04-21,1.3222,1.39566,1.3222,1.39566,1.342882,2219.0
2000-04-24,1.39566,1.46911,1.3222,1.3222,1.2722,4604.0
2000-04-25,,,,,,
2000-04-26,,,,,,
2000-04-27,,,,,,
2000-04-28,1.3222,1.3222,1.24875,1.24875,1.201528,242.0
2000-05-01,,,,,,
2000-05-02,1.3222,1.39566,1.3222,1.39566,1.342882,2361.0
2000-05-03,1.24875,1.39566,1.24875,1.3222,1.2722,3078.0
2000-05-04,,,,,,
2000-05-05,,,,,,
2000-05-08,1.3222,1.46911,1.3222,1.3222,1.2722,5042.0
2000-05-09,,,,,,
2000-05-10,,,,,,
2000-05-11,,,,,,
2000-05-12,1.24875,1.3222,1.24875,1.3222,1.2722,772.0
2000-05-15,1.3222,1.3222,1.24875,1.3222,1.2722,1017.0
2000-05-16,,,,,,
2000-05-17,,,,,,
2000-05-18,1.24875,1.24875,1.10183,1.10183,1.060163,484.0
2000-05-19,1.10183,1.3222,1.10183,1.3222,1.2722,151.0
2000-05-22,,,,,,
2000-05-23,,,,,,
2000-05-24,1.10183,1.24875,1.10183,1.24875,1.201528,109.0
2000-05-25,1.02838,1.10183,1.02838,1.10183,1.060163,303.0
2000-05-26,0.80801,1.10183,0.80801,1.10183,1.060163,333.0
2000-05-29,1.02838,1.10183,1.02838,1.10183,1.060163,920.0
2000-05-30,1.02838,1.10183,1.02838,1.02838,0.989491,1059.0
2000-05-31,1.02838,1.10183,1.02838,1.02838,0.989491,1338.0
2000-06-01,1.10183,1.10183,1.02838,1.02838,0.989491,363.0
2000-06-02,,,,,,
2000-06-05,1.10183,1.3222,1.10183,1.3222,1.2722,608.0
2000-06-06,1.10183,1.24875,1.10183,1.24875,1.201528,1093.0
2000-06-07,,,,,,
2000-06-08,1.24875,1.24875,1.10183,1.10183,1.060163,3178.0
2000-06-09,,,,,,
2000-06-12,,,,,,
2000-06-13,1.02838,1.10183,0.95492,1.10183,1.060163,451.0
2000-06-14,1.10183,1.10183,1.02838,1.02838,0.989491,154.0
2000-06-15,,,,,,
2000-06-16,,,,,,
2000-06-19,,,,,,
2000-06-20,1.02838,1.10183,1.02838,1.10183,1.060163,182.0
2000-06-21,1.02838,1.10183,1.02838,1.10183,1.060163,209.0
2000-06-22,1.10183,1.24875,1.02838,1.02838,0.989491,2642.0
2000-06-23,,,,,,
2000-06-26,,,,,,
2000-06-27,,,,,,
2000-06-28,,,,,,
2000-06-29,,,,,,
2000-06-30,0.95492,1.02838,0.95492,1.02838,0.989491,487.0
2000-07-03,0.95492,1.24875,0.95492,1.24875,1.201528,917.0
2000-07-04,1.02838,1.10183,0.95492,0.95492,0.918809,2137.0
2000-07-05,0.95492,1.02838,0.95492,0.95492,0.918809,1268.0
2000-07-06,,,,,,
2000-07-07,,,,,,
2000-07-10,1.02838,1.02838,0.95492,0.95492,0.918809,242.0
2000-07-11,,,,,,
2000-07-12,,,,,,
2000-07-13,0.95492,1.10183,0.95492,1.10183,1.060163,154.0
2000-07-14,1.02838,1.02838,0.95492,0.95492,0.918809,154.0
2000-07-17,,,,,,
2000-07-18,,,,,,
2000-07-19,,,,,,
2000-07-20,,,,,,
2000-07-21,,,,,,
2000-07-24,,,,,,
2000-07-25,,,,,,
2000-07-26,,,,,,
2000-07-27,,,,,,
2000-07-28,,,,,,
2000-07-31,,,,,,
2000-08-01,,,,,,
2000-08-02,,,,,,
2000-08-03,0.80801,0.95492,0.80801,0.95492,0.918809,182.0
2000-08-04,1.02838,1.10183,0.95492,1.10183,1.060163,318.0
2000-08-07,1.02838,1.02838,0.95492,1.02838,0.989491,300.0
2000-08-08,1.02838,1.02838,0.95492,1.02838,0.989491,545.0
2000-08-09,,,,,,
2000-08-10,,,,,,
2000-08-11,,,,,,
2000-08-14,,,,,,
2000-08-15,,,,,,
2000-08-16,0.95492,1.10183,0.95492,1.10183,1.060163,1301.0
2000-08-17,0.95492,1.02838,0.95492,1.02838,0.989491,2530.0
2000-08-18,,,,,,
2000-08-21,,,,,,
2000-08-22,,,,,,
2000-08-23,0.95492,1.10183,0.95492,1.10183,1.060163,1189.0
2000-08-24,0.95492,1.02838,0.95492,0.95492,0.918809,5908.0
2000-08-25,,,,,,
2000-08-28,,,,,,
2000-08-29,,,,,,
2000-08-30,,,,,,
2000-08-31,,,,,,
2000-09-01,,,,,,
2000-09-04,,,,,,
2000-09-05,,,,,,
2000-09-06,1.02838,1.02838,0.95492,0.95492,0.918809,1435.0
2000-09-07,0.95492,1.02838,0.95492,0.95492,0.918809,3956.0
2000-09-08,0.95492,1.10183,0.95492,1.10183,1.060163,18895.0
2000-09-11,,,,,,
2000-09-12,0.95492,1.02838,0.95492,1.02838,0.989491,424.0
2000-09-13,0.95492,1.24875,0.95492,1.10183,1.060163,15200.0
2000-09-14,1.10183,1.10183,1.02838,1.10183,1.060163,1196.0
2000-09-15,1.02838,1.10183,1.02838,1.10183,1.060163,5593.0
2000-09-18,,,,,,
2000-09-19,1.02838,1.10183,1.02838,1.02838,0.989491,499.0
2000-09-20,,,,,,
2000-09-21,1.02838,1.10183,1.02838,1.02838,0.989491,1559.0
2000-09-22,,,,,,
2000-09-25,,,,,,
