Date,Open,High,Low,Close,Adj Close,Volume
2012-04-17,5.09,5.09,5.07,5.08,5.08,1355300.0
2012-04-18,5.08,5.09,5.08,5.08,5.08,469500.0
2012-04-19,5.07,5.08,5.06,5.07,5.07,851000.0
2012-04-20,5.07,5.08,5.06,5.06,5.06,865400.0
2012-04-23,5.07,5.08,5.05,5.05,5.05,415400.0
2012-04-24,5.07,5.08,5.06,5.06,5.06,442900.0
2012-04-25,5.08,5.08,5.07,5.07,5.07,317700.0
2012-04-26,5.07,5.1,5.07,5.08,5.08,1104100.0
2012-04-27,5.09,5.11,5.08,5.08,5.08,2257700.0
2012-04-30,5.11,5.11,5.09,5.1,5.1,673800.0
2012-05-02,5.09,5.1,5.09,5.09,5.09,159000.0
2012-05-03,5.08,5.09,5.07,5.07,5.07,616600.0
2012-05-04,5.07,5.08,5.06,5.07,5.07,503400.0
2012-05-08,5.06,5.07,5.04,5.04,5.04,657600.0
2012-05-09,5.0,5.0,4.93,4.94,4.94,4748500.0
2012-05-10,4.95,4.97,4.95,4.97,4.97,490000.0
2012-05-11,4.97,4.97,4.93,4.93,4.93,853500.0
2012-05-14,4.96,4.96,4.9,4.9,4.9,760000.0
2012-05-15,4.9,4.9,4.87,4.89,4.89,1219100.0
2012-05-16,4.85,4.85,4.82,4.84,4.84,1068000.0
2012-05-17,4.85,4.87,4.85,4.86,4.86,378800.0
2012-05-18,4.92,4.96,4.92,4.95,4.95,1275600.0
2012-05-21,5.0,5.0,4.97,4.97,4.97,651600.0
2012-05-22,4.97,4.97,4.93,4.93,4.93,500100.0
2012-05-23,4.9,4.91,4.88,4.88,4.88,398000.0
2012-05-24,4.93,4.93,4.9,4.9,4.9,332500.0
2012-05-25,4.92,4.95,4.91,4.93,4.93,303400.0
2012-05-28,4.96,4.98,4.95,4.97,4.97,2091600.0
2012-05-29,4.97,4.98,4.96,4.96,4.96,389100.0
2012-05-30,4.91,4.94,4.91,4.91,4.91,486700.0
2012-05-31,4.96,4.97,4.95,4.96,4.96,559500.0
2012-06-01,4.94,4.95,4.93,4.93,4.93,228600.0
2012-06-05,5.07,5.1,5.07,5.07,5.07,3702300.0
2012-06-06,5.09,5.13,5.09,5.12,5.12,2194800.0
2012-06-07,5.12,5.12,5.08,5.08,5.08,260100.0
2012-06-08,4.97,5.0,4.97,5.0,5.0,1671200.0
2012-06-11,5.02,5.03,5.02,5.02,5.02,83600.0
2012-06-12,5.02,5.03,5.01,5.01,5.01,164000.0
2012-06-13,5.06,5.07,5.06,5.07,5.07,660900.0
2012-06-14,5.08,5.1,5.08,5.08,5.08,445700.0
2012-06-15,5.09,5.1,5.08,5.09,5.09,1305000.0
