Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,10.3371,10.3371,10.3371,10.3371,10.3371,0.0
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,,,,,,
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,10.1866,11.8,10.1866,11.8,11.8,13700.0
2015-03-03,11.8,11.9,11.8,11.9,11.9,253400.0
2015-03-05,11.8,11.8,11.8,11.8,11.8,180800.0
2015-03-06,11.7,11.7,11.7,11.7,11.7,211200.0
2015-03-09,11.7,11.8,11.7,11.8,11.8,6000.0
2015-03-10,11.7,11.8,11.7,11.8,11.8,43500.0
2015-03-11,11.7,11.8,11.7,11.7,11.7,65400.0
2015-03-12,11.8,11.8,11.8,11.8,11.8,100.0
2015-03-13,11.8,11.8,11.8,11.8,11.8,500.0
2015-03-16,11.8,11.8,11.7,11.7,11.7,57300.0
2015-03-17,11.8,11.8,11.7,11.7,11.7,72800.0
2015-03-18,11.6,11.6,11.6,11.6,11.6,37400.0
2015-03-19,11.7,11.8,11.7,11.7,11.7,368000.0
2015-03-20,11.7,11.7,11.7,11.7,11.7,2000.0
2015-03-23,11.7,11.7,11.6,11.6,11.6,123300.0
2015-03-24,,,,,,
2015-03-25,11.5,11.5,11.4,11.5,11.5,187600.0
2015-03-26,11.4,11.5,11.4,11.5,11.5,2244000.0
2015-03-27,11.5,11.7,11.5,11.7,11.7,1923400.0
2015-03-30,11.7,11.8,11.5,11.8,11.8,796500.0
2015-03-31,10.2605,10.2605,10.2605,10.2605,10.2605,0.0
2015-04-01,11.8,11.8,11.7,11.8,11.8,130000.0
2015-04-02,11.8,11.9,11.8,11.8,11.8,242600.0
2015-04-03,11.7,11.9,11.7,11.9,11.9,417600.0
2015-04-07,11.9,11.9,11.9,11.9,11.9,149500.0
2015-04-08,11.8,11.9,11.8,11.9,11.9,213300.0
2015-04-09,11.8,11.9,11.8,11.9,11.9,116000.0
2015-04-10,15.2,15.2,12.0,12.2,12.2,40400.0
2015-04-16,12.2,12.2,12.1,12.2,12.2,29800.0
2015-04-17,12.3,12.3,12.1,12.1,12.1,71500.0
2015-04-20,12.1,12.2,12.1,12.2,12.2,42300.0
2015-04-21,12.1,12.2,12.0,12.0,12.0,544100.0
2015-04-22,12.1,12.3,12.1,12.3,12.3,625700.0
2015-04-23,12.3,12.3,12.1,12.3,12.3,12300.0
2015-04-24,12.1,12.2,12.1,12.2,12.2,217600.0
2015-04-27,12.2,12.2,12.0,12.2,12.2,178000.0
2015-04-28,12.2,12.2,12.2,12.2,12.2,158800.0
2015-04-29,12.1,12.2,12.1,12.1,12.1,14500.0
2015-04-30,10.3344,10.3344,10.3344,10.3344,10.3344,0.0
2015-05-04,,,,,,
2015-05-06,12.2,12.3,12.2,12.3,12.3,25600.0
2015-05-07,12.3,12.3,12.2,12.3,12.3,195200.0
2015-05-08,11.9,12.0,11.9,12.0,12.0,21300.0
2015-05-11,12.0,12.0,12.0,12.0,12.0,42500.0
2015-05-12,11.9,12.0,11.9,12.0,12.0,113800.0
2015-05-13,11.9,11.9,11.9,11.9,11.9,50000.0
2015-05-14,11.8,11.9,11.8,11.8,11.8,95900.0
2015-05-15,12.0,12.0,11.9,12.0,12.0,31300.0
2015-05-18,11.9,12.0,11.9,12.0,12.0,700.0
2015-05-19,12.0,12.1,12.0,12.1,12.1,21300.0
2015-05-20,12.0,12.0,12.0,12.0,12.0,10000.0
2015-05-21,,,,,,
2015-05-22,12.1,12.1,12.1,12.1,12.1,83500.0
2015-05-25,12.1,12.1,12.0,12.1,12.1,32100.0
2015-05-26,12.1,12.3,12.1,12.1,12.1,503600.0
2015-05-27,12.2,12.2,12.2,12.2,12.2,1100.0
2015-05-28,12.1,12.2,12.1,12.2,12.2,126700.0
2015-05-29,12.2,12.2,12.1,12.1,12.1,56300.0
2015-06-02,10.1795,12.1,10.1795,12.0,12.0,74400.0
2015-06-03,12.0,12.0,12.0,12.0,12.0,27500.0
2015-06-04,12.0,12.0,12.0,12.0,12.0,6000.0
2015-06-05,12.0,12.1,12.0,12.1,12.1,55000.0
2015-06-08,12.0,12.1,12.0,12.0,12.0,30700.0
2015-06-09,12.0,12.0,12.0,12.0,12.0,20000.0
2015-06-10,12.0,12.0,12.0,12.0,12.0,10400.0
2015-06-11,12.0,12.0,12.0,12.0,12.0,202300.0
2015-06-12,12.1,12.1,12.1,12.1,12.1,45000.0
2015-06-15,12.1,12.1,12.0,12.0,12.0,60900.0
2015-06-16,12.0,12.0,12.0,12.0,12.0,50000.0
2015-06-17,12.1,12.2,12.1,12.2,12.2,475000.0
2015-06-18,12.2,12.2,12.1,12.1,12.1,266600.0
2015-06-19,12.0,12.2,12.0,12.2,12.2,393600.0
2015-06-22,12.2,12.2,12.2,12.2,12.2,230000.0
2015-06-23,12.2,12.2,12.2,12.2,12.2,23000.0
2015-06-24,12.2,12.3,12.2,12.3,12.3,693800.0
2015-06-25,12.3,12.3,12.3,12.3,12.3,171200.0
2015-06-26,12.2,12.3,12.2,12.3,12.3,144800.0
2015-06-29,12.4,12.4,12.2,12.2,12.2,61000.0
2015-06-30,10.2562,10.2562,10.2562,10.2562,10.2562,0.0
2015-07-02,12.3,12.4,12.3,12.3,12.3,185100.0
2015-07-03,12.3,12.4,12.3,12.4,12.4,124600.0
2015-07-06,12.4,12.4,12.4,12.4,12.4,336500.0
2015-07-07,12.3,12.3,12.3,12.3,12.3,20000.0
2015-07-08,,,,,,
2015-07-09,12.3,12.3,12.3,12.3,12.3,10000.0
2015-07-10,12.4,12.4,12.4,12.4,12.4,184200.0
2015-07-13,12.4,12.5,12.4,12.5,12.5,68200.0
2015-07-14,12.4,12.4,12.0,12.3,12.3,133500.0
2015-07-15,12.3,12.6,12.3,12.4,12.4,509900.0
2015-07-16,12.4,12.4,12.4,12.4,12.4,67000.0
2015-07-17,12.4,12.4,12.3,12.3,12.3,125800.0
2015-07-20,12.3,12.4,12.3,12.4,12.4,13100.0
2015-07-21,12.4,12.4,12.2,12.2,12.2,458900.0
2015-07-22,12.2,12.3,12.1,12.2,12.2,1431500.0
2015-07-23,12.2,12.2,12.0,12.0,12.0,648200.0
2015-07-24,12.1,12.1,12.0,12.0,12.0,723500.0
2015-07-27,12.0,12.1,11.9,12.0,12.0,194800.0
2015-07-28,12.0,12.0,11.9,12.0,12.0,806400.0
2015-07-29,12.0,12.1,11.9,12.0,12.0,1012000.0
2015-07-31,10.4008,10.4008,10.4008,10.4008,10.4008,0.0
2015-08-03,12.0,12.1,12.0,12.1,12.1,85400.0
2015-08-04,12.1,12.4,12.1,12.3,12.3,3602400.0
2015-08-05,12.3,12.3,12.1,12.1,12.1,17600.0
2015-08-06,12.1,12.1,12.1,12.1,12.1,12600.0
2015-08-07,12.1,12.3,12.1,12.1,12.1,21300.0
2015-08-10,12.1,12.3,12.1,12.3,12.3,120200.0
2015-08-11,12.2,12.2,12.0,12.0,12.0,28800.0
2015-08-13,12.0,12.0,11.9,12.0,12.0,158700.0
2015-08-14,12.0,12.0,12.0,12.0,12.0,42600.0
2015-08-17,11.9,12.1,11.9,11.9,11.9,141700.0
2015-08-18,11.9,12.0,11.7,11.7,11.7,321300.0
2015-08-19,11.7,12.1,11.7,11.9,11.9,90000.0
2015-08-20,12.0,12.1,12.0,12.1,12.1,45200.0
2015-08-21,12.1,12.2,12.0,12.2,12.2,373100.0
2015-08-24,12.1,12.1,11.9,11.9,11.9,73400.0
2015-08-25,11.8,11.9,11.6,11.8,11.8,230200.0
2015-08-26,12.1,12.1,11.8,12.0,12.0,17200.0
2015-08-27,12.0,12.1,11.9,12.1,12.1,118200.0
2015-08-28,12.0,12.0,12.0,12.0,12.0,7100.0
2015-08-31,10.2554,10.2554,10.2554,10.2554,10.2554,0.0
2015-09-01,12.0,12.0,11.8,11.8,11.8,47400.0
2015-09-02,11.8,11.9,11.8,11.8,11.8,197600.0
2015-09-03,11.9,11.9,11.9,11.9,11.9,111100.0
2015-09-04,12.0,12.0,12.0,12.0,12.0,500.0
2015-09-07,11.9,11.9,11.8,11.9,11.9,79900.0
2015-09-08,11.9,11.9,11.9,11.9,11.9,107500.0
2015-09-09,12.0,12.0,12.0,12.0,12.0,137700.0
2015-09-10,12.0,12.1,12.0,12.0,12.0,126000.0
2015-09-11,12.0,12.2,12.0,12.2,12.2,155900.0
2015-09-14,12.1,12.1,12.0,12.0,12.0,142000.0
2015-09-15,12.0,12.0,12.0,12.0,12.0,175100.0
2015-09-16,,,,,,
2015-09-17,12.0,12.0,12.0,12.0,12.0,158100.0
2015-09-18,12.0,12.0,12.0,12.0,12.0,120300.0
2015-09-21,12.0,12.0,12.0,12.0,12.0,157800.0
2015-09-22,12.0,12.1,12.0,12.1,12.1,127300.0
2015-09-23,12.1,12.1,12.1,12.1,12.1,200.0
2015-09-24,,,,,,
2015-09-25,12.1,12.1,12.0,12.1,12.1,88200.0
2015-09-28,12.1,12.1,12.1,12.1,12.1,51900.0
2015-09-29,12.0,12.1,12.0,12.1,12.1,142300.0
2015-09-30,10.3298,10.3298,10.3298,10.3298,10.3298,0.0
2015-10-01,12.1,12.2,12.1,12.2,12.2,61100.0
2015-10-02,12.2,12.3,12.2,12.3,12.3,61100.0
2015-10-05,12.4,12.4,12.3,12.4,12.4,133000.0
2015-10-06,12.4,12.4,12.4,12.4,12.4,30000.0
2015-10-07,12.4,12.4,12.4,12.4,12.4,274500.0
2015-10-08,12.4,12.4,12.4,12.4,12.4,1000.0
2015-10-09,12.4,12.5,12.4,12.4,12.4,36100.0
2015-10-12,12.6,12.6,12.3,12.3,12.3,128100.0
2015-10-13,12.4,12.4,12.2,12.2,12.2,122300.0
2015-10-14,12.2,12.2,12.1,12.2,12.2,34600.0
2015-10-15,12.2,12.4,12.2,12.4,12.4,860100.0
2015-10-16,12.4,12.4,12.4,12.4,12.4,80000.0
2015-10-19,12.3,12.4,11.9,12.0,12.0,792500.0
2015-10-20,12.1,12.1,12.0,12.0,12.0,386700.0
2015-10-21,12.0,12.1,12.0,12.0,12.0,131900.0
2015-10-22,12.0,12.2,12.0,12.2,12.2,121200.0
2015-10-26,12.2,12.2,12.2,12.2,12.2,1013200.0
2015-10-27,12.1,12.1,12.0,12.0,12.0,418800.0
2015-10-28,12.0,12.1,12.0,12.1,12.1,465700.0
2015-10-29,12.1,12.2,12.1,12.2,12.2,226000.0
2015-10-30,12.1,12.2,11.9,12.0,12.0,187400.0
2015-11-02,10.4014,12.3,10.4014,12.3,12.3,86400.0
2015-11-03,12.3,12.3,12.0,12.0,12.0,105000.0
2015-11-04,11.9,12.0,11.8,11.9,11.9,152200.0
2015-11-05,11.9,11.9,11.8,11.8,11.8,182600.0
2015-11-06,11.9,11.9,11.8,11.8,11.8,164000.0
2015-11-09,11.8,11.8,11.7,11.7,11.7,67000.0
2015-11-10,11.8,11.8,11.6,11.7,11.7,68100.0
2015-11-11,11.7,11.7,11.5,11.5,11.5,161000.0
2015-11-12,11.6,11.6,11.5,11.6,11.6,271900.0
2015-11-13,11.6,11.6,11.6,11.6,11.6,174400.0
2015-11-16,11.6,11.6,11.6,11.6,11.6,71100.0
2015-11-17,11.7,11.8,11.7,11.8,11.8,200.0
2015-11-18,11.7,11.9,11.6,11.6,11.6,279100.0
2015-11-19,11.6,11.7,11.6,11.7,11.7,20300.0
2015-11-20,11.8,11.8,11.7,11.7,11.7,49500.0
