Date,Open,High,Low,Close,Adj Close,Volume
2009-12-15,1.82,1.86,1.75,1.75,1.391059,35034500.0
2009-12-16,1.75,1.76,1.74,1.75,1.391059,3273600.0
2009-12-17,1.75,1.76,1.72,1.72,1.367213,2523300.0
2009-12-18,1.73,1.73,1.68,1.68,1.335417,1358600.0
2009-12-21,1.68,1.72,1.65,1.65,1.31157,507700.0
2009-12-22,1.66,1.69,1.65,1.65,1.31157,325400.0
2009-12-23,1.67,1.67,1.62,1.62,1.287724,822800.0
2009-12-24,1.62,1.62,1.6,1.6,1.271826,277900.0
2009-12-25,1.62,1.66,1.6,1.63,1.295672,324900.0
2009-12-28,1.64,1.66,1.57,1.6,1.271826,407800.0
2009-12-29,1.62,1.62,1.6,1.62,1.287724,154200.0
2009-12-30,1.63,1.65,1.61,1.64,1.303621,760200.0
2010-01-04,1.66,1.66,1.66,1.66,1.319519,100.0
2010-01-05,1.62,1.63,1.59,1.6,1.271826,327000.0
2010-01-06,1.62,1.63,1.59,1.61,1.279775,229700.0
2010-01-07,1.6,1.61,1.6,1.61,1.279775,159500.0
2010-01-08,1.61,1.72,1.6,1.62,1.287724,3303600.0
2010-01-11,1.62,1.68,1.61,1.63,1.295672,820200.0
2010-01-12,1.64,1.66,1.61,1.61,1.279775,266700.0
2010-01-13,1.61,1.7,1.61,1.62,1.287724,1098300.0
2010-01-14,1.63,1.64,1.62,1.62,1.287724,373000.0
2010-01-15,1.63,1.64,1.62,1.62,1.287724,153500.0
2010-01-18,1.62,1.63,1.61,1.61,1.279775,183400.0
2010-01-19,1.61,1.64,1.6,1.6,1.271826,445100.0
2010-01-20,1.6,1.6,1.56,1.57,1.247979,457800.0
2010-01-21,1.57,1.58,1.55,1.55,1.232081,496500.0
2010-01-22,1.54,1.54,1.52,1.54,1.224132,286100.0
2010-01-25,1.54,1.55,1.5,1.5,1.192337,218200.0
2010-01-26,1.49,1.53,1.48,1.5,1.192337,293600.0
2010-01-27,1.5,1.5,1.46,1.46,1.160541,262200.0
2010-01-28,1.46,1.49,1.42,1.45,1.152592,132500.0
2010-01-29,1.42,1.47,1.42,1.43,1.136694,24900.0
2010-02-01,1.44,1.48,1.43,1.48,1.176439,222100.0
2010-02-02,1.46,1.46,1.44,1.45,1.152592,41400.0
2010-02-03,1.46,1.49,1.45,1.47,1.16849,262700.0
2010-02-04,1.47,1.51,1.47,1.48,1.176439,104400.0
2010-02-05,1.46,1.47,1.45,1.47,1.16849,16900.0
2010-02-08,1.46,1.46,1.45,1.45,1.152592,13500.0
2010-02-09,1.44,1.46,1.44,1.44,1.144643,145100.0
2010-02-10,1.46,1.48,1.45,1.48,1.176439,90200.0
2010-02-11,1.48,1.52,1.48,1.5,1.192337,197400.0
2010-02-12,1.5,1.53,1.47,1.47,1.16849,200000.0
2010-02-15,1.47,1.47,1.46,1.46,1.160541,40000.0
2010-02-16,1.48,1.48,1.46,1.46,1.160541,74500.0
2010-02-17,1.46,1.47,1.45,1.46,1.160541,199000.0
2010-02-18,1.46,1.47,1.43,1.46,1.160541,511900.0
2010-02-19,1.46,1.5,1.43,1.43,1.136694,1167900.0
2010-02-22,1.44,1.45,1.43,1.43,1.136694,221100.0
2010-02-23,1.45,1.47,1.43,1.43,1.136694,180100.0
2010-02-24,1.51,1.68,1.5,1.56,1.24003,10732000.0
2010-02-25,1.57,1.6,1.53,1.53,1.216183,2658500.0
2010-02-26,1.55,1.57,1.53,1.54,1.224132,641100.0
2010-03-02,1.55,1.55,1.52,1.52,1.208234,661200.0
2010-03-03,1.52,1.53,1.5,1.5,1.192337,525900.0
2010-03-04,1.51,1.53,1.51,1.51,1.200285,282000.0
2010-03-05,1.51,1.54,1.49,1.49,1.184388,1037700.0
2010-03-08,1.5,1.52,1.49,1.49,1.184388,303800.0
2010-03-09,1.49,1.5,1.48,1.48,1.176439,174100.0
2010-03-10,1.5,1.5,1.48,1.48,1.176439,280800.0
2010-03-11,1.49,1.5,1.49,1.49,1.184388,63100.0
2010-03-12,1.49,1.49,1.49,1.49,1.184388,14500.0
2010-03-15,1.5,1.5,1.49,1.5,1.192337,146200.0
2010-03-16,1.51,1.53,1.51,1.53,1.216183,317700.0
2010-03-17,1.54,1.56,1.54,1.54,1.224132,908900.0
2010-03-18,1.55,1.56,1.53,1.54,1.224132,444200.0
2010-03-19,1.54,1.56,1.54,1.55,1.232081,196400.0
2010-03-22,1.55,1.57,1.54,1.54,1.224132,428500.0
2010-03-23,1.55,1.57,1.55,1.56,1.24003,213100.0
2010-03-24,1.57,1.59,1.57,1.57,1.247979,535400.0
2010-03-25,1.57,1.61,1.57,1.61,1.279775,445200.0
2010-03-26,1.61,1.63,1.58,1.58,1.255928,393500.0
2010-03-29,1.59,1.6,1.58,1.6,1.271826,307800.0
2010-03-30,1.62,1.67,1.62,1.63,1.295672,1121100.0
2010-03-31,1.63,1.76,1.63,1.7,1.351315,3933300.0
2010-04-01,1.7,1.72,1.68,1.7,1.351315,539400.0
2010-04-02,1.71,1.75,1.67,1.68,1.335417,1371900.0
2010-04-05,1.69,1.7,1.65,1.69,1.343366,488100.0
2010-04-07,1.66,1.7,1.66,1.66,1.319519,501100.0
2010-04-08,1.66,1.67,1.58,1.6,1.271826,307200.0
2010-04-09,1.6,1.64,1.59,1.6,1.271826,562400.0
2010-04-12,1.6,1.6,1.56,1.57,1.247979,367400.0
2010-04-16,1.57,1.59,1.55,1.59,1.263877,142300.0
2010-04-19,1.57,1.57,1.54,1.54,1.224132,132200.0
2010-04-20,1.54,1.6,1.54,1.59,1.263877,253700.0
2010-04-21,1.58,1.6,1.57,1.57,1.247979,424800.0
2010-04-22,1.59,1.59,1.57,1.57,1.247979,317700.0
2010-04-23,1.55,1.56,1.55,1.56,1.24003,334400.0
2010-04-26,1.59,1.59,1.56,1.57,1.247979,212600.0
2010-04-27,1.58,1.58,1.56,1.57,1.247979,584600.0
2010-04-28,1.56,1.6,1.56,1.6,1.271826,124300.0
2010-04-29,1.58,1.65,1.57,1.62,1.287724,1270100.0
