Date,Open,High,Low,Close,Adj Close,Volume
2002-12-19,0.89111,1.14389,0.85778,1.14389,0.698585,996666170.0
2002-12-20,1.13278,1.19889,1.1,1.14389,0.698585,1066429737.0
2002-12-23,1.12222,1.155,1.06722,1.06722,0.651762,585961214.0
2002-12-24,1.06722,1.11111,0.88,0.88,0.537425,861230511.0
2002-12-25,0.89111,0.92389,0.85778,0.92389,0.564229,242015371.0
2002-12-26,0.92389,1.01222,0.92389,1.00111,0.611388,447337555.0
2002-12-27,1.01222,1.06722,1.01222,1.03389,0.631407,425673767.0
2002-12-30,,,,,,
2002-12-31,,,,,,
2003-01-01,,,,,,
2003-01-02,1.045,1.06722,1.02278,1.05611,0.644977,243277029.0
2003-01-03,1.06722,1.08889,1.06722,1.06722,0.651762,293597179.0
2003-01-06,1.07778,1.19889,1.07778,1.16611,0.712155,613031594.0
2003-01-07,1.17722,1.18778,1.05611,1.05611,0.644977,453332207.0
2003-01-08,1.07778,1.1,0.97889,1.00111,0.611388,256321278.0
2003-01-09,1.01222,1.06722,1.01222,1.06722,0.651762,171157657.0
2003-01-10,1.08889,1.08889,1.02278,1.07778,0.658211,227158826.0
2003-01-13,1.08889,1.13278,1.06722,1.12222,0.685351,166257153.0
2003-01-14,1.12222,1.155,1.08889,1.08889,0.664996,268057537.0
2003-01-15,1.1,1.12222,1.05611,1.06722,0.651762,124009466.0
2003-01-16,1.06722,1.1,1.045,1.06722,0.651762,68108087.0
2003-01-17,1.06722,1.07778,1.03389,1.03389,0.631407,38749617.0
2003-01-20,1.03389,1.05611,1.02278,1.045,0.638192,34002365.0
2003-01-21,1.05611,1.08889,1.045,1.08889,0.664996,90427653.0
2003-01-22,1.06722,1.13278,1.06722,1.08889,0.664996,248872513.0
2003-01-23,1.1,1.29778,1.1,1.29778,0.792567,427528829.0
2003-01-24,1.27611,1.30889,1.22111,1.22111,0.745744,377214025.0
2003-01-27,1.18778,1.19889,1.08889,1.08889,0.664996,457908386.0
2003-01-28,1.11111,1.155,1.1,1.13278,0.6918,247382759.0
2003-01-29,1.11111,1.13278,1.045,1.045,0.638192,177676216.0
2003-01-30,1.06722,1.1,1.06722,1.08889,0.664996,118697321.0
2003-01-31,1.07778,1.1,1.07778,1.08889,0.664996,28572608.0
2003-02-03,1.11111,1.155,1.08889,1.155,0.70537,135781367.0
2003-02-04,1.16611,1.17722,1.13278,1.14389,0.698585,194505437.0
2003-02-05,1.155,1.16611,1.13278,1.13278,0.6918,80111648.0
2003-02-06,1.16611,1.28722,1.16611,1.27611,0.779333,328406792.0
2003-02-07,1.25389,1.27611,1.19889,1.22111,0.745744,167909067.0
2003-02-10,1.22111,1.265,1.18778,1.21,0.738959,137572279.0
2003-02-11,1.24278,1.265,1.21,1.25389,0.765763,131846708.0
2003-02-12,1.24278,1.27611,1.23222,1.24278,0.758978,151528912.0
2003-02-13,1.24278,1.30889,1.21,1.23222,0.752529,273544319.0
2003-02-14,1.25389,1.33111,1.22111,1.32,0.806137,285808052.0
2003-02-17,,,,,,
2003-02-18,1.35278,1.375,1.29778,1.35278,0.826156,251766482.0
2003-02-19,1.36389,1.40778,1.35278,1.35278,0.826156,217536021.0
