Date,Open,High,Low,Close,Adj Close,Volume
2013-10-09,11.4,12.1,9.9,9.9,8.384933,312646200.0
2013-10-10,10.3,10.3,9.9,10.2,8.639022,54583700.0
2013-10-11,10.2,10.3,9.95,10.1,8.554326,12431400.0
2013-10-14,10.0,10.1,9.9,9.9,8.384933,4964400.0
2013-10-15,10.0,10.3,9.9,10.0,8.469626,18005200.0
2013-10-16,10.0,10.0,9.9,9.9,8.384933,5161400.0
2013-10-17,9.95,10.1,9.75,9.75,8.257889,8174700.0
2013-10-18,9.9,10.2,9.8,9.95,8.427281,9353300.0
2013-10-21,10.0,10.2,9.85,9.85,8.342586,7119300.0
2013-10-22,9.85,10.0,9.8,9.8,8.300236,2727800.0
2013-10-24,9.8,9.9,9.8,9.85,8.342586,1525500.0
2013-10-25,9.95,9.95,9.8,9.8,8.300236,2041300.0
2013-10-28,9.85,9.9,9.8,9.8,8.300236,1620100.0
2013-10-29,9.85,9.85,9.75,9.8,8.300236,1443300.0
2013-10-30,9.85,9.85,9.7,9.7,8.215539,4592800.0
2013-10-31,9.65,9.7,9.5,9.5,8.046146,2231400.0
2013-11-01,9.5,9.5,9.35,9.35,7.919104,2091000.0
2013-11-04,9.3,9.3,9.05,9.05,7.665014,2040400.0
2013-11-05,9.1,9.85,9.1,9.75,8.257889,8533400.0
2013-11-06,9.85,10.3,9.85,9.95,8.427281,10758800.0
2013-11-07,9.95,10.1,9.75,9.75,8.257889,5526400.0
2013-11-08,9.7,10.0,9.65,9.65,8.173191,3214800.0
2013-11-11,9.5,10.8,9.5,10.5,8.89311,16536100.0
2013-11-12,10.6,11.5,10.5,11.1,9.401289,25631300.0
2013-11-13,10.9,11.2,10.9,11.0,9.316591,7152100.0
2013-11-14,11.2,11.4,11.0,11.1,9.401289,7132200.0
2013-11-15,11.2,13.0,11.0,12.7,10.756429,44804800.0
2013-11-18,12.7,12.8,12.1,12.3,10.417644,16003000.0
2013-11-19,12.3,13.4,12.2,12.5,10.587036,54459200.0
2013-11-20,12.6,13.0,12.4,12.5,10.587036,22085200.0
2013-11-21,12.4,12.6,12.1,12.2,10.332947,7885200.0
2013-11-22,12.0,12.0,11.6,11.9,10.24684,5952600.0
2013-11-25,11.6,12.1,11.6,11.7,10.074623,6310800.0
2013-11-26,11.7,12.1,11.7,11.8,10.160732,6615800.0
2013-11-27,11.8,12.2,11.8,11.9,10.24684,5013100.0
2013-11-28,12.0,12.4,12.0,12.3,10.591272,10019100.0
2013-11-29,12.3,12.6,12.2,12.5,10.763486,5130000.0
2013-12-02,12.4,12.9,12.3,12.9,11.107918,4512600.0
2013-12-03,12.8,13.1,12.7,12.9,11.107918,10189500.0
2013-12-04,12.9,13.7,12.8,13.7,11.796782,24106100.0
2013-12-06,13.7,13.9,13.5,13.7,11.796782,9491700.0
2013-12-09,13.7,13.9,13.3,13.5,11.624566,6073900.0
2013-12-11,13.5,13.6,13.4,13.4,11.538458,2074300.0
2013-12-12,13.5,14.2,13.4,14.2,12.227321,15191300.0
2013-12-13,14.3,14.3,13.9,14.2,12.227321,9032400.0
2013-12-16,14.2,14.8,14.0,14.6,12.571753,22070600.0
2013-12-17,14.6,14.8,14.4,14.6,12.571753,14069100.0
2013-12-18,14.6,14.9,14.5,14.7,12.657861,13275700.0
2013-12-19,14.7,15.1,14.7,15.0,12.916183,20205500.0
2013-12-20,15.0,15.8,15.0,15.8,13.605047,15944200.0
2013-12-23,15.8,15.9,15.2,15.3,13.174509,11897800.0
2013-12-24,15.3,15.7,15.2,15.5,13.346724,9949600.0
2013-12-25,15.6,15.8,15.4,15.5,13.346724,7534900.0
2013-12-26,15.5,15.5,14.0,14.5,12.485643,14148800.0
2013-12-27,14.4,14.5,13.9,14.0,12.055104,6229200.0
2014-01-02,14.0,14.0,12.5,12.6,10.849594,7160000.0
