Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,34.75,34.75,31.0,31.0,15.95671,0.0
2000-01-05,35.0,35.0,35.0,35.0,18.015635,100.0
2000-01-06,33.5,33.5,28.25,28.25,14.541193,0.0
2000-01-07,34.5,34.5,27.25,27.25,14.026459,0.0
2000-01-10,34.75,34.75,27.5,27.5,14.15514,0.0
2000-01-11,34.5,34.5,27.0,27.0,13.897775,0.0
2000-01-12,34.75,34.75,26.0,26.0,13.383043,0.0
2000-01-13,34.0,34.0,29.5,29.5,15.184608,0.0
2000-01-14,34.0,34.0,30.0,30.0,15.441972,0.0
2000-01-17,31.0,31.0,31.0,31.0,15.95671,1400.0
2000-01-18,31.0,31.0,31.0,31.0,15.95671,1200.0
2000-01-19,31.0,31.0,31.0,31.0,15.95671,1200.0
2000-01-20,33.75,33.75,27.0,27.0,13.897775,0.0
2000-01-21,34.0,34.0,26.75,26.75,13.769093,0.0
2000-01-24,26.25,26.25,25.0,25.0,12.868313,2000.0
2000-01-25,31.0,31.0,26.5,26.5,13.640411,0.0
2000-01-26,31.25,31.25,28.25,28.25,14.541193,0.0
2000-01-27,31.25,31.25,26.25,26.25,13.511726,0.0
2000-01-28,31.25,31.25,26.5,26.5,13.640411,0.0
2000-01-31,30.0,30.0,30.0,30.0,15.441972,400.0
2000-02-01,27.0,29.0,27.0,29.0,14.927239,3000.0
2000-02-02,29.0,29.0,29.0,29.0,14.927239,200.0
2000-02-03,30.0,30.0,28.0,28.0,14.412507,0.0
2000-02-04,29.0,29.0,29.0,29.0,14.927239,700.0
2000-02-07,31.0,31.0,28.25,28.25,14.541193,0.0
2000-02-08,30.75,30.75,28.5,28.5,14.669874,0.0
2000-02-09,29.0,29.0,29.0,29.0,14.927239,2000.0
2000-02-10,30.0,30.0,30.0,30.0,15.441972,100.0
2000-02-11,30.0,30.0,30.0,30.0,15.441972,1000.0
2000-02-14,30.0,30.0,30.0,30.0,15.441972,500.0
2000-02-15,31.5,32.0,30.0,30.0,15.441972,1400.0
2000-02-16,30.0,30.0,30.0,30.0,15.441972,1400.0
2000-02-17,32.5,32.5,29.75,29.75,15.313291,0.0
2000-02-18,32.5,32.5,29.25,29.25,15.055925,0.0
2000-02-21,29.25,29.25,29.25,29.25,15.055925,0.0
2000-02-22,29.25,29.25,29.25,29.25,15.055925,500.0
2000-02-23,31.75,31.75,28.0,28.0,14.412507,0.0
2000-02-24,29.0,29.0,28.25,28.25,14.541193,2000.0
2000-02-25,32.75,32.75,28.0,28.0,14.412507,0.0
2000-02-28,32.75,32.75,27.25,27.25,14.026459,0.0
2000-02-29,32.5,32.5,26.25,26.25,13.511726,0.0
2000-03-01,32.5,32.5,28.0,28.0,14.412507,0.0
2000-03-02,32.25,32.25,28.25,28.25,14.541193,0.0
2000-03-03,32.5,32.5,27.75,27.75,14.283826,0.0
2000-03-06,28.5,28.5,28.5,28.5,14.669874,700.0
2000-03-07,31.0,31.0,28.5,28.5,14.669874,0.0
2000-03-08,30.75,30.75,29.0,29.0,14.927239,0.0
2000-03-09,29.25,29.25,29.25,29.25,15.055925,1500.0
2000-03-10,30.75,30.75,29.25,29.25,15.055925,0.0
2000-03-13,30.75,30.75,29.5,29.5,15.184608,0.0
2000-03-14,30.75,30.75,29.5,29.5,15.184608,0.0
2000-03-15,30.75,30.75,28.75,28.75,14.798556,0.0
2000-03-16,30.75,30.75,28.75,28.75,14.798556,0.0
2000-03-17,29.5,29.5,29.5,29.5,15.184608,1000.0
2000-03-20,30.75,30.75,29.0,29.0,14.927239,0.0
2000-03-21,30.0,30.0,30.0,30.0,15.441972,1400.0
2000-03-22,29.5,29.5,29.5,29.5,15.184608,900.0
2000-03-23,31.0,31.0,29.0,29.0,14.927239,3500.0
