Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,0.79,0.79,0.79,0.79,3e-06,5000.0
2000-01-05,0.72,0.77,0.56,0.77,3e-06,36000.0
2000-01-06,0.55,0.77,0.55,0.7,2e-06,51000.0
2000-01-07,0.69,0.8,0.69,0.8,3e-06,6000.0
2000-01-10,0.7,0.88,0.7,0.88,3e-06,4000.0
2000-01-11,0.88,0.89,0.72,0.72,3e-06,32000.0
2000-01-12,0.57,0.71,0.57,0.71,2e-06,19000.0
2000-01-13,0.6,0.87,0.6,0.75,3e-06,90000.0
2000-01-14,0.71,0.81,0.71,0.81,3e-06,60000.0
2000-01-17,0.82,0.82,0.72,0.72,3e-06,30000.0
2000-01-18,0.71,0.71,0.71,0.71,2e-06,4000.0
2000-01-19,0.71,0.76,0.71,0.73,3e-06,20000.0
2000-01-20,0.8,0.8,0.71,0.71,2e-06,0.0
2000-01-21,0.76,0.76,0.72,0.72,3e-06,30000.0
2000-01-24,0.84,0.84,0.72,0.72,3e-06,0.0
2000-01-25,0.84,0.84,0.71,0.71,2e-06,0.0
2000-01-26,0.83,0.83,0.7,0.7,2e-06,0.0
2000-01-27,0.7,0.93,0.7,0.93,3e-06,30000.0
2000-01-28,0.84,0.84,0.73,0.73,3e-06,0.0
2000-01-31,0.66,0.85,0.66,0.84,3e-06,111000.0
2000-02-01,0.83,0.83,0.7,0.7,2e-06,0.0
2000-02-02,0.7,0.78,0.68,0.78,3e-06,52000.0
2000-02-03,0.8,0.8,0.71,0.71,2e-06,0.0
2000-02-04,0.79,0.79,0.66,0.66,2e-06,0.0
2000-02-07,0.78,0.78,0.66,0.66,2e-06,0.0
2000-02-08,0.81,0.81,0.64,0.64,2e-06,0.0
2000-02-09,0.8,0.8,0.65,0.65,2e-06,0.0
2000-02-10,0.84,0.84,0.82,0.82,3e-06,20000.0
2000-02-11,0.83,0.83,0.66,0.66,2e-06,0.0
2000-02-14,0.83,0.83,0.66,0.67,2e-06,50000.0
2000-02-15,0.68,0.7,0.67,0.7,2e-06,72000.0
2000-02-16,0.8,0.8,0.72,0.72,3e-06,0.0
2000-02-17,0.67,0.67,0.67,0.67,2e-06,15000.0
2000-02-18,0.79,0.79,0.58,0.58,2e-06,0.0
2000-02-21,0.58,0.58,0.58,0.58,2e-06,0.0
