Date,Open,High,Low,Close,Adj Close,Volume
2012-11-23,5.25252,6.30303,4.50842,4.81481,3.916537,299416633
2012-11-26,5.16498,5.20875,4.55219,4.59596,3.738517,51910131
2012-11-27,4.59596,4.63973,4.3771,4.46465,3.631705,33618239
2012-11-28,4.50842,4.6835,4.3771,4.3771,3.560489,27474335
2012-11-29,4.42087,4.46465,4.18451,4.21953,3.432315,18963684
2012-11-30,4.25454,4.35959,4.23704,4.28956,3.48928,27461998
2012-12-03,4.28956,4.30707,4.18451,4.21953,3.432315,7540604
2012-12-04,4.21953,4.42087,4.20202,4.30707,3.503523,24843143
2012-12-06,4.30707,4.55219,4.30707,4.46465,3.631705,30597519
2012-12-07,4.46465,4.46465,4.20202,4.20202,3.418072,21308042
2012-12-11,4.20202,4.25454,4.11448,4.11448,3.346864,7694701
2012-12-12,4.13199,4.167,3.83434,3.85185,3.133231,12486340
2012-12-13,3.85185,3.97441,3.85185,3.88687,3.161718,6294802
2012-12-14,3.90438,3.90438,3.76431,3.76431,3.062023,4590365
2012-12-17,3.79933,3.90438,3.76431,3.76431,3.062023,6670508
2012-12-18,3.78182,3.86936,3.76431,3.78182,3.076267,9897071
2012-12-19,3.79933,3.81683,3.7468,3.7468,3.04778,3296701
2012-12-20,3.72929,4.06195,3.71178,3.83434,3.118988,95851064
2012-12-21,3.85185,3.90438,3.81683,3.81683,3.104745,7426830
2012-12-24,3.85185,3.85185,3.79933,3.79933,3.09051,1365287
2012-12-25,3.81683,3.83434,3.72929,3.72929,3.033536,1843114
2012-12-26,3.7468,3.76431,3.71178,3.72929,3.033536,1821296
2012-12-27,3.72929,3.7468,3.67677,3.71178,3.019294,1927302
2012-12-28,3.69428,3.72929,3.65926,3.65926,2.976572,2505424
2013-01-02,3.65926,3.72929,3.65926,3.67677,2.990815,1377738
2013-01-03,3.71178,3.72929,3.65926,3.65926,2.976572,1807017
2013-01-04,3.69428,3.72929,3.67677,3.69428,3.005058,1588379
2013-01-07,3.71178,3.72929,3.67677,3.67677,2.990815,1918278
2013-01-08,3.67677,3.76431,3.65926,3.76431,3.062023,5454863
2013-01-09,3.79933,3.85185,3.76431,3.76431,3.062023,8389110
2013-01-10,3.79933,3.79933,3.69428,3.69428,3.005058,2646728
2013-01-11,3.72929,3.72929,3.65926,3.67677,2.990815,1218271
2013-01-14,3.71178,3.72929,3.67677,3.67677,2.990815,638664
2013-01-15,3.69428,3.71178,3.67677,3.69428,3.005058,1422288
2013-01-16,3.69428,3.79933,3.69428,3.72929,3.033536,5010391
2013-01-17,3.76431,3.81683,3.72929,3.72929,3.033536,3809826
