Date,Open,High,Low,Close,Adj Close,Volume
2005-02-18,6.8,6.85,6.25,6.3,2.178925,97144200.0
2005-02-21,6.35,6.9,6.35,6.55,2.26539,68893900.0
2005-02-22,6.6,6.7,6.5,6.5,2.248097,25781700.0
2005-02-24,6.55,6.55,6.35,6.45,2.230804,10325800.0
2005-02-25,6.6,6.85,6.6,6.85,2.369148,39165400.0
2005-02-28,6.8,6.8,6.3,6.3,2.178925,23358400.0
2005-03-01,6.4,6.5,6.35,6.4,2.213511,7579900.0
2005-03-02,6.35,6.55,6.3,6.35,2.196218,12416600.0
2005-03-03,6.4,6.45,6.3,6.3,2.178925,8443200.0
2005-03-04,6.35,6.35,6.1,6.15,2.127046,4833000.0
2005-03-07,6.2,6.2,6.0,6.0,2.075166,5370500.0
2005-03-08,6.15,6.25,6.05,6.05,2.09246,7992400.0
2005-03-09,6.1,6.2,6.0,6.05,2.09246,3278500.0
2005-03-10,6.05,6.05,5.95,6.0,2.075166,2250300.0
2005-03-11,6.0,6.05,5.95,5.95,2.057873,3919600.0
2005-03-14,5.95,5.95,5.8,5.85,2.023287,2294100.0
2005-03-15,5.95,6.05,5.9,5.9,2.040581,2042900.0
2005-03-16,5.95,6.0,5.9,6.0,2.075166,809700.0
2005-03-17,5.95,6.2,5.95,6.15,2.127046,5639500.0
2005-03-18,6.2,6.2,6.05,6.05,2.09246,2609400.0
2005-03-21,6.1,6.15,6.0,6.05,2.09246,982100.0
2005-03-22,6.0,6.05,5.95,6.05,2.09246,731800.0
2005-03-23,6.0,6.0,5.9,5.95,2.057873,2151900.0
2005-03-24,5.95,5.95,5.9,5.95,2.057873,453900.0
2005-03-25,5.95,6.05,5.95,6.05,2.09246,386100.0
2005-03-28,6.05,6.1,6.05,6.05,2.09246,3201100.0
2005-03-29,5.55,5.6,5.45,5.5,2.036907,1720900.0
2005-03-30,5.5,5.5,5.25,5.3,1.962838,920700.0
2005-03-31,5.35,5.35,5.2,5.2,1.925803,379400.0
2005-04-01,5.2,5.4,5.2,5.4,1.999873,1551500.0
2005-04-04,5.25,5.35,5.25,5.3,1.962838,415900.0
2005-04-05,5.3,5.3,5.1,5.1,1.888769,561500.0
2005-04-07,5.1,5.1,4.74,4.74,1.755444,1865100.0
2005-04-08,4.74,4.78,4.74,4.76,1.762851,295500.0
2005-04-11,4.74,4.74,4.62,4.72,1.748037,479000.0
2005-04-12,4.76,4.9,4.72,4.82,1.785072,896400.0
2005-04-18,4.76,4.76,4.64,4.66,1.725816,240000.0
2005-04-19,4.66,4.7,4.66,4.68,1.733223,103100.0
2005-04-20,4.68,4.72,4.64,4.64,1.718409,329900.0
2005-04-21,4.64,4.64,4.02,4.4,1.629526,1005000.0
2005-04-22,4.64,4.64,4.38,4.5,1.666561,828800.0
2005-04-25,4.44,4.44,4.34,4.34,1.607305,258800.0
2005-04-26,4.34,4.36,4.28,4.36,1.614712,293300.0
2005-04-27,4.34,4.44,4.34,4.34,1.607305,307900.0
2005-04-28,4.36,4.36,4.24,4.24,1.57027,124700.0
2005-04-29,4.24,4.24,4.0,4.08,1.511015,784400.0
2005-05-03,4.06,4.36,4.06,4.32,1.599898,790600.0
2005-05-04,4.36,4.74,4.32,4.74,1.755444,4783000.0
2005-05-06,4.74,5.05,4.66,4.84,1.792479,6344400.0
2005-05-09,4.84,5.1,4.82,5.05,1.870252,6323500.0
2005-05-10,5.05,5.05,4.92,4.94,1.829513,2290400.0
2005-05-11,4.94,5.25,4.94,5.25,1.944321,13980700.0
2005-05-12,5.1,5.4,5.0,5.15,1.907286,12169100.0
2005-05-13,5.15,5.15,4.88,4.88,1.807293,4995400.0
2005-05-16,4.92,4.92,4.72,4.76,1.762851,2285800.0
2005-05-17,4.8,4.82,4.74,4.74,1.755444,842700.0
2005-05-18,4.74,4.78,4.74,4.78,1.770258,799100.0
2005-05-19,4.8,4.88,4.8,4.88,1.807293,2989200.0
2005-05-20,4.9,4.96,4.82,4.88,1.807293,3729500.0
2005-05-24,4.88,4.94,4.88,4.92,1.822106,1163200.0
2005-05-25,4.92,5.05,4.9,4.96,1.83692,8249300.0
2005-05-26,5.0,5.1,4.92,5.1,1.888769,5630700.0
2005-05-27,5.1,5.2,5.0,5.1,1.888769,7857900.0
2005-05-30,5.15,5.15,5.0,5.05,1.870252,1911100.0
2005-05-31,5.05,5.05,4.98,5.0,1.851734,3861100.0
2005-06-01,5.0,5.05,4.94,4.96,1.83692,4804900.0
2005-06-02,5.0,5.05,4.96,4.96,1.83692,1254900.0
2005-06-03,4.98,5.0,4.92,4.92,1.822106,2459500.0
2005-06-06,4.96,5.05,4.96,5.0,1.851734,1378200.0
2005-06-07,5.05,5.1,4.96,4.96,1.83692,2144400.0
2005-06-08,5.0,5.1,4.96,4.98,1.844327,3694700.0
2005-06-09,5.0,5.1,4.92,4.92,1.822106,2807200.0
2005-06-10,4.94,5.05,4.94,4.98,1.844327,1306400.0
2005-06-13,4.96,4.96,4.96,4.96,1.83692,693900.0
2005-06-14,4.94,5.0,4.94,5.0,1.851734,553100.0
2005-06-15,4.98,5.0,4.96,5.0,1.851734,1416900.0
2005-06-16,4.98,5.0,4.98,4.98,1.844327,309000.0
2005-06-17,4.98,5.05,4.98,5.0,1.851734,2023700.0
2005-06-20,5.05,5.4,5.05,5.25,1.944321,16514500.0
2005-06-21,5.25,5.35,4.94,4.94,1.829513,10882900.0
2005-06-22,4.98,5.05,4.88,4.88,1.807293,2100700.0
2005-06-23,4.94,4.96,4.82,4.86,1.799885,1811600.0
2005-06-24,4.84,4.84,4.76,4.76,1.762851,1202000.0
2005-06-27,4.78,4.78,4.74,4.74,1.755444,367000.0
2005-06-28,4.76,4.82,4.76,4.78,1.770258,393500.0
2005-06-29,4.8,4.86,4.8,4.82,1.785072,1711200.0
2005-06-30,4.82,4.82,4.72,4.72,1.748037,1022100.0
2005-07-04,4.72,4.72,4.5,4.58,1.696188,583500.0
2005-07-05,4.56,4.56,4.38,4.38,1.622119,659800.0
2005-07-06,4.46,4.48,4.36,4.38,1.622119,681600.0
2005-07-07,4.32,4.32,4.1,4.1,1.518422,541200.0
2005-07-08,4.14,4.14,4.06,4.08,1.511015,899000.0
2005-07-11,4.12,4.16,4.04,4.04,1.496201,590500.0
2005-07-12,4.02,4.04,4.0,4.02,1.488794,843300.0
2005-07-13,4.02,4.1,4.0,4.02,1.488794,1014400.0
2005-07-14,4.04,4.1,4.02,4.06,1.503608,2390900.0
2005-07-15,4.06,4.1,4.0,4.04,1.496201,1428700.0
2005-07-18,4.02,4.02,3.96,3.96,1.466573,296800.0
2005-07-19,3.96,3.96,3.86,3.88,1.436946,369100.0
2005-07-20,3.88,3.9,3.82,3.9,1.444353,96500.0
2005-07-21,3.92,3.92,3.9,3.9,1.444353,202900.0
2005-07-25,3.88,4.04,3.88,3.98,1.47398,511000.0
2005-07-26,3.96,3.98,3.92,3.98,1.47398,97200.0
2005-07-27,3.96,3.98,3.9,3.92,1.451759,925500.0
2005-07-28,3.94,3.98,3.94,3.96,1.466573,294600.0
2005-07-29,3.96,4.0,3.92,3.94,1.459166,96900.0
2005-08-01,3.94,3.94,3.88,3.92,1.451759,152600.0
2005-08-02,3.92,3.94,3.88,3.88,1.436946,506300.0
2005-08-03,3.88,3.88,3.86,3.86,1.429538,171100.0
2005-08-04,3.86,3.88,3.82,3.86,1.429538,878300.0
2005-08-05,3.82,3.86,3.82,3.86,1.429538,364800.0
2005-08-08,3.86,3.86,3.84,3.84,1.422132,306000.0
2005-08-09,3.86,3.86,3.82,3.84,1.422132,484900.0
2005-08-10,3.84,3.86,3.82,3.82,1.414725,166900.0
2005-08-11,3.84,3.86,3.82,3.86,1.429538,592200.0
2005-08-15,3.82,3.84,3.82,3.82,1.414725,247100.0
2005-08-16,3.82,3.84,3.82,3.84,1.422132,177800.0
2005-08-17,3.84,3.84,3.84,3.84,1.422132,178300.0
2005-08-18,3.86,3.86,3.82,3.82,1.414725,210000.0
2005-08-19,3.82,4.1,3.82,3.88,1.436946,795900.0
2005-08-22,3.88,3.9,3.86,3.9,1.444353,302700.0
2005-08-23,3.88,3.9,3.86,3.86,1.429538,527000.0
2005-08-24,3.86,3.9,3.84,3.86,1.429538,344400.0
2005-08-25,3.88,3.88,3.84,3.86,1.429538,584000.0
2005-08-26,3.86,3.86,3.84,3.84,1.422132,256200.0
2005-08-29,3.84,3.86,3.84,3.84,1.422132,694000.0
2005-08-30,3.86,3.88,3.84,3.84,1.422132,249700.0
2005-08-31,3.86,3.86,3.84,3.86,1.429538,55800.0
2005-09-01,3.86,3.92,3.86,3.9,1.444353,918200.0
2005-09-02,3.9,3.94,3.86,3.9,1.444353,1198900.0
2005-09-05,3.92,3.94,3.92,3.92,1.451759,513200.0
2005-09-06,3.94,3.94,3.88,3.9,1.444353,205200.0
2005-09-07,3.94,3.94,3.9,3.9,1.444353,986300.0
2005-09-08,3.94,3.94,3.9,3.94,1.459166,681100.0
2005-09-09,3.94,3.94,3.88,3.9,1.444353,475600.0
2005-09-12,3.9,3.94,3.9,3.92,1.451759,1100400.0
2005-09-13,3.92,3.98,3.9,3.9,1.444353,1005800.0
2005-09-14,3.94,4.06,3.94,4.0,1.481387,3488400.0
2005-09-15,4.02,4.16,4.0,4.12,1.525829,7210100.0
2005-09-16,4.14,4.16,4.04,4.04,1.496201,4661100.0
2005-09-19,4.06,4.12,4.06,4.06,1.503608,1888200.0
2005-09-20,4.06,4.14,4.06,4.06,1.503608,2703700.0
2005-09-21,4.08,4.08,3.96,3.96,1.466573,2478400.0
2005-09-22,3.96,4.0,3.94,3.96,1.466573,624800.0
2005-09-23,3.96,4.08,3.96,4.04,1.496201,3945600.0
2005-09-26,4.04,4.04,4.0,4.0,1.481387,12200.0
2005-09-27,4.02,4.12,4.0,4.08,1.511015,3258600.0
2005-09-28,4.12,4.12,4.0,4.02,1.488794,1409600.0
2005-09-29,4.02,4.08,3.98,4.0,1.481387,2283500.0
2005-09-30,3.98,4.04,3.98,4.0,1.481387,1320100.0
2005-10-03,4.0,4.0,3.98,4.0,1.481387,94000.0
2005-10-04,4.0,4.12,4.0,4.1,1.518422,4350700.0
2005-10-05,4.1,4.1,4.02,4.02,1.488794,1236900.0
2005-10-06,4.02,4.04,4.02,4.04,1.496201,3206700.0
2005-10-07,4.04,4.04,4.02,4.02,1.488794,172700.0
2005-10-10,4.02,4.04,3.96,3.98,1.47398,3353500.0
2005-10-11,3.98,3.98,3.94,3.96,1.466573,137600.0
2005-10-12,3.98,3.98,3.94,3.96,1.466573,489200.0
2005-10-13,3.92,3.94,3.88,3.88,1.436946,229600.0
2005-10-14,3.9,3.92,3.86,3.92,1.451759,146500.0
2005-10-17,3.92,4.0,3.9,3.9,1.444353,943000.0
2005-10-18,3.9,4.0,3.9,3.92,1.451759,263000.0
2005-10-19,3.9,3.96,3.86,3.86,1.429538,77600.0
2005-10-20,3.86,3.92,3.86,3.9,1.444353,335000.0
2005-10-21,3.86,3.9,3.84,3.9,1.444353,60100.0
2005-10-25,3.82,3.86,3.8,3.86,1.429538,37.0
