Date,Open,High,Low,Close,Adj Close,Volume
2003-10-09,19.5,19.799999,18.6,19.4,10.948526,110382.0
2003-10-10,20.200001,25.0,20.200001,25.0,14.108925,5242000.0
2003-10-13,28.75,32.5,28.75,31.25,17.636152,4855800.0
2003-10-14,31.5,35.75,28.0,33.5,18.90596,9292800.0
2003-10-15,35.5,35.75,33.25,34.0,19.188137,4752200.0
2003-10-16,34.0,34.5,31.0,31.75,17.918333,2651500.0
2003-10-17,32.0,32.25,30.0,30.0,16.930706,887900.0
2003-10-20,30.0,31.75,30.0,30.0,16.930706,1306000.0
2003-10-21,30.25,32.5,30.25,31.5,17.777243,1577200.0
2003-10-22,32.0,32.25,30.25,30.25,17.071798,1043400.0
2003-10-23,,,,,,
2003-10-24,30.5,31.5,30.0,30.5,17.212889,600600.0
2003-10-27,30.75,31.0,28.25,29.75,16.789619,970600.0
2003-10-28,29.25,31.75,29.25,31.5,17.777243,1219700.0
2003-10-29,32.0,34.5,31.0,32.5,18.341604,2705000.0
2003-10-30,33.0,33.25,32.0,32.25,18.200512,715400.0
2003-10-31,32.5,33.5,31.5,31.75,17.918333,654900.0
2003-11-03,32.25,32.5,30.0,30.25,17.071798,946500.0
2003-11-04,30.5,31.5,29.75,29.75,16.789619,508700.0
2003-11-05,30.0,30.75,29.75,30.0,16.930706,183600.0
2003-11-06,30.0,32.25,30.0,30.25,17.071798,1147700.0
2003-11-07,30.75,32.25,30.5,31.0,17.495068,913600.0
2003-11-10,32.25,40.25,32.0,40.25,22.715364,8244300.0
2003-11-11,40.5,44.5,37.75,38.5,21.727741,4776400.0
2003-11-12,39.25,40.75,38.25,39.0,22.00992,1378400.0
2003-11-13,39.5,41.75,38.25,38.75,21.868835,1732600.0
2003-11-14,39.25,47.5,38.75,45.25,25.537151,6179200.0
2003-11-17,43.25,46.0,43.0,43.75,24.690619,1520200.0
2003-11-18,44.5,56.5,43.75,56.5,31.886168,5796600.0
2003-11-19,58.0,71.0,56.5,60.0,33.861412,5135800.0
2003-11-20,63.5,69.5,62.5,66.0,37.247559,4200300.0
2003-11-21,66.5,82.5,66.5,71.0,40.069344,5284000.0
2003-11-24,74.5,79.5,61.0,65.0,36.683208,2608900.0
2003-11-25,68.5,68.5,57.5,61.0,34.425777,1969100.0
2003-11-26,61.0,64.5,61.0,63.0,35.554485,807700.0
2003-11-27,64.5,66.0,63.0,64.0,36.118847,665700.0
2003-11-28,65.0,67.0,61.0,62.5,35.272305,786000.0
2003-12-01,63.0,63.5,58.5,60.0,33.861412,312100.0
