Date,Open,High,Low,Close,Adj Close,Volume
2007-09-28,4.16,5.8,4.14,5.5,3.777359,92151.0
2007-10-01,5.7,6.9,5.6,6.55,4.498492,64482500.0
2007-10-02,6.85,6.95,6.3,6.6,4.532831,20438300.0
2007-10-03,6.7,6.85,6.45,6.55,4.498492,13114500.0
2007-10-04,6.5,6.5,6.1,6.2,4.258113,11150600.0
2007-10-05,6.2,6.35,5.6,5.7,3.914718,16289200.0
2007-10-08,5.75,5.95,5.55,5.7,3.914718,8236100.0
2007-10-09,5.8,6.55,5.7,6.55,4.498492,22382400.0
2007-10-10,6.55,6.6,6.15,6.25,4.292453,16331000.0
2007-10-11,6.25,6.55,6.2,6.2,4.258113,12444000.0
2007-10-12,6.25,7.05,6.2,6.9,4.738869,31186800.0
2007-10-15,6.8,8.1,6.75,7.75,5.322642,41458800.0
2007-10-16,8.0,8.9,7.9,8.55,5.872077,50430400.0
2007-10-17,8.8,9.6,8.65,9.0,6.181133,34397400.0
2007-10-18,9.2,10.8,9.2,9.6,6.593209,37239900.0
2007-10-19,10.5,10.6,9.65,10.0,6.867926,13711300.0
2007-10-22,9.9,11.7,9.75,10.7,7.34868,34957700.0
2007-10-24,10.0,10.2,8.7,8.9,6.112453,6878500.0
2007-10-25,8.9,9.4,8.55,9.25,6.352832,3568000.0
2007-10-26,9.3,9.6,9.05,9.15,6.284152,1858500.0
2007-10-29,9.15,9.25,8.7,8.7,5.975096,1562700.0
2007-10-30,8.65,8.7,7.6,7.75,5.322642,2940600.0
2007-10-31,7.8,8.05,7.65,7.85,5.391322,983600.0
2007-11-01,7.9,8.3,7.85,8.3,5.700379,2083600.0
2007-11-02,8.3,9.35,8.3,9.35,6.421512,4941700.0
2007-11-05,9.4,9.6,8.8,9.0,6.181133,2385700.0
2007-11-06,9.25,9.25,8.2,8.6,5.906416,1663200.0
2007-11-07,8.6,8.95,8.3,8.3,5.700379,1052900.0
2007-11-08,8.3,8.35,8.1,8.15,5.59736,538900.0
2007-11-09,8.15,8.35,8.1,8.2,5.6317,589000.0
2007-11-12,8.15,8.15,8.05,8.1,5.563021,361000.0
2007-11-13,8.25,8.55,8.15,8.55,5.872077,682700.0
2007-11-14,8.55,8.65,8.4,8.5,5.837737,839500.0
2007-11-15,8.5,8.5,8.35,8.35,5.734718,490100.0
2007-11-16,8.3,8.5,8.3,8.3,5.700379,1151000.0
2007-11-19,8.3,8.35,7.65,8.35,5.734718,1899700.0
2007-11-20,8.15,8.6,8.15,8.5,5.837737,998200.0
2007-11-21,8.55,9.2,8.55,9.15,6.284152,2315800.0
2007-11-22,9.25,9.6,8.75,9.6,6.593209,3135900.0
2007-11-23,9.7,10.5,9.6,10.2,7.005284,5202600.0
2007-11-26,10.2,10.5,9.85,10.2,7.005284,1751000.0
2007-11-27,10.1,10.8,10.0,10.8,7.417359,2633800.0
2007-11-28,11.0,11.1,10.3,10.3,7.073963,2350500.0
2007-11-29,10.5,10.6,10.4,10.5,7.211323,914200.0
2007-11-30,10.5,10.9,10.4,10.9,7.48604,2225400.0
2007-12-03,11.0,11.2,10.7,10.9,7.48604,1471700.0
2007-12-04,11.0,11.2,10.9,11.1,7.623396,1320700.0
2007-12-06,11.2,12.6,10.2,10.2,7.005284,17162200.0
2007-12-07,10.5,10.7,8.85,9.5,6.524529,11609000.0
2007-12-11,9.5,9.5,8.85,9.0,6.181133,4427900.0
2007-12-12,8.9,9.05,8.35,8.4,5.769059,2855800.0
2007-12-13,8.45,8.65,7.8,8.0,5.494341,4843900.0
2007-12-14,8.0,8.4,8.0,8.3,5.700379,3585000.0
2007-12-17,8.25,8.3,7.65,7.65,5.253963,1603700.0
2007-12-18,7.6,8.15,7.6,8.05,5.528681,1905100.0
2007-12-19,8.2,8.2,7.75,7.75,5.322642,930100.0
2007-12-20,7.85,8.55,7.75,8.5,5.837737,6467200.0
2007-12-21,8.65,8.65,8.15,8.15,5.59736,4212400.0
2007-12-24,,,,,,
2007-12-25,8.25,8.4,8.1,8.1,5.563021,1903900.0
2007-12-26,8.2,8.35,8.0,8.0,5.494341,1891600.0
2007-12-27,8.05,8.1,7.95,7.95,5.460001,1089300.0
2007-12-28,8.0,8.15,7.85,7.85,5.391322,1379300.0
2008-01-02,8.2,8.35,7.7,7.7,5.288302,551791.0
2008-01-03,7.7,8.05,7.65,7.65,5.253963,1120000.0
2008-01-04,7.75,8.1,7.65,7.75,5.322642,2747300.0
2008-01-07,7.8,8.45,7.8,8.2,5.6317,6704000.0
2008-01-08,8.4,8.5,7.8,7.8,5.356983,3615600.0
2008-01-09,7.9,7.95,7.8,7.85,5.391322,1456700.0
2008-01-10,7.9,7.9,7.5,7.5,5.150946,1156700.0
2008-01-11,7.6,7.6,7.3,7.35,5.047926,604800.0
2008-01-14,7.35,7.35,6.85,6.95,4.773209,398600.0
2008-01-15,7.05,7.4,6.95,7.0,4.807549,1095000.0
2008-01-16,6.9,7.0,6.55,6.65,4.567172,410300.0
2008-01-17,6.75,7.0,6.75,7.0,4.807549,569600.0
2008-01-18,6.75,6.95,6.75,6.75,4.63585,310400.0
2008-01-21,6.9,6.95,6.3,6.3,4.326794,468100.0
2008-01-22,6.0,6.3,5.5,5.7,3.914718,618200.0
2008-01-23,6.0,6.25,5.7,5.9,4.052077,756600.0
2008-01-24,5.95,6.05,5.65,5.65,3.880379,485100.0
2008-01-25,6.05,7.3,5.75,7.3,5.013587,6897700.0
2008-01-28,7.4,8.45,7.4,8.0,5.494341,16617300.0
2008-01-29,8.15,8.45,7.65,7.75,5.322642,6834700.0
2008-01-30,7.95,8.2,7.55,7.65,5.253963,3924000.0
2008-01-31,7.7,8.15,7.6,7.85,5.391322,6165800.0
2008-02-01,7.95,8.05,7.75,7.75,5.322642,2473600.0
2008-02-04,7.85,8.3,7.8,8.05,5.528681,7410600.0
2008-02-05,8.2,8.8,8.15,8.45,5.803397,13315200.0
2008-02-06,8.35,8.5,8.2,8.3,5.700379,4437600.0
2008-02-07,8.35,8.4,8.0,8.0,5.494341,2604600.0
2008-02-08,8.05,8.25,8.0,8.05,5.528681,1711900.0
2008-02-11,8.1,8.15,7.85,7.85,5.391322,1099800.0
2008-02-12,7.9,8.1,7.9,8.0,5.494341,1430300.0
2008-02-13,8.1,8.1,7.8,7.85,5.391322,642000.0
2008-02-14,7.95,7.95,7.8,7.8,5.356983,440800.0
2008-02-15,7.75,7.8,7.45,7.5,5.150946,561100.0
2008-02-18,7.6,7.9,7.5,7.75,5.322642,472800.0
2008-02-19,8.05,8.15,7.9,8.1,5.563021,2452600.0
2008-02-20,8.15,8.2,7.75,7.75,5.322642,1264100.0
2008-02-22,7.8,7.85,7.65,7.7,5.288302,478800.0
2008-02-25,7.8,8.15,7.7,8.0,5.494341,1188800.0
2008-02-26,8.0,8.0,7.7,7.75,5.322642,658900.0
2008-02-27,7.85,8.0,7.75,7.75,5.322642,327600.0
2008-02-28,7.75,7.9,7.75,7.8,5.356983,150000.0
2008-02-29,7.9,7.9,7.7,7.75,5.322642,272500.0
2008-03-03,7.75,7.8,7.7,7.7,5.288302,146200.0
2008-03-04,7.75,7.8,7.55,7.55,5.185285,170600.0
2008-03-05,7.65,7.65,7.5,7.5,5.150946,126600.0
2008-03-06,7.5,7.55,7.5,7.55,5.185285,50200.0
2008-03-07,7.5,7.5,7.4,7.4,5.082265,192500.0
2008-03-10,7.5,7.5,7.4,7.4,5.082265,1600.0
2008-03-11,7.45,7.65,7.45,7.5,5.150946,16900.0
2008-03-12,7.5,7.5,7.4,7.4,5.082265,28200.0
2008-03-13,7.4,7.6,7.1,7.1,4.876227,146200.0
2008-03-14,7.2,7.25,6.7,6.85,4.704529,299200.0
2008-03-17,6.7,6.75,6.65,6.65,4.567172,127000.0
2008-03-18,6.6,6.7,6.55,6.6,4.532831,38200.0
2008-03-19,7.0,7.0,6.75,6.75,4.63585,134900.0
2008-03-20,6.7,6.8,6.7,6.7,4.60151,20700.0
2008-03-21,6.65,6.7,6.55,6.55,4.498492,115600.0
2008-03-24,6.55,6.9,6.55,6.85,4.704529,236700.0
2008-03-25,7.1,8.05,7.0,7.8,5.356983,6119100.0
2008-03-26,8.05,8.05,7.55,7.55,5.185285,1518500.0
2008-03-27,7.55,7.85,7.55,7.7,5.288302,955100.0
2008-03-28,7.7,8.0,7.6,7.6,5.219623,3091800.0
2008-03-31,7.65,7.8,7.5,7.5,5.150946,421500.0
2008-04-01,7.55,7.65,7.3,7.4,5.082265,390400.0
2008-04-02,7.45,7.5,7.35,7.35,5.047926,260900.0
2008-04-03,7.4,7.6,7.4,7.4,5.082265,385500.0
2008-04-04,7.4,7.4,7.1,7.2,4.944906,364200.0
2008-04-08,7.15,7.3,7.15,7.15,4.910568,82000.0
2008-04-09,7.2,7.45,7.15,7.15,4.910568,627100.0
2008-04-10,7.3,7.3,7.1,7.1,4.876227,158800.0
2008-04-11,7.2,7.2,7.1,7.1,4.876227,136600.0
2008-04-16,7.1,8.0,7.1,7.6,5.219623,3988600.0
2008-04-17,7.65,7.75,7.5,7.5,5.150946,1235500.0
2008-04-18,7.55,7.65,7.3,7.3,5.013587,515100.0
2008-04-21,7.5,7.9,7.4,7.45,5.116605,1986400.0
2008-04-22,7.5,7.6,7.35,7.45,5.116605,880600.0
2008-04-23,7.5,7.55,7.3,7.35,5.047926,343400.0
2008-04-24,7.35,7.5,7.3,7.3,5.013587,528300.0
2008-04-25,7.35,7.35,7.25,7.35,5.047926,179000.0
2008-04-28,7.3,7.35,7.25,7.25,4.979247,121900.0
2008-04-29,7.55,7.7,7.25,7.25,4.979247,1664400.0
2008-04-30,7.35,7.4,7.25,7.25,4.979247,549300.0
2008-05-02,7.25,7.35,7.25,7.25,4.979247,318000.0
2008-05-06,7.15,7.2,7.05,7.05,4.944182,250300.0
2008-05-07,7.05,7.1,7.05,7.05,4.944182,95100.0
2008-05-08,7.05,7.15,7.05,7.05,4.944182,147600.0
2008-05-09,7.1,7.35,7.1,7.15,5.014311,474200.0
2008-05-12,7.25,7.25,7.1,7.15,5.014311,144200.0
2008-05-13,7.15,7.2,7.05,7.05,4.944182,125600.0
2008-05-14,7.05,7.2,7.05,7.1,4.979247,78400.0
2008-05-15,7.35,8.7,7.2,8.65,6.066265,13721500.0
2008-05-16,8.7,9.15,7.75,7.75,5.435092,13725400.0
2008-05-20,7.8,8.1,7.65,7.65,5.364964,4576600.0
2008-05-21,7.7,7.95,7.6,7.7,5.400028,3161800.0
2008-05-22,7.75,7.8,7.25,7.25,5.084443,3497500.0
2008-05-23,7.3,7.4,7.15,7.2,5.049376,887900.0
2008-05-26,7.2,7.2,6.85,6.85,4.803921,871400.0
2008-05-27,7.0,7.25,6.85,7.0,4.909116,1110300.0
2008-05-28,7.05,7.1,6.85,6.85,4.803921,425800.0
2008-05-29,6.9,6.9,6.75,6.75,4.73379,342900.0
2008-05-30,6.75,7.0,6.75,6.9,4.838986,338700.0
2008-06-02,6.8,6.95,6.65,6.7,4.698726,344800.0
2008-06-03,6.75,6.75,6.7,6.7,4.698726,35800.0
2008-06-04,6.8,7.0,6.75,6.9,4.838986,379200.0
2008-06-05,6.95,6.95,6.8,6.8,4.768856,93500.0
2008-06-06,6.85,7.15,6.85,7.0,4.909116,1046000.0
2008-06-09,6.95,6.95,6.8,6.85,4.803921,132300.0
2008-06-10,6.85,6.85,6.65,6.65,4.663661,259100.0
2008-06-11,6.65,6.75,6.65,6.75,4.73379,45600.0
2008-06-12,6.65,6.75,6.6,6.6,4.628595,63000.0
2008-06-13,6.7,6.75,6.5,6.5,4.558465,49500.0
2008-06-16,6.65,6.7,6.45,6.45,4.523399,20500.0
2008-06-17,6.65,6.7,6.45,6.5,4.558465,95100.0
2008-06-18,6.5,6.5,6.3,6.3,4.418204,124400.0
2008-06-19,6.15,6.15,5.2,5.55,3.892229,446800.0
2008-06-20,5.35,5.8,5.25,5.8,4.067554,317300.0
2008-06-23,5.7,6.15,5.6,6.0,4.207814,446000.0
2008-06-24,6.0,6.05,5.95,5.95,4.172748,51200.0
2008-06-25,6.05,6.65,6.05,6.45,4.523399,1554400.0
2008-06-26,6.45,6.55,6.15,6.3,4.418204,368900.0
2008-06-27,6.2,6.3,6.15,6.3,4.418204,168900.0
2008-06-30,6.4,6.55,6.3,6.4,4.488336,366100.0
2008-07-02,6.35,6.4,6.2,6.3,4.418204,58600.0
2008-07-03,6.25,6.25,6.0,6.0,4.207814,122400.0
2008-07-04,6.1,6.15,6.0,6.05,4.242879,18600.0
2008-07-07,6.15,6.15,5.7,5.7,3.997424,107200.0
2008-07-08,5.8,5.8,5.55,5.55,3.892229,87500.0
2008-07-09,5.75,5.85,5.65,5.75,4.032488,369500.0
2008-07-10,5.75,5.8,5.6,5.75,4.032488,93200.0
2008-07-11,6.0,6.0,5.85,5.85,4.102619,126800.0
2008-07-14,5.7,5.7,5.6,5.6,3.927293,56800.0
2008-07-15,5.6,5.6,5.5,5.5,3.857163,146700.0
2008-07-16,5.4,5.4,5.4,5.4,3.787033,24700.0
2008-07-18,5.4,5.45,5.4,5.4,3.787033,52200.0
2008-07-21,5.4,5.55,5.4,5.55,3.892229,95100.0
2008-07-22,5.55,5.75,5.5,5.5,3.857163,55600.0
2008-07-23,5.6,5.7,5.6,5.65,3.962358,25500.0
2008-07-24,5.6,5.7,5.6,5.7,3.997424,3800.0
2008-07-25,5.7,5.7,5.5,5.5,3.857163,11900.0
2008-07-28,5.5,5.55,5.5,5.55,3.892229,10000.0
2008-07-29,5.5,6.0,5.5,5.7,3.997424,801300.0
2008-07-30,5.85,6.05,5.7,5.8,4.067554,1480000.0
