Date,Open,High,Low,Close,Adj Close,Volume
2015-11-18,1.81,1.97,1.78,1.8,1.732194,849630400.0
2015-11-19,,,,,,
2015-11-20,1.6,1.66,1.58,1.62,1.558975,80755100.0
2015-11-23,1.6,1.63,1.5,1.5,1.443495,24368800.0
2015-11-24,1.52,1.57,1.48,1.48,1.424249,30699900.0
2015-11-25,1.52,1.55,1.49,1.55,1.491612,36435500.0
2015-11-26,1.58,1.6,1.52,1.55,1.491612,28316100.0
2015-11-27,1.55,1.61,1.55,1.6,1.539728,34802200.0
2015-11-30,1.59,1.62,1.58,1.6,1.539728,25935300.0
2015-12-01,1.61,1.63,1.56,1.58,1.520482,18860000.0
2015-12-02,1.57,1.58,1.52,1.52,1.462742,12678600.0
2015-12-03,1.52,1.55,1.44,1.46,1.405002,10692700.0
2015-12-04,1.44,1.53,1.43,1.5,1.443495,39053300.0
2015-12-08,1.52,1.52,1.43,1.43,1.376132,27662700.0
2015-12-09,1.44,1.45,1.32,1.33,1.279899,11066400.0
2015-12-11,1.33,1.34,1.24,1.24,1.193289,9188600.0
2015-12-14,1.21,1.21,1.13,1.14,1.097056,10243500.0
2015-12-15,1.17,1.23,1.15,1.21,1.16442,10480100.0
2015-12-16,1.22,1.22,1.17,1.17,1.125926,6156900.0
2015-12-17,1.19,1.28,1.17,1.23,1.183666,16631900.0
2015-12-18,1.22,1.27,1.21,1.24,1.193289,17398400.0
2015-12-21,1.22,1.23,1.16,1.17,1.125926,3908500.0
2015-12-22,1.18,1.19,1.13,1.13,1.087433,3743400.0
2015-12-23,1.15,1.2,1.14,1.18,1.135549,6876900.0
2015-12-24,1.22,1.51,1.22,1.38,1.328016,213083500.0
2015-12-25,1.35,1.37,1.3,1.36,1.308769,34284000.0
2015-12-28,1.42,1.49,1.36,1.38,1.328016,67967900.0
2015-12-29,1.36,1.42,1.34,1.42,1.366509,18260400.0
2015-12-30,1.45,1.45,1.33,1.33,1.279899,17170800.0
2016-01-04,1.37,1.44,1.33,1.35,1.299146,24728400.0
2016-01-05,1.36,1.41,1.33,1.33,1.279899,13343400.0
2016-01-06,1.33,1.34,1.31,1.33,1.279899,5336200.0
2016-01-07,1.29,1.32,1.26,1.26,1.212536,3162200.0
2016-01-08,1.27,1.34,1.27,1.31,1.260652,9000300.0
2016-01-11,1.29,1.33,1.29,1.33,1.279899,2520300.0
2016-01-12,1.34,1.45,1.34,1.37,1.318392,83639300.0
2016-01-13,1.38,1.41,1.37,1.39,1.337639,24334300.0
2016-01-14,1.38,1.43,1.37,1.38,1.328016,18904200.0
2016-01-15,1.42,1.46,1.4,1.44,1.385755,39475100.0
2016-01-18,1.43,1.54,1.43,1.52,1.462742,59678700.0
2016-01-19,1.58,1.65,1.48,1.49,1.433872,95701500.0
2016-01-20,1.48,1.48,1.39,1.4,1.347262,18217700.0
2016-01-21,1.43,1.46,1.36,1.39,1.337639,16742800.0
2016-01-22,1.42,1.43,1.39,1.42,1.366509,6136900.0
2016-01-25,1.42,1.51,1.42,1.5,1.443495,23629200.0
2016-01-26,1.5,1.54,1.46,1.48,1.424249,24057800.0
2016-01-27,1.49,1.55,1.48,1.51,1.453119,47910300.0
2016-01-28,1.53,1.57,1.5,1.51,1.453119,38847400.0
