Date,Open,High,Low,Close,Adj Close,Volume
2011-02-23,10.0,10.0,10.0,10.0,10.0,0.0
2011-02-24,10.0,10.0,10.0,10.0,10.0,0.0
2011-02-25,10.0,10.0,10.0,10.0,10.0,0.0
2011-02-28,10.0,10.0115,10.0,10.0115,10.0115,0.0
2011-03-01,,,,,,
2011-03-02,,,,,,
2011-03-03,,,,,,
2011-03-04,,,,,,
2011-03-07,,,,,,
2011-03-08,,,,,,
2011-03-09,,,,,,
2011-03-10,,,,,,
2011-03-11,,,,,,
2011-03-14,,,,,,
2011-03-15,9.85,9.85,9.85,9.85,9.85,39300.0
2011-03-16,9.8,9.8,9.8,9.8,9.8,39500.0
2011-03-17,9.8,9.8,9.8,9.8,9.8,4800.0
2011-03-21,10.0115,10.0115,9.75,9.8,9.8,35000.0
2011-03-22,9.85,9.85,9.85,9.85,9.85,10000.0
2011-03-23,10.0115,10.0115,10.0115,10.0115,10.0115,0.0
2011-03-24,9.9,9.9,9.9,9.9,9.9,1000.0
2011-03-25,9.9,9.9,9.9,9.9,9.9,10000.0
2011-03-28,10.0115,10.0115,9.9,9.9,9.9,3000.0
2011-03-29,9.9,9.9,9.9,9.9,9.9,100.0
2011-03-30,9.9,9.9,9.9,9.9,9.9,23400.0
2011-03-31,,,,,,
2011-04-01,10.0772,10.0772,10.0772,10.0772,10.0772,0.0
2011-04-04,10.0772,10.0772,9.9,9.9,9.9,9400.0
2011-04-05,9.9,9.95,9.9,9.95,9.95,3100.0
2011-04-07,10.0772,10.0772,9.9,9.9,9.9,5500.0
2011-04-08,10.0772,10.0772,10.0772,10.0772,10.0772,0.0
2011-04-11,10.0772,10.0772,9.9,9.9,9.9,10000.0
2011-04-12,9.8,9.8,9.8,9.8,9.8,6900.0
2011-04-18,10.0772,10.0772,9.8,9.8,9.8,87500.0
2011-04-19,9.8,9.8,9.75,9.75,9.75,27000.0
2011-04-20,9.75,9.75,9.75,9.75,9.75,15000.0
2011-04-21,9.75,9.75,9.75,9.75,9.75,8000.0
2011-04-22,9.8,9.9,9.8,9.8,9.8,111200.0
2011-04-25,10.0772,10.0772,9.8,9.8,9.8,12000.0
2011-04-26,9.8,9.8,9.75,9.8,9.8,35000.0
2011-04-27,9.75,9.8,9.75,9.8,9.8,11000.0
2011-04-28,9.75,9.75,9.75,9.75,9.75,20000.0
2011-04-29,,,,,,
2011-05-03,10.1408,10.1408,9.75,9.75,9.75,10000.0
2011-05-04,9.7,9.75,9.7,9.7,9.7,16600.0
2011-05-06,10.1408,10.1408,9.75,9.75,9.75,6400.0
2011-05-09,10.1408,10.1408,9.7,9.7,9.7,19000.0
2011-05-10,9.7,9.7,9.7,9.7,9.7,19000.0
2011-05-11,9.7,9.7,9.65,9.7,9.7,69700.0
2011-05-12,9.65,9.7,9.65,9.7,9.7,22100.0
2011-05-13,10.1408,10.1408,10.1408,10.1408,10.1408,0.0
2011-05-18,10.1408,10.1408,9.6,9.7,9.7,20000.0
2011-05-19,9.7,9.7,9.7,9.7,9.7,26200.0
2011-05-20,9.7,9.7,9.65,9.65,9.65,5000.0
2011-05-23,10.1408,10.1408,9.65,9.65,9.65,1500.0
2011-05-24,10.1408,10.1408,10.1408,10.1408,10.1408,0.0
2011-05-25,10.1408,10.1408,10.1408,10.1408,10.1408,0.0
2011-05-26,10.1408,10.1408,10.1408,10.1408,10.1408,0.0
2011-05-27,10.1408,10.1408,10.1408,10.1408,10.1408,0.0
2011-05-30,10.1408,10.1408,9.65,9.75,9.75,8600.0
2011-05-31,10.2066,10.2066,10.2066,10.2066,10.2066,0.0
2011-06-01,9.7,9.7,9.65,9.7,9.7,49000.0
2011-06-02,9.7,9.7,9.65,9.7,9.7,8500.0
2011-06-03,9.7,9.7,9.65,9.65,9.65,13000.0
2011-06-06,10.2066,10.2066,9.65,9.65,9.65,21000.0
2011-06-07,9.65,9.65,9.6,9.6,9.6,17500.0
2011-06-08,10.2066,10.2066,10.2066,10.2066,10.2066,0.0
2011-06-09,10.2066,10.2066,10.2066,10.2066,10.2066,0.0
2011-06-10,9.6,9.6,9.6,9.6,9.6,1000.0
2011-06-13,10.2066,10.2066,9.4,9.4,9.4,34600.0
2011-06-14,9.4,9.45,9.4,9.45,9.45,56000.0
2011-06-15,9.45,9.45,9.45,9.45,9.45,9500.0
2011-06-16,9.4,9.4,9.4,9.4,9.4,9900.0
2011-06-17,10.2066,10.2066,10.2066,10.2066,10.2066,0.0
2011-06-20,10.2066,10.2066,9.4,9.4,9.4,43900.0
2011-06-21,9.4,9.4,9.4,9.4,9.4,90000.0
2011-06-22,9.75,9.75,9.65,9.65,9.65,200.0
2011-06-23,9.7,9.7,9.7,9.7,9.7,3100.0
2011-06-24,9.7,9.7,9.7,9.7,9.7,1500.0
2011-06-27,10.2066,10.2066,9.6,9.7,9.7,11200.0
2011-06-28,10.2066,10.2066,10.2066,10.2066,10.2066,0.0
2011-06-29,9.7,9.7,9.7,9.7,9.7,20800.0
2011-06-30,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-04,10.2702,10.2702,9.7,9.7,9.7,12000.0
2011-07-05,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-06,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-07,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-08,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-11,10.2702,10.2702,9.6,9.7,9.7,20100.0
2011-07-12,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-13,9.7,9.7,9.7,9.7,9.7,500.0
2011-07-14,9.6,9.6,9.6,9.6,9.6,18400.0
2011-07-18,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-19,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-20,9.6,9.6,9.6,9.6,9.6,12000.0
2011-07-21,9.6,9.7,9.6,9.7,9.7,11000.0
2011-07-22,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-25,10.2702,10.2702,9.6,9.6,9.6,21000.0
2011-07-26,10.2702,10.2702,10.2702,10.2702,10.2702,0.0
2011-07-27,9.6,9.6,9.6,9.6,9.6,58900.0
2011-07-28,9.6,9.6,9.6,9.6,9.6,7000.0
2011-07-29,,,,,,
2011-08-01,10.3355,10.3355,9.6,9.6,9.6,5000.0
2011-08-02,10.3355,10.3355,10.3355,10.3355,10.3355,0.0
2011-08-03,9.7,9.7,9.7,9.7,9.7,3000.0
2011-08-04,10.3355,10.3355,10.3355,10.3355,10.3355,0.0
2011-08-05,10.3355,10.3355,10.3355,10.3355,10.3355,0.0
2011-08-08,10.3355,10.3355,10.3355,10.3355,10.3355,0.0
2011-08-09,9.5,9.7,9.5,9.7,9.7,9100.0
2011-08-10,9.7,9.7,9.7,9.7,9.7,1900.0
2011-08-11,9.7,9.7,9.7,9.7,9.7,3000.0
2011-08-15,10.3355,10.3355,9.7,9.75,9.75,10200.0
2011-08-16,9.75,9.75,9.75,9.75,9.75,5000.0
2011-08-17,9.75,9.8,9.75,9.8,9.8,138000.0
2011-08-18,9.8,9.8,9.75,9.8,9.8,82500.0
2011-08-19,9.75,9.75,9.75,9.75,9.75,9600.0
2011-08-22,10.3355,10.3355,9.7,9.75,9.75,20000.0
2011-08-23,9.8,9.8,9.8,9.8,9.8,20000.0
2011-08-24,10.3355,10.3355,10.3355,10.3355,10.3355,0.0
2011-08-25,9.8,9.8,9.8,9.8,9.8,500.0
2011-08-26,9.65,9.65,9.5,9.6,9.6,25000.0
2011-08-29,10.3355,10.3355,9.65,9.65,9.65,500.0
2011-08-30,9.55,9.6,9.55,9.6,9.6,8000.0
2011-08-31,,,,,,
2011-09-01,9.5,9.5,9.5,9.5,9.5,2000.0
2011-09-02,9.55,9.55,9.55,9.55,9.55,17900.0
