Date,Open,High,Low,Close,Adj Close,Volume
2006-05-16,2.8,2.94,2.76,2.8,1.489828,94021300.0
2006-05-17,2.82,2.84,2.68,2.8,1.489828,13864200.0
2006-05-18,2.7,2.78,2.7,2.76,1.468545,1386000.0
2006-05-19,2.78,2.84,2.74,2.74,1.457903,2451900.0
2006-05-22,2.74,2.74,2.64,2.7,1.43662,1399500.0
2006-05-23,2.72,2.76,2.7,2.76,1.468545,231400.0
2006-05-24,2.76,2.76,2.66,2.7,1.43662,1157600.0
2006-05-25,2.66,2.66,2.58,2.6,1.383412,646900.0
2006-05-26,2.62,2.7,2.62,2.7,1.43662,362500.0
2006-05-29,2.66,2.72,2.64,2.68,1.425978,726100.0
2006-05-30,2.66,2.66,2.64,2.66,1.415337,1036000.0
2006-05-31,2.66,2.66,2.58,2.62,1.394053,1055800.0
2006-06-01,2.62,2.62,2.56,2.58,1.37277,432400.0
2006-06-02,2.56,2.66,2.56,2.56,1.362129,1443100.0
2006-06-05,2.56,2.56,2.52,2.52,1.340845,255000.0
2006-06-06,2.52,2.52,2.5,2.5,1.330204,68400.0
2006-06-07,2.5,2.5,2.44,2.44,1.298279,452100.0
2006-06-08,2.44,2.44,2.36,2.36,1.255712,85800.0
2006-06-09,2.36,2.4,2.32,2.38,1.266354,159.0
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,2.38,2.4,2.2,2.32,1.234429,291100.0
2006-06-15,2.3,2.38,2.24,2.38,1.266354,334100.0
2006-06-16,2.42,2.46,2.38,2.46,1.30892,85600.0
2006-06-19,2.34,2.48,2.34,2.48,1.319562,1100.0
2006-06-20,2.44,2.44,2.4,2.4,1.276996,48000.0
2006-06-21,2.46,2.46,2.42,2.46,1.30892,15400.0
2006-06-22,2.48,2.5,2.48,2.5,1.330204,185000.0
2006-06-23,2.48,2.48,2.48,2.48,1.319562,65200.0
2006-06-26,2.52,2.52,2.52,2.52,1.340845,100.0
2006-06-27,2.52,2.58,2.52,2.58,1.37277,100100.0
2006-06-28,2.5,2.6,2.5,2.6,1.383412,139700.0
2006-06-29,2.64,2.64,2.58,2.6,1.383412,76100.0
2006-06-30,2.6,2.6,2.5,2.58,1.37277,53700.0
