Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,14.0,14.0,12.4,12.7,12.419414,81528700
2016-11-01,12.8,13.1,12.8,13.0,12.712786,8533100
2016-11-02,13.0,13.0,12.9,13.0,12.712786,3930300
2016-11-03,13.0,13.4,13.0,13.2,12.908367,7775600
2016-11-04,13.3,14.1,13.3,13.7,13.39732,18257900
2016-11-07,13.9,13.9,13.6,13.8,13.495111,4539900
2016-11-08,13.7,13.9,13.6,13.7,13.39732,2265400
2016-11-09,13.7,13.7,13.5,13.7,13.39732,1994100
2016-11-10,13.7,13.8,13.7,13.7,13.39732,2148700
2016-11-11,13.8,13.8,13.7,13.7,13.39732,717500
2016-11-14,13.7,13.7,13.2,13.6,13.299529,3491500
2016-11-15,13.5,13.6,13.4,13.5,13.201738,1017900
2016-11-16,13.5,13.6,13.4,13.5,13.201738,332200
2016-11-17,13.5,13.6,13.4,13.6,13.299529,721400
2016-11-18,13.5,13.6,13.3,13.3,13.006158,1195400
2016-11-21,13.3,13.5,13.3,13.5,13.201738,184500
2016-11-22,13.5,13.5,13.5,13.5,13.201738,342800
2016-11-23,13.5,13.5,13.4,13.5,13.201738,590900
2016-11-24,13.5,13.5,13.4,13.5,13.201738,613000
2016-11-25,13.5,13.5,13.4,13.5,13.201738,39600
2016-11-28,13.5,13.5,13.4,13.5,13.201738,145100
2016-11-29,13.4,13.4,13.3,13.3,13.006158,411300
2016-11-30,13.3,13.3,13.2,13.2,12.908367,496000
2016-12-01,13.2,13.2,13.2,13.2,12.908367,532600
2016-12-02,13.2,13.2,12.9,13.0,12.712786,1902400
2016-12-06,13.0,13.2,12.9,13.1,12.810576,830800
2016-12-07,13.0,13.1,12.9,13.0,12.712786,645300
2016-12-08,13.0,13.2,13.0,13.2,12.908367,608600
2016-12-09,13.1,13.2,13.0,13.2,12.908367,303000
2016-12-13,13.2,13.5,13.1,13.5,13.201738,768700
2016-12-14,13.5,13.5,13.3,13.4,13.103947,382800
2016-12-15,13.3,13.4,13.2,13.3,13.006158,110900
2016-12-16,13.2,13.5,13.2,13.5,13.201738,1300000
2016-12-19,13.3,13.4,13.3,13.3,13.006158,461000
2016-12-20,13.3,13.3,13.1,13.1,12.810576,459400
2016-12-21,13.1,13.1,13.0,13.1,12.810576,238700
2016-12-22,13.1,13.1,13.0,13.0,12.712786,111700
2016-12-23,13.0,13.1,12.9,13.1,12.810576,781200
2016-12-26,13.0,13.2,13.0,13.2,12.908367,774500
2016-12-27,13.1,13.2,13.0,13.2,12.908367,411700
2016-12-28,13.1,13.2,13.1,13.2,12.908367,65600
2016-12-29,13.3,13.3,13.1,13.2,12.908367,409700
2016-12-30,13.1,13.3,13.1,13.2,12.908367,204400
2017-01-04,13.2,13.3,13.1,13.3,13.006158,803200
2017-01-05,13.2,13.3,13.1,13.2,12.908367,401200
2017-01-06,13.1,13.3,13.1,13.3,13.006158,564600
2017-01-09,13.2,13.3,13.2,13.3,13.006158,102700
2017-01-10,13.3,13.3,13.1,13.2,12.908367,257300
2017-01-11,13.2,13.3,13.1,13.3,13.006158,568700
2017-01-12,13.1,13.2,13.1,13.2,12.908367,302900
2017-01-16,13.2,13.3,13.1,13.2,12.908367,165800
2017-01-17,13.2,13.2,13.1,13.2,12.908367,86100
2017-01-18,13.2,13.2,13.1,13.2,12.908367,464900
2017-01-19,13.1,13.2,13.1,13.2,12.908367,26100
2017-01-20,13.2,13.2,13.1,13.2,12.908367,30500
2017-01-23,13.1,13.2,13.1,13.2,12.908367,70100
2017-01-24,13.1,13.2,13.1,13.1,12.810576,211700
2017-01-25,13.2,13.2,13.1,13.1,12.810576,222200
2017-01-26,13.1,13.2,13.1,13.2,12.908367,30500
2017-01-27,13.1,13.3,13.1,13.3,13.006158,703300
2017-01-30,13.2,13.2,13.2,13.2,12.908367,220000
2017-01-31,13.2,13.2,13.2,13.2,12.908367,437600
2017-02-01,13.2,13.2,13.1,13.2,12.908367,59400
2017-02-02,13.1,13.2,13.1,13.2,12.908367,431300
2017-02-03,13.2,13.2,13.2,13.2,12.908367,421700
2017-02-06,13.1,13.2,13.1,13.2,12.908367,85200
2017-02-07,13.2,13.2,13.1,13.1,12.810576,220700
2017-02-08,13.2,13.2,13.1,13.1,12.810576,17200
2017-02-09,13.1,13.2,13.1,13.2,12.908367,65700
2017-02-10,13.1,13.1,13.1,13.1,12.810576,42200
2017-02-13,13.1,13.1,13.1,13.1,12.810576,0
2017-02-14,13.1,13.2,13.1,13.2,12.908367,116000
2017-02-15,13.1,13.2,13.1,13.1,12.810576,99000
2017-02-16,13.1,13.2,13.1,13.2,12.908367,1030600
2017-02-17,13.1,13.2,13.1,13.1,12.810576,12900
2017-02-20,13.1,13.3,13.1,13.2,12.908367,1275100
2017-02-21,13.2,13.2,13.1,13.1,12.810576,20900
2017-02-22,13.1,13.2,13.1,13.2,12.908367,523500
2017-02-23,13.1,13.2,13.1,13.2,12.908367,104800
2017-02-24,13.1,13.3,13.1,13.3,13.006158,569300
2017-02-27,13.1,13.3,13.1,13.2,12.908367,734600
2017-02-28,13.2,13.3,13.1,13.3,13.006158,402800
2017-03-01,13.2,13.4,13.1,13.3,13.006158,1236400
2017-03-02,13.4,13.4,13.2,13.2,12.908367,205900
2017-03-03,13.2,13.2,13.2,13.2,12.908367,82600
2017-03-06,13.1,13.3,13.1,13.2,12.908367,266300
2017-03-07,13.3,13.5,13.2,13.4,13.103947,1147100
2017-03-08,13.2,13.3,13.2,13.2,12.908367,1296500
2017-03-09,13.1,13.2,13.1,13.1,12.884664,72500
2017-03-10,13.1,13.2,13.1,13.1,12.884664,349000
2017-03-13,13.0,13.1,13.0,13.1,12.884664,1125600
2017-03-14,13.0,13.1,12.9,13.1,12.884664,564500
2017-03-15,13.0,13.1,13.0,13.1,12.884664,111800
2017-03-16,13.1,13.4,13.1,13.1,12.884664,798600
2017-03-17,13.2,13.2,13.2,13.2,12.983019,700
2017-03-20,13.1,13.2,13.1,13.2,12.983019,5000
2017-03-21,13.1,13.2,13.1,13.2,12.983019,55200
2017-03-22,13.1,13.2,13.1,13.2,12.983019,98200
2017-03-23,13.2,13.2,13.2,13.2,12.983019,119500
2017-03-24,13.1,13.2,13.1,13.2,12.983019,213600
2017-03-27,13.2,13.2,13.1,13.2,12.983019,401100
2017-03-28,13.1,13.2,13.1,13.1,12.884664,441100
2017-03-29,13.1,13.2,13.1,13.2,12.983019,1204100
2017-03-30,13.1,13.1,13.1,13.1,12.884664,612100
2017-03-31,13.1,13.1,13.1,13.1,12.884664,10000
2017-04-03,13.1,13.1,13.0,13.0,12.786307,1075000
2017-04-04,13.1,13.1,13.1,13.1,12.884664,493300
2017-04-05,13.1,13.1,13.1,13.1,12.884664,312100
2017-04-07,13.1,13.2,13.1,13.2,12.983019,178600
2017-04-10,13.2,13.2,13.1,13.2,12.983019,163200
2017-04-11,13.1,13.2,13.1,13.2,12.983019,499500
2017-04-12,13.2,13.3,13.2,13.3,13.081376,258600
