Date,Open,High,Low,Close,Adj Close,Volume
2005-10-05,384.0,386.0,384.0,386.0,288.061981,1.0
2005-10-06,,,,,,
2005-10-07,,,,,,
2005-10-10,,,,,,
2005-10-11,,,,,,
2005-10-12,,,,,,
2005-10-13,,,,,,
2005-10-14,,,,,,
2005-10-17,,,,,,
2005-10-18,,,,,,
2005-10-19,386.0,386.0,382.0,386.0,288.061981,1.0
2005-10-20,,,,,,
2005-10-21,,,,,,
2005-10-25,,,,,,
2005-10-26,384.0,386.0,382.0,382.0,285.076874,1.0
2005-10-27,,,,,,
2005-10-28,,,,,,
2005-10-31,,,,,,
2005-11-01,,,,,,
2005-11-02,,,,,,
2005-11-03,,,,,,
2005-11-04,,,,,,
2005-11-07,,,,,,
2005-11-08,,,,,,
2005-11-09,,,,,,
2005-11-10,,,,,,
2005-11-11,,,,,,
2005-11-14,,,,,,
2005-11-15,,,,,,
2005-11-16,,,,,,
2005-11-17,,,,,,
2005-11-18,390.0,390.0,390.0,390.0,291.047089,1.0
2005-11-21,390.0,404.0,390.0,404.0,301.494934,3.0
2005-11-22,408.0,408.0,400.0,408.0,304.480042,6.0
2005-11-23,420.0,424.0,412.0,412.0,307.465088,1.0
2005-11-24,,,,,,
2005-11-25,,,,,,
2005-11-28,408.0,408.0,408.0,408.0,304.480042,1.0
2005-11-29,404.0,404.0,396.0,404.0,301.494934,1.0
2005-11-30,404.0,408.0,404.0,408.0,304.480042,1.0
2005-12-01,404.0,404.0,400.0,400.0,298.509857,4.0
2005-12-02,404.0,404.0,400.0,404.0,301.494934,1.0
2005-12-06,408.0,416.0,408.0,416.0,310.450195,4.0
2005-12-07,,,,,,
2005-12-08,416.0,416.0,412.0,416.0,310.450195,3.0
2005-12-09,416.0,416.0,416.0,416.0,310.450195,1.0
2005-12-13,416.0,424.0,416.0,420.0,313.435303,1.0
2005-12-14,,,,,,
2005-12-15,420.0,420.0,420.0,420.0,313.435303,2.0
2005-12-16,,,,,,
2005-12-19,420.0,420.0,420.0,420.0,313.435303,2.0
2005-12-20,,,,,,
2005-12-21,,,,,,
2005-12-22,,,,,,
2005-12-23,,,,,,
2005-12-26,,,,,,
2005-12-27,,,,,,
2005-12-28,,,,,,
2005-12-29,420.0,420.0,420.0,420.0,313.435303,6.0
2005-12-30,,,,,,
2006-01-03,,,,,,
2006-01-04,416.0,420.0,416.0,420.0,313.435303,1.0
2006-01-05,420.0,420.0,416.0,416.0,310.450195,1.0
2006-01-06,408.0,408.0,404.0,404.0,310.450195,2.0
2006-01-09,,,,,,
2006-01-10,,,,,,
2006-01-11,,,,,,
2006-01-12,,,,,,
2006-01-13,412.0,412.0,412.0,412.0,316.597778,1.0
2006-01-16,,,,,,
2006-01-17,,,,,,
2006-01-18,,,,,,
2006-01-19,,,,,,
2006-01-20,,,,,,
2006-01-23,412.0,420.0,412.0,420.0,322.74527,1.0
2006-01-24,,,,,,
2006-01-25,420.0,420.0,416.0,416.0,319.6716,3.0
2006-01-26,,,,,,
2006-01-27,,,,,,
2006-01-30,,,,,,
2006-01-31,416.0,416.0,416.0,416.0,319.6716,2.0
2006-02-01,416.0,416.0,416.0,416.0,319.6716,1.0
2006-02-02,,,,,,
2006-02-03,,,,,,
2006-02-06,,,,,,
2006-02-07,40.0,41.0,39.5,41.0,31.506088,9200.0
2006-02-08,41.25,41.5,41.25,41.5,31.890308,15000.0
2006-02-09,41.5,41.5,41.25,41.25,31.698204,1800.0
2006-02-10,41.5,41.5,41.5,41.5,31.890308,3300.0
2006-02-13,,,,,,
2006-02-14,42.0,42.0,41.5,41.5,31.890308,12400.0
2006-02-15,40.0,40.5,38.75,39.75,30.545536,64100.0
2006-02-16,39.0,39.0,38.0,38.75,29.77709,60600.0
2006-02-17,38.5,38.5,36.5,37.5,28.816542,131200.0
2006-02-20,37.5,37.5,37.0,37.5,28.816542,30400.0
2006-02-21,37.0,37.0,37.0,37.0,28.432318,13100.0
2006-02-22,37.0,37.5,37.0,37.25,28.624434,34900.0
2006-02-23,37.0,38.0,36.75,37.0,28.432318,21100.0
2006-02-24,37.0,37.25,37.0,37.25,28.624434,15200.0
2006-02-27,37.0,37.0,36.0,36.0,27.663885,37000.0
2006-02-28,36.0,37.0,36.0,36.0,27.663885,19000.0
2006-03-01,36.0,36.0,35.75,36.0,27.663885,16400.0
2006-03-02,36.25,36.5,36.0,36.5,28.048101,64400.0
2006-03-03,36.0,36.0,36.0,36.0,27.663885,5800.0
2006-03-06,35.75,36.0,35.5,35.75,27.471769,41700.0
2006-03-07,35.75,35.75,35.5,35.5,27.279659,7700.0
2006-03-08,35.5,36.0,35.25,36.0,27.663885,25500.0
2006-03-09,36.0,36.25,36.0,36.25,27.855991,13300.0
2006-03-10,36.0,36.0,36.0,36.0,27.663885,23800.0
2006-03-13,35.75,37.0,35.75,37.0,28.432318,10300.0
2006-03-14,37.0,37.0,36.0,36.0,27.663885,0.0
2006-03-15,37.0,37.5,37.0,37.5,28.816542,6400.0
2006-03-16,37.5,37.5,36.5,36.5,28.048101,0.0
2006-03-17,37.0,37.0,36.25,36.25,27.855991,6100.0
2006-03-20,36.25,36.25,36.0,36.0,27.663885,3100.0
2006-03-21,36.0,36.0,36.0,36.0,27.663885,5000.0
2006-03-22,35.75,35.75,35.75,35.75,27.471769,6000.0
2006-03-23,35.75,35.75,35.75,35.75,27.471769,500.0
2006-03-24,35.75,36.0,35.5,36.0,27.663885,6300.0
2006-03-27,36.0,36.0,36.0,36.0,27.663885,4500.0
2006-03-28,36.25,36.25,36.25,36.25,27.855991,1000.0
2006-03-29,36.25,36.25,35.75,35.75,27.471769,0.0
2006-03-30,36.25,36.25,36.25,36.25,27.855991,1000.0
2006-03-31,36.25,36.25,36.0,36.0,27.663885,500.0
2006-04-03,36.0,36.0,36.0,36.0,27.663885,1500.0
2006-04-04,36.0,36.0,36.0,36.0,27.663885,1000.0
2006-04-05,36.0,36.25,36.0,36.25,27.855991,1900.0
2006-04-06,,,,,,
2006-04-07,36.25,36.25,36.0,36.0,27.663885,6300.0
2006-04-10,36.0,36.0,36.0,36.0,27.663885,24900.0
2006-04-11,36.25,36.75,36.25,36.75,28.240215,10000.0
2006-04-12,36.75,36.75,36.5,36.5,28.048101,8000.0
2006-04-13,,,,,,
2006-04-14,,,,,,
2006-04-17,36.75,36.75,36.75,36.75,28.240215,3000.0
2006-04-18,36.75,36.75,36.5,36.75,28.240215,6000.0
2006-04-19,,,,,,
2006-04-20,37.0,37.0,36.75,36.75,28.240215,2400.0
2006-04-21,37.0,37.0,37.0,37.0,28.432318,2600.0
2006-04-24,37.0,37.75,37.0,37.0,28.432318,5000.0
2006-04-25,37.0,37.5,37.0,37.5,28.816542,3400.0
2006-04-26,37.5,37.5,37.5,37.5,28.816542,9000.0
2006-04-27,37.75,38.0,37.75,38.0,29.200762,3200.0
2006-04-28,38.0,38.0,37.75,38.0,29.200762,1200.0
2006-05-01,,,,,,
2006-05-02,38.0,38.0,37.75,37.75,29.008652,4200.0
2006-05-03,38.0,38.0,38.0,38.0,29.200762,2000.0
2006-05-04,38.0,38.25,38.0,38.0,29.200762,3800.0
2006-05-05,,,,,,
2006-05-08,37.75,37.75,37.75,37.75,29.008652,10100.0
2006-05-09,38.5,38.5,37.75,37.75,29.008652,10700.0
2006-05-10,37.75,37.75,37.75,37.75,29.008652,2000.0
2006-05-11,37.75,37.75,37.75,37.75,29.008652,3600.0
2006-05-12,,,,,,
2006-05-15,37.25,37.25,37.25,37.25,28.624434,2000.0
2006-05-16,36.5,36.5,36.0,36.0,27.663885,15600.0
2006-05-17,36.0,36.0,36.0,36.0,27.663885,7200.0
2006-05-18,36.0,36.0,35.75,35.75,27.471769,6900.0
2006-05-19,37.0,37.0,35.75,35.75,27.471769,0.0
2006-05-22,35.5,35.5,35.25,35.5,27.279659,3400.0
2006-05-23,36.0,36.0,35.25,35.25,27.087551,0.0
2006-05-24,35.5,35.5,35.5,35.5,27.279659,300.0
2006-05-25,35.25,35.25,35.25,35.25,27.087551,5200.0
2006-05-26,35.25,35.25,35.25,35.25,27.087551,800.0
2006-05-29,35.0,35.0,35.0,35.0,26.895443,2000.0
2006-05-30,35.25,35.25,35.25,35.25,27.087551,800.0
2006-05-31,35.0,35.0,35.0,35.0,26.895443,4900.0
2006-06-01,36.0,36.0,35.0,35.0,26.895443,0.0
2006-06-02,35.5,35.5,35.0,35.0,26.895443,0.0
2006-06-05,35.0,35.0,35.0,35.0,26.895443,1200.0
2006-06-06,35.0,35.0,35.0,35.0,26.895443,4200.0
2006-06-07,35.0,35.0,35.0,35.0,26.895443,3200.0
2006-06-08,34.25,34.25,34.25,34.25,26.319103,2500.0
2006-06-09,34.75,34.75,34.25,34.25,26.319103,0.0
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,34.25,35.0,34.25,34.25,26.319103,6600.0
2006-06-15,34.75,34.75,34.0,34.0,26.126999,0.0
2006-06-16,35.0,35.0,33.75,33.75,25.934889,0.0
2006-06-19,35.0,35.0,34.25,34.25,26.319103,0.0
2006-06-20,33.25,33.25,33.25,33.25,25.550669,200.0
2006-06-21,34.75,34.75,33.5,33.5,25.742777,0.0
2006-06-22,34.75,34.75,33.5,33.5,25.742777,0.0
2006-06-23,35.0,35.0,33.5,33.5,25.742777,0.0
2006-06-26,34.75,34.75,33.25,33.25,25.550669,0.0
2006-06-27,33.5,35.0,33.5,33.5,25.742777,5.0
2006-06-28,33.5,33.5,33.25,33.25,25.550669,6000.0
2006-06-29,34.5,34.5,33.5,33.5,25.742777,0.0
2006-06-30,34.5,34.5,34.5,34.5,26.511217,4000.0
2006-07-03,34.5,34.5,33.25,33.25,25.550669,0.0
2006-07-04,33.5,34.75,33.5,34.5,26.511217,11900.0
2006-07-05,34.75,34.75,34.0,34.0,26.126999,0.0
2006-07-06,34.75,34.75,34.0,34.0,26.126999,0.0
2006-07-07,34.75,34.75,34.0,34.0,26.126999,0.0
2006-07-10,34.5,34.75,34.5,34.75,26.703333,2000.0
2006-07-11,,,,,,
2006-07-12,34.75,34.75,34.75,34.75,26.703333,3200.0
