Date,Open,High,Low,Close,Adj Close,Volume
2006-05-10,2.63636,2.68182,2.38636,2.45455,1.536333,112939.0
2006-05-11,2.45455,2.52273,2.43182,2.45455,1.536333,12912.0
2006-05-12,,,,,,
2006-05-15,2.27273,2.27273,2.14545,2.15455,1.348559,13174.0
2006-05-16,2.15455,2.2,1.90909,1.92727,1.206302,10839.0
2006-05-17,1.96364,2.0,1.93636,1.95455,1.223377,3986.0
2006-05-18,1.94545,1.94545,1.83636,1.83636,1.1494,5876420.0
2006-05-19,1.83636,1.99091,1.83636,1.94545,1.217681,12263900.0
2006-05-22,1.96364,2.00909,1.88182,1.88182,1.177855,10538.0
2006-05-23,1.86364,1.91818,1.81818,1.83636,1.1494,4464.0
2006-05-24,1.88182,1.92727,1.82727,1.86364,1.166475,7011.0
2006-05-25,1.86364,1.86364,1.77273,1.78182,1.115263,5289.0
2006-05-26,1.81818,1.82727,1.78182,1.78182,1.115263,1899.0
2006-05-29,1.79091,1.8,1.77273,1.77273,1.109574,747340.0
2006-05-30,1.77273,1.78182,1.75455,1.75455,1.098195,1714.0
2006-05-31,1.73636,1.75455,1.67273,1.69091,1.058362,2999.0
2006-06-01,1.69091,1.70909,1.66364,1.66364,1.041293,530.0
2006-06-02,1.74545,1.74545,1.7,1.72727,1.08112,1269.0
2006-06-05,1.73636,1.73636,1.68182,1.68182,1.052672,704.0
2006-06-06,1.68182,1.69091,1.67273,1.69091,1.058362,488.0
2006-06-07,1.68182,1.69091,1.65455,1.65455,1.035603,878.0
2006-06-08,1.65455,1.67273,1.62727,1.63636,1.024218,781.0
2006-06-09,1.64545,1.65455,1.60909,1.60909,1.007149,370.0
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,1.59091,1.6,1.54545,1.54545,0.967316,983.0
2006-06-15,1.53636,1.56364,1.53636,1.55455,0.973012,26.0
2006-06-16,1.55455,1.58182,1.54545,1.55455,0.973012,768.0
2006-06-19,1.54545,1.54545,1.52727,1.54545,0.967316,403.0
2006-06-20,1.54545,1.54545,1.53636,1.54545,0.967316,414.0
2006-06-21,1.54545,1.56364,1.54545,1.54545,0.967316,367.0
2006-06-22,1.55455,1.56364,1.55455,1.55455,0.973012,240.0
2006-06-23,1.55455,1.56364,1.54545,1.56364,0.978702,163.0
2006-06-26,1.56364,1.59091,1.56364,1.59091,0.99577,425.0
2006-06-27,1.58182,1.61818,1.58182,1.60909,1.007149,504.0
2006-06-28,1.6,1.61818,1.6,1.61818,1.012839,187.0
2006-06-29,1.61818,1.61818,1.60909,1.61818,1.012839,422.0
2006-06-30,1.61818,1.61818,1.60909,1.61818,1.012839,1267.0
2006-07-03,1.61818,1.64545,1.61818,1.64545,1.029908,141.0
2006-07-04,1.64545,1.7,1.64545,1.66364,1.041293,909.0
2006-07-05,1.65455,1.65455,1.61818,1.61818,1.012839,464.0
2006-07-06,1.61818,1.68182,1.61818,1.68182,1.052672,268.0
2006-07-07,1.68182,1.68182,1.67273,1.68182,1.052672,231.0
2006-07-10,1.68182,1.7,1.67273,1.7,1.064051,334.0
2006-07-11,,,,,,
2006-07-12,1.7,1.72727,1.7,1.72727,1.08112,301.0
2006-07-13,1.72727,1.72727,1.7,1.72727,1.08112,427.0
2006-07-14,1.69091,1.70909,1.69091,1.70909,1.069741,271.0
2006-07-17,1.68182,1.7,1.66364,1.7,1.064051,537.0
2006-07-18,1.68182,1.71818,1.68182,1.71818,1.07543,156.0
2006-07-19,1.71818,1.80909,1.71818,1.75455,1.098195,6690.0
2006-07-20,1.77273,1.80909,1.71818,1.72727,1.08112,2603.0
2006-07-21,1.72727,1.75455,1.71818,1.74545,1.092499,607.0
2006-07-24,1.75455,1.79091,1.75455,1.77273,1.109574,1133.0
2006-07-25,1.77273,1.82727,1.72727,1.72727,1.08112,4354.0
2006-07-26,1.73636,1.76364,1.73636,1.75455,1.098195,489280.0
2006-07-27,1.77273,1.77273,1.74545,1.76364,1.103884,753280.0
2006-07-28,1.74545,1.78182,1.74545,1.76364,1.103884,651.0
2006-07-31,1.75455,1.77273,1.75455,1.77273,1.109574,202.0
2006-08-01,1.77273,1.77273,1.74545,1.74545,1.092499,367.0
2006-08-02,1.75455,1.77273,1.74545,1.77273,1.109574,389.0
2006-08-03,1.77273,1.79091,1.77273,1.78182,1.115263,502.0
2006-08-04,1.77273,1.79091,1.76364,1.78182,1.115263,821.0
2006-08-07,1.78182,1.79091,1.75455,1.75455,1.098195,645.0
2006-08-08,1.78182,1.78182,1.75455,1.77273,1.109574,196.0
2006-08-09,1.76364,1.77273,1.74545,1.75455,1.098195,420.0
2006-08-10,1.74545,1.75455,1.71818,1.74545,1.092499,1146.0
2006-08-11,1.72727,1.74545,1.63636,1.74545,1.092499,2497.0
2006-08-14,,,,,,
2006-08-15,1.7,1.73636,1.69091,1.73636,1.086809,585.0
2006-08-16,1.72727,1.73636,1.72727,1.73636,1.086809,180.0
2006-08-17,1.72727,1.73636,1.71818,1.73636,1.086809,75.0
2006-08-18,1.70909,1.74545,1.70909,1.71818,1.07543,152.0
2006-08-21,1.71818,1.75455,1.71818,1.74545,1.092499,180.0
2006-08-22,1.76364,1.76364,1.72727,1.74545,1.092499,46.0
2006-08-23,1.73636,1.73636,1.73636,1.73636,1.086809,2.0
2006-08-24,1.72727,1.73636,1.7,1.73636,1.086809,112.0
2006-08-25,,,,,,
2006-08-28,1.72727,1.72727,1.71818,1.71818,1.07543,53.0
2006-08-29,1.71818,1.72727,1.71818,1.71818,1.07543,37.0
2006-08-30,1.71818,1.72727,1.71818,1.72727,1.08112,90.0
2006-08-31,1.71818,1.72727,1.71818,1.72727,1.08112,26.0
2006-09-01,1.72727,1.73636,1.72727,1.73636,1.086809,66.0
2006-09-04,1.72727,1.72727,1.7,1.72727,1.08112,110.0
2006-09-05,1.72727,1.72727,1.70909,1.72727,1.08112,284.0
2006-09-06,1.70909,1.73636,1.70909,1.73636,1.086809,145.0
2006-09-07,1.72727,1.73636,1.72727,1.72727,1.08112,233.0
2006-09-08,1.71818,1.72727,1.71818,1.71818,1.07543,372.0
2006-09-11,1.72727,1.72727,1.72727,1.72727,1.08112,2.0
2006-09-12,1.72727,1.72727,1.71818,1.72727,1.08112,233.0
2006-09-13,1.72727,1.72727,1.71818,1.72727,1.08112,95.0
2006-09-14,1.71818,1.72727,1.70909,1.72727,1.08112,218.0
2006-09-15,1.70909,1.72727,1.70909,1.72727,1.08112,132.0
2006-09-18,1.71818,1.72727,1.71818,1.72727,1.08112,176.0
2006-09-19,1.71818,1.72727,1.71818,1.72727,1.08112,198.0
2006-09-20,,,,,,
2006-09-21,1.63636,1.70909,1.63636,1.70909,1.069741,251.0
2006-09-22,1.70909,1.70909,1.63636,1.7,1.064051,565.0
2006-09-25,1.70909,1.71818,1.68182,1.71818,1.07543,35.0
2006-09-26,1.68182,1.71818,1.68182,1.71818,1.07543,86.0
2006-09-27,1.70909,1.71818,1.7,1.71818,1.07543,207.0
2006-09-28,1.71818,1.71818,1.70909,1.71818,1.07543,257.0
2006-09-29,1.71818,1.71818,1.70909,1.71818,1.07543,257.0
2006-10-02,1.71818,1.71818,1.70909,1.70909,1.069741,77.0
2006-10-03,1.72727,1.72727,1.72727,1.72727,1.08112,22.0
2006-10-04,1.71818,1.73636,1.71818,1.73636,1.086809,145.0
2006-10-05,1.73636,1.74545,1.71818,1.74545,1.092499,350.0
