Date,Open,High,Low,Close,Adj Close,Volume
2015-02-20,8.3,8.55,8.25,8.25,7.970965,22729300.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,7.95,8.05,7.75,7.75,7.487876,7750600.0
2015-03-03,7.85,7.85,7.45,7.5,7.246332,14071100.0
2015-03-05,7.5,7.5,7.35,7.4,7.149714,6117000.0
2015-03-06,7.5,7.85,7.5,7.8,7.536186,9811700.0
2015-03-09,7.75,7.85,7.65,7.65,7.391259,5944000.0
2015-03-10,7.7,7.8,7.5,7.55,7.294641,4691300.0
2015-03-11,7.5,7.6,7.45,7.5,7.246332,2748000.0
2015-03-12,7.6,7.6,7.45,7.55,7.294641,2325700.0
2015-03-13,7.6,7.75,7.5,7.7,7.439568,6858700.0
2015-03-16,7.7,7.7,7.35,7.4,7.149714,8992500.0
2015-03-17,7.4,7.5,7.05,7.05,6.811552,10474500.0
2015-03-18,7.15,7.25,7.05,7.15,6.90817,3961700.0
2015-03-19,7.25,7.3,7.05,7.05,6.811552,3902600.0
2015-03-20,7.05,7.15,6.9,6.95,6.714934,5975300.0
2015-03-23,6.9,6.95,6.55,6.55,6.328464,8004400.0
2015-03-24,6.55,6.6,6.2,6.3,6.086919,6195300.0
2015-03-25,6.35,6.65,6.3,6.55,6.328464,3340000.0
2015-03-26,6.4,6.6,6.3,6.3,6.086919,4472500.0
2015-03-27,6.3,6.4,6.2,6.25,6.03861,2627500.0
2015-03-30,6.3,6.45,6.25,6.3,6.086919,3942500.0
2015-03-31,6.35,6.6,6.3,6.45,6.231845,5824100.0
2015-04-01,6.5,6.75,6.4,6.7,6.47339,6211000.0
2015-04-02,6.75,7.0,6.7,6.75,6.521698,12449200.0
2015-04-03,6.8,6.85,6.65,6.7,6.47339,3682200.0
2015-04-07,6.7,6.75,6.45,6.5,6.280154,5546800.0
2015-04-08,6.5,6.75,6.45,6.65,6.425081,6404000.0
2015-04-09,6.7,6.7,6.55,6.55,6.328464,1573600.0
2015-04-10,6.6,6.6,6.45,6.6,6.376772,2877300.0
2015-04-16,6.6,6.85,6.55,6.75,6.521698,4711900.0
2015-04-17,6.8,7.1,6.75,6.85,6.618316,15519900.0
2015-04-20,6.8,6.9,6.75,6.8,6.570008,2308600.0
2015-04-21,6.8,7.0,6.8,6.95,6.714934,5660100.0
2015-04-22,6.95,6.95,6.7,6.75,6.521698,3865200.0
2015-04-23,6.85,6.9,6.65,6.7,6.47339,2951300.0
2015-04-24,6.85,7.05,6.85,6.95,6.714934,22670100.0
2015-04-27,6.95,7.1,6.85,6.85,6.618316,11887800.0
2015-04-28,6.9,6.95,6.7,6.7,6.47339,4486400.0
2015-04-29,6.75,6.9,6.75,6.75,6.521698,5268700.0
2015-04-30,6.75,6.8,6.7,6.7,6.47339,2113600.0
2015-05-04,6.7,6.7,6.7,6.7,6.47339,0.0
2015-05-06,6.7,6.7,6.5,6.5,6.280154,2635500.0
2015-05-07,6.55,6.6,6.35,6.35,6.135228,1940400.0
2015-05-08,6.4,6.4,6.25,6.35,6.135228,2277000.0
2015-05-11,6.35,6.45,6.2,6.2,5.990301,1701800.0
2015-05-12,6.3,6.4,6.0,6.1,5.893683,7738700.0
2015-05-13,6.2,6.45,6.15,6.35,6.135228,8813900.0
2015-05-14,6.3,6.4,6.15,6.3,6.086919,5118100.0
2015-05-15,6.3,6.5,6.25,6.5,6.280154,5954800.0
2015-05-18,6.45,6.45,6.3,6.3,6.086919,3584500.0
2015-05-19,6.35,6.45,6.3,6.4,6.183537,2949300.0
2015-05-20,6.4,6.45,6.3,6.3,6.086919,3352000.0
2015-05-21,6.35,6.5,6.25,6.45,6.231845,6894700.0
2015-05-22,6.5,6.5,6.3,6.4,6.183537,2987100.0
2015-05-25,6.45,6.45,6.25,6.25,6.03861,4800200.0
2015-05-26,6.3,6.35,6.2,6.2,5.990301,4288700.0
2015-05-27,6.25,6.3,6.15,6.3,6.086919,2909100.0
2015-05-28,6.3,6.4,6.25,6.25,6.03861,1986900.0
2015-05-29,6.25,6.55,6.25,6.55,6.328464,13093100.0
2015-06-02,6.55,6.55,6.35,6.35,6.135228,4112800.0
2015-06-03,6.35,6.5,6.3,6.45,6.231845,6203800.0
2015-06-04,6.5,6.55,6.35,6.5,6.280154,4022300.0
2015-06-05,6.45,6.7,6.45,6.55,6.328464,10122700.0
2015-06-08,6.55,6.65,6.5,6.55,6.328464,1675100.0
2015-06-09,6.5,6.5,6.3,6.35,6.135228,4216700.0
