Date,Open,High,Low,Close,Adj Close,Volume
2014-06-19,6.07792,6.27273,3.93,4.16883,3.880834,361601112
2014-06-20,3.97403,4.09091,3.6,3.66234,3.409334,98165632
2014-06-23,3.67792,3.69351,3.44416,3.44416,3.206227,48482408
2014-06-24,3.49091,3.70909,3.49091,3.63117,3.380317,73326972
2014-06-25,3.61558,3.67792,3.55325,3.6,3.351301,20302462
2014-06-26,3.63117,3.77143,3.61558,3.64675,3.394821,35267027
2014-06-27,3.64675,3.72468,3.61558,3.64675,3.394821,12020983
2014-06-30,3.67792,3.84935,3.67792,3.84935,3.583425,48929137
2014-07-02,3.84935,3.93,3.83377,3.88052,3.612442,28753083
2014-07-03,3.8961,4.01299,3.8961,4.01299,3.73576,25786017
2014-07-04,4.05195,4.16883,3.97403,4.12987,3.844566,28310975
2014-07-07,4.16883,4.24675,4.05195,4.05195,3.772028,12433575
2014-07-08,4.05195,4.09091,3.8961,3.8961,3.626945,10803870
2014-07-09,3.8961,3.97403,3.81818,3.86494,3.597938,5210205
2014-07-10,3.8961,4.4026,3.8961,4.32468,4.025918,65970648
2014-07-14,4.32468,4.44156,4.24675,4.28571,3.98964,26389697
2014-07-15,4.28571,4.71429,4.16883,4.71429,4.388612,52318548
2014-07-16,4.63636,4.71429,4.4026,4.51948,4.207261,37680720
2014-07-17,4.51948,4.79221,4.48052,4.63636,4.316066,36751330
2014-07-18,4.63636,4.79221,4.55844,4.71429,4.388612,28748720
2014-07-21,4.79221,4.94805,4.79221,4.79221,4.461149,22947925
2014-07-22,4.87013,4.90909,4.44156,4.48052,4.170991,26075152
2014-07-23,4.51948,4.71429,4.51948,4.63636,4.316066,23005547
2014-07-24,4.67532,4.71429,4.5974,4.5974,4.279797,9871272
2014-07-25,4.63636,5.18182,4.55844,4.98701,4.642492,66048932
2014-07-28,4.94805,4.98701,4.83117,4.87013,4.533687,20738282
2014-07-29,4.94805,5.18182,4.75325,4.83117,4.497417,50825647
2014-07-30,4.83117,4.90909,4.55844,4.75325,4.424881,23137987
2014-07-31,4.75325,4.83117,4.55844,4.55844,4.243529,11039105
2014-08-01,4.48052,4.63636,4.44156,4.63636,4.316066,5498955
2014-08-04,4.67532,4.75325,4.63636,4.71429,4.388612,7476443
2014-08-05,4.71429,4.83117,4.67532,4.83117,4.497417,14131553
2014-08-06,4.83117,4.87013,4.75325,4.75325,4.424881,12663933
2014-08-07,4.79221,4.83117,4.5974,4.5974,4.279797,7381733
2014-08-08,4.55844,4.67532,4.51948,4.5974,4.279797,6745842
2014-08-13,4.5974,4.67532,4.55844,4.5974,4.279797,2836167
2014-08-14,4.83117,4.90909,4.71429,4.79221,4.461149,23833168
2014-08-15,4.90909,5.14286,4.87013,5.06494,4.715038,45978368
2014-08-18,5.02597,5.49351,4.98701,5.45455,5.077733,67926833
2014-08-19,5.49351,5.68831,5.37662,5.37662,5.005186,42022365
2014-08-20,5.41558,5.61039,5.41558,5.61039,5.222807,12355163
2014-08-21,5.68831,6.31169,5.68831,6.11688,5.694307,94629663
2014-08-22,6.11688,6.15584,5.84416,6.11688,5.694307,24352790
2014-08-25,6.15584,6.62338,6.11688,6.50649,6.057002,47092687
2014-08-26,6.58442,7.32468,6.31169,6.46753,6.067358,67755893
2014-08-27,6.50649,6.7013,6.23377,6.38961,5.99426,37173675
2014-08-28,6.38961,6.54545,6.19481,6.50649,6.103908,12702433
2014-08-29,6.46753,6.54545,6.38961,6.42857,6.030809,10019497
2014-09-01,6.46753,6.46753,5.61039,5.8,5.441131,47330360
2014-09-02,5.84416,6.0,5.68831,5.88312,5.519108,24431587
