Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,21.25,23.0,21.25,23.0,10.506985,11000.0
2000-01-05,23.0,23.0,21.5,21.5,9.821745,0.0
2000-01-06,23.0,23.0,22.0,22.0,10.050161,1400.0
2000-01-07,23.0,23.0,22.75,23.0,10.506985,32000.0
2000-01-10,23.0,23.0,23.0,23.0,10.506985,2500.0
2000-01-11,23.0,23.0,23.0,23.0,10.506985,1000.0
2000-01-12,23.0,23.0,23.0,23.0,10.506985,1000.0
2000-01-13,23.0,23.0,22.0,22.0,10.050161,0.0
2000-01-14,23.0,23.0,23.0,23.0,10.506985,1000.0
2000-01-17,23.75,23.75,22.0,22.0,10.050161,0.0
2000-01-18,23.75,23.75,22.0,22.0,10.050161,0.0
2000-01-19,23.75,23.75,22.0,22.0,10.050161,0.0
2000-01-20,23.75,23.75,22.75,22.75,10.392777,0.0
2000-01-21,23.75,23.75,23.75,23.75,10.849604,1200.0
2000-01-24,24.25,24.25,22.0,22.0,10.050161,0.0
2000-01-25,24.0,24.0,22.5,22.5,10.278572,0.0
2000-01-26,23.0,23.0,23.0,23.0,10.506985,800.0
2000-01-27,23.75,23.75,23.0,23.0,10.506985,0.0
2000-01-28,23.75,23.75,23.75,23.75,10.849604,3000.0
2000-01-31,24.25,24.25,23.25,23.25,10.621188,0.0
2000-02-01,24.0,24.25,24.0,24.25,11.078015,1400.0
2000-02-02,24.5,24.5,24.5,24.5,11.192221,500.0
2000-02-03,24.5,25.0,24.5,25.0,11.420632,2000.0
2000-02-04,24.0,24.0,23.0,23.5,10.735397,16100.0
2000-02-07,23.5,24.0,23.5,24.0,10.963811,7000.0
2000-02-08,24.0,24.0,24.0,24.0,10.963811,6000.0
2000-02-09,23.5,24.0,23.5,24.0,10.963811,10000.0
2000-02-10,23.75,23.75,23.5,23.75,10.849604,3000.0
2000-02-11,23.0,23.5,22.25,23.5,10.735397,29000.0
2000-02-14,23.5,23.5,23.5,23.5,10.735397,11600.0
2000-02-15,23.75,23.75,23.5,23.5,10.735397,16000.0
2000-02-16,23.5,23.5,23.5,23.5,10.735397,10000.0
2000-02-17,23.5,23.75,23.5,23.75,10.849604,2100.0
2000-02-18,24.0,24.0,24.0,24.0,10.963811,5000.0
2000-02-21,24.0,24.0,24.0,24.0,10.963811,0.0
2000-02-22,24.0,24.0,21.5,21.5,9.821745,0.0
2000-02-23,23.75,23.75,23.75,23.75,10.849604,2500.0
2000-02-24,23.75,23.75,23.5,23.5,10.735397,3500.0
2000-02-25,24.0,24.0,23.75,24.0,10.963811,10100.0
2000-02-28,23.75,23.75,23.75,23.75,10.849604,6600.0
2000-02-29,23.75,24.0,23.5,23.5,10.735397,8500.0
2000-03-01,23.5,23.5,23.5,23.5,10.735397,4000.0
2000-03-02,23.5,23.5,23.5,23.5,10.735397,9700.0
2000-03-03,23.5,23.5,23.25,23.25,10.621188,11200.0
2000-03-06,23.5,23.5,23.5,23.5,10.735397,8400.0
2000-03-07,24.0,24.0,23.5,23.5,10.735397,0.0
2000-03-08,24.5,24.5,24.5,24.5,11.192221,500.0
2000-03-09,25.0,25.0,23.75,23.75,10.849604,0.0
2000-03-10,24.25,24.25,24.25,24.25,11.078015,1000.0
2000-03-13,24.25,24.25,24.25,24.25,11.078015,400.0
2000-03-14,25.0,25.0,25.0,25.0,11.420632,2000.0
2000-03-15,26.0,26.0,23.5,23.5,10.735397,0.0
2000-03-16,26.0,26.0,23.75,23.75,10.849604,0.0
2000-03-17,25.0,25.0,23.5,23.5,10.735397,0.0
2000-03-20,26.0,26.0,23.75,23.75,10.849604,0.0
2000-03-21,23.5,23.5,23.5,23.5,10.735397,3100.0
2000-03-22,23.5,23.5,23.5,23.5,10.735397,16000.0
2000-03-23,26.0,26.0,23.5,23.5,10.735397,4800.0
2000-03-24,26.0,26.0,23.5,23.5,10.735397,1000.0
2000-03-27,23.5,23.5,23.5,23.5,10.735397,2200.0
2000-03-28,26.0,26.0,24.0,24.0,10.963811,0.0
2000-03-29,23.5,23.5,23.5,23.5,10.735397,2000.0
2000-03-30,24.0,24.0,23.5,23.5,10.735397,4400.0
2000-03-31,24.5,24.5,24.5,24.5,11.192221,1000.0
2000-04-03,22.0,22.5,22.0,22.5,10.715958,1100.0
2000-04-04,24.0,24.0,21.5,21.5,10.239692,0.0
2000-04-05,22.25,24.0,22.25,23.0,10.95409,2600.0
2000-04-06,23.0,23.0,23.0,23.0,10.95409,0.0
2000-04-07,24.75,24.75,23.0,23.0,10.95409,0.0
2000-04-10,24.75,24.75,23.0,23.0,10.95409,0.0
2000-04-11,25.0,25.0,25.0,25.0,11.906617,1500.0
2000-04-12,24.75,24.75,23.0,23.0,10.95409,0.0
2000-04-13,23.0,23.0,23.0,23.0,10.95409,0.0
2000-04-14,23.0,23.0,23.0,23.0,10.95409,0.0
2000-04-17,25.5,25.5,22.0,22.0,10.477824,0.0
2000-04-18,25.0,25.0,20.0,20.0,9.525293,0.0
2000-04-19,25.0,25.0,20.0,20.0,9.525293,0.0
2000-04-20,25.0,25.0,20.25,20.25,9.644361,0.0
2000-04-21,25.0,25.0,20.5,20.5,9.763428,0.0
2000-04-24,20.75,20.75,20.75,20.75,9.882494,5000.0
2000-04-25,24.75,24.75,21.75,21.75,10.358759,0.0
2000-04-26,24.75,24.75,21.5,21.5,10.239692,0.0
2000-04-27,24.75,24.75,21.5,21.5,10.239692,0.0
2000-04-28,24.75,24.75,21.5,21.5,10.239692,0.0
2000-05-01,21.5,21.5,21.5,21.5,10.239692,0.0
2000-05-02,25.0,25.0,21.5,21.5,10.239692,0.0
2000-05-03,25.0,25.0,21.5,21.5,10.239692,0.0
2000-05-04,25.0,25.0,25.0,25.0,11.906617,400.0
2000-05-05,25.0,25.0,25.0,25.0,11.906617,0.0
2000-05-08,24.75,24.75,21.25,21.25,10.120626,0.0
2000-05-09,21.25,21.25,21.25,21.25,10.120626,0.0
2000-05-10,24.5,24.5,20.75,20.75,9.882494,0.0
2000-05-11,24.75,24.75,21.25,21.25,10.120626,0.0
2000-05-12,21.0,21.0,21.0,21.0,10.001559,200.0
2000-05-15,24.75,24.75,21.25,21.25,10.120626,0.0
2000-05-16,25.0,25.0,22.0,22.0,10.477824,0.0
2000-05-17,22.0,22.0,22.0,22.0,10.477824,0.0
2000-05-18,22.0,22.0,22.0,22.0,10.477824,4000.0
2000-05-19,26.0,26.0,22.25,22.25,10.596892,0.0
2000-05-22,22.0,22.0,22.0,22.0,10.477824,900.0
2000-05-23,24.0,24.5,24.0,24.5,11.668488,4000.0
2000-05-24,24.75,24.75,24.0,24.0,11.430355,0.0
2000-05-25,24.0,24.0,24.0,24.0,11.430355,2400.0
2000-05-26,24.0,24.0,22.5,22.5,10.715958,0.0
2000-05-29,24.0,24.0,22.0,22.0,10.477824,0.0
2000-05-30,22.0,22.0,22.0,22.0,10.477824,0.0
2000-05-31,25.0,25.0,22.0,22.0,10.477824,0.0
2000-06-01,25.0,25.0,22.25,22.25,10.596892,0.0
2000-06-02,25.0,25.0,22.25,22.25,10.596892,0.0
2000-06-05,22.0,22.25,22.0,22.25,10.596892,500.0
2000-06-06,24.75,24.75,22.25,22.25,10.596892,0.0
2000-06-07,24.0,24.25,24.0,24.25,11.549419,2800.0
2000-06-08,24.5,24.5,24.5,24.5,11.668488,4000.0
2000-06-09,24.5,24.5,24.5,24.5,11.668488,2000.0
2000-06-12,24.0,24.0,24.0,24.0,11.430355,500.0
2000-06-13,24.0,24.0,24.0,24.0,11.430355,500.0
2000-06-14,24.5,24.5,24.5,24.5,11.668488,1000.0
2000-06-15,25.0,25.0,24.25,24.25,11.549419,0.0
2000-06-16,25.0,25.0,24.25,24.25,11.549419,0.0
2000-06-19,25.0,25.0,24.0,24.0,11.430355,0.0
