Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,4.2,4.46,4.2,4.36,2.427693,332348200.0
2008-05-23,4.4,4.52,4.38,4.42,2.461101,126476100.0
2008-05-26,4.36,4.36,4.24,4.28,2.383147,52385200.0
2008-05-27,4.32,4.36,4.28,4.32,2.40542,18650300.0
2008-05-28,4.36,4.42,4.3,4.34,2.416556,33154500.0
2008-05-29,4.4,4.4,4.28,4.28,2.383147,19784400.0
2008-05-30,4.32,4.38,4.32,4.34,2.416556,15506600.0
2008-06-02,4.28,4.34,4.28,4.28,2.383147,30225600.0
2008-06-03,4.28,4.3,4.24,4.26,2.372011,18831600.0
2008-06-04,4.3,4.36,4.28,4.34,2.416556,14336900.0
2008-06-05,4.34,4.38,4.3,4.38,2.438829,12000600.0
2008-06-06,4.4,4.72,4.38,4.68,2.605872,86746800.0
2008-06-09,4.62,4.96,4.62,4.86,2.706098,78463100.0
2008-06-10,4.9,4.94,4.66,4.76,2.650417,68478700.0
2008-06-11,4.8,4.92,4.76,4.86,2.706098,53623500.0
2008-06-12,4.84,5.15,4.82,5.1,2.839732,79692700.0
2008-06-13,5.05,5.15,4.96,4.98,2.772915,59033800.0
2008-06-16,5.05,5.05,4.98,5.0,2.784051,22495800.0
2008-06-17,5.05,5.05,4.98,5.0,2.784051,16734500.0
2008-06-18,4.98,5.3,4.96,5.1,2.839732,44250500.0
2008-06-19,5.1,5.15,5.0,5.15,2.867572,28171100.0
2008-06-20,5.1,5.15,5.0,5.0,2.784051,18156100.0
2008-06-23,4.98,5.1,4.98,5.0,2.784051,5574800.0
2008-06-24,5.05,5.25,5.05,5.05,2.811892,18727800.0
2008-06-25,5.1,5.15,5.05,5.05,2.811892,8655400.0
2008-06-26,5.1,5.25,5.1,5.1,2.839732,29879400.0
2008-06-27,5.05,5.25,5.05,5.2,2.895412,16172800.0
2008-06-30,5.25,5.4,5.25,5.4,3.006775,17252800.0
2008-07-02,5.4,5.45,5.3,5.4,3.006775,23893700.0
2008-07-03,5.4,5.55,5.35,5.5,3.062456,16392700.0
2008-07-04,5.6,5.8,5.55,5.75,3.201659,27315200.0
2008-07-07,5.8,5.85,5.4,5.55,3.090297,28093800.0
2008-07-08,5.5,5.8,5.45,5.7,3.173818,17544000.0
2008-07-09,5.8,5.9,5.7,5.75,3.201659,22231900.0
2008-07-10,5.75,5.75,5.5,5.5,3.062456,18686200.0
2008-07-11,5.6,5.6,5.45,5.45,3.034616,17078800.0
2008-07-14,5.45,5.6,5.45,5.55,3.090297,13117200.0
2008-07-15,5.45,5.45,5.2,5.4,3.006775,31042900.0
2008-07-16,5.4,5.4,5.3,5.35,2.978935,20915300.0
2008-07-18,5.45,5.45,5.25,5.3,2.951094,14651900.0
2008-07-21,5.35,5.4,5.3,5.3,2.951094,14866400.0
2008-07-22,5.35,5.35,5.3,5.3,2.951094,5962100.0
2008-07-23,5.35,5.35,5.3,5.35,2.978935,3863400.0
2008-07-24,5.35,5.35,5.15,5.2,2.895412,9346900.0
2008-07-25,5.2,5.35,5.2,5.3,2.951094,4452900.0
2008-07-28,5.3,5.5,5.3,5.45,3.034616,10009400.0
2008-07-29,5.4,5.45,5.4,5.45,3.034616,2952500.0
2008-07-30,5.5,5.5,5.35,5.35,2.978935,1984100.0
2008-07-31,5.4,5.45,5.35,5.4,3.006775,9893500.0
2008-08-01,5.35,5.6,5.35,5.45,3.034616,12746100.0
2008-08-04,5.4,5.45,5.35,5.35,2.978935,3310400.0
2008-08-05,5.3,5.35,5.2,5.25,2.923253,9189600.0
2008-08-06,5.3,5.35,5.25,5.25,2.923253,3960900.0
2008-08-07,5.3,5.3,4.94,5.1,2.839732,21527400.0
2008-08-08,5.1,5.1,4.94,4.96,2.761778,16075800.0
2008-08-11,5.0,5.05,4.68,4.74,2.63928,38098000.0
2008-08-13,4.74,4.94,4.7,4.88,2.717234,30595700.0
2008-08-14,4.88,4.94,4.86,4.88,2.717234,7525500.0
2008-08-15,4.9,4.9,4.78,4.84,2.694962,15146900.0
2008-08-18,4.84,5.1,4.84,5.0,2.784051,22888300.0
2008-08-19,5.0,5.05,4.98,4.98,2.772915,13342200.0
2008-08-20,5.0,5.05,4.98,5.0,2.784051,10820700.0
2008-08-21,5.0,5.0,4.88,4.9,2.72837,4781200.0
2008-08-22,4.92,4.92,4.84,4.88,2.717234,11747400.0
2008-08-25,4.9,4.96,4.9,4.96,2.761778,4070700.0
2008-08-26,4.86,4.98,4.86,4.96,2.761778,6671200.0
2008-08-27,4.94,4.96,4.92,4.96,2.761778,7127500.0
2008-08-28,4.96,4.96,4.92,4.94,2.750642,2062800.0
2008-08-29,4.94,4.96,4.92,4.94,2.750642,7156900.0
2008-09-01,4.9,4.94,4.84,4.9,2.72837,4658400.0
2008-09-02,4.8,4.86,4.78,4.8,2.672689,10699100.0
