Date,Open,High,Low,Close,Adj Close,Volume
2012-08-23,3.25233,3.59153,3.0528,3.0528,2.858369,290115022.0
2012-08-24,3.15256,3.24235,2.7136,2.82334,2.643523,69628340.0
2012-08-27,2.79341,2.89318,2.7136,2.7535,2.578131,44529098.0
2012-08-28,2.78344,2.82334,2.72358,2.74353,2.568796,18237902.0
2012-08-29,2.77346,2.85327,2.7136,2.7535,2.578131,36225562.0
2012-08-30,2.74353,2.87322,2.72358,2.86324,2.680882,31276905.0
2012-08-31,2.86324,2.91312,2.85327,2.85327,2.671547,16629419.0
2012-09-03,2.85327,2.86324,2.7535,2.78344,2.606164,7528111.0
2012-09-04,2.78344,2.87322,2.78344,2.85327,2.671547,12091263.0
2012-09-05,2.86324,3.27228,2.86324,3.08273,2.886392,130463837.0
2012-09-06,3.0528,3.15256,3.00292,3.02287,2.830345,38951162.0
2012-09-07,3.04282,3.11266,3.0129,3.0129,2.82101,12350619.0
2012-09-10,3.04282,3.0927,3.02287,3.06278,2.867713,10743019.0
2012-09-11,3.0927,3.13261,3.02287,3.02287,2.830345,9179820.0
2012-09-12,3.06278,3.06278,3.02287,3.04282,2.849024,3542926.0
2012-09-13,3.0528,3.06278,3.02287,3.02287,2.830345,4569179.0
2012-09-14,3.08273,3.15256,3.0528,3.13261,2.933095,17895033.0
2012-09-17,3.13261,3.25233,3.13261,3.16254,2.961119,34451526.0
2012-09-18,3.16254,3.23238,3.15256,3.17252,2.970463,10642746.0
2012-09-19,3.20244,3.46183,3.20244,3.35209,3.138597,89471932.0
2012-09-20,3.32216,3.392,3.23238,3.25233,3.045191,31850460.0
2012-09-21,3.31219,3.38202,3.28226,3.28226,3.073214,13890440.0
2012-09-24,3.31219,3.66136,3.31219,3.46183,3.241348,80226243.0
2012-09-25,3.53167,3.66136,3.42193,3.53167,3.30674,37695692.0
2012-09-26,3.5616,4.14023,3.49176,3.70127,3.465538,130843322.0
2012-09-27,3.76113,3.93073,3.76113,3.87087,3.624336,30812591.0
2012-09-28,3.97063,4.0704,3.9008,4.00057,3.745775,33537308.0
2012-10-01,4.04047,4.17017,4.00057,4.0704,3.811158,26391175.0
2012-10-02,4.0704,4.10033,3.93073,3.93073,3.680383,18958484.0
2012-10-03,4.00057,4.26993,3.97063,4.26993,3.99798,23918022.0
2012-10-04,4.30983,4.5792,4.30983,4.33976,4.063362,42086968.0
2012-10-05,4.33976,4.88847,4.33976,4.7488,4.498176,36755744.0
2012-10-08,4.7887,5.2576,4.50936,5.05807,4.791124,41637357.0
2012-10-09,5.088,5.12791,4.64904,4.71887,4.469826,27862775.0
2012-10-10,4.71887,4.71887,4.37967,4.43953,4.205228,20299965.0
2012-10-11,4.54927,4.64904,4.37967,4.64904,4.403681,14754081.0
2012-10-12,4.71887,4.81864,4.50936,4.50936,4.271373,15165023.0
2012-10-15,4.54927,4.54927,4.30983,4.4096,4.176878,1790944.0
2012-10-16,4.37967,4.6191,4.37967,4.5792,4.337527,1768302.0
2012-10-17,4.64904,4.71887,4.54927,4.6191,4.375321,3113752.0
2012-10-18,4.00057,4.5792,3.9008,4.54927,4.309177,18679573.0
2012-10-19,4.47944,4.50936,4.4096,4.47944,4.243032,2295837.0
2012-10-22,4.47944,4.47944,4.4096,4.47944,4.243032,1313692.0
2012-10-24,4.50936,4.54927,4.4096,4.4096,4.176878,1755511.0
2012-10-25,4.4096,4.43953,4.30983,4.30983,4.082374,1998106.0
2012-10-26,4.33976,4.33976,4.14023,4.33976,4.110723,2373027.0
2012-10-29,4.37967,4.47944,4.33976,4.47944,4.243032,2746036.0
2012-10-30,4.47944,4.6191,4.4096,4.6191,4.375321,2818962.0
2012-10-31,4.6191,4.67896,4.5792,4.6191,4.375321,1919887.0
2012-11-01,4.5792,4.71887,4.5792,4.71887,4.469826,2609153.0
2012-11-02,4.71887,4.7488,4.6191,4.6191,4.375321,5847438.0
2012-11-05,4.64904,4.64904,4.43953,4.47944,4.243032,9428444.0
2012-11-06,4.50936,4.5792,4.37967,4.43953,4.205228,3167270.0
2012-11-07,4.47944,4.50936,4.4096,4.43953,4.205228,2790438.0
2012-11-08,4.43953,4.43953,4.24,4.26993,4.044579,6430697.0
2012-11-09,4.30983,4.43953,4.04047,4.14023,3.921725,7091733.0
2012-11-12,4.24,4.24,3.83097,3.97063,3.761075,237744.0
2012-11-13,3.9008,4.17017,3.87087,4.10033,3.88393,5719671.0
2012-11-14,4.10033,4.17017,4.00057,4.00057,3.789435,1676263.0
2012-11-15,3.97063,4.00057,3.83097,4.00057,3.789435,2908649.0
2012-11-16,4.00057,4.21007,4.00057,4.10033,3.88393,4019443.0
2012-11-19,4.10033,4.14023,4.04047,4.0704,3.85558,940389.0
2012-11-20,4.10033,4.14023,3.93073,3.93073,3.723281,1552759.0
2012-11-21,4.04047,4.04047,3.80103,3.83097,3.628786,3309446.0
2012-11-22,3.9008,4.00057,3.87087,3.97063,3.761075,1326484.0
2012-11-23,4.04047,4.04047,3.9008,3.9008,3.694931,1667294.0
2012-11-26,3.93073,4.14023,3.93073,4.0704,3.85558,3675986.0
2012-11-27,4.0704,4.14023,4.0704,4.10033,3.88393,2258639.0
2012-11-28,4.10033,4.14023,4.0704,4.0704,3.85558,1019196.0
2012-11-29,4.14023,4.14023,4.0704,4.0704,3.85558,627514.0
2012-11-30,4.04047,4.24,4.04047,4.0704,3.85558,5668505.0
2012-12-03,4.0704,4.10033,4.00057,4.00057,3.789435,1563786.0
2012-12-04,4.04047,4.0704,3.97063,4.00057,3.789435,1443812.0
2012-12-06,4.04047,4.04047,3.9008,3.9008,3.694931,4293061.0
2012-12-07,3.9008,3.93073,3.87087,3.87087,3.66658,791009.0
2012-12-11,3.93073,4.21007,3.9008,4.21007,3.987879,9330377.0
2012-12-12,4.33976,4.4096,4.10033,4.10033,3.88393,9064551.0
2012-12-13,4.14023,4.17017,4.10033,4.10033,3.88393,1865928.0
2012-12-14,4.14023,4.17017,4.10033,4.10033,3.88393,1667000.0
2012-12-17,4.14023,4.17017,4.14023,4.14023,3.921725,1094327.0
2012-12-18,4.17017,4.17017,4.04047,4.04047,3.827229,1482333.0
2012-12-19,4.0704,4.10033,4.04047,4.04047,3.827229,1773448.0
2012-12-20,4.0704,4.0704,4.00057,4.00057,3.789435,648245.0
2012-12-21,4.00057,4.04047,3.93073,3.97063,3.761075,1521001.0
2012-12-24,3.97063,3.97063,3.87087,3.9008,3.694931,2041773.0
2012-12-25,3.93073,4.04047,3.93073,4.00057,3.789435,2199975.0
2012-12-26,4.00057,4.04047,4.00057,4.04047,3.827229,742784.0
2012-12-27,4.04047,4.04047,3.93073,4.00057,3.789435,1033016.0
2012-12-28,3.97063,4.04047,3.97063,3.97063,3.761075,992878.0
2013-01-02,3.97063,4.10033,3.93073,4.0704,3.85558,3221082.0
2013-01-03,4.10033,4.14023,4.04047,4.04047,3.827229,3035681.0
2013-01-04,4.10033,4.33976,4.0704,4.24,4.016229,11297754.0
2013-01-07,4.30983,4.30983,4.17017,4.17017,3.950084,2816756.0
2013-01-08,4.21007,4.47944,4.21007,4.4096,4.176878,18759409.0
2013-01-09,4.43953,4.71887,4.43953,4.64904,4.403681,12996218.0
2013-01-10,4.7488,4.7488,4.47944,4.47944,4.243032,5749812.0
2013-01-11,4.47944,4.5792,4.4096,4.5792,4.337527,5021289.0
2013-01-14,4.6191,4.64904,4.47944,4.50936,4.271373,3562334.0
2013-01-15,4.47944,4.54927,4.4096,4.47944,4.243032,3532928.0
2013-01-16,4.50936,4.7887,4.37967,4.67896,4.432022,17993395.0
2013-01-17,4.84856,5.15784,4.7887,5.088,4.819475,36374207.0
2013-01-18,5.15784,5.49703,4.9184,5.01816,4.75332,26694787.0
2013-01-21,5.05807,5.088,4.9184,4.9583,4.69662,3422657.0
2013-01-22,5.01816,5.01816,4.7488,4.7488,4.498176,4071491.0
2013-01-23,4.7887,4.98824,4.24,4.47944,4.243032,13102225.0
2013-01-24,4.5792,4.5792,4.50936,4.54927,4.309177,2602684.0
