Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3.0,3.0,2.96,3.0,0.12512,187500.0
2000-01-05,3.0,3.0,2.96,2.96,0.123452,156250.0
2000-01-06,2.96,2.96,2.96,2.96,0.123452,0.0
2000-01-07,2.96,2.96,2.96,2.96,0.123452,0.0
2000-01-10,3.04,3.12,3.04,3.04,0.126789,593750.0
2000-01-11,3.12,3.12,3.06,3.06,0.127623,62500.0
2000-01-12,3.06,3.06,3.06,3.06,0.127623,0.0
2000-01-13,3.06,3.08,3.06,3.08,0.128457,62500.0
2000-01-14,3.04,3.12,3.04,3.12,0.130125,93750.0
2000-01-17,3.12,3.12,3.12,3.12,0.130125,0.0
2000-01-18,3.2,3.2,3.16,3.2,0.133462,703125.0
2000-01-19,3.2,3.2,3.2,3.2,0.133462,0.0
2000-01-20,3.16,3.24,3.16,3.24,0.13513,171875.0
2000-01-21,3.2,3.24,3.2,3.24,0.13513,203125.0
2000-01-24,3.18,3.28,3.18,3.28,0.136798,171875.0
2000-01-25,3.28,3.28,3.28,3.28,0.136798,0.0
2000-01-26,3.28,3.32,3.28,3.32,0.138467,359375.0
2000-01-27,3.2,3.4,3.2,3.4,0.141803,62500.0
2000-01-28,3.36,3.4,3.36,3.4,0.141803,93750.0
2000-01-31,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-01,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-02,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-03,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-04,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-07,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-08,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-09,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-10,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-11,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-14,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-15,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-16,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-17,3.4,3.4,3.4,3.4,0.141803,0.0
2000-02-18,3.52,3.52,3.42,3.5,0.145974,156250.0
2000-02-21,3.5,3.5,3.5,3.5,0.145974,0.0
2000-02-22,3.4,3.4,3.32,3.32,0.138467,78125.0
2000-02-23,3.32,3.32,3.32,3.32,0.138467,0.0
2000-02-24,3.32,3.32,3.32,3.32,0.138467,0.0
2000-02-25,3.32,3.32,3.32,3.32,0.138467,0.0
2000-02-28,3.32,3.32,3.32,3.32,0.138467,0.0
2000-02-29,3.48,3.56,3.36,3.56,0.148476,3437500.0
2000-03-01,3.56,3.56,3.56,3.56,0.148476,0.0
2000-03-02,3.28,3.54,3.28,3.54,0.147642,609375.0
2000-03-03,3.54,3.56,3.54,3.56,0.148476,234375.0
2000-03-06,3.4,3.4,3.36,3.36,0.140135,156250.0
2000-03-07,3.48,3.48,3.32,3.36,0.140135,531250.0
2000-03-08,3.4,3.44,3.4,3.4,0.141803,468750.0
2000-03-09,3.54,3.54,3.48,3.54,0.147642,468750.0
2000-03-10,3.4,3.56,3.4,3.56,0.148476,984375.0
2000-03-13,3.56,3.6,3.56,3.6,0.150144,734375.0
2000-03-14,3.62,3.64,3.62,3.64,0.151813,750000.0
2000-03-15,3.52,3.6,3.52,3.6,0.150144,484375.0
2000-03-16,3.6,3.6,3.6,3.6,0.150144,0.0
2000-03-17,3.6,3.64,3.6,3.64,0.151813,2187500.0
2000-03-20,3.62,3.64,3.48,3.48,0.14514,1109375.0
2000-03-21,3.48,3.48,3.48,3.48,0.14514,0.0
2000-03-22,3.48,3.48,3.48,3.48,0.14514,0.0
2000-03-23,3.48,3.48,3.48,3.48,0.14514,0.0
2000-03-24,3.6,3.62,3.58,3.58,0.14931,703125.0
