Date,Open,High,Low,Close,Adj Close,Volume
2015-05-08,3.1,3.16,2.0,2.1,1.951872,491419000
2015-05-11,2.06,2.1,1.9,1.9,1.765979,73517000
2015-05-12,1.92,2.22,1.9,2.14,1.98905,266263400
2015-05-13,2.16,2.16,1.97,1.98,1.840336,92144200
2015-05-14,1.99,2.08,1.98,1.99,1.849631,41881400
2015-05-15,2.02,2.02,1.97,1.98,1.840336,23953900
2015-05-18,2.0,2.02,1.94,1.94,1.803158,29558800
2015-05-19,1.95,1.98,1.93,1.94,1.803158,24198500
2015-05-20,1.95,2.04,1.95,2.0,1.858925,61221900
2015-05-21,2.02,2.02,1.93,1.95,1.812452,30100400
2015-05-22,1.97,1.98,1.94,1.95,1.812452,6907100
2015-05-25,1.96,1.96,1.91,1.91,1.775274,7746700
2015-05-26,1.93,1.94,1.81,1.82,1.691622,35317000
2015-05-27,1.83,1.9,1.82,1.86,1.728801,15039700
2015-05-28,1.87,1.89,1.83,1.83,1.700917,9189200
2015-05-29,1.84,1.86,1.82,1.82,1.691622,9949000
2015-06-02,1.82,1.82,1.75,1.76,1.635854,7852400
2015-06-03,1.76,1.81,1.76,1.76,1.635854,6230400
2015-06-04,1.78,1.85,1.76,1.85,1.719506,16770300
2015-06-05,1.86,1.88,1.84,1.84,1.710211,17332200
2015-06-08,2.02,2.16,1.96,2.16,2.007639,183985000
2015-06-09,2.14,2.18,2.0,2.04,1.896104,152273900
2015-06-10,2.06,2.12,1.99,2.0,1.858925,59173700
2015-06-11,2.0,2.08,2.0,2.02,1.877515,38974000
2015-06-12,2.04,2.2,2.02,2.12,1.970461,91886100
2015-06-15,2.08,2.34,2.08,2.34,2.174943,66693700
2015-06-16,2.34,2.42,2.24,2.42,2.2493,36556400
2015-06-17,2.46,2.46,2.36,2.42,2.2493,15135800
2015-06-18,2.4,2.46,2.2,2.3,2.137764,28563100
2015-06-19,2.26,2.32,2.2,2.26,2.100586,12914500
2015-06-22,2.32,2.44,2.28,2.44,2.267889,38038600
2015-06-23,2.44,2.46,2.34,2.36,2.193532,21824000
2015-06-24,2.38,2.4,2.3,2.34,2.174943,11454900
2015-06-25,2.36,2.36,2.2,2.32,2.156353,27127600
2015-06-26,2.32,2.46,2.3,2.44,2.267889,23934700
2015-06-29,2.34,2.64,2.32,2.58,2.398014,74869500
2015-06-30,2.6,2.74,2.5,2.68,2.49096,51019500
2015-07-02,2.68,2.88,2.66,2.88,2.676853,56094300
2015-07-03,2.8,2.88,2.66,2.78,2.583906,43367300
2015-07-06,2.7,2.86,2.7,2.8,2.602496,22514500
2015-07-07,2.82,2.86,2.74,2.8,2.602496,12025900
2015-07-08,2.8,2.94,2.76,2.94,2.73262,39267600
2015-07-09,2.9,3.0,2.86,2.94,2.73262,18096400
2015-07-10,2.96,2.96,2.86,2.92,2.714031,10869600
2015-07-13,2.92,2.94,2.86,2.94,2.73262,8747600
2015-07-14,2.92,3.02,2.92,2.96,2.751209,15443700
2015-07-15,2.96,3.0,2.84,2.84,2.639674,9330600
2015-07-16,2.84,2.84,2.58,2.6,2.416603,25035700
2015-07-17,2.58,2.7,2.52,2.68,2.49096,18135300
2015-07-20,2.66,2.74,2.64,2.68,2.49096,7446900
2015-07-21,2.7,2.7,2.16,2.36,2.193532,72072400
2015-07-22,2.28,2.38,2.24,2.38,2.212121,19929200
2015-07-23,2.36,2.54,2.34,2.52,2.342246,27503100
2015-07-24,2.48,2.5,2.24,2.38,2.212121,25510800
2015-07-27,2.42,2.56,2.34,2.52,2.342246,54538800
2015-07-28,2.48,2.56,2.44,2.44,2.267889,20724200
2015-07-29,2.48,2.5,2.44,2.46,2.286478,6051600
2015-07-31,2.46,2.62,2.44,2.56,2.379424,25891000
2015-08-03,2.58,2.7,2.56,2.64,2.453782,31737000
2015-08-04,2.66,2.74,2.62,2.66,2.472371,36523600
2015-08-05,2.7,2.72,2.62,2.62,2.435192,11804300
2015-08-06,2.62,2.66,2.5,2.56,2.379424,15023200
2015-08-07,2.58,2.62,2.52,2.54,2.360835,5317500
2015-08-10,2.54,2.7,2.54,2.64,2.453782,23074700
2015-08-11,2.64,2.72,2.54,2.56,2.379424,20111100
2015-08-13,2.56,2.56,2.38,2.44,2.267889,14882300
2015-08-14,2.48,2.54,2.46,2.46,2.286478,7514700
2015-08-17,2.48,2.66,2.48,2.6,2.416603,18608300
2015-08-18,2.46,2.56,2.44,2.5,2.323657,14016800
2015-08-19,2.58,2.58,2.5,2.5,2.323657,7457600
2015-08-20,2.54,2.54,2.48,2.48,2.305068,1574200
2015-08-21,2.46,2.48,2.42,2.42,2.2493,4945800
2015-08-24,2.36,2.38,2.14,2.14,1.98905,13821800
2015-08-25,2.24,2.24,1.88,2.18,2.026229,19818000
2015-08-26,2.12,2.32,2.12,2.16,2.007639,13287200
2015-08-27,2.22,2.28,2.2,2.24,2.081996,5691400
2015-08-28,2.28,2.36,2.24,2.26,2.100586,23903100
2015-08-31,2.28,2.36,2.28,2.32,2.156353,14482900
2015-09-01,2.32,2.42,2.3,2.3,2.137764,27147400
2015-09-02,2.34,2.44,2.3,2.38,2.212121,21793100
2015-09-03,2.42,2.52,2.38,2.38,2.212121,25440400
2015-09-04,2.44,2.44,2.32,2.44,2.267889,10664400
2015-09-07,2.42,2.44,2.38,2.4,2.230711,2573500
2015-09-08,2.42,2.42,2.38,2.42,2.2493,3004500
2015-09-09,2.46,2.58,2.44,2.48,2.305068,25950800
2015-09-10,2.44,2.5,2.44,2.5,2.323657,6746200
2015-09-11,2.5,2.52,2.4,2.4,2.230711,5261800
2015-09-14,2.42,2.44,2.38,2.44,2.267889,4510100
2015-09-15,2.46,2.46,2.36,2.4,2.230711,5118400
2015-09-16,2.42,2.42,2.38,2.4,2.230711,1158100
2015-09-17,2.4,2.44,2.38,2.38,2.212121,1132200
2015-09-18,2.4,2.44,2.36,2.42,2.2493,3018500
2015-09-21,2.42,2.42,2.38,2.38,2.212121,1688900
2015-09-22,2.4,2.46,2.36,2.36,2.193532,11985800
2015-09-23,2.34,2.34,2.28,2.3,2.137764,8591000
2015-09-24,2.32,2.4,2.28,2.28,2.119175,14110900
2015-09-25,2.3,2.3,2.26,2.28,2.119175,3025700
2015-09-28,2.26,2.3,2.18,2.18,2.026229,3948600
2015-09-29,2.16,2.18,2.12,2.14,1.98905,5860300
2015-09-30,2.16,2.2,2.14,2.14,1.98905,3873300
2015-10-01,2.2,2.28,2.14,2.22,2.063407,22930500
2015-10-02,2.22,2.32,2.2,2.24,2.081996,18319600
2015-10-05,2.26,2.28,2.22,2.24,2.081996,5691500
2015-10-06,2.26,2.28,2.22,2.22,2.063407,2544600
2015-10-07,2.22,2.36,2.22,2.32,2.156353,16338500
2015-10-08,2.32,2.38,2.28,2.28,2.119175,19271400
2015-10-09,2.3,2.32,2.28,2.3,2.137764,3293800
2015-10-12,2.34,2.34,2.28,2.3,2.137764,5294200
2015-10-13,2.32,2.32,2.28,2.28,2.119175,2812700
2015-10-14,2.3,2.32,2.26,2.26,2.100586,2413600
2015-10-15,2.3,2.36,2.3,2.36,2.193532,8237900
2015-10-16,2.38,2.48,2.36,2.4,2.230711,39455700
2015-10-19,2.42,2.44,2.34,2.38,2.212121,12749400
2015-10-20,2.38,2.4,2.36,2.38,2.212121,6036600
2015-10-21,2.38,2.48,2.38,2.44,2.267889,35587800
2015-10-22,2.46,2.46,2.4,2.44,2.267889,11048900
2015-10-26,2.44,2.48,2.42,2.42,2.2493,6875500
2015-10-27,2.42,2.52,2.42,2.5,2.323657,48018900
2015-10-28,2.54,2.54,2.42,2.42,2.2493,17143500
2015-10-29,2.42,2.44,2.26,2.3,2.137764,23123400
2015-10-30,2.28,2.32,2.26,2.3,2.137764,8674000
2015-11-02,2.3,2.42,2.28,2.42,2.2493,20946700
2015-11-03,2.44,2.46,2.36,2.36,2.193532,10426200
2015-11-04,2.38,2.42,2.34,2.38,2.212121,8008500
2015-11-05,2.4,2.4,2.32,2.32,2.156353,4956300
2015-11-06,2.34,2.38,2.32,2.32,2.156353,3958800
2015-11-09,2.34,2.34,2.32,2.32,2.156353,2182500
2015-11-10,2.3,2.62,2.3,2.54,2.360835,62486100
2015-11-11,2.52,2.52,2.38,2.4,2.230711,18568700
2015-11-12,2.4,2.48,2.36,2.4,2.230711,9356300
2015-11-13,2.4,2.42,2.36,2.38,2.212121,3004800
2015-11-16,2.32,2.38,2.2,2.24,2.081996,18820400
2015-11-17,2.26,2.3,2.24,2.26,2.100586,9084100
2015-11-18,2.28,2.3,2.22,2.24,2.081996,5302100
2015-11-19,2.26,2.28,2.16,2.22,2.063407,4632100
2015-11-20,2.2,2.26,2.2,2.22,2.063407,3937800
2015-11-23,2.22,2.28,2.22,2.24,2.081996,3790300
2015-11-24,2.26,2.34,2.22,2.22,2.063407,16331600
2015-11-25,2.22,2.24,2.2,2.2,2.044818,2730700
2015-11-26,2.22,2.24,2.18,2.2,2.044818,3245100
2015-11-27,2.22,2.24,2.18,2.2,2.044818,1558200
2015-11-30,2.18,2.2,2.18,2.18,2.026229,1342400
2015-12-01,2.18,2.2,2.1,2.12,1.970461,3775700
2015-12-02,2.14,2.16,2.02,2.06,1.914693,7473300
2015-12-03,2.08,2.08,2.02,2.04,1.896104,2696400
2015-12-04,2.02,2.04,1.94,1.94,1.803158,6717800
2015-12-08,1.95,1.95,1.89,1.9,1.765979,1573700
2015-12-09,1.88,1.9,1.82,1.83,1.700917,3856800
2015-12-11,1.83,1.9,1.77,1.79,1.663738,15856700
2015-12-14,1.77,1.79,1.7,1.79,1.663738,3508700
2015-12-15,1.8,1.83,1.8,1.83,1.700917,3646100
2015-12-16,1.85,1.86,1.81,1.81,1.682327,2266300
2015-12-17,1.81,1.95,1.81,1.95,1.812452,2866000
2015-12-18,1.92,1.95,1.86,1.87,1.738095,4855000
2015-12-21,1.85,1.85,1.77,1.8,1.673033,7256300
2015-12-22,1.8,1.8,1.76,1.76,1.635854,1801600
2015-12-23,1.76,1.86,1.76,1.8,1.673033,7053100
2015-12-24,1.8,1.93,1.8,1.82,1.691622,24294200
2015-12-25,1.84,1.86,1.81,1.81,1.682327,6924900
2015-12-28,1.82,1.86,1.81,1.82,1.691622,4632700
2015-12-29,1.82,1.91,1.82,1.89,1.756684,16459000
2015-12-30,1.91,2.02,1.87,1.99,1.849631,26403900
2016-01-04,1.91,1.97,1.86,1.86,1.728801,12906700
2016-01-05,1.88,1.88,1.81,1.81,1.682327,2994400
2016-01-06,1.82,1.85,1.82,1.84,1.710211,1401600
2016-01-07,1.82,1.89,1.81,1.83,1.700917,22206300
2016-01-08,1.85,1.87,1.83,1.84,1.710211,7570400
2016-01-11,1.85,1.9,1.85,1.88,1.74739,21589400
2016-01-12,1.91,1.92,1.88,1.89,1.756684,14329000
2016-01-13,1.9,1.9,1.86,1.86,1.728801,6273500
2016-01-14,1.84,1.87,1.83,1.83,1.700917,3113300
2016-01-15,1.85,1.85,1.79,1.79,1.663738,5832900
2016-01-18,1.79,1.79,1.72,1.76,1.635854,2123400
2016-01-19,1.78,1.84,1.76,1.84,1.710211,8676000
2016-01-20,1.81,1.82,1.77,1.77,1.645149,4425500
2016-01-21,1.78,1.81,1.76,1.76,1.635854,2289300
2016-01-22,1.78,1.8,1.78,1.79,1.663738,892300
2016-01-25,1.81,1.82,1.76,1.76,1.635854,1305200
2016-01-26,1.78,1.79,1.76,1.77,1.645149,514500
2016-01-27,1.8,1.83,1.78,1.78,1.654444,2856900
2016-01-28,1.8,1.8,1.77,1.78,1.654444,1827000
2016-01-29,1.79,1.84,1.78,1.81,1.682327,4196000
2016-02-01,1.81,1.82,1.79,1.79,1.663738,1559800
2016-02-02,1.79,1.83,1.76,1.76,1.635854,3772000
2016-02-03,1.77,1.78,1.76,1.77,1.645149,1431600
2016-02-04,1.79,1.83,1.77,1.8,1.673033,2583600
2016-02-05,1.81,1.81,1.79,1.8,1.673033,1230400
2016-02-08,1.81,1.9,1.81,1.87,1.738095,14934300
2016-02-09,1.87,1.88,1.83,1.86,1.728801,5453100
2016-02-10,1.86,1.88,1.83,1.85,1.719506,11590700
2016-02-11,1.86,1.86,1.8,1.8,1.673033,3426500
2016-02-12,1.81,1.82,1.77,1.78,1.654444,2160900
2016-02-15,1.79,1.85,1.79,1.85,1.719506,9035700
2016-02-16,1.86,1.91,1.84,1.9,1.765979,20027000
2016-02-17,1.92,2.04,1.87,2.0,1.858925,47809300
2016-02-18,2.02,2.08,2.0,2.04,1.896104,33615800
2016-02-19,2.04,2.14,2.04,2.08,1.933282,16732100
2016-02-23,2.08,2.12,2.0,2.02,1.877515,25512500
2016-02-24,2.08,2.08,2.0,2.0,1.858925,31575200
2016-02-25,2.02,2.04,2.0,2.0,1.858925,7724600
2016-02-26,2.04,2.32,2.02,2.3,2.137764,94726300
2016-02-29,2.26,2.34,2.24,2.28,2.119175,33792000
2016-03-01,2.3,2.32,2.24,2.28,2.119175,18595000
2016-03-02,2.28,2.28,2.16,2.22,2.063407,21247400
2016-03-03,2.24,2.28,2.2,2.28,2.119175,19171000
2016-03-04,2.3,2.32,2.2,2.22,2.063407,20285300
2016-03-07,2.22,2.24,2.04,2.12,1.970461,36411300
2016-03-08,2.1,2.12,2.08,2.08,1.933282,5192800
2016-03-09,2.1,2.18,2.08,2.16,2.007639,9234200
2016-03-10,2.16,2.18,2.06,2.08,1.933282,11528500
2016-03-11,2.1,2.1,2.08,2.1,1.951872,2706100
2016-03-14,2.12,2.14,2.1,2.1,1.951872,3643200
2016-03-15,2.1,2.14,2.1,2.12,1.970461,2044000
2016-03-16,2.14,2.24,2.14,2.16,2.007639,34601700
2016-03-17,2.18,2.2,2.16,2.16,2.007639,6244800
2016-03-18,2.18,2.18,2.08,2.12,1.970461,14640700
2016-03-21,2.1,2.12,2.08,2.1,1.951872,5843900
2016-03-22,2.08,2.14,2.08,2.1,1.951872,3537100
2016-03-23,2.1,2.12,2.08,2.1,1.951872,1543200
2016-03-24,2.1,2.12,2.08,2.1,1.951872,1219600
2016-03-25,2.1,2.16,2.08,2.1,1.951872,6106900
2016-03-28,2.12,2.14,2.1,2.12,1.970461,2462300
2016-03-29,2.12,2.18,2.1,2.14,1.98905,7155700
2016-03-30,2.18,2.24,2.16,2.2,2.044818,18764300
2016-03-31,2.22,2.24,2.16,2.16,2.007639,9193400
2016-04-01,2.16,2.18,2.14,2.16,2.007639,3285200
2016-04-04,2.18,2.18,2.16,2.16,2.007639,3499300
2016-04-05,2.14,2.16,2.1,2.12,1.970461,11267500
2016-04-07,2.12,2.14,2.08,2.08,1.933282,10175900
2016-04-08,2.08,2.08,2.04,2.06,1.914693,4504900
2016-04-11,2.06,2.1,2.06,2.06,1.914693,744300
2016-04-12,2.06,2.06,2.02,2.04,1.896104,12106000
2016-04-18,2.04,2.08,2.02,2.06,1.914693,2796700
2016-04-19,2.06,2.16,2.06,2.16,2.007639,17565100
2016-04-20,2.14,2.14,2.1,2.12,1.970461,5631100
2016-04-21,2.12,2.14,2.1,2.1,1.951872,3033200
2016-04-22,2.16,2.22,2.12,2.2,2.044818,29964000
2016-04-25,2.2,2.26,2.18,2.18,2.026229,30312600
2016-04-26,2.2,2.22,2.14,2.16,2.007639,13706400
2016-04-27,2.16,2.16,2.14,2.14,1.98905,5939100
2016-04-28,2.14,2.16,2.1,2.14,1.98905,6844300
2016-04-29,2.14,2.22,2.14,2.14,1.98905,12231900
2016-05-03,2.14,2.16,2.08,2.1,1.951872,17738800
2016-05-04,1.84,1.92,1.84,1.89,1.844519,16064500
2016-05-09,1.89,1.91,1.89,1.9,1.854278,2798500
2016-05-10,1.89,1.92,1.88,1.89,1.844519,5349900
2016-05-11,1.89,1.9,1.88,1.88,1.834759,1962500
2016-05-12,1.87,2.18,1.87,2.18,2.12754,117154200
2016-05-13,2.18,2.2,2.06,2.14,2.088503,41184600
2016-05-16,2.16,2.24,2.14,2.2,2.147059,39287400
2016-05-17,2.22,2.22,2.1,2.1,2.049465,20301100
2016-05-18,2.1,2.1,1.97,2.06,2.010428,23991700
2016-05-19,2.04,2.04,1.99,2.02,1.97139,4928400
2016-05-23,2.02,2.02,1.99,2.0,1.951872,4644900
2016-05-24,1.99,2.08,1.99,2.04,1.990909,8525300
2016-05-25,2.06,2.1,2.04,2.04,1.990909,6801000
2016-05-26,2.04,2.06,2.0,2.0,1.951872,5077300
2016-05-27,2.0,2.04,2.0,2.0,1.951872,2450300
2016-05-30,2.02,2.04,2.02,2.04,1.990909,1707200
2016-05-31,2.04,2.04,2.02,2.02,1.97139,2130100
2016-06-01,2.06,2.12,2.06,2.12,2.068984,17803200
2016-06-02,2.18,2.2,2.14,2.14,2.088503,25756600
2016-06-03,2.14,2.14,2.04,2.08,2.029946,33185000
2016-06-06,2.06,2.14,2.06,2.1,2.049465,5083200
2016-06-07,2.1,2.14,2.08,2.1,2.049465,6359500
2016-06-08,2.1,2.1,2.06,2.08,2.029946,3751500
2016-06-09,2.08,2.14,2.08,2.08,2.029946,6324800
2016-06-10,2.1,2.1,2.06,2.06,2.010428,2768200
2016-06-13,2.06,2.12,2.04,2.06,2.010428,10918600
2016-06-14,2.06,2.08,2.04,2.04,1.990909,4488900
2016-06-15,2.04,2.06,2.04,2.04,1.990909,1545300
2016-06-16,2.04,2.06,2.0,2.02,1.97139,4518400
2016-06-17,2.04,2.06,2.0,2.02,1.97139,7017800
2016-06-20,2.02,2.02,1.99,2.0,1.951872,9676400
2016-06-21,2.02,2.02,2.0,2.0,1.951872,3161000
2016-06-22,2.02,2.06,2.0,2.0,1.951872,6908400
2016-06-23,2.0,2.02,1.97,2.0,1.951872,7382900
2016-06-24,1.98,2.0,1.96,1.98,1.932353,6743400
2016-06-27,1.98,2.04,1.98,2.02,1.97139,5054300
2016-06-28,2.04,2.06,2.02,2.02,1.97139,4927100
2016-06-29,2.04,2.04,2.0,2.0,1.951872,6021300
2016-06-30,2.0,2.02,2.0,2.02,1.97139,3023200
2016-07-04,2.02,2.04,2.0,2.0,1.951872,2254100
2016-07-05,2.02,2.14,2.02,2.1,2.049465,41864400
2016-07-06,2.12,2.16,2.1,2.16,2.108021,40602400
2016-07-07,2.18,2.2,2.14,2.14,2.088503,31521800
2016-07-08,2.18,2.18,2.14,2.14,2.088503,10506000
2016-07-11,2.14,2.16,2.1,2.12,2.068984,7275100
2016-07-12,2.12,2.14,2.1,2.1,2.049465,4682200
2016-07-13,2.12,2.12,2.06,2.06,2.010428,11564100
2016-07-14,2.08,2.12,2.06,2.08,2.029946,4960000
2016-07-15,2.12,2.16,2.1,2.1,2.049465,10051200
2016-07-20,2.12,2.24,2.1,2.24,2.186096,53419300
2016-07-21,2.3,2.46,2.3,2.32,2.264171,146144300
2016-07-22,2.4,2.4,2.3,2.3,2.244652,41297900
2016-07-25,2.3,2.36,2.28,2.32,2.264171,15105100
2016-07-26,2.34,2.36,2.28,2.28,2.225134,9295800
2016-07-27,2.3,2.32,2.24,2.28,2.225134,14075200
2016-07-28,2.32,2.32,2.24,2.28,2.225134,6761000
2016-07-29,2.28,2.32,2.26,2.28,2.225134,4322300
2016-08-01,2.3,2.3,2.24,2.24,2.186096,8915100
2016-08-02,2.22,2.22,2.14,2.16,2.108021,11532200
2016-08-03,2.14,2.16,2.1,2.14,2.088503,10179500
2016-08-04,2.14,2.24,2.14,2.18,2.12754,12481100
2016-08-05,2.18,2.22,2.16,2.18,2.12754,3323900
2016-08-08,2.2,2.3,2.18,2.24,2.186096,12413500
2016-08-09,2.26,2.3,2.22,2.22,2.166578,6426500
2016-08-10,2.24,2.26,2.22,2.22,2.166578,3757900
2016-08-11,2.22,2.24,2.18,2.18,2.12754,4406500
2016-08-15,2.18,2.2,2.14,2.18,2.12754,2548800
2016-08-16,2.2,2.2,2.1,2.12,2.068984,4861200
2016-08-17,2.1,2.14,2.1,2.14,2.088503,3214200
2016-08-18,2.16,2.18,2.14,2.16,2.108021,1497400
2016-08-19,2.14,2.14,2.06,2.1,2.049465,14216200
2016-08-22,2.1,2.12,2.08,2.1,2.049465,1045800
2016-08-23,2.1,2.12,2.1,2.1,2.049465,1762000
2016-08-24,2.12,2.24,2.12,2.24,2.186096,26608600
2016-08-25,2.24,2.24,2.16,2.16,2.108021,17467700
2016-08-26,2.16,2.2,2.16,2.16,2.108021,2170200
2016-08-29,2.16,2.18,2.14,2.14,2.088503,3237900
2016-08-30,2.14,2.16,2.12,2.14,2.088503,2240000
2016-08-31,2.16,2.16,2.12,2.12,2.068984,1630300
2016-09-01,2.14,2.16,2.12,2.16,2.108021,2153800
2016-09-02,2.18,2.18,2.1,2.1,2.049465,6185900
2016-09-05,2.1,2.1,1.97,2.0,1.951872,13460900
2016-09-06,2.0,2.06,2.0,2.04,1.990909,2963500
2016-09-07,2.04,2.06,2.0,2.0,1.951872,2536700
2016-09-08,2.02,2.02,1.92,1.92,1.873797,9276300
2016-09-09,1.89,1.92,1.84,1.88,1.834759,5178400
2016-09-12,1.8,1.87,1.8,1.86,1.815241,11581200
2016-09-13,1.88,1.92,1.88,1.92,1.873797,9341700
2016-09-14,1.91,1.93,1.9,1.92,1.873797,1732400
2016-09-15,1.91,1.93,1.9,1.9,1.854278,3845800
2016-09-16,1.92,1.95,1.91,1.93,1.883556,5028200
2016-09-19,1.93,1.94,1.91,1.94,1.893316,3656000
2016-09-20,1.93,1.93,1.9,1.93,1.883556,5534900
2016-09-21,1.93,2.04,1.93,1.96,1.912834,8137000
2016-09-22,1.98,2.04,1.97,2.02,1.97139,6165800
2016-09-23,2.02,2.02,1.99,1.99,1.942112,3084900
2016-09-26,1.99,2.02,1.96,1.97,1.922594,3035000
2016-09-27,1.97,1.99,1.94,1.95,1.903075,6989000
2016-09-28,1.95,1.96,1.92,1.92,1.873797,4852100
2016-09-29,1.92,1.95,1.92,1.94,1.893316,563400
2016-09-30,1.93,1.93,1.9,1.91,1.864037,8454500
2016-10-03,1.92,1.93,1.9,1.9,1.854278,2538400
2016-10-04,1.9,1.94,1.89,1.9,1.854278,15121200
2016-10-05,1.9,1.92,1.9,1.91,1.864037,1831900
2016-10-06,1.92,1.94,1.91,1.92,1.873797,6408900
2016-10-07,1.92,1.94,1.92,1.93,1.883556,3148400
2016-10-10,1.85,1.87,1.82,1.82,1.776203,8344300
2016-10-11,1.83,1.84,1.74,1.75,1.707888,10348200
2016-10-12,1.74,1.74,1.42,1.59,1.551738,16376000
2016-10-13,1.59,1.61,1.52,1.59,1.551738,13226100
2016-10-14,1.6,1.73,1.6,1.72,1.67861,20547400
2016-10-17,1.73,1.73,1.66,1.72,1.67861,3921300
2016-10-18,1.72,1.98,1.71,1.91,1.864037,45367600
2016-10-19,1.91,1.96,1.91,1.92,1.873797,24831300
2016-10-20,1.92,2.0,1.92,2.0,1.951872,40247100
2016-10-21,2.0,2.02,1.93,1.96,1.912834,29504300
2016-10-25,1.96,2.02,1.93,2.02,1.97139,12987800
2016-10-26,2.02,2.04,1.93,1.93,1.883556,15315400
2016-10-27,1.95,1.97,1.93,1.94,1.893316,4169800
2016-10-28,1.95,1.95,1.91,1.92,1.873797,4137800
2016-10-31,1.92,1.93,1.91,1.92,1.873797,2077800
2016-11-01,1.92,1.98,1.91,1.94,1.893316,10948000
2016-11-02,1.93,1.97,1.92,1.93,1.883556,3586200
2016-11-03,1.93,1.99,1.93,1.94,1.893316,10899100
2016-11-04,1.94,1.96,1.91,1.92,1.873797,5300400
2016-11-07,1.94,1.96,1.92,1.93,1.883556,3358700
2016-11-08,1.94,1.95,1.93,1.95,1.903075,2739800
2016-11-09,1.93,1.94,1.89,1.92,1.873797,8104100
2016-11-10,1.94,1.95,1.92,1.92,1.873797,2070100
2016-11-11,1.95,1.95,1.9,1.9,1.854278,7092500
2016-11-14,1.9,1.9,1.81,1.83,1.785963,6362900
2016-11-15,1.83,1.91,1.83,1.84,1.795722,10002900
2016-11-16,1.85,1.85,1.83,1.83,1.785963,2874100
2016-11-17,1.84,1.84,1.82,1.82,1.776203,1550600
2016-11-18,1.81,1.83,1.81,1.82,1.776203,965400
2016-11-21,1.82,1.88,1.82,1.86,1.815241,3736500
2016-11-22,1.87,1.9,1.85,1.85,1.805481,5316300
2016-11-23,1.85,1.87,1.84,1.84,1.795722,1539800
2016-11-24,1.85,1.86,1.82,1.82,1.776203,1480900
2016-11-25,1.82,1.88,1.82,1.83,1.785963,7741300
2016-11-28,1.84,1.85,1.84,1.84,1.795722,1181000
2016-11-29,1.85,1.86,1.83,1.83,1.785963,594200
2016-11-30,1.83,1.86,1.83,1.83,1.785963,1607000
2016-12-01,1.85,1.9,1.84,1.84,1.795722,27699200
2016-12-02,1.83,1.85,1.83,1.83,1.785963,2423800
2016-12-06,1.83,1.85,1.83,1.83,1.785963,909200
2016-12-07,1.83,1.85,1.83,1.84,1.795722,945500
2016-12-08,1.84,1.86,1.83,1.84,1.795722,663300
2016-12-09,1.84,1.85,1.83,1.85,1.805481,794800
2016-12-13,1.85,1.88,1.83,1.84,1.795722,9270900
2016-12-14,1.86,1.87,1.84,1.87,1.825,5627700
2016-12-15,1.87,1.88,1.85,1.88,1.834759,2496500
2016-12-16,1.95,1.97,1.92,1.95,1.903075,29773700
2016-12-19,1.94,2.0,1.89,1.91,1.864037,40547800
2016-12-20,1.9,1.92,1.86,1.87,1.825,5873200
2016-12-21,1.88,1.89,1.86,1.87,1.825,2021600
2016-12-22,1.88,1.9,1.87,1.88,1.834759,1081400
2016-12-23,1.88,1.89,1.87,1.88,1.834759,1357900
2016-12-26,1.89,1.91,1.88,1.89,1.844519,3955500
2016-12-27,1.89,1.9,1.87,1.87,1.825,2242700
2016-12-28,1.87,1.88,1.87,1.88,1.834759,746500
