Date,Open,High,Low,Close,Adj Close,Volume
2007-05-09,1.58,1.9,1.57,1.62,1.062671,218008168.0
2007-05-10,1.63,1.63,1.51,1.53,1.003634,36078638.0
2007-05-11,1.52,1.6,1.5,1.53,1.003634,30092268.0
2007-05-14,1.55,1.58,1.53,1.53,1.003634,13693974.0
2007-05-15,1.54,1.61,1.53,1.56,1.023313,21355496.0
2007-05-16,1.57,1.62,1.57,1.57,1.029873,18635623.0
2007-05-17,1.58,1.6,1.55,1.55,1.016753,5663954.0
2007-05-18,1.56,1.57,1.55,1.55,1.016753,6163490.0
2007-05-21,1.55,1.68,1.55,1.68,1.102029,44130546.0
2007-05-22,1.68,1.68,1.58,1.59,1.042992,23108266.0
2007-05-23,1.59,1.66,1.59,1.6,1.049552,15980982.0
2007-05-24,1.62,1.62,1.55,1.56,1.023313,7461650.0
2007-05-25,1.56,1.57,1.55,1.55,1.016753,2820097.0
2007-05-28,1.55,1.59,1.55,1.56,1.023313,2926945.0
2007-05-29,1.56,1.57,1.53,1.54,1.010194,3073825.0
2007-05-30,1.55,1.56,1.55,1.55,1.016753,836640.0
2007-06-01,1.56,1.56,1.54,1.55,1.016753,1455264.0
2007-06-04,1.56,1.57,1.54,1.55,1.016753,4652498.0
2007-06-05,1.56,1.6,1.55,1.57,1.029873,11496965.0
2007-06-06,1.57,1.59,1.54,1.55,1.016753,8131396.0
2007-06-07,1.56,1.57,1.53,1.53,1.003634,4558322.0
2007-06-08,1.54,1.55,1.53,1.53,1.003634,2125729.0
2007-06-11,1.53,1.53,1.5,1.51,0.990514,3433825.0
2007-06-12,1.51,1.52,1.47,1.48,0.970835,1636129.0
2007-06-13,1.48,1.49,1.46,1.46,0.957716,3086785.0
2007-06-14,1.46,1.51,1.46,1.47,0.964276,3481201.0
2007-06-15,1.48,1.48,1.47,1.47,0.964276,594000.0
2007-06-18,1.48,1.52,1.48,1.5,0.983955,1700065.0
2007-06-19,1.51,1.51,1.48,1.48,0.970835,1165104.0
2007-06-20,1.5,1.51,1.49,1.5,0.983955,488304.0
2007-06-21,1.5,1.52,1.49,1.5,0.983955,1158912.0
2007-06-22,1.5,1.56,1.5,1.52,0.997074,4654226.0
2007-06-25,1.52,1.53,1.5,1.5,0.983955,1680049.0
2007-06-26,1.51,1.51,1.5,1.5,0.983955,234864.0
2007-06-27,1.51,1.52,1.5,1.5,0.983955,368064.0
2007-06-28,1.52,1.54,1.51,1.51,0.990514,1840033.0
2007-06-29,1.52,1.52,1.51,1.51,0.990514,424944.0
2007-07-02,1.52,1.54,1.52,1.54,1.010194,707328.0
2007-07-03,1.55,1.55,1.52,1.52,0.997074,1530145.0
2007-07-04,1.53,1.53,1.52,1.52,0.997074,334080.0
2007-07-05,1.53,1.58,1.52,1.54,1.010194,4723058.0
2007-07-06,1.54,1.54,1.52,1.52,0.997074,457920.0
2007-07-09,1.52,1.53,1.52,1.52,0.997074,779328.0
2007-07-10,1.52,1.54,1.52,1.54,1.010194,1347984.0
2007-07-11,1.53,1.54,1.53,1.53,1.003634,568368.0
2007-07-12,1.54,1.55,1.52,1.52,0.997074,1371744.0
2007-07-13,1.54,1.54,1.52,1.52,0.997074,369936.0
2007-07-16,1.52,1.52,1.5,1.5,0.983955,866592.0
2007-07-17,1.51,1.51,1.49,1.5,0.983955,2187937.0
2007-07-18,1.51,1.55,1.5,1.5,0.983955,7116770.0
2007-07-19,1.5,1.53,1.49,1.53,1.003634,1144800.0
2007-07-20,1.57,1.98,1.57,1.92,1.259462,89414532.0
2007-07-23,1.87,2.18,1.87,2.02,1.325059,59492904.0
2007-07-24,2.02,2.03,1.92,2.0,1.31194,16132614.0
2007-07-25,2.08,2.3,2.0,2.08,1.364417,59317656.0
2007-07-26,2.07,2.13,2.03,2.05,1.344738,12366869.0
2007-07-27,2.0,2.05,1.9,1.97,1.292261,5376674.0
2007-07-31,2.0,2.07,1.95,2.03,1.331619,4423825.0
2007-08-01,2.07,2.17,1.97,2.03,1.331619,18620791.0
2007-08-02,2.07,2.17,2.02,2.08,1.364417,13465877.0
2007-08-03,2.15,2.67,2.15,2.6,1.705522,72854813.0
2007-08-06,2.58,2.7,2.45,2.5,1.639925,45966978.0
2007-08-07,2.53,2.55,2.3,2.33,1.52841,27460523.0
2007-08-08,2.35,2.5,2.35,2.37,1.554649,22841146.0
2007-08-09,2.4,2.52,2.33,2.33,1.52841,16735255.0
2007-08-10,2.25,2.67,2.23,2.67,1.75144,39294304.0
2007-08-14,2.68,2.72,2.5,2.55,1.672723,27613163.0
2007-08-15,2.55,2.67,2.52,2.63,1.725201,17913607.0
2007-08-16,2.6,2.62,2.38,2.4,1.574328,14857206.0
2007-08-17,2.43,2.47,2.23,2.38,1.561208,10154308.0
2007-08-20,2.48,2.62,2.42,2.53,1.659604,17448919.0
2007-08-21,2.55,2.55,2.33,2.38,1.561208,8467492.0
2007-08-22,2.42,2.6,2.4,2.5,1.639925,22517146.0
2007-08-23,2.55,2.88,2.55,2.87,1.882634,65708522.0
2007-08-24,2.82,2.9,2.72,2.75,1.803917,21850712.0
2007-08-27,2.78,2.8,2.65,2.67,1.75144,7955284.0
2007-08-28,2.68,2.9,2.67,2.75,1.803917,34464829.0
2007-08-29,2.72,2.78,2.65,2.75,1.803917,16516087.0
2007-08-30,2.8,2.82,2.7,2.7,1.771119,8875732.0
2007-08-31,2.72,2.78,2.63,2.7,1.771119,8217076.0
2007-09-03,2.7,2.72,2.65,2.67,1.75144,3223873.0
2007-09-04,2.68,2.75,2.65,2.65,1.73832,4479121.0
2007-09-05,2.67,2.72,2.65,2.65,1.73832,3062449.0
2007-09-06,,,,,,
2007-09-07,2.58,2.6,2.53,2.55,1.672723,2458657.0
2007-09-10,2.5,2.65,2.5,2.58,1.692402,4067569.0
2007-09-11,2.6,2.63,2.55,2.58,1.692402,3185713.0
2007-09-12,2.58,2.77,2.57,2.72,1.784238,18101959.0
2007-09-13,2.75,2.75,2.63,2.65,1.73832,11622821.0
2007-09-14,2.67,2.68,2.6,2.6,1.705522,6868514.0
2007-09-17,2.6,2.63,2.55,2.55,1.672723,2984977.0
2007-09-18,2.55,2.6,2.53,2.53,1.659604,4127905.0
2007-09-19,2.58,2.58,2.53,2.53,1.659604,2660689.0
2007-09-20,2.55,2.67,2.55,2.63,1.725201,12192917.0
2007-09-21,2.65,2.67,2.58,2.58,1.692402,5651426.0
