Date,Open,High,Low,Close,Adj Close,Volume
2007-03-30,1.8,1.84,1.72,1.83,1.531818,107648700.0
2007-04-02,1.87,2.18,1.84,2.18,1.82479,128360600.0
2007-04-03,2.2,2.42,2.06,2.28,1.908495,125236800.0
2007-04-04,2.34,2.54,2.28,2.48,2.075907,104285900.0
2007-04-05,2.54,2.58,2.4,2.42,2.025684,43393600.0
2007-04-09,2.46,2.48,2.28,2.28,1.908495,22293200.0
2007-04-10,2.24,2.36,2.2,2.26,1.916977,25911900.0
2007-04-11,2.28,2.3,2.2,2.2,1.866084,7617500.0
2007-04-12,2.22,2.3,2.22,2.22,1.883049,15517600.0
2007-04-17,2.24,2.3,2.24,2.3,1.950906,8513600.0
2007-04-18,2.32,2.32,2.24,2.24,1.900013,7570200.0
2007-04-19,2.24,2.32,2.22,2.24,1.900013,11100700.0
2007-04-20,2.26,2.42,2.26,2.42,2.052693,22931500.0
2007-04-23,2.44,2.46,2.36,2.42,2.052693,26390200.0
2007-04-24,2.4,2.46,2.32,2.32,1.967871,20688400.0
2007-04-25,2.34,2.38,2.3,2.32,1.967871,12105300.0
2007-04-26,2.34,2.4,2.3,2.32,1.967871,10942100.0
2007-04-27,2.32,2.36,2.26,2.32,1.967871,11430200.0
2007-04-30,2.32,2.4,2.3,2.36,2.001799,11626300.0
2007-05-02,2.38,2.44,2.38,2.4,2.035728,22847400.0
2007-05-03,2.42,2.42,2.34,2.36,2.001799,12019300.0
2007-05-04,2.38,2.86,2.36,2.84,2.408945,63710300.0
2007-05-08,2.8,2.86,2.66,2.74,2.324123,53383400.0
2007-05-09,2.78,2.94,2.72,2.74,2.324123,50767900.0
2007-05-10,2.76,2.86,2.76,2.78,2.358052,25087900.0
2007-05-11,2.8,3.02,2.78,2.96,2.510731,57348900.0
2007-05-14,3.02,3.08,2.98,2.98,2.527696,29723300.0
2007-05-15,3.0,3.02,2.9,3.0,2.54466,8802700.0
2007-05-16,3.06,3.14,3.02,3.06,2.595553,21162500.0
2007-05-17,3.08,3.32,3.08,3.26,2.765198,37938300.0
2007-05-18,3.26,3.34,3.24,3.26,2.765198,22051800.0
2007-05-21,3.28,3.3,3.26,3.26,2.765198,6151000.0
2007-05-22,3.3,3.38,3.28,3.36,2.850019,23317400.0
2007-05-23,3.36,3.4,3.32,3.32,2.816091,10045300.0
2007-05-24,3.34,3.42,3.32,3.32,2.816091,16024500.0
2007-05-25,3.32,3.36,3.18,3.3,2.799126,11507.0
2007-05-28,3.26,3.32,3.26,3.26,2.765198,5182100.0
2007-05-29,3.3,3.34,3.24,3.3,2.799126,9883100.0
2007-05-30,3.3,3.34,3.28,3.3,2.799126,1905600.0
2007-06-01,3.34,3.34,3.34,3.34,2.833055,70.0
2007-06-04,3.56,3.7,3.48,3.5,2.96877,24992100.0
2007-06-05,3.52,3.54,3.46,3.46,2.934842,7974700.0
2007-06-06,3.46,3.58,3.46,3.46,2.934842,15222800.0
2007-06-07,3.48,3.5,3.44,3.44,2.917877,4869500.0
2007-06-08,3.44,3.46,3.4,3.42,2.900913,2590900.0
2007-06-11,3.46,3.46,3.26,3.28,2.782162,3960900.0
2007-06-12,3.32,3.32,3.1,3.12,2.646446,3545.0
2007-06-13,3.12,3.12,3.02,3.02,2.561625,3092500.0
2007-06-14,3.08,3.3,3.08,3.16,2.680375,32802200.0
2007-06-15,3.18,3.26,3.16,3.2,2.714304,21942900.0
2007-06-18,3.28,3.44,3.1,3.1,2.629482,27000200.0
2007-06-19,3.22,3.28,3.2,3.24,2.748233,13629200.0
2007-06-20,3.28,3.4,3.28,3.34,2.833055,11229500.0
2007-06-21,3.36,3.38,3.26,3.34,2.833055,3457400.0
2007-06-22,3.34,3.36,3.28,3.32,2.816091,2232600.0
2007-06-25,3.34,3.34,3.26,3.32,2.816091,1987000.0
2007-06-26,3.34,3.34,3.3,3.3,2.799126,1347300.0
2007-06-27,3.34,3.38,3.32,3.38,2.866984,4806300.0
2007-06-28,3.42,3.58,3.42,3.54,3.002699,14382800.0
2007-06-29,3.56,3.56,3.48,3.48,2.951806,2801800.0
2007-07-02,3.5,3.54,3.46,3.52,2.985735,3662600.0
2007-07-03,3.56,3.6,3.54,3.54,3.002699,5263600.0
2007-07-04,3.6,3.78,3.58,3.74,3.172343,17258100.0
2007-07-05,3.82,3.82,3.7,3.74,3.172343,4041.0
2007-07-06,3.74,3.86,3.74,3.86,3.274129,11673900.0
2007-07-09,3.92,4.2,3.92,3.98,3.375916,46459600.0
2007-07-10,4.0,4.1,3.94,4.02,3.409845,19832200.0
2007-07-11,3.98,4.02,3.9,3.9,3.308058,6056500.0
2007-07-12,3.94,4.0,3.88,3.96,3.358952,8000400.0
2007-07-13,4.0,4.06,3.94,3.96,3.358952,15028300.0
2007-07-16,4.0,4.08,3.96,4.0,3.39288,10543300.0
2007-07-17,4.02,4.02,3.92,3.94,3.341987,7671700.0
2007-07-18,3.98,3.98,3.92,3.94,3.341987,2920100.0
2007-07-19,3.9,3.96,3.86,3.9,3.308058,2910100.0
2007-07-20,3.94,4.06,3.84,3.88,3.291094,46611100.0
2007-07-23,3.84,3.96,3.84,3.9,3.308058,29680900.0
2007-07-24,3.92,3.98,3.9,3.9,3.308058,46110600.0
2007-07-25,3.88,3.94,3.84,3.84,3.257165,39183500.0
2007-07-26,3.9,3.92,3.8,3.84,3.257165,34243200.0
2007-07-27,3.8,3.84,3.8,3.84,3.257165,5779700.0
2007-07-31,3.86,3.9,3.74,3.76,3.189308,47942600.0
2007-08-01,3.76,3.84,3.72,3.74,3.172343,37812400.0
2007-08-02,3.78,3.9,3.64,3.64,3.087521,87111200.0
2007-08-03,3.7,3.74,3.66,3.68,3.12145,8696900.0
2007-08-06,3.64,3.72,3.6,3.66,3.104486,15203300.0
2007-08-07,3.7,3.74,3.56,3.56,3.019664,27671500.0
2007-08-08,3.6,3.62,3.58,3.6,3.053592,5815700.0
2007-08-09,3.62,3.64,3.52,3.58,3.036628,6131400.0
2007-08-10,3.48,3.6,3.48,3.56,3.019664,5992700.0
2007-08-14,3.54,3.62,3.52,3.56,3.019664,6768500.0
2007-08-15,3.56,3.58,3.46,3.5,2.96877,12376800.0
2007-08-16,3.46,3.5,3.28,3.4,2.883948,7223100.0
2007-08-17,3.44,3.46,3.3,3.38,2.866984,5409300.0
2007-08-20,3.5,3.6,3.48,3.52,2.985735,10173800.0
2007-08-21,3.54,3.56,3.28,3.28,2.782162,15876300.0
2007-08-22,3.34,3.4,3.28,3.34,2.833055,14498900.0
2007-08-23,3.36,3.38,3.34,3.34,2.833055,1861700.0
2007-08-24,3.36,3.38,3.36,3.38,2.866984,704000.0
2007-08-27,3.42,3.5,3.38,3.4,2.883948,6431200.0
2007-08-28,3.42,3.48,3.38,3.42,2.900913,4850800.0
2007-08-29,3.36,3.42,3.32,3.34,2.833055,4903800.0
2007-08-30,3.38,3.42,3.32,3.34,2.833055,5096500.0
2007-08-31,3.36,3.36,3.3,3.34,2.833055,5175300.0
2007-09-03,3.34,3.38,3.32,3.38,2.866984,2539100.0
2007-09-04,3.4,3.4,3.26,3.26,2.765198,5935300.0
2007-09-05,3.28,3.34,3.26,3.3,2.799126,2745400.0
2007-09-06,3.3,3.36,3.28,3.28,2.782162,3046600.0
2007-09-07,3.3,3.32,3.28,3.3,2.799126,533000.0
2007-09-10,3.3,3.3,3.28,3.3,2.799126,215900.0
