Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4.5,4.575,4.5,4.55,6.6e-05,49000.0
2000-01-05,4.5,4.55,4.5,4.55,6.6e-05,89000.0
2000-01-06,4.5,4.575,4.5,4.5,6.6e-05,83000.0
2000-01-07,4.5,4.55,4.5,4.55,6.6e-05,3000.0
2000-01-10,4.6,4.6,4.525,4.525,6.6e-05,27000.0
2000-01-11,4.575,4.575,4.55,4.55,6.6e-05,49000.0
2000-01-12,4.575,4.575,4.575,4.575,6.7e-05,8000.0
2000-01-13,4.575,4.575,4.55,4.55,6.6e-05,33000.0
2000-01-14,4.575,4.575,4.575,4.575,6.7e-05,22000.0
2000-01-17,4.55,4.55,4.5,4.5,6.6e-05,58000.0
2000-01-18,4.575,4.575,4.5,4.5,6.6e-05,0.0
2000-01-19,4.575,4.575,4.5,4.5,6.6e-05,81000.0
2000-01-20,4.5,4.5,4.05,4.125,6e-05,332000.0
2000-01-21,4.4,4.4,4.325,4.35,6.3e-05,65000.0
2000-01-24,4.375,4.375,4.375,4.375,6.4e-05,3000.0
2000-01-25,4.375,4.375,4.375,4.375,6.4e-05,3000.0
2000-01-26,4.425,4.45,4.425,4.45,6.5e-05,32000.0
2000-01-27,4.45,4.475,4.45,4.45,6.5e-05,50000.0
2000-01-28,4.475,4.475,4.425,4.425,6.4e-05,0.0
2000-01-31,4.425,4.425,4.425,4.425,6.4e-05,4000.0
2000-02-01,4.475,4.475,4.425,4.425,6.4e-05,0.0
2000-02-02,4.475,4.475,4.475,4.475,6.5e-05,10000.0
2000-02-03,4.425,4.425,4.425,4.425,6.4e-05,10000.0
2000-02-04,4.425,4.425,4.425,4.425,6.4e-05,10000.0
2000-02-07,4.5,4.5,4.5,4.5,6.6e-05,7000.0
2000-02-08,4.5,4.55,4.5,4.55,6.6e-05,43000.0
2000-02-09,4.575,4.575,4.525,4.525,6.6e-05,88000.0
2000-02-10,4.575,4.6,4.55,4.575,6.7e-05,198000.0
2000-02-11,4.575,4.6,4.55,4.55,6.6e-05,175000.0
2000-02-14,4.575,4.625,4.55,4.6,6.7e-05,580000.0
2000-02-15,4.6,4.625,4.575,4.575,6.7e-05,196000.0
2000-02-16,4.625,4.65,4.6,4.6,6.7e-05,54000.0
2000-02-17,4.575,4.65,4.575,4.6,6.7e-05,63000.0
2000-02-18,4.65,4.65,4.6,4.6,6.7e-05,31000.0
2000-02-21,4.6,4.6,4.6,4.6,6.7e-05,0.0
2000-02-22,4.625,4.625,4.6,4.6,6.7e-05,28000.0
2000-02-23,4.6,4.65,4.6,4.625,6.7e-05,49000.0
2000-02-24,4.9,4.95,4.875,4.9,7.1e-05,322000.0
2000-02-25,4.85,4.925,4.85,4.925,7.2e-05,158000.0
2000-02-28,4.875,4.9,4.85,4.85,7.1e-05,99000.0
2000-02-29,4.85,4.85,4.85,4.85,7.1e-05,40000.0
2000-03-01,4.85,4.85,4.85,4.85,7.1e-05,24000.0
2000-03-02,4.85,4.85,4.85,4.85,7.1e-05,105000.0
2000-03-03,5.0,5.0,4.9,4.95,7.2e-05,86000.0
2000-03-06,4.95,4.95,4.9,4.9,7.1e-05,48000.0
2000-03-07,4.9,4.9,4.9,4.9,7.1e-05,5000.0
2000-03-08,4.9,4.9,4.9,4.9,7.1e-05,70000.0
2000-03-09,4.9,4.9,4.9,4.9,7.1e-05,90000.0
2000-03-10,4.95,5.0,4.95,4.975,7.2e-05,79000.0
2000-03-13,4.9,4.9,4.9,4.9,7.1e-05,25000.0
2000-03-14,4.95,5.0,4.95,5.0,7.3e-05,182000.0
2000-03-15,5.05,5.05,5.0,5.0,7.3e-05,71000.0
2000-03-16,5.0,5.15,4.95,4.95,7.2e-05,273000.0
2000-03-17,5.0,5.0,4.95,4.95,7.2e-05,50000.0
2000-03-20,5.0,5.0,5.0,5.0,7.3e-05,38000.0
2000-03-21,5.0,5.0,4.975,5.0,7.3e-05,139000.0
2000-03-22,5.0,5.0,4.975,5.0,7.3e-05,66000.0
2000-03-23,5.0,5.0,4.975,4.975,7.2e-05,34000.0
2000-03-24,4.975,4.975,4.95,4.975,7.2e-05,77000.0
2000-03-27,4.975,5.0,4.975,5.0,7.3e-05,85000.0
2000-03-28,5.0,5.05,5.0,5.05,7.4e-05,139000.0
2000-03-29,5.1,5.1,5.05,5.05,7.4e-05,137000.0
2000-03-30,5.0,5.05,4.95,5.05,7.4e-05,181000.0
2000-03-31,4.65,4.65,4.575,4.575,0.00032,235000.0
2000-04-03,4.575,4.575,4.575,4.575,0.00032,20000.0
2000-04-04,4.575,4.6,4.575,4.575,0.00032,30000.0
2000-04-05,4.6,4.6,4.6,4.6,0.000322,12000.0
2000-04-06,4.6,4.6,4.6,4.6,0.000322,0.0
2000-04-07,4.6,4.6,4.6,4.6,0.000322,15000.0
2000-04-10,4.6,4.625,4.6,4.625,0.000324,30000.0
2000-04-11,4.625,4.625,4.625,4.625,0.000324,30000.0
2000-04-12,4.7,4.775,4.7,4.775,0.000334,32000.0
2000-04-13,4.775,4.775,4.775,4.775,0.000334,0.0
2000-04-14,4.775,4.775,4.775,4.775,0.000334,0.0
2000-04-17,4.75,4.75,4.65,4.7,0.000329,61000.0
2000-04-18,4.7,4.725,4.7,4.7,0.000329,63000.0
2000-04-19,4.7,4.7,4.7,4.7,0.000329,28000.0
2000-04-20,4.7,4.7,4.675,4.675,0.000327,70000.0
2000-04-21,4.7,4.7,4.7,4.7,0.000329,5000.0
2000-04-24,4.725,4.75,4.725,4.75,0.000333,57000.0
2000-04-25,4.75,4.8,4.75,4.8,0.000336,7000.0
