Date,Open,High,Low,Close,Adj Close,Volume
2004-12-16,1.88,1.98,1.87,1.94,0.966779,2747180.0
2004-12-17,,,,,,
2004-12-20,,,,,,
2004-12-21,,,,,,
2004-12-22,,,,,,
2004-12-23,,,,,,
2004-12-24,,,,,,
2004-12-27,,,,,,
2004-12-28,,,,,,
2004-12-29,,,,,,
2004-12-30,,,,,,
2004-12-31,,,,,,
2005-01-04,,,,,,
2005-01-05,,,,,,
2005-01-06,,,,,,
2005-01-07,,,,,,
2005-01-10,,,,,,
2005-01-11,2.1,2.22,2.1,2.2,1.096347,46258000.0
2005-01-12,,,,,,
2005-01-13,2.16,2.16,2.1,2.1,1.046513,10240500.0
2005-01-14,,,,,,
2005-01-17,,,,,,
2005-01-18,,,,,,
2005-01-19,2.1,2.16,2.1,2.16,1.076413,22643000.0
2005-01-20,,,,,,
2005-01-21,,,,,,
2005-01-24,,,,,,
2005-01-25,,,,,,
2005-01-26,,,,,,
2005-01-27,,,,,,
2005-01-28,,,,,,
2005-01-31,,,,,,
2005-02-01,2.24,2.26,2.16,2.18,1.08638,30942000.0
2005-02-02,,,,,,
2005-02-03,,,,,,
2005-02-04,,,,,,
2005-02-07,,,,,,
2005-02-08,,,,,,
2005-02-09,,,,,,
2005-02-10,,,,,,
2005-02-11,2.14,2.14,2.12,2.12,1.05648,4302500.0
2005-02-14,,,,,,
2005-02-15,,,,,,
2005-02-16,,,,,,
2005-02-17,2.16,2.2,2.12,2.12,1.05648,15788500.0
2005-02-18,,,,,,
2005-02-21,,,,,,
2005-02-22,,,,,,
2005-02-24,2.1,2.14,2.1,2.12,1.05648,2730000.0
2005-02-25,,,,,,
2005-02-28,,,,,,
2005-03-01,2.12,2.12,1.99,2.02,1.006646,17333000.0
2005-03-02,2.0,2.02,1.99,1.99,0.991696,2529000.0
2005-03-03,,,,,,
2005-03-04,,,,,,
2005-03-07,,,,,,
2005-03-08,,,,,,
2005-03-09,,,,,,
2005-03-10,1.93,1.93,1.91,1.91,0.951828,931000.0
2005-03-11,,,,,,
2005-03-14,1.9,1.9,1.84,1.84,0.916945,1220500.0
2005-03-15,1.78,1.79,1.77,1.77,1.02075,550500.0
2005-03-16,,,,,,
2005-03-17,,,,,,
2005-03-18,1.78,1.82,1.78,1.8,1.03805,332000.0
2005-03-21,,,,,,
2005-03-22,1.75,1.75,1.69,1.71,0.986148,525000.0
2005-03-23,1.71,1.72,1.69,1.7,0.980381,178000.0
2005-03-24,1.69,1.69,1.64,1.64,0.94578,444000.0
2005-03-25,,,,,,
2005-03-28,,,,,,
2005-03-29,,,,,,
2005-03-30,,,,,,
2005-03-31,1.58,1.59,1.57,1.57,0.905411,436000.0
2005-04-01,,,,,,
2005-04-04,,,,,,
2005-04-05,,,,,,
2005-04-07,,,,,,
2005-04-08,,,,,,
2005-04-11,,,,,,
2005-04-12,,,,,,
2005-04-18,,,,,,
2005-04-19,1.54,1.54,1.52,1.52,0.876576,460500.0
2005-04-20,,,,,,
2005-04-21,,,,,,
2005-04-22,1.51,1.51,1.49,1.49,0.859275,102500.0
2005-04-25,1.49,1.51,1.45,1.45,0.836207,1813000.0
2005-04-26,,,,,,
2005-04-27,,,,,,
2005-04-28,1.35,1.35,1.29,1.3,0.749703,1009000.0
2005-04-29,,,,,,
2005-05-03,,,,,,
2005-05-04,,,,,,
2005-05-06,1.34,1.35,1.33,1.35,0.778538,1680000.0
2005-05-09,,,,,,
2005-05-10,1.3,1.32,1.3,1.32,0.761237,42500.0
2005-05-11,,,,,,
2005-05-12,1.31,1.31,1.22,1.23,0.709335,1804500.0
2005-05-13,,,,,,
2005-05-16,,,,,,
2005-05-17,,,,,,
2005-05-18,,,,,,
2005-05-19,,,,,,
2005-05-20,,,,,,
2005-05-24,1.23,1.24,1.14,1.17,0.674733,1424000.0
2005-05-25,,,,,,
2005-05-26,1.16,1.17,1.14,1.17,0.674733,529000.0
2005-05-27,,,,,,
2005-05-30,,,,,,
2005-05-31,1.19,1.19,1.14,1.16,0.668966,1239500.0
2005-06-01,,,,,,
2005-06-02,,,,,,
2005-06-03,1.18,1.18,1.17,1.17,0.674733,550000.0
2005-06-06,,,,,,
2005-06-07,,,,,,
2005-06-08,,,,,,
2005-06-09,,,,,,
2005-06-10,,,,,,
2005-06-13,,,,,,
2005-06-14,,,,,,
2005-06-15,,,,,,
2005-06-16,,,,,,
2005-06-17,,,,,,
2005-06-20,,,,,,
2005-06-21,,,,,,
2005-06-22,,,,,,
2005-06-23,,,,,,
2005-06-24,,,,,,
2005-06-27,,,,,,
2005-06-28,,,,,,
2005-06-29,,,,,,
2005-06-30,1.13,1.14,1.11,1.13,0.651665,1051500.0
2005-07-04,,,,,,
2005-07-05,,,,,,
2005-07-06,1.12,1.14,1.1,1.1,0.634364,351000.0
2005-07-07,1.1,1.1,1.07,1.08,0.62283,979000.0
2005-07-08,,,,,,
2005-07-11,1.07,1.08,1.06,1.08,0.62283,624000.0
2005-07-12,,,,,,
2005-07-13,,,,,,
2005-07-14,,,,,,
2005-07-15,,,,,,
2005-07-18,,,,,,
2005-07-19,,,,,,
2005-07-20,1.0,1.0,0.972,0.98,0.565161,444500.0
2005-07-21,,,,,,
2005-07-25,0.992,0.996,0.992,0.996,0.574388,73000.0
2005-07-26,,,,,,
2005-07-27,0.996,1.07,0.996,1.07,0.617063,1085500.0
2005-07-28,,,,,,
2005-07-29,,,,,,
2005-08-01,,,,,,
2005-08-02,,,,,,
2005-08-03,1.01,1.01,0.996,1.0,0.576695,1000500.0
2005-08-04,,,,,,
2005-08-05,,,,,,
2005-08-08,1.04,1.05,1.02,1.03,0.593996,560000.0
2005-08-09,,,,,,
2005-08-10,,,,,,
2005-08-11,1.02,1.02,0.984,0.984,0.567468,2543000.0
2005-08-15,,,,,,
2005-08-16,,,,,,
2005-08-17,,,,,,
2005-08-18,,,,,,
2005-08-19,,,,,,
2005-08-22,,,,,,
2005-08-23,,,,,,
2005-08-24,,,,,,
2005-08-25,,,,,,
2005-08-26,,,,,,
2005-08-29,0.992,0.992,0.984,0.988,0.569774,578500.0
2005-08-30,,,,,,
2005-08-31,,,,,,
2005-09-01,,,,,,
2005-09-02,,,,,,
2005-09-05,,,,,,
2005-09-06,,,,,,
2005-09-07,,,,,,
2005-09-08,,,,,,
2005-09-09,0.968,0.984,0.968,0.968,0.55824,1071500.0
2005-09-12,,,,,,
2005-09-13,0.976,0.976,0.972,0.976,0.562854,180000.0
2005-09-14,,,,,,
2005-09-15,,,,,,
2005-09-16,,,,,,
2005-09-19,,,,,,
2005-09-20,,,,,,
2005-09-21,,,,,,
2005-09-22,,,,,,
2005-09-23,,,,,,
2005-09-26,,,,,,
2005-09-27,,,,,,
2005-09-28,,,,,,
2005-09-29,,,,,,
2005-09-30,,,,,,
2005-10-03,1.17,1.24,1.17,1.17,0.674733,26698500.0
2005-10-04,1.18,1.2,1.1,1.13,0.651665,8331500.0
2005-10-05,,,,,,
2005-10-06,1.12,1.2,1.11,1.16,0.668966,20035000.0
2005-10-07,1.17,1.18,1.14,1.14,0.657432,4392500.0
2005-10-10,,,,,,
2005-10-11,,,,,,
2005-10-12,,,,,,
2005-10-13,1.09,1.12,1.08,1.08,0.62283,3796000.0
2005-10-14,,,,,,
2005-10-17,,,,,,
2005-10-18,,,,,,
2005-10-19,,,,,,
2005-10-20,,,,,,
2005-10-21,1.05,1.05,1.03,1.04,0.599763,996500.0
2005-10-25,,,,,,
2005-10-26,,,,,,
2005-10-27,,,,,,
2005-10-28,1.12,1.12,1.05,1.06,0.611296,7828000.0
2005-10-31,,,,,,
2005-11-01,,,,,,
2005-11-02,,,,,,
2005-11-03,1.11,1.11,1.09,1.09,0.628597,3648500.0
2005-11-04,,,,,,
2005-11-07,,,,,,
2005-11-08,1.03,1.04,1.02,1.03,0.593996,790500.0
2005-11-09,,,,,,
2005-11-10,,,,,,
2005-11-11,,,,,,
2005-11-14,0.964,0.964,0.956,0.96,0.553627,961000.0
2005-11-15,,,,,,
2005-11-16,0.96,0.964,0.96,0.96,0.553627,1480000.0
2005-11-17,,,,,,
2005-11-18,0.944,0.956,0.944,0.956,0.55132,160.0
2005-11-21,,,,,,
2005-11-22,,,,,,
2005-11-23,0.924,0.924,0.868,0.876,0.505185,2631000.0
2005-11-24,,,,,,
2005-11-25,,,,,,
2005-11-28,0.868,0.872,0.864,0.868,0.500571,230000.0
2005-11-29,0.868,0.872,0.856,0.856,0.493651,473000.0
2005-11-30,0.864,0.88,0.856,0.868,0.500571,1574500.0
2005-12-01,0.864,0.876,0.856,0.856,0.493651,647500.0
2005-12-02,,,,,,
2005-12-06,,,,,,
2005-12-07,,,,,,
2005-12-08,0.892,0.892,0.872,0.884,0.509798,287500.0
2005-12-09,0.884,0.9,0.884,0.884,0.509798,825500.0
2005-12-13,,,,,,
2005-12-14,,,,,,
2005-12-15,,,,,,
2005-12-16,0.884,0.888,0.884,0.884,0.509798,428000.0
2005-12-19,0.892,0.892,0.884,0.884,0.509798,259500.0
2005-12-20,,,,,,
2005-12-21,,,,,,
2005-12-22,,,,,,
2005-12-23,,,,,,
2005-12-26,,,,,,
2005-12-27,0.916,0.928,0.916,0.924,0.532866,336500.0
2005-12-28,,,,,,
2005-12-29,,,,,,
2005-12-30,,,,,,
2006-01-03,0.92,0.92,0.916,0.916,0.528252,1540000.0
2006-01-04,,,,,,
2006-01-05,,,,,,
2006-01-06,0.924,0.932,0.924,0.924,0.532866,715000.0
2006-01-09,,,,,,
2006-01-10,,,,,,
2006-01-11,,,,,,
2006-01-12,,,,,,
2006-01-13,,,,,,
2006-01-16,0.952,0.964,0.948,0.948,0.546707,1907000.0
2006-01-17,,,,,,
2006-01-18,,,,,,
2006-01-19,,,,,,
2006-01-20,,,,,,
2006-01-23,,,,,,
2006-01-24,,,,,,
2006-01-25,0.96,0.964,0.948,0.952,0.549013,1313000.0
2006-01-26,,,,,,
2006-01-27,,,,,,
2006-01-30,0.964,0.964,0.952,0.952,0.549013,30000.0
2006-01-31,,,,,,
2006-02-01,0.948,0.952,0.936,0.94,0.542093,738500.0
2006-02-02,,,,,,
2006-02-03,0.92,0.93,0.92,0.92,0.530559,1075.0
2006-02-06,,,,,,
2006-02-07,,,,,,
2006-02-08,,,,,,
2006-02-09,0.932,0.932,0.912,0.912,0.525946,332000.0
2006-02-10,,,,,,
2006-02-13,,,,,,
2006-02-14,,,,,,
2006-02-15,,,,,,
2006-02-16,0.912,0.94,0.908,0.932,0.537479,400000.0
2006-02-17,,,,,,
2006-02-20,,,,,,
2006-02-21,,,,,,
2006-02-22,,,,,,
2006-02-23,,,,,,
2006-02-24,0.92,0.932,0.92,0.924,0.532866,182500.0
2006-02-27,,,,,,
2006-02-28,,,,,,
2006-03-01,,,,,,
2006-03-02,,,,,,
2006-03-03,,,,,,
2006-03-06,,,,,,
2006-03-07,,,,,,
2006-03-08,,,,,,
2006-03-09,,,,,,
2006-03-10,,,,,,
2006-03-13,,,,,,
2006-03-14,,,,,,
2006-03-15,0.924,0.936,0.92,0.928,0.535173,327500.0
2006-03-16,,,,,,
2006-03-17,,,,,,
2006-03-20,0.928,0.928,0.92,0.924,0.532866,111000.0
2006-03-21,,,,,,
2006-03-22,0.93,0.93,0.92,0.92,0.530559,710.0
2006-03-23,,,,,,
2006-03-24,,,,,,
2006-03-27,,,,,,
2006-03-28,,,,,,
2006-03-29,,,,,,
2006-03-30,,,,,,
2006-03-31,,,,,,
2006-04-03,,,,,,
2006-04-04,,,,,,
2006-04-05,0.912,0.916,0.908,0.916,0.528252,627500.0
2006-04-06,,,,,,
2006-04-07,,,,,,
2006-04-10,0.916,0.916,0.904,0.916,0.528252,92000.0
2006-04-11,0.916,0.916,0.9,0.904,0.521332,480000.0
2006-04-12,0.896,0.9,0.888,0.896,0.516719,622500.0
2006-04-13,,,,,,
2006-04-14,,,,,,
2006-04-17,,,,,,
2006-04-18,,,,,,
2006-04-19,,,,,,
2006-04-20,0.924,0.932,0.912,0.912,0.525946,801000.0
2006-04-21,,,,,,
2006-04-24,,,,,,
2006-04-25,,,,,,
2006-04-26,,,,,,
2006-04-27,,,,,,
2006-04-28,,,,,,
2006-05-01,,,,,,
2006-05-02,0.904,0.904,0.896,0.904,0.521332,323500.0
2006-05-03,,,,,,
2006-05-04,,,,,,
2006-05-05,,,,,,
2006-05-08,,,,,,
2006-05-09,,,,,,
2006-05-10,,,,,,
2006-05-11,,,,,,
2006-05-12,,,,,,
2006-05-15,,,,,,
2006-05-16,,,,,,
2006-05-17,0.912,0.916,0.912,0.912,0.525946,506000.0
2006-05-18,,,,,,
2006-05-19,,,,,,
2006-05-22,0.912,0.912,0.9,0.9,0.519025,715000.0
2006-05-23,0.896,0.904,0.884,0.884,0.509798,156500.0
2006-05-24,,,,,,
2006-05-25,0.884,0.884,0.82,0.852,0.491344,382500.0
2006-05-26,,,,,,
2006-05-29,0.842,0.864,0.844,0.86,0.495958,257500.0
2006-05-30,0.86,0.86,0.86,0.86,0.495958,264000.0
2006-05-31,,,,,,
2006-06-01,0.856,0.856,0.848,0.848,0.489037,179000.0
2006-06-02,,,,,,
2006-06-05,0.86,0.86,0.86,0.86,0.495958,50000.0
2006-06-06,,,,,,
2006-06-07,,,,,,
2006-06-08,0.84,0.84,0.82,0.824,0.475197,186000.0
2006-06-09,,,,,,
2006-06-12,,,,,,
2006-06-13,,,,,,
2006-06-14,0.8,0.8,0.8,0.8,0.461356,50.0
2006-06-15,0.8,0.83,0.8,0.83,0.478657,115.0
2006-06-16,,,,,,
2006-06-19,,,,,,
2006-06-20,,,,,,
2006-06-21,0.828,0.832,0.824,0.824,0.475197,197500.0
2006-06-22,,,,,,
2006-06-23,0.832,0.832,0.832,0.832,0.47981,1500.0
2006-06-26,,,,,,
2006-06-27,0.832,0.832,0.82,0.82,0.47289,248000.0
2006-06-28,,,,,,
2006-06-29,,,,,,
2006-06-30,0.824,0.824,0.82,0.824,0.475197,125000.0
2006-07-03,0.828,0.828,0.824,0.824,0.475197,175000.0
2006-07-04,,,,,,
2006-07-05,,,,,,
2006-07-06,0.8,0.82,0.8,0.82,0.47289,90.0
2006-07-07,,,,,,
2006-07-10,,,,,,
2006-07-11,,,,,,
2006-07-12,,,,,,
2006-07-13,,,,,,
2006-07-14,,,,,,
2006-07-17,,,,,,
2006-07-18,,,,,,
2006-07-19,,,,,,
2006-07-20,,,,,,
2006-07-21,,,,,,
2006-07-24,,,,,,
2006-07-25,,,,,,
2006-07-26,,,,,,
2006-07-27,,,,,,
2006-07-28,,,,,,
2006-07-31,,,,,,
2006-08-01,,,,,,
2006-08-02,,,,,,
2006-08-03,,,,,,
2006-08-04,,,,,,
