Date,Open,High,Low,Close,Adj Close,Volume
2012-10-11,2.49126,2.64423,2.38199,2.40385,1.202144,1729622752
2012-10-12,2.45848,2.64423,2.43663,2.5896,1.295036,833227824
2012-10-15,2.6333,2.65516,2.54589,2.54589,1.273177,367075280
2012-10-16,2.55682,2.55682,2.40385,2.40385,1.202144,169691808
2012-10-17,2.43663,2.49126,2.40385,2.49126,1.245857,76357424
2012-10-18,2.50219,2.57867,2.48033,2.54589,1.273177,79583504
2012-10-19,2.55682,2.61145,2.51311,2.56774,1.284104,72255040
2012-10-22,2.56774,2.61145,2.54589,2.54589,1.273177,26732992
2012-10-24,2.54589,2.55682,2.51311,2.51311,1.256784,35159696
2012-10-25,2.52404,2.53497,2.49126,2.49126,1.245857,15851264
2012-10-26,2.50219,2.51311,2.43663,2.45848,1.229464,18791344
2012-10-29,2.46941,2.51311,2.46941,2.49126,1.245857,22344608
2012-10-30,2.49126,2.56774,2.48033,2.52404,1.26225,31725408
2012-10-31,2.54589,2.57867,2.52404,2.55682,1.278643,36530208
2012-11-01,2.55682,2.81906,2.52404,2.76442,1.382462,336384048
2012-11-02,2.7972,3.07037,2.78628,2.99388,1.497213,243598784
2012-11-05,2.97203,3.25612,2.95017,3.21241,1.606498,151415264
2012-11-06,3.21241,3.25612,3.11407,3.19056,1.595571,101417888
2012-11-07,3.26705,3.36538,3.23427,3.3326,1.666604,95871776
2012-11-08,3.29983,3.38724,3.27797,3.27797,1.639284,65487136
2012-11-09,3.27797,3.32168,3.13593,3.16871,1.584644,52372320
2012-11-12,3.10315,3.10315,3.10315,3.10315,1.551858,2622048
2012-11-13,3.10315,3.21241,3.05944,3.20149,1.601037,29501472
2012-11-14,3.17963,3.19056,3.10315,3.10315,1.551858,15402816
2012-11-15,3.11407,3.11407,3.03759,3.09222,1.546392,39236912
2012-11-16,3.09222,3.17963,3.09222,3.13593,1.568251,26124384
2012-11-19,3.15778,3.47465,3.15778,3.44187,1.721249,144068496
2012-11-20,3.4528,3.4528,3.37631,3.42002,1.710322,61689056
2012-11-21,3.42002,3.52928,3.36538,3.50743,1.754035,86257600
2012-11-22,3.55114,3.56206,3.35446,3.37631,1.688463,92821872
2012-11-23,3.36538,3.48558,3.36538,3.44187,1.721249,43220320
2012-11-26,3.46372,3.54021,3.44187,3.51836,1.759501,61025536
2012-11-27,3.52928,3.68226,3.52928,3.6604,1.830534,60803600
2012-11-28,3.67133,3.92264,3.67133,3.86801,1.934357,93487680
2012-11-29,3.93357,3.93357,3.85708,3.88986,1.945284,49407072
2012-11-30,3.90079,3.93357,3.83523,3.84615,1.923426,25049024
2012-12-03,3.88986,4.09747,3.88986,4.05376,2.02725,51525760
2012-12-04,4.06469,4.08654,3.95542,4.01005,2.00539,33596992
2012-12-06,3.9882,4.01005,3.87893,3.88986,1.945284,55925584
2012-12-07,3.94449,4.01005,3.88986,3.92264,1.961678,18535088
2012-12-11,3.92264,3.93357,3.86801,3.88986,1.945284,21939632
2012-12-12,3.85708,3.85708,3.70411,3.78059,2.734092,78315952
2012-12-13,3.80245,3.8243,3.78059,3.79152,2.741996,69637568
2012-12-14,3.80245,3.86801,3.80245,3.8243,2.765703,61341280
2012-12-17,3.86801,3.99913,3.86801,3.9882,2.884233,47517184
2012-12-18,4.02098,4.03191,3.94449,3.97727,2.876329,47084752
2012-12-19,3.99913,4.10839,3.99913,4.04283,2.923742,56886544
2012-12-20,4.02098,4.05376,3.93357,3.95542,2.860527,32443840
2012-12-21,3.94449,3.95542,3.91171,3.91171,2.828917,23438272
2012-12-24,3.93357,3.94449,3.90079,3.94449,2.852623,31196880
2012-12-25,3.94449,4.02098,3.93357,3.96635,2.868432,15158000
2012-12-26,3.96635,4.03191,3.92264,3.96635,2.868432,28606864
2012-12-27,3.9882,4.09747,3.96635,4.02098,2.90794,43327856
2012-12-28,4.04283,4.10839,4.02098,4.04283,2.923742,39030992
