Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,12.5,12.75,12.25,12.25,4.230543,25200.0
2000-01-05,11.75,11.75,11.75,11.75,4.057868,5000.0
2000-01-06,12.0,12.0,12.0,12.0,4.144206,1100.0
2000-01-07,12.0,12.0,11.5,11.5,3.97153,0.0
2000-01-10,11.75,11.75,11.75,11.75,4.057868,1000.0
2000-01-11,12.0,12.0,12.0,12.0,4.144206,12700.0
2000-01-12,11.25,12.0,11.25,11.75,4.057868,4500.0
2000-01-13,11.5,11.75,11.5,11.75,4.057868,3100.0
2000-01-14,12.25,12.25,12.25,12.25,4.230543,1000.0
2000-01-17,12.0,12.0,11.5,11.5,3.97153,9000.0
2000-01-18,12.0,12.0,12.0,12.0,4.144206,300.0
2000-01-19,12.5,12.5,12.0,12.0,4.144206,0.0
2000-01-20,11.75,12.75,11.75,12.75,4.403218,6100.0
2000-01-21,13.25,13.25,12.25,12.25,4.230543,27600.0
2000-01-24,12.5,12.5,12.25,12.25,4.230543,0.0
2000-01-25,12.25,12.25,12.25,12.25,4.230543,12500.0
2000-01-26,12.25,12.25,11.75,11.75,4.057868,0.0
2000-01-27,12.25,13.5,12.25,13.25,4.575893,63400.0
2000-01-28,12.75,13.0,12.75,13.0,4.489555,4000.0
2000-01-31,12.5,12.5,12.5,12.5,4.316881,3000.0
2000-02-01,12.5,12.75,12.25,12.25,4.230543,32600.0
2000-02-02,12.0,12.5,12.0,12.5,4.316881,9400.0
2000-02-03,12.25,12.25,12.25,12.25,4.230543,900.0
2000-02-04,12.75,12.75,12.0,12.0,4.144206,0.0
2000-02-07,12.5,12.5,12.5,12.5,4.316881,2000.0
2000-02-08,12.25,12.25,11.75,12.0,4.144206,9100.0
2000-02-09,12.5,12.5,11.75,11.75,4.057868,0.0
2000-02-10,12.5,12.5,10.75,10.75,3.712518,0.0
2000-02-11,12.0,12.0,12.0,12.0,4.144206,100.0
2000-02-14,12.0,12.25,12.0,12.25,4.230543,8000.0
2000-02-15,12.0,12.0,12.0,12.0,4.144206,2000.0
2000-02-16,12.0,12.0,12.0,12.0,4.144206,8900.0
2000-02-17,12.0,12.0,12.0,12.0,4.144206,1000.0
2000-02-18,12.0,12.25,12.0,12.25,4.230543,1900.0
2000-02-21,12.25,12.25,12.25,12.25,4.230543,0.0
2000-02-22,12.5,12.5,10.25,10.25,3.539841,0.0
2000-02-23,12.5,12.5,11.5,11.5,3.97153,0.0
2000-02-24,12.5,12.5,10.5,10.5,3.62618,0.0
2000-02-25,12.5,12.5,10.5,10.5,3.62618,0.0
2000-02-28,11.75,12.0,11.75,12.0,4.144206,3200.0
2000-02-29,12.5,12.5,11.5,11.5,3.97153,0.0
2000-03-01,12.25,12.25,11.5,11.5,3.97153,2000.0
2000-03-02,12.25,12.25,11.0,11.0,3.798855,0.0
2000-03-03,11.25,11.25,11.25,11.25,3.885193,3000.0
2000-03-06,11.25,11.25,11.25,11.25,3.885193,1000.0
2000-03-07,11.5,12.25,11.5,12.25,4.230543,6800.0
2000-03-08,12.25,12.75,12.25,12.75,4.403218,10200.0
2000-03-09,12.75,12.75,12.25,12.25,4.230543,0.0
2000-03-10,12.5,12.5,12.0,12.0,4.144206,0.0
2000-03-13,12.5,12.5,11.5,11.5,3.97153,0.0
2000-03-14,13.0,13.0,11.0,11.0,3.798855,0.0
2000-03-15,12.75,12.75,12.0,12.0,4.144206,5000.0
2000-03-16,12.0,12.0,12.0,12.0,4.144206,1000.0
2000-03-17,12.5,12.5,11.25,11.25,3.885193,0.0
2000-03-20,12.0,12.0,12.0,12.0,4.144206,1500.0
2000-03-21,12.5,12.5,11.25,11.25,3.885193,0.0
