Date,Open,High,Low,Close,Adj Close,Volume
2015-11-16,10.1,10.1,10.0,10.0,9.226273,1063500
2015-11-17,10.0,10.1,10.0,10.1,9.318536,109100
2015-11-18,10.0,10.1,10.0,10.0,9.226273,385200
2015-11-19,10.0,10.1,10.0,10.0,9.226273,543700
2015-11-20,10.0,10.0,10.0,10.0,9.226273,338000
2015-11-23,10.0,10.0,10.0,10.0,9.226273,113100
2015-11-24,10.0,10.0,10.0,10.0,9.226273,66600
2015-11-25,10.0,10.1,10.0,10.0,9.226273,98000
2015-11-26,10.1,10.1,10.0,10.0,9.226273,11000
2015-11-27,10.0,10.1,10.0,10.1,9.318536,62000
2015-11-30,10.1,10.1,10.0,10.0,9.226273,28000
2015-12-01,10.0,10.1,10.0,10.1,9.318536,256600
2015-12-02,10.0,10.0,10.0,10.0,9.226273,62400
2015-12-03,10.0,10.0,10.0,10.0,9.226273,146600
2015-12-04,10.0,10.1,10.0,10.0,9.226273,345200
2015-12-08,10.1,10.1,10.0,10.0,9.226273,523000
2015-12-09,10.1,10.1,10.0,10.0,9.226273,333600
2015-12-11,10.0,10.1,10.0,10.0,9.226273,206700
2015-12-14,10.0,10.0,9.95,10.0,9.226273,124000
2015-12-15,10.0,10.0,10.0,10.0,9.226273,427400
2015-12-16,10.1,10.1,10.0,10.1,9.318536,23200
2015-12-17,10.1,10.1,10.0,10.0,9.226273,15000
2015-12-18,10.1,10.1,10.0,10.1,9.318536,22300
2015-12-21,10.0,10.1,10.0,10.0,9.226273,56100
2015-12-22,10.0,10.0,10.0,10.0,9.226273,112900
2015-12-23,10.0,10.0,10.0,10.0,9.226273,9100
2015-12-24,10.0,10.0,10.0,10.0,9.226273,1600
2015-12-25,10.0,10.0,10.0,10.0,9.226273,113900
2015-12-28,10.0,10.0,10.0,10.0,9.226273,700
2015-12-29,9.95,9.95,9.95,9.95,9.180142,900
2015-12-30,10.1,10.1,10.0,10.0,9.226273,181800
2016-01-04,10.0,10.0,10.0,10.0,9.226273,10000
2016-01-05,10.0,10.1,10.0,10.0,9.226273,16700
2016-01-06,10.0,10.0,10.0,10.0,9.226273,30000
2016-01-07,10.0,10.0,10.0,10.0,9.226273,21600
2016-01-08,10.0,10.0,10.0,10.0,9.226273,1000
2016-01-11,9.95,10.0,9.9,10.0,9.226273,52800
2016-01-12,10.0,10.0,10.0,10.0,9.226273,0
2016-01-13,9.95,9.95,9.95,9.95,9.180142,100000
2016-01-14,9.95,10.0,9.95,10.0,9.226273,192200
2016-01-15,10.0,10.0,10.0,10.0,9.226273,0
2016-01-18,10.0,10.0,10.0,10.0,9.226273,0
2016-01-19,10.0,10.0,10.0,10.0,9.226273,1000
2016-01-20,10.0,10.0,10.0,10.0,9.226273,100
2016-01-21,10.0,10.0,10.0,10.0,9.226273,4100
2016-01-22,10.0,10.0,10.0,10.0,9.226273,7900
2016-01-25,10.0,10.0,10.0,10.0,9.226273,0
2016-01-26,10.0,10.0,10.0,10.0,9.226273,19900
2016-01-27,10.0,10.0,10.0,10.0,9.226273,0
2016-01-28,10.0,10.0,10.0,10.0,9.226273,10000
2016-01-29,10.0,10.0,10.0,10.0,9.226273,35100
2016-02-01,10.0,10.0,10.0,10.0,9.226273,106000
2016-02-02,10.0,10.0,10.0,10.0,9.226273,131000
2016-02-03,10.0,10.0,10.0,10.0,9.226273,12000
2016-02-04,10.0,10.0,10.0,10.0,9.226273,20000
2016-02-05,10.1,10.1,10.1,10.1,9.318536,7000
2016-02-08,10.0,10.0,10.0,10.0,9.226273,60000
2016-02-09,10.1,10.1,10.1,10.1,9.318536,686000
2016-02-10,10.1,10.1,10.1,10.1,9.318536,192000
2016-02-11,10.1,10.1,10.1,10.1,9.318536,816000
2016-02-12,10.1,10.1,10.0,10.1,9.318536,490800
2016-02-15,10.1,10.2,10.1,10.2,9.410798,302500
2016-02-16,10.2,10.2,10.1,10.1,9.318536,724100
2016-02-17,10.1,10.1,10.1,10.1,9.318536,192000
2016-02-18,10.1,10.1,10.0,10.0,9.226273,473900
2016-02-19,10.0,10.2,10.0,10.0,9.226273,145200
2016-02-23,10.0,10.2,10.0,10.2,9.410798,215500
2016-02-24,10.1,10.2,10.1,10.2,9.410798,215200
2016-02-25,10.0,10.1,10.0,10.1,9.406981,35600
2016-02-26,10.1,10.1,10.1,10.1,9.406981,4000
2016-02-29,10.1,10.1,10.1,10.1,9.406981,0
2016-03-01,10.1,10.1,10.0,10.1,9.406981,155200
2016-03-02,10.1,10.1,10.1,10.1,9.406981,77000
2016-03-03,10.1,10.1,10.1,10.1,9.406981,167900
2016-03-04,10.1,10.1,10.1,10.1,9.406981,143600
2016-03-07,10.1,10.1,10.1,10.1,9.406981,109900
2016-03-08,10.0,10.1,10.0,10.1,9.406981,119600
2016-03-09,10.1,10.1,10.0,10.0,9.313841,99800
2016-03-10,10.1,10.1,10.1,10.1,9.406981,99400
2016-03-11,10.1,10.1,10.1,10.1,9.406981,15100
2016-03-14,10.0,10.0,10.0,10.0,9.313841,100000
2016-03-15,10.1,10.1,10.1,10.1,9.406981,77800
2016-03-16,10.1,10.1,10.1,10.1,9.406981,215100
2016-03-17,10.0,10.1,10.0,10.1,9.406981,46500
2016-03-18,10.1,10.1,10.1,10.1,9.406981,54200
2016-03-21,10.1,10.1,10.1,10.1,9.406981,4500
2016-03-22,10.1,10.1,10.1,10.1,9.406981,0
2016-03-23,10.0,10.0,10.0,10.0,9.313841,5000
2016-03-24,10.0,10.0,10.0,10.0,9.313841,200100
2016-03-25,10.0,10.1,10.0,10.1,9.406981,13700
2016-03-28,10.0,10.1,10.0,10.1,9.406981,6100
2016-03-29,10.1,10.1,10.1,10.1,9.406981,5000
2016-03-30,10.0,10.0,10.0,10.0,9.313841,5000
2016-03-31,10.1,10.1,10.0,10.1,9.406981,247600
2016-04-01,10.0,10.1,10.0,10.0,9.313841,39000
2016-04-04,10.0,10.0,10.0,10.0,9.313841,18000
2016-04-05,10.0,10.0,10.0,10.0,9.313841,5000
2016-04-07,10.0,10.1,10.0,10.1,9.406981,139900
2016-04-08,10.0,10.1,10.0,10.0,9.313841,107600
2016-04-11,10.1,10.1,10.0,10.1,9.406981,50200
2016-04-12,10.1,10.1,10.1,10.1,9.406981,127000
2016-04-18,10.1,10.1,10.1,10.1,9.406981,250000
2016-04-19,10.1,10.1,10.1,10.1,9.406981,152800
2016-04-20,10.1,10.1,10.1,10.1,9.406981,248600
2016-04-21,10.1,10.1,10.1,10.1,9.406981,214000
2016-04-22,10.1,10.4,10.1,10.3,9.593257,3299000
2016-04-25,10.4,10.4,10.2,10.3,9.593257,642800
2016-04-26,10.3,10.3,10.2,10.3,9.593257,141000
2016-04-27,10.2,10.3,10.2,10.2,9.500119,220000
2016-04-28,10.2,10.2,10.2,10.2,9.500119,100400
2016-04-29,10.2,10.3,10.2,10.3,9.593257,572000
2016-05-03,10.3,10.4,10.3,10.3,9.593257,135400
2016-05-04,10.3,10.3,10.2,10.2,9.500119,130400
2016-05-09,10.2,10.2,10.1,10.1,9.406981,119300
2016-05-10,10.1,10.2,10.1,10.2,9.500119,57300
2016-05-11,10.2,10.2,10.2,10.2,9.500119,0
2016-05-12,10.2,10.2,10.2,10.2,9.500119,10000
2016-05-13,10.2,10.2,10.1,10.1,9.406981,102000
2016-05-16,10.2,10.2,10.1,10.2,9.500119,374000
2016-05-17,10.1,10.2,10.1,10.2,9.500119,13300
2016-05-18,10.1,10.2,10.1,10.2,9.500119,10100
2016-05-19,10.2,10.2,10.1,10.1,9.406981,22000
2016-05-23,10.1,10.1,10.1,10.1,9.406981,0
2016-05-24,10.1,10.1,10.1,10.1,9.406981,800
2016-05-25,10.1,10.1,10.1,10.1,9.406981,10000
2016-05-26,10.1,10.2,10.1,10.1,9.406981,28900
2016-05-27,10.1,10.1,10.0,10.1,9.406981,152200
2016-05-30,10.1,10.1,10.1,10.1,9.406981,20000
2016-05-31,10.0,10.1,10.0,10.1,9.406981,195000
2016-06-01,10.2,10.2,10.2,10.2,9.500119,200
2016-06-02,10.1,10.1,10.0,10.0,9.313841,50000
2016-06-03,10.0,10.1,10.0,10.0,9.313841,641000
2016-06-06,10.1,10.1,10.1,10.1,9.406981,15700
2016-06-07,10.1,10.1,10.0,10.1,9.406981,100200
2016-06-08,10.1,10.2,10.1,10.1,9.406981,402000
2016-06-09,10.0,10.1,10.0,10.0,9.326586,104200
2016-06-10,10.0,10.0,10.0,10.0,9.326586,800
2016-06-13,10.1,10.1,10.0,10.0,9.326586,27100
2016-06-14,10.0,10.0,9.95,10.0,9.326586,56300
2016-06-15,10.1,10.1,10.0,10.0,9.326586,10800
2016-06-16,10.0,10.1,9.95,10.0,9.326586,9900
2016-06-17,10.0,10.0,10.0,10.0,9.326586,10300
2016-06-20,10.0,10.0,10.0,10.0,9.326586,11500
2016-06-21,10.0,10.1,10.0,10.0,9.326586,15000
2016-06-22,10.0,10.0,10.0,10.0,9.326586,19700
2016-06-23,10.0,10.0,9.95,9.95,9.279952,25000
2016-06-24,9.95,9.95,9.95,9.95,9.279952,76300
2016-06-27,9.95,9.95,9.95,9.95,9.279952,154100
2016-06-28,9.95,9.95,9.95,9.95,9.279952,189900
2016-06-29,9.95,9.95,9.95,9.95,9.279952,13000
2016-06-30,9.95,9.95,9.95,9.95,9.279952,20000
2016-07-04,9.95,9.95,9.95,9.95,9.279952,46300
2016-07-05,9.95,10.0,9.95,9.95,9.279952,10900
2016-07-06,9.95,9.95,9.95,9.95,9.279952,10000
2016-07-07,9.95,9.95,9.95,9.95,9.279952,22400
2016-07-08,9.95,9.95,9.95,9.95,9.279952,178400
2016-07-11,9.95,10.0,9.95,10.0,9.326586,89600
2016-07-12,10.0,10.0,9.95,9.95,9.279952,222800
2016-07-13,10.0,10.0,9.95,10.0,9.326586,11700
2016-07-14,9.95,9.95,9.95,9.95,9.279952,80200
2016-07-15,9.95,9.95,9.95,9.95,9.279952,100
2016-07-20,9.95,9.95,9.95,9.95,9.279952,143500
2016-07-21,9.95,9.95,9.95,9.95,9.279952,0
2016-07-22,9.95,9.95,9.95,9.95,9.279952,1000000
2016-07-25,9.95,10.0,9.9,9.95,9.279952,184000
2016-07-26,9.95,9.95,9.95,9.95,9.279952,1100
2016-07-27,9.95,9.95,9.95,9.95,9.279952,0
2016-07-28,9.9,10.0,9.9,10.0,9.326586,304100
2016-07-29,9.95,10.0,9.9,9.95,9.279952,68700
2016-08-01,10.0,10.0,9.95,9.95,9.279952,154700
2016-08-02,9.95,10.0,9.95,10.0,9.326586,338100
2016-08-03,10.0,10.0,10.0,10.0,9.326586,218100
2016-08-04,10.0,10.0,10.0,10.0,9.326586,20500
2016-08-05,10.0,10.1,10.0,10.1,9.419851,35400
2016-08-08,10.0,10.0,9.95,9.95,9.410865,54600
2016-08-09,9.95,9.95,9.95,9.95,9.410865,20000
2016-08-10,10.0,10.0,9.95,10.0,9.458156,16100
2016-08-11,10.0,10.0,10.0,10.0,9.458156,0
2016-08-15,10.0,10.0,9.9,9.95,9.410865,18000
2016-08-16,9.95,9.95,9.95,9.95,9.410865,36500
2016-08-17,10.0,10.0,9.95,9.95,9.410865,667200
2016-08-18,10.0,10.0,10.0,10.0,9.458156,85600
2016-08-19,10.0,10.0,10.0,10.0,9.458156,8700
2016-08-22,10.0,10.0,10.0,10.0,9.458156,14900
2016-08-23,10.1,10.1,9.95,10.0,9.458156,10300
2016-08-24,10.0,10.0,9.9,10.0,9.458156,205100
2016-08-25,9.95,9.95,9.95,9.95,9.410865,2000
2016-08-26,9.95,9.95,9.95,9.95,9.410865,11900
2016-08-29,9.95,9.95,9.95,9.95,9.410865,3000
2016-08-30,9.95,9.95,9.95,9.95,9.410865,119100
2016-08-31,9.9,9.95,9.9,9.95,9.410865,105300
2016-09-01,9.95,9.95,9.9,9.9,9.363574,10500
2016-09-02,9.95,9.95,9.9,9.95,9.410865,5200
2016-09-05,9.95,9.95,9.9,9.95,9.410865,23000
2016-09-06,9.95,9.95,9.95,9.95,9.410865,100
2016-09-07,9.95,9.95,9.9,9.9,9.363574,2100
2016-09-08,9.9,9.95,9.9,9.95,9.410865,159400
2016-09-09,9.9,9.9,9.9,9.9,9.363574,195400
2016-09-12,9.9,9.9,9.9,9.9,9.363574,366500
2016-09-13,9.9,9.9,9.9,9.9,9.363574,94700
2016-09-14,9.9,9.9,9.9,9.9,9.363574,92000
2016-09-15,9.9,9.95,9.9,9.95,9.410865,200300
2016-09-16,9.95,9.95,9.95,9.95,9.410865,0
2016-09-19,9.95,9.95,9.95,9.95,9.410865,200
2016-09-20,9.95,9.95,9.9,9.9,9.363574,10000
2016-09-21,9.95,9.95,9.95,9.95,9.410865,100
2016-09-22,9.95,9.95,9.95,9.95,9.410865,5200
2016-09-23,9.95,10.0,9.95,9.95,9.410865,201700
2016-09-26,9.95,9.95,9.95,9.95,9.410865,0
2016-09-27,9.95,9.95,9.95,9.95,9.410865,100
2016-09-28,10.0,10.0,10.0,10.0,9.458156,100
2016-09-29,9.9,10.0,9.9,10.0,9.458156,200
2016-09-30,10.0,10.0,10.0,10.0,9.458156,0
2016-10-03,10.0,10.0,10.0,10.0,9.458156,1300
2016-10-04,10.0,10.0,9.95,9.95,9.410865,30500
2016-10-05,9.95,9.95,9.95,9.95,9.410865,20000
2016-10-06,9.95,9.95,9.95,9.95,9.410865,0
2016-10-07,9.95,9.95,9.95,9.95,9.410865,300
2016-10-10,9.95,9.95,9.95,9.95,9.410865,111700
2016-10-11,9.95,9.95,9.95,9.95,9.410865,0
2016-10-12,9.9,9.9,9.8,9.9,9.363574,228200
2016-10-13,9.85,9.9,9.8,9.9,9.363574,138700
2016-10-14,9.9,9.9,9.9,9.9,9.363574,182600
2016-10-17,9.9,9.9,9.9,9.9,9.363574,67300
2016-10-18,9.85,9.9,9.8,9.9,9.363574,70000
2016-10-19,9.9,9.9,9.9,9.9,9.363574,10500
2016-10-20,9.9,9.9,9.9,9.9,9.363574,100
2016-10-21,9.9,9.9,9.9,9.9,9.363574,4800
2016-10-25,9.9,9.9,9.9,9.9,9.363574,15000
2016-10-26,9.9,9.9,9.9,9.9,9.363574,0
2016-10-27,9.9,9.95,9.9,9.95,9.410865,150100
2016-10-28,9.9,9.95,9.9,9.9,9.363574,15400
2016-10-31,9.95,9.95,9.9,9.95,9.410865,34800
2016-11-01,9.95,9.95,9.9,9.9,9.363574,254600
2016-11-02,9.9,9.9,9.9,9.9,9.363574,25000
2016-11-03,9.9,9.9,9.9,9.9,9.363574,0
2016-11-04,9.9,9.9,9.9,9.9,9.363574,0
2016-11-07,9.95,9.95,9.9,9.95,9.410865,12300
2016-11-08,9.95,10.0,9.95,10.0,9.458156,12300
2016-11-09,9.85,9.9,9.85,9.9,9.488346,64900
2016-11-10,9.85,9.9,9.85,9.9,9.488346,99000
2016-11-11,9.9,9.9,9.9,9.9,9.488346,100
2016-11-14,9.9,9.9,9.85,9.85,9.440426,10500
2016-11-15,9.85,9.9,9.85,9.9,9.488346,27900
2016-11-16,9.85,9.85,9.85,9.85,9.440426,25200
2016-11-17,9.85,9.85,9.85,9.85,9.440426,300
2016-11-18,9.85,9.85,9.85,9.85,9.440426,5000
2016-11-21,9.8,9.8,9.8,9.8,9.392505,5000
2016-11-22,9.85,9.85,9.85,9.85,9.440426,25200
2016-11-23,9.85,9.85,9.85,9.85,9.440426,14700
2016-11-24,9.85,9.85,9.85,9.85,9.440426,20000
2016-11-25,9.85,9.85,9.75,9.75,9.344584,149600
2016-11-28,9.8,9.8,9.8,9.8,9.392505,55700
2016-11-29,9.8,9.8,9.8,9.8,9.392505,0
2016-11-30,9.85,9.85,9.85,9.85,9.440426,100
2016-12-01,9.85,9.85,9.8,9.8,9.392505,6100
2016-12-02,9.85,10.0,9.85,10.0,9.584188,654300
2016-12-06,10.0,10.0,9.85,10.0,9.584188,700
2016-12-07,9.85,9.85,9.85,9.85,9.440426,10000
2016-12-08,9.85,9.85,9.85,9.85,9.440426,0
2016-12-09,9.85,9.85,9.85,9.85,9.440426,0
2016-12-13,9.85,9.85,9.8,9.85,9.440426,25200
2016-12-14,9.85,9.85,9.85,9.85,9.440426,0
2016-12-15,9.85,9.85,9.85,9.85,9.440426,6500
2016-12-16,9.85,9.9,9.85,9.9,9.488346,6600
2016-12-19,9.8,9.8,9.8,9.8,9.392505,100
2016-12-20,9.8,9.85,9.8,9.85,9.440426,200200
2016-12-21,9.85,9.85,9.85,9.85,9.440426,200
2016-12-22,9.85,9.85,9.85,9.85,9.440426,600
2016-12-23,9.8,9.8,9.65,9.8,9.392505,53300
2016-12-26,9.8,9.8,9.8,9.8,9.392505,300
2016-12-27,9.8,9.8,9.8,9.8,9.392505,22800
2016-12-28,9.8,9.8,9.75,9.75,9.344584,7900
2016-12-29,9.8,9.8,9.8,9.8,9.392505,1100
2016-12-30,9.7,9.8,9.7,9.8,9.392505,60200
2017-01-04,9.8,9.9,9.8,9.8,9.392505,101600
2017-01-05,9.8,9.8,9.8,9.8,9.392505,8000
2017-01-06,9.8,9.8,9.8,9.8,9.392505,0
2017-01-09,9.85,9.85,9.85,9.85,9.440426,5300
2017-01-10,9.85,9.9,9.85,9.9,9.488346,250400
2017-01-11,9.9,9.9,9.9,9.9,9.488346,0
2017-01-12,9.9,9.9,9.9,9.9,9.488346,0
2017-01-16,9.8,9.9,9.8,9.8,9.392505,132000
2017-01-17,9.8,9.95,9.8,9.95,9.536267,202800
2017-01-18,9.9,9.9,9.85,9.85,9.440426,1300
2017-01-19,9.9,9.9,9.85,9.9,9.488346,19900
2017-01-20,9.8,9.8,9.8,9.8,9.392505,10000
2017-01-23,9.8,9.8,9.8,9.8,9.392505,0
2017-01-24,9.8,9.9,9.8,9.9,9.488346,250500
2017-01-25,9.8,9.85,9.8,9.85,9.440426,20200
2017-01-26,9.85,9.85,9.85,9.85,9.440426,100
2017-01-27,9.8,9.8,9.8,9.8,9.392505,5000
2017-01-30,9.8,9.85,9.8,9.85,9.440426,22700
2017-01-31,9.85,9.85,9.85,9.85,9.440426,0
2017-02-01,9.85,9.85,9.85,9.85,9.440426,10000
2017-02-02,9.85,9.85,9.85,9.85,9.440426,0
2017-02-03,9.9,9.9,9.9,9.9,9.488346,1200
2017-02-06,9.9,9.9,9.9,9.9,9.488346,108800
2017-02-07,9.9,9.9,9.85,9.85,9.440426,20800
2017-02-08,9.9,9.9,9.9,9.9,9.488346,19100
2017-02-09,9.9,9.9,9.9,9.9,9.488346,5300
2017-02-10,9.9,9.95,9.9,9.95,9.536267,65600
2017-02-13,9.95,9.95,9.95,9.95,9.536267,0
2017-02-14,9.7,9.8,9.7,9.75,9.47263,43400
2017-02-15,9.8,9.8,9.8,9.8,9.521208,15000
2017-02-16,9.8,9.85,9.8,9.85,9.569785,27000
2017-02-17,9.85,9.85,9.8,9.85,9.569785,49600
2017-02-20,9.8,9.9,9.8,9.85,9.569785,147000
2017-02-21,9.85,9.85,9.85,9.85,9.569785,22000
2017-02-22,9.85,9.85,9.85,9.85,9.569785,353900
2017-02-23,9.85,9.85,9.85,9.85,9.569785,2900
2017-02-24,9.95,9.95,9.85,9.9,9.618362,70000
2017-02-27,9.9,9.9,9.9,9.9,9.618362,0
2017-02-28,9.9,9.9,9.9,9.9,9.618362,591200
2017-03-01,9.9,9.9,9.9,9.9,9.618362,100000
2017-03-02,9.9,9.95,9.9,9.9,9.618362,257300
2017-03-03,9.9,9.9,9.9,9.9,9.618362,69700
2017-03-06,9.9,9.95,9.9,9.95,9.666941,90100
2017-03-07,9.85,9.9,9.85,9.9,9.618362,36000
2017-03-08,9.95,9.95,9.95,9.95,9.666941,287000
2017-03-09,9.9,9.9,9.9,9.9,9.618362,58000
2017-03-10,9.9,9.9,9.9,9.9,9.618362,0
2017-03-13,9.9,9.9,9.9,9.9,9.618362,80000
2017-03-14,9.9,9.9,9.9,9.9,9.618362,20000
2017-03-15,9.9,9.95,9.85,9.85,9.569785,99000
2017-03-16,9.8,9.9,9.8,9.9,9.618362,128300
2017-03-17,9.9,9.9,9.9,9.9,9.618362,7200
2017-03-20,9.9,9.9,9.9,9.9,9.618362,170000
2017-03-21,9.9,9.9,9.9,9.9,9.618362,292400
2017-03-22,9.9,9.9,9.9,9.9,9.618362,194000
2017-03-23,9.9,9.9,9.85,9.85,9.569785,164400
2017-03-24,9.9,9.9,9.9,9.9,9.618362,7000
2017-03-27,9.9,9.9,9.9,9.9,9.618362,340000
2017-03-28,9.9,9.9,9.9,9.9,9.618362,90000
2017-03-29,9.9,9.9,9.9,9.9,9.618362,1000
2017-03-30,9.9,9.9,9.9,9.9,9.618362,293800
2017-03-31,9.9,9.9,9.9,9.9,9.618362,30000
2017-04-03,9.9,9.95,9.9,9.9,9.618362,115100
2017-04-04,9.9,9.9,9.9,9.9,9.618362,416000
2017-04-05,9.9,9.9,9.9,9.9,9.618362,0
2017-04-07,9.9,9.9,9.9,9.9,9.618362,0
2017-04-10,9.8,9.8,9.8,9.8,9.521208,2000
2017-04-11,9.8,9.8,9.8,9.8,9.521208,30000
2017-04-12,9.9,9.9,9.8,9.8,9.521208,1300
2017-04-17,9.8,9.85,9.8,9.85,9.569785,8100
2017-04-18,9.85,9.85,9.85,9.85,9.569785,500
2017-04-19,9.9,9.9,9.9,9.9,9.618362,52700
2017-04-20,9.9,9.9,9.9,9.9,9.618362,10000
2017-04-21,9.9,9.9,9.9,9.9,9.618362,50200
2017-04-24,9.9,9.9,9.9,9.9,9.618362,500
2017-04-25,9.8,9.85,9.8,9.85,9.569785,7600
2017-04-26,9.9,9.9,9.9,9.9,9.618362,18000
2017-04-27,9.95,9.95,9.9,9.9,9.618362,2400
2017-04-28,9.9,9.9,9.9,9.9,9.618362,21000
2017-05-02,9.9,9.95,9.9,9.9,9.618362,201200
2017-05-03,9.9,9.9,9.9,9.9,9.618362,35500
2017-05-04,9.9,9.9,9.9,9.9,9.618362,600000
2017-05-08,9.9,9.95,9.9,9.9,9.618362,540600
2017-05-09,9.95,9.95,9.95,9.95,9.666941,200000
2017-05-11,9.95,9.95,9.95,9.95,9.666941,0
2017-05-12,9.85,9.95,9.85,9.95,9.666941,11400
2017-05-15,9.95,9.95,9.95,9.95,9.666941,23700
2017-05-16,9.95,9.95,9.95,9.95,9.666941,105200
2017-05-17,9.95,10.0,9.95,9.95,9.666941,69300
2017-05-18,9.95,9.95,9.95,9.95,9.666941,1200
2017-05-19,10.0,10.0,9.9,9.9,9.618362,62600
2017-05-22,9.9,9.95,9.9,9.95,9.666941,88800
2017-05-23,9.95,9.95,9.95,9.95,9.666941,0
2017-05-24,9.95,9.95,9.95,9.95,9.666941,0
2017-05-25,9.95,9.95,9.95,9.95,9.666941,58200
2017-05-26,9.95,9.95,9.95,9.95,9.666941,0
2017-05-29,9.95,9.95,9.95,9.95,9.666941,20000
2017-05-30,9.95,10.0,9.95,9.95,9.666941,43000
2017-05-31,9.95,9.95,9.95,9.95,9.666941,98100
