Date,Open,High,Low,Close,Adj Close,Volume
2010-12-13,10.0,10.0,10.0,10.0,10.0,0.0
2010-12-14,,,,,,
2010-12-15,,,,,,
2010-12-16,,,,,,
2010-12-17,,,,,,
2010-12-20,,,,,,
2010-12-21,,,,,,
2010-12-22,,,,,,
2010-12-23,,,,,,
2010-12-24,10.0,10.0,10.0,10.0,10.0,0.0
2010-12-27,10.0,10.0,10.0,10.0,10.0,0.0
2010-12-28,10.0,10.0,10.0,10.0,10.0,0.0
2010-12-29,10.0,10.0,10.0,10.0,10.0,0.0
2010-12-30,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-04,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-05,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-06,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-07,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-10,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-11,10.0374,10.0374,10.0374,10.0374,10.0374,0.0
2011-01-12,,,,,,
2011-01-13,,,,,,
2011-01-14,,,,,,
2011-01-17,,,,,,
2011-01-18,,,,,,
2011-01-19,,,,,,
2011-01-20,,,,,,
2011-01-21,,,,,,
2011-01-24,,,,,,
2011-01-25,,,,,,
2011-01-26,,,,,,
2011-01-27,,,,,,
2011-01-28,,,,,,
2011-01-31,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-01,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-02,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-03,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-04,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-07,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-08,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-09,,,,,,
2011-02-10,,,,,,
2011-02-11,,,,,,
2011-02-14,,,,,,
2011-02-15,,,,,,
2011-02-16,,,,,,
2011-02-17,,,,,,
2011-02-18,,,,,,
2011-02-21,11.0,11.0,11.0,11.0,11.0,400.0
2011-02-22,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-23,10.9,10.9,10.9,10.9,10.9,1000.0
2011-02-24,10.104,10.104,10.104,10.104,10.104,0.0
2011-02-25,11.0,11.0,11.0,11.0,11.0,300.0
2011-02-28,10.104,10.1643,10.104,10.1643,10.1643,0.0
2011-03-01,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-02,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-03,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-04,10.7,10.7,10.7,10.7,10.7,2500.0
2011-03-07,10.1643,10.8,10.1643,10.8,10.8,24900.0
2011-03-08,10.5,11.0,10.5,11.0,11.0,2600.0
2011-03-09,10.5,10.9,10.3,10.9,10.9,10100.0
2011-03-10,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-11,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-14,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-15,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-16,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-17,10.9,10.9,10.9,10.9,10.9,100.0
2011-03-21,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-22,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-23,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-24,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-25,10.5,11.0,10.5,11.0,11.0,10500.0
2011-03-28,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-29,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-30,10.1643,10.1643,10.1643,10.1643,10.1643,0.0
2011-03-31,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-01,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-04,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-05,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-07,10.2314,11.0,10.2314,11.0,11.0,800.0
2011-04-08,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-11,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-12,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-18,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-19,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-20,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-21,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-22,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-25,10.2314,11.0,10.2314,11.0,11.0,35000.0
2011-04-26,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-27,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-28,10.2314,10.2314,10.2314,10.2314,10.2314,0.0
2011-04-29,,,,,,
2011-05-03,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-04,11.0,11.0,11.0,11.0,11.0,100.0
2011-05-06,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-09,10.296,11.0,10.296,11.0,11.0,20500.0
2011-05-10,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-11,10.3,11.0,10.3,11.0,11.0,200.0
2011-05-12,11.0,11.0,11.0,11.0,11.0,3800.0
2011-05-13,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-18,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-19,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-20,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-23,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-24,10.3,10.5,10.3,10.5,10.5,8200.0
2011-05-25,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-26,10.5,11.0,10.4,11.0,11.0,400.0
2011-05-27,10.296,10.296,10.296,10.296,10.296,0.0
2011-05-30,10.296,11.0,10.296,10.7,10.7,7600.0
2011-05-31,,,,,,
2011-06-01,11.0,11.2,11.0,11.2,11.2,30400.0
2011-06-02,11.0,11.3,11.0,11.3,11.3,600.0
2011-06-03,11.3,11.3,11.3,11.3,11.3,200.0
2011-06-06,10.6593,11.2,10.6593,11.2,11.2,300.0
2011-06-07,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-08,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-09,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-10,11.0,11.0,11.0,11.0,11.0,3000.0
2011-06-13,10.6593,12.0,10.5,12.0,12.0,5200.0
2011-06-14,,,,,,
2011-06-15,,,,,,
2011-06-16,,,,,,
2011-06-17,,,,,,
2011-06-20,,,,,,
2011-06-21,,,,,,
2011-06-22,10.3,12.0,10.3,12.0,12.0,400.0
2011-06-23,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-24,11.0,11.9,11.0,11.9,11.9,800.0
2011-06-27,10.6593,11.0,10.6593,11.0,11.0,200.0
2011-06-28,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-29,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-06-30,,,,,,
2011-07-04,,,,,,
2011-07-05,12.1,12.1,12.1,12.1,12.1,200.0
2011-07-06,,,,,,
2011-07-07,,,,,,
2011-07-08,10.4,12.0,10.4,12.0,12.0,8400.0
2011-07-11,10.6398,10.6398,10.6398,10.6398,10.6398,0.0
2011-07-12,10.4,12.0,10.3,12.0,12.0,23500.0
2011-07-13,,,,,,
2011-07-14,,,,,,
2011-07-18,,,,,,
2011-07-19,,,,,,
2011-07-20,10.6,10.7,10.6,10.7,10.7,2700.0
2011-07-21,10.7,11.6,10.7,10.7,10.7,5500.0
2011-07-22,11.0,11.0,10.8,10.8,10.8,400.0
2011-07-25,10.6398,10.8,10.6398,10.8,10.8,19900.0
2011-07-26,10.6398,10.6398,10.6398,10.6398,10.6398,0.0
2011-07-27,10.7,10.7,10.7,10.7,10.7,500.0
2011-07-28,10.6398,10.6398,10.6398,10.6398,10.6398,0.0
2011-07-29,10.8,10.8,10.8,10.8,10.8,10000.0
2011-08-01,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-08-02,10.8,10.9,10.8,10.9,10.9,5800.0
2011-08-03,10.8,10.8,10.8,10.8,10.8,1000.0
2011-08-04,10.6593,10.6593,10.6593,10.6593,10.6593,0.0
2011-08-05,10.6,10.7,10.6,10.7,10.7,900.0
2011-08-08,10.6593,10.8,10.6,10.8,10.8,4600.0
